word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
système,-0.339496,0.135952,-0.111977,-0.683868,-0.169885,0.758198,2.322537,-1.178845,1.157863,0.153265,-0.530352,0.096773,-1.043335,-0.532641,0.37139,-0.426496,-0.747511,0.713419,0.571521,-1.145536,-0.226877,-0.709821,-1.052253,1.084732,0.952817,1.849289,-0.116823,1.262805,0.520018,-0.327965
équation,0.396189,-0.070141,0.359051,-1.486611,1.031417,0.45797,1.075459,-1.821926,0.470034,0.879424,-0.146595,1.0875,0.139867,1.082724,-0.142875,-1.186908,-1.627261,-1.274127,0.393912,-2.500612,-0.007877,-0.034621,-1.504533,0.468462,1.020924,1.564734,-0.030782,1.508046,-0.131559,0.380662
suite,-0.04269,1.291864,-0.136023,-1.368088,-1.7361,1.021282,1.180151,-1.245395,-0.147865,0.803842,-0.122877,0.143329,-0.783309,0.786031,0.786218,-0.044227,0.288041,-0.412957,-0.135886,0.112277,0.227737,0.03742,-2.149945,-0.88621,0.681557,1.595687,-0.533185,1.068349,0.676167,0.892848
algorithme,0.154251,2.237077,-0.471394,-0.962286,-0.144959,1.794952,2.285556,-0.7663,1.088112,-0.140399,-1.208368,-0.802415,0.221873,-0.979179,0.727298,0.202625,-0.764682,-0.866492,0.229035,-1.18427,-0.381434,0.464585,-0.234686,-0.668157,0.802181,1.630603,0.475653,0.766943,0.710316,2.050347
calcul,0.058915,0.481976,-0.83325,-0.956313,-0.655675,0.794065,1.613497,-1.114053,1.482445,-0.315782,-0.696711,0.635628,-0.213015,-0.166632,0.442387,-0.234708,-0.888044,-1.44596,0.550082,-1.386903,-0.955847,-0.345705,-1.417884,0.123965,0.567545,1.656376,-0.023316,1.302346,0.69869,0.118089
application,0.432649,1.412451,0.409595,-0.289384,-0.350623,0.313953,1.540252,-0.853819,-0.099562,-0.008902,-0.00337,1.193066,0.051113,0.75864,0.082107,-1.198849,-0.234275,0.945671,0.309844,-1.102895,-1.421414,0.178397,-0.693894,0.038483,1.164725,2.238611,0.33688,1.872808,-0.291706,-0.015783
élément,0.094412,0.628201,-0.8193,-0.891416,-0.792272,0.075895,2.207063,-1.337222,-0.69544,-0.41335,-0.188259,-0.545916,-0.380222,1.574139,0.177035,-0.904768,0.324922,0.148776,-0.138451,-0.077068,0.531899,-0.596813,-1.495441,-0.305416,-0.206367,1.111221,0.793649,1.811368,0.706042,0.688958
grand,-0.83057,0.623092,-0.479635,-0.023294,-0.565106,1.140883,1.157835,-2.554234,0.188606,0.880878,-0.85349,0.277265,-0.454165,0.912372,0.32914,0.428434,0.416087,-0.126774,0.118713,-0.306639,-0.156564,0.684825,-0.251225,-0.146194,-0.622992,1.162633,0.281331,0.911364,2.245784,-0.090455
propriété,-0.082105,0.032577,0.112378,-0.644097,-0.617789,-0.022433,1.761948,-1.051083,-0.901529,0.554344,-0.370463,-0.07849,-1.288068,1.338447,0.024491,-0.434005,0.409089,0.137176,0.296562,-1.79369,-0.019635,0.159926,-0.551367,0.290135,0.61275,2.491871,0.284757,0.667981,1.070192,0.617859
ordre,0.610123,-0.415233,-0.808565,-0.203545,-1.414062,-0.020252,0.949656,-1.976536,-0.316183,0.743345,0.437813,0.182555,-0.628434,0.901222,0.625577,0.135883,0.015965,0.087121,0.377745,-0.328095,0.701545,-0.339165,-1.041277,0.38194,0.426217,2.018232,1.519854,1.22248,1.667175,1.016979
variable,-0.031795,-0.324488,-0.472445,-0.239852,-1.070612,0.7985,2.67766,-0.314378,0.055565,1.344265,-0.187441,1.612262,1.077432,0.687795,-0.090094,-1.198727,-0.325337,0.206894,-0.314818,-1.05106,1.146658,-0.08401,-1.837194,-0.76734,0.660881,1.835641,0.119813,0.985543,-0.883189,0.483746
base,-0.600499,0.57882,0.399575,-0.175365,-0.711157,0.594512,2.437308,-1.321287,-0.159668,-0.241921,0.17356,0.097417,-0.513086,-0.072192,0.573175,-1.12571,0.536173,0.20513,-0.692021,-0.211667,-0.614307,-0.891172,-1.2129,0.181228,0.700483,1.77724,-0.118472,0.811326,1.352516,0.085956
géométrie,0.560687,1.118992,0.309592,-0.260132,0.934513,-0.238411,0.803339,-1.325262,-0.616523,-0.387238,-0.13408,0.24897,0.09033,0.777262,-0.926261,-0.561496,-0.71656,-0.830928,-0.546243,-1.4398,-0.520322,-0.205838,-0.344331,0.021564,0.825412,2.599354,-0.601606,1.909076,1.444517,-2.069596
analyse,1.185475,1.165209,-0.094456,-0.273448,-0.674596,-0.074106,1.886776,-0.902112,1.134075,0.531216,-0.628665,0.840688,0.723689,-0.273555,0.189987,-0.645749,-1.163821,0.057404,0.040365,-1.408594,-0.73547,0.468068,-0.927892,-0.73214,0.481464,1.969385,-0.354305,1.400695,0.757826,-1.278817
loi,-0.92671,-0.8394,0.344987,-1.260581,-1.357269,0.53983,2.226303,-1.468895,0.733113,2.192266,0.340898,0.377024,-0.442534,0.527026,0.059336,-0.018069,0.141103,0.717543,-0.997588,-1.556036,-0.075113,0.15817,-1.675826,-1.029561,0.038285,1.76835,-0.889,-0.035359,-0.614645,-0.317357
définition,0.28187,0.560046,-0.04711,-0.620622,-0.756721,0.371279,1.666983,-0.647194,-0.78682,0.486411,-0.243763,0.287565,-0.530902,0.515633,0.137163,-0.471773,0.135033,-0.026106,0.452095,-1.390584,0.039005,-0.734891,-1.115477,-0.173811,0.527578,2.369639,-0.190754,1.223075,0.578412,0.220642
réel,0.690064,0.475541,0.444838,-0.674042,-0.803887,0.442713,1.566115,-0.96521,-0.379356,0.528232,-0.873438,0.507391,0.635966,1.659701,0.079871,-1.181819,0.54258,-0.486156,0.157646,-0.365594,-0.155143,-0.22947,-2.223134,-0.462681,0.609287,2.2621,-0.201205,0.615006,0.925395,0.064883
dimension,0.603997,0.289138,0.267676,-0.005204,0.203828,0.951306,1.38712,-1.425173,-0.971228,-0.512891,-0.413745,0.382921,-0.425434,1.470088,-0.044308,-1.438999,0.186812,0.464598,-1.395122,-1.160157,0.001267,-0.521919,-0.579214,-0.193904,1.017411,1.959388,0.457281,0.78381,1.080921,-0.296342
statistique,0.452233,0.2516,-0.012697,0.11684,-0.908983,0.06953,2.553231,-0.745908,1.397207,1.734195,-0.311913,1.301354,0.755458,-1.169511,0.122187,0.9797,-0.684258,1.495415,-0.344257,-0.706579,-1.082729,0.235146,-1.057385,-0.607459,0.384632,1.201233,0.282566,1.040297,1.055029,-1.304456
sommet,-1.810834,0.184976,0.121777,0.093948,0.562268,2.209622,1.406765,-0.985518,-1.205975,-0.149224,0.011223,-0.568687,-0.455168,1.533854,0.31951,-0.308361,0.476408,0.491255,-1.405999,-0.440236,1.633531,-0.464133,0.358715,1.084634,1.069435,1.564631,0.976126,1.331623,1.767143,1.866063
logique,-0.438562,0.061922,-1.025035,-2.133371,-1.472814,0.325051,1.127905,0.194519,0.470806,0.029901,-0.498782,0.368075,-0.048857,-0.421246,-1.270363,0.371442,-1.034215,-0.027367,1.142313,-0.746909,0.34757,-1.357151,-0.378585,1.120219,0.511821,3.198034,0.152292,1.490517,0.383571,-1.252608
terme,-0.808404,0.06843,-0.279633,-0.491347,-1.113334,0.556679,1.568579,-0.825437,0.068624,0.623072,-0.627237,0.723618,-0.066453,0.232445,0.15121,-0.93383,0.182705,-0.881433,0.401251,-0.96841,0.716637,-0.709675,-1.554093,-0.091852,0.245429,1.616092,0.341949,1.103699,0.546594,0.362135
trois,-1.580924,0.158766,-0.644366,-0.482553,0.322207,0.269636,1.926965,-1.75176,-0.528342,0.123631,0.451796,0.474909,-0.172621,0.639633,-0.417515,-0.491653,0.3227,-0.30309,-0.870833,-0.872774,0.741274,0.140827,-0.819656,0.754473,0.840365,0.603273,-0.500468,2.090427,1.248973,0.373711
plan,-0.074717,0.118541,0.65181,-0.059917,0.764318,0.232497,1.250003,-1.371417,-0.513508,-0.268551,-0.422136,-0.557297,0.530224,1.38624,-0.357997,-0.685909,1.454433,0.625214,-1.024147,-1.606263,-0.662423,-1.063793,-0.944724,0.027997,0.915063,1.463024,-0.58066,2.018991,1.080924,-0.413755
formule,-0.567302,-0.303026,-0.074558,-1.820521,-0.713771,-0.053765,1.713078,-1.034138,0.253067,0.761527,0.456082,0.406674,-1.093705,0.186485,-0.566361,-0.127922,0.053175,-1.50649,0.030221,-1.697103,-0.312683,-1.008877,-1.144572,0.056384,0.746218,1.995587,0.322557,0.487023,-0.320201,1.123795
droite,-0.54567,0.047881,1.336134,-0.516711,0.413729,0.386522,1.256208,-0.745388,-0.345673,-0.198467,0.3523,-0.217075,1.259445,1.711552,-0.495587,-0.204214,1.363078,0.226906,-0.160835,-1.282794,-0.072883,-1.537233,-1.137094,0.168073,1.012914,0.791494,-0.842069,2.486436,1.496757,1.202263
$\mathbb{C}$,-0.561662,0.635351,0.696476,-1.344647,-0.012899,0.907002,1.869013,-0.80603,-0.423482,-0.349529,-0.045154,0.149891,0.472952,1.357526,-0.161425,-0.531361,0.906364,0.665711,0.104078,-0.219572,-0.962215,-0.62141,-1.031465,0.79173,0.351885,0.990333,0.837032,1.172506,0.672502,1.161273
solution,-0.04348,0.547561,-0.378226,-1.279339,0.317746,1.037993,0.753297,-1.550288,0.141957,0.283265,-1.374606,0.833968,0.072544,0.336612,-0.39845,-1.217181,-0.017095,-0.495761,0.54025,-1.712579,0.15002,0.632281,-0.932069,-0.0029,1.532566,1.355761,0.530379,1.055668,-0.094886,1.289546
modèle,0.027028,-0.108298,-0.841809,-0.909849,-0.371214,1.168864,3.014554,-0.261517,0.490896,0.229442,-0.558184,-0.031819,0.463453,-0.150666,0.193858,-0.04193,-0.871593,0.918072,-0.053828,-1.592961,-0.068532,0.321118,-0.561357,0.311367,0.474382,1.825806,-0.637948,0.184945,0.236607,-0.607663
linéaire,0.900758,0.677204,0.640573,-0.176863,-0.621911,0.094679,1.746234,-1.520415,0.082014,0.192805,0.002696,0.15628,0.762027,0.413772,0.636263,-1.320179,-1.124363,0.346203,0.706512,-2.046039,0.080176,0.155787,-1.490518,0.276936,1.757871,2.110958,0.313664,0.773356,-0.324366,0.522275
probabilité,-0.324797,0.028979,-0.37331,-0.923445,-1.071515,1.402705,2.441499,-0.365833,0.6055,1.831558,-0.536054,1.04406,-0.010018,0.823922,0.052724,0.439615,-0.126397,0.92992,-0.547322,-0.621288,0.427581,0.489118,-1.345361,-0.968626,0.234496,1.425537,-0.770807,0.263865,0.078207,-0.012606
série,0.073323,0.771116,-0.024043,-1.223091,-1.334866,-0.163931,0.91433,-0.883326,1.033615,0.909989,0.38947,1.244656,-0.291031,0.676595,0.484725,0.00326,0.478901,-0.814764,-0.386966,-0.671167,-0.720803,0.381255,-1.734708,-1.020538,0.840852,1.637595,-0.408267,1.266271,0.576848,-0.409932
somme,-0.344898,-0.495583,0.051773,-0.708505,-1.247491,-0.039408,1.865479,-1.076107,0.02494,0.383241,0.586111,0.662565,-0.384068,1.133147,0.842463,-0.459283,0.942111,-0.946824,-0.883594,-0.597267,0.374651,0.481564,-2.022706,-0.39789,1.209015,1.465172,0.036923,0.359499,1.76328,0.854548
mesure,-0.040742,-0.50111,0.303108,0.77088,-0.685306,0.990247,2.463583,-0.992144,-0.117356,0.34141,-0.505229,0.547928,-0.731362,1.232967,0.79059,0.428987,0.659832,0.05497,0.176185,-1.316902,-0.894893,-0.072851,-1.096768,-0.978556,-0.013349,1.390409,-0.171541,0.609933,0.880021,-0.486371
