word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
suite,-0.378412,-1.114508,-0.539991,-0.510098,-0.127638,2.936835,-0.49217,0.133568,-1.166037,-0.105074,0.144963,-0.737822,0.325975,0.656175,0.15514,1.702457,2.015724,-0.247622,0.471312,0.465844,0.816161,-0.634412,0.953716,0.790435,0.55309,-0.400713,0.168677
algorithme,0.05626,0.43653,-2.101083,-1.180812,-1.411338,1.654695,0.531935,0.919331,-0.883152,-0.811839,0.083036,-0.449587,0.475095,0.550632,0.745974,1.003921,0.507234,1.87356,1.207969,-1.303757,-0.265223,-1.364208,0.968857,1.520035,1.372336,-0.695806,-1.380565
calcul,-0.359909,-0.47709,-1.516067,-0.370358,-0.260074,2.311537,0.659694,-0.306778,-1.125003,-0.231385,-1.103709,-0.464268,-0.401125,-0.566035,0.469149,0.093452,1.494532,1.456214,1.05255,-1.390303,0.453897,0.012283,0.711618,1.197787,0.798114,-0.004605,-0.772055
application,-0.067674,-0.275483,-0.332301,0.503815,0.082266,2.452391,0.614339,0.881923,-0.747418,-1.982636,-0.904571,0.260176,1.292816,-0.203989,-0.014964,0.367431,1.995013,0.597146,-0.199449,-1.312918,0.348136,-0.240207,0.918836,0.359088,-0.067342,0.476591,-0.087928
élément,0.32301,-0.725389,-0.456765,-0.036667,1.007872,2.972979,1.219226,0.532546,-1.193114,-0.511351,-0.151103,-0.725579,0.481355,1.060638,-0.063559,0.30427,1.075184,0.640993,0.260823,0.727354,-0.604745,0.292362,1.887199,0.01566,1.038374,-0.24653,0.281746
grand,-0.502185,0.578502,0.206632,-0.036409,-0.038747,2.747557,0.906395,0.813758,-1.643671,0.201745,0.042696,-1.606275,-0.713717,-0.508612,0.220177,-0.035983,1.24751,-0.274441,0.293974,0.021082,0.236805,-0.096103,-0.177325,0.871514,1.649469,-1.168446,0.315523
propriété,0.627778,-0.497066,0.193469,0.027669,0.652113,2.426984,1.196342,-0.788117,-1.727861,-0.886748,-0.891633,-0.515929,0.703371,0.140301,0.192516,1.208175,1.22306,0.1191,0.032328,-0.353288,-0.090436,-0.96293,0.677959,0.309563,0.851575,-0.63023,0.866143
ordre,-0.029896,0.289794,0.225926,-0.27029,0.644794,2.743939,1.314761,-0.71811,-0.975685,-0.314667,-1.172295,-1.670252,0.593389,1.024864,0.965966,0.807694,1.410067,0.960569,0.298296,0.864743,0.799113,0.041433,0.501039,0.256609,0.323153,-0.585694,0.176347
variable,-0.448389,-1.118385,0.193365,0.394579,-1.008591,1.932691,-0.551635,-0.343817,-2.418043,-0.102951,-1.312309,-0.185488,0.779495,0.357307,-0.216272,1.788981,1.333709,1.426781,-0.945731,-1.107519,-0.32492,0.825548,2.075016,0.115174,-0.219251,-1.024865,-0.178336
base,0.097245,-0.950823,0.627289,-0.002493,0.906558,2.912539,0.395951,0.551368,-1.878719,-0.427987,-0.710894,0.010752,0.143509,0.818239,-0.282694,-0.293388,0.923126,0.72029,1.346306,-0.754304,0.217133,-0.701337,0.507394,1.076467,-0.093517,-0.249633,-0.071498
géométrie,0.064766,0.141982,-1.381132,1.339446,0.282176,2.538837,1.350289,0.346415,-0.892318,-0.111913,-2.063073,0.536584,0.876948,-1.19806,-0.713277,-0.445278,1.691068,-0.531907,1.376411,-0.714698,-0.569286,-0.596515,-0.512072,0.158017,0.485471,-0.712423,-0.097635
analyse,-0.996483,0.190012,-1.701016,0.57348,-0.654854,2.657922,0.410781,0.309059,-0.973037,-0.95899,-1.514984,0.262118,-0.210447,-0.769724,0.00867,0.724025,1.483524,0.628358,-0.276007,-1.721628,-0.221834,-0.105204,0.05172,0.343455,-0.293179,-0.419608,-0.59639
loi,0.012345,-1.063328,0.259468,0.214275,0.425607,1.425749,-0.309861,-0.830084,-3.258398,-0.52578,-0.043849,-0.920204,0.394161,0.10241,-0.080918,2.363893,0.813714,-0.20752,-0.593132,-1.207956,0.725555,0.68587,-0.317962,1.047837,0.579911,-1.19105,-0.198446
définition,0.348822,-0.789768,-0.556321,-0.125864,0.212541,2.530053,0.552428,-0.522085,-1.283319,-0.829478,-1.32632,-0.209149,0.553283,0.232932,-0.316246,1.02589,1.161799,0.138274,0.600879,-0.503981,0.340024,-0.213671,1.011323,0.39489,0.705719,-0.914426,0.893527
réel,0.47411,-0.626651,-0.18235,0.094017,-0.187064,3.142915,0.545538,0.027273,-1.398475,-0.474672,-0.462324,0.453326,-0.033108,-0.098614,-1.201976,1.14382,1.817666,0.421226,-0.352618,0.082727,0.729568,-0.146406,1.424436,0.428834,0.307458,-0.416047,0.23974
dimension,0.688391,-0.620736,0.622001,0.688929,0.328084,2.357671,1.326001,0.788044,-1.260427,-0.660512,-1.482122,-0.120323,1.302845,-0.164394,-0.615968,0.044474,0.74196,-0.08143,1.230251,-0.518931,0.590839,-1.114333,1.321857,-0.152293,0.128068,-0.279402,0.189959
statistique,-2.2738,0.662458,-0.629245,0.532281,-1.233972,1.958984,0.086204,0.056746,-1.900046,-1.070253,-0.736448,-0.562259,0.005729,0.219418,0.29686,0.131507,0.925642,0.384637,-0.671529,-2.18525,0.421986,0.877213,-1.122987,0.740149,-0.773969,-0.98787,0.270847
sommet,1.647197,-0.520143,1.255753,-0.12256,-0.629377,1.601256,1.90998,1.553629,-1.467306,0.766182,-0.142701,-1.738799,2.312392,0.98574,0.557912,-0.30041,0.825822,1.108398,1.198487,0.696481,-1.005847,-1.148051,0.525657,-0.141595,0.816695,-1.418957,0.725936
logique,0.030174,-1.414762,-0.601953,1.245791,-0.095412,1.295093,0.469033,-1.575614,-0.169091,-1.308904,-2.053118,0.188638,-0.304308,-0.434173,0.92832,-0.143543,2.09297,1.847406,0.589996,-0.803941,-1.02928,0.620598,-0.429821,1.094241,1.159544,-1.252919,1.027293
