word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
entier,-0.277467,-0.093869,-0.719046,-1.411217,0.207315,0.512264,0.087091,-0.050611,-0.14248,-0.337328,0.3146,0.229578,0.02411,-0.314188,-0.274618,1.023498,-0.463621,-0.069428,-0.547517,-0.446014,-0.590995,0.296703,-0.572891,0.261777,0.832708,-0.543975,0.364241,-0.006328,0.038729,-0.152944,-0.088648,-0.211975
système,-1.74455,-0.604176,-0.191716,-2.016176,0.869525,0.077707,0.796492,0.638279,0.252367,-0.620076,-0.044982,0.22791,0.345211,0.355022,-0.565781,0.670944,1.19508,0.786814,-0.934817,0.138635,0.355074,0.434616,-0.869409,0.340871,0.051597,0.323463,0.863536,0.697203,0.338057,-0.016357,-0.610737,-0.647387
équation,-2.849752,-0.494764,-0.866078,0.108121,-0.046464,-0.908424,1.059954,-0.005759,-0.830769,-0.722471,0.458314,1.396929,0.19578,-1.272949,-1.124438,0.733222,1.770846,0.389044,0.663055,0.480764,0.612024,-0.828163,-1.449279,-0.229612,0.659244,0.445218,-0.217188,-0.397386,-0.488776,0.135686,-1.232682,-0.149517
suite,-0.947654,-0.635331,-0.316485,-1.006318,-0.003835,0.660965,0.197445,-0.338951,-0.112781,0.125726,-0.360981,0.060209,-0.471578,0.222384,1.367194,0.624685,-0.255581,0.21965,-1.112302,-0.299239,0.20813,-0.156963,0.171633,-0.035057,0.349931,-0.084298,-0.057406,0.154204,0.90067,0.256106,0.64554,0.075298
algorithme,-1.333744,-0.595635,-0.619168,-0.713961,0.619407,-1.207976,0.259524,0.782942,-0.336883,-0.825884,-0.891151,0.896577,-0.18678,-0.383551,-1.595694,-0.343143,1.124093,1.188448,0.736602,0.436667,0.697446,0.102445,-0.524397,0.212553,0.114398,0.158754,0.564532,0.74899,0.055564,0.351136,-0.135535,0.115499
calcul,-1.813167,-0.923997,-0.984553,-1.089678,0.028296,-0.791581,0.227603,1.473594,-0.525067,-0.572863,-0.580709,0.417392,-0.099718,-0.559697,-1.112689,0.62302,1.255152,0.695047,0.058984,0.752674,0.756913,-0.074662,-1.413623,0.450198,0.385426,0.008199,-0.167618,0.29842,0.113435,-0.247413,-0.281697,-0.613184
application,-1.966391,-0.680464,-0.138514,-1.317235,1.250905,-0.232803,0.458945,0.383553,0.549019,-0.389366,-0.410723,0.097843,0.295924,0.179507,-0.875718,0.718918,0.809772,0.383725,-0.353141,0.310979,0.590318,0.469089,-0.754176,1.016657,-0.1145,-0.415287,1.239573,0.989995,0.599804,0.027639,0.027947,-1.069019
élément,-0.679067,-0.088371,-0.697252,-1.84059,0.263816,0.268327,1.044772,0.252892,-0.225733,-1.598951,0.053187,0.212468,0.811615,-0.427025,-0.792324,0.392968,-0.409118,0.382461,-1.225025,0.689642,0.345807,-0.194106,-0.352534,-0.37474,0.445468,-0.499056,0.370679,-0.134197,-0.23707,-0.055326,-0.053334,-0.804129
grand,0.28622,-0.155416,-0.134773,-1.520443,-0.238197,0.175953,0.563033,0.481371,0.322909,0.287834,1.071981,-0.052372,0.15857,0.36956,1.315877,0.61942,-0.575373,0.096588,-0.836479,0.076337,-0.008483,0.246258,-0.327945,-0.64935,0.437032,-0.24079,-0.2509,-0.401213,-0.306232,-0.26526,0.152659,-0.410343
propriété,-0.754324,-0.827211,0.06483,-1.147755,1.623465,-0.490644,0.876702,0.671936,0.549736,-0.103455,0.661111,0.22939,0.132695,-0.19055,-0.03935,0.853504,-0.294218,-0.448053,-0.53184,0.208115,-0.043868,-0.96478,-1.232093,0.16064,0.0203,-0.489036,0.213215,-0.956755,0.057316,-0.421662,-0.455073,-0.490207
ordre,-0.646024,-0.340064,0.010603,-1.214634,0.280197,0.406188,-0.34928,-0.316041,-0.416846,0.411244,0.461716,0.832078,0.725513,0.008488,0.874623,1.031145,0.337031,-0.735089,-1.635458,0.545925,-0.132648,-0.393402,0.370826,0.195399,-0.27204,-0.518401,-0.406009,-0.022479,-0.722912,0.211419,-0.13058,-0.849332
variable,-0.92226,-0.005734,-1.168661,-1.016371,-0.0613,-0.130393,0.542967,0.453771,0.703277,-0.387177,-0.046131,0.413623,0.518174,-0.618885,-1.274908,0.785661,1.474009,0.551209,-0.695094,0.239917,0.160957,0.06575,-1.801378,0.884077,0.88336,-0.580379,0.065106,0.185512,-0.407025,-0.538665,-0.628604,-0.446954
