word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
problème,-0.606621,-0.029595,-0.386853,0.77909,0.117946,0.204603,0.426901,0.545804,-0.159435,0.166998,0.463976,0.32766,0.540533,-0.389217,-0.437916,0.051273,0.416805,0.136017,-0.577399,-0.514281,-0.654704,-0.836791,0.414282,-0.119585,-0.533158,0.482221,0.095486,0.059522,-0.535973,0.231977,0.26642,-0.811077,-0.718435,0.192768,-0.771543,-0.518209,0.485394,-1.138001,-0.075188,0.492721,1.150714,0.100863,0.722511,0.8981,-0.593064
valeur,0.160891,0.128164,-0.20603,0.217114,0.342211,-0.240986,0.164552,0.174809,-1.002944,0.213728,-1.212987,0.363515,0.087056,-0.142585,-0.925092,-0.38391,-0.304303,-0.66307,-0.31206,-0.250285,-0.560759,-1.04035,-0.01816,-0.786467,0.779357,-0.378278,1.048382,0.611883,-0.299665,0.232579,-0.232751,-0.248965,-1.245457,-0.302397,-1.238097,0.384192,0.207489,-1.247829,0.050568,0.347896,1.277423,-0.375942,1.098667,0.319222,0.271431
groupe,0.390819,0.79615,-0.051483,0.261074,-0.146878,-0.767417,0.866583,-0.722839,0.158258,-0.271562,0.534762,0.532076,-0.903508,0.08686,-0.078101,-0.388233,-0.543696,-0.324382,-0.815584,-0.276443,0.225066,-0.135314,-0.650103,0.373758,0.027509,1.216605,-0.090211,0.299086,-0.88363,0.623796,0.191988,0.965555,-1.764895,0.476156,-0.756598,-0.177053,0.483786,0.521057,-0.061427,-0.425624,0.043571,0.402634,0.320236,-0.008236,-0.723757
graphe,-0.09078,-0.060182,-0.277214,0.195438,-0.046407,-0.030773,0.718801,0.623917,-0.587403,-0.225337,-0.142449,0.808278,-0.883128,0.492389,-0.342608,0.32203,0.122134,-0.899956,-1.114732,1.64703,-0.946145,-0.123444,-0.381761,-0.237339,0.514509,-2.135121,0.444485,1.611165,-0.329539,0.141512,-0.44924,0.213577,1.641428,-0.255149,-0.478247,0.591686,0.487602,-0.437599,-0.987797,-0.418977,-0.170466,-0.012074,0.56384,1.00739,0.183898
forme,0.170811,0.043528,-0.324128,0.864095,0.455857,0.042422,0.928803,0.116194,0.764406,-0.169831,-0.361625,0.385139,-0.695845,0.370672,-0.061998,-0.370996,-0.167437,-0.81189,-0.659134,-0.030804,0.435008,-0.843577,-0.733353,-0.082696,0.30984,-0.608733,0.213358,-0.130465,-0.011837,0.412108,-0.136231,0.455026,-0.693628,-0.338082,-1.667415,-1.066636,-0.040651,-0.730759,0.429654,0.888231,0.361306,0.704415,0.599815,0.103744,-0.535303
entier,0.367872,-0.005642,-0.245307,0.19302,0.064503,0.126384,0.293266,-0.223519,0.132748,-0.032757,-0.697275,-0.019767,-1.035261,-0.050532,-0.032844,-0.432267,-0.243863,-0.241403,-0.466634,0.08779,0.198264,-0.970052,-0.625871,-0.105937,0.373166,-0.033185,0.243243,0.337635,-0.613325,0.102095,-0.121748,0.095901,-1.078939,-0.314394,-0.467978,0.025598,0.009194,-1.08263,0.14145,0.767599,0.570581,0.364057,0.213851,0.177178,-0.11255
système,-0.370358,0.537617,-0.360222,1.134568,0.744064,0.243985,0.949524,-0.03485,-0.039328,0.057212,-0.307605,-0.076775,-0.471809,0.205405,-1.152261,0.224595,0.264453,0.194486,-1.169552,0.377357,-0.89452,-1.041061,0.800979,-0.813599,0.423726,0.166781,0.318838,0.208897,-0.126754,-0.251106,-0.636018,-0.152995,-0.083558,0.120276,-1.708139,-0.603708,0.257048,-0.507409,-1.02943,0.494705,0.672495,1.004838,0.642198,1.144964,-1.219047
équation,-1.077835,-0.195082,-0.252245,0.729109,0.942325,1.026704,0.348722,0.282112,-0.875872,-0.073485,-0.408818,0.754012,-0.786881,0.417048,-0.534414,1.342074,-1.059614,-0.485302,-0.749881,0.132069,-1.778388,-0.082951,-0.198138,-1.575278,-0.579997,-2.235342,0.058179,-0.073791,1.061752,-0.577976,0.044508,-0.25148,-0.075255,-0.105053,-0.130291,0.321687,0.182114,-0.107687,-0.814793,0.23631,0.722419,-0.714404,2.07569,1.129597,-0.753928
suite,-0.434303,0.062807,-0.247591,0.160985,-0.482903,0.441541,0.144836,0.328823,0.740044,0.207733,0.046825,-0.107622,-0.507659,-0.318223,-0.223971,-0.505582,-0.064099,-0.530268,-0.422915,-0.23035,0.039315,0.024812,0.025624,0.164498,-0.434295,1.58378,-0.471658,-0.289678,-0.236382,-0.140934,-0.518829,-0.094208,-1.368066,0.618877,-0.308958,-0.303706,0.185017,0.029698,0.225811,0.433016,0.345454,0.586894,0.113246,0.275523,-0.649626
algorithme,-0.498731,0.835061,-0.926311,1.372409,-0.169459,0.405596,0.494041,0.242001,0.480709,0.463198,-0.486405,0.853567,-0.520029,-0.140668,0.048516,0.757327,0.699907,0.533083,-0.112891,1.443334,-1.433514,0.130076,0.536663,-1.054508,-0.250645,-1.415943,-0.089325,0.19577,-0.430429,0.118404,-0.865444,-0.057192,0.736503,-0.230891,-0.867594,0.047254,0.481988,-0.571647,-0.947752,-0.300182,1.031954,-0.514557,1.0881,0.772459,-0.673631
