word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
théorème,0.416712,-1.44464,-0.318198,-0.70317,-0.91366,-0.181067,1.203024,-0.025408,-0.076303,0.645217,0.113563,-0.488191,0.421682,0.60408,0.708508,1.58818,-0.404867,-0.356895,-0.256997,-0.52357,0.439298,0.17856,1.785171,-0.803222,1.562513,-0.243873,0.704891,-0.26794,-0.203645,-0.306726,-0.64742,-0.745595,-0.518182,1.039252,-1.081151,-1.093579,-0.757336,1.376502,-1.055745,-0.389366,0.048572,3.023127,0.182125,-0.224396,-1.026041,-0.265761,0.862327
problème,-0.08331,-0.847688,0.702996,-0.13306,-0.108978,-0.170036,0.739755,0.087531,0.694399,0.217529,-0.173941,0.106244,0.273759,0.028433,0.366635,1.674691,-0.781347,0.363314,-0.190487,0.424723,-0.078479,-0.724482,0.060315,0.200496,-0.348179,-0.636562,-1.577449,0.72637,-1.155748,0.912371,-1.312165,-0.792916,-0.093034,0.658716,-1.023006,-0.134861,0.0585,2.230443,-0.343863,-1.795677,-0.727122,2.598596,0.848344,0.637734,-0.459858,0.105957,-0.26957
valeur,0.474891,-2.140831,-0.383817,0.772713,-0.163111,-0.337376,0.68908,-0.076408,0.579002,0.458039,0.62013,-0.104438,0.599379,0.398743,0.066783,0.741305,-0.159598,-0.770259,-0.3622,-0.528195,-0.248841,-0.594985,-0.786496,-0.800381,-0.460092,-0.432592,-0.568468,0.359346,-0.747935,-0.81878,-0.228301,-0.636986,-0.050387,-0.323387,1.038203,0.316472,-0.505601,2.160519,-0.112773,0.804557,0.367176,2.88943,0.039655,0.080486,-0.098306,1.122593,-0.972008
groupe,0.252351,-2.135975,1.365479,0.171158,0.328587,0.994917,2.156326,1.301719,-0.702416,0.541138,0.306439,0.136196,0.343236,1.162495,0.276408,0.064911,-0.749153,0.536481,-0.242231,0.099795,-0.500386,-0.25232,0.024408,-0.160977,-0.59808,-0.669881,-0.711352,-0.704138,0.956426,-0.642809,0.880513,-1.10828,0.020644,-1.090677,-0.13885,-0.157963,-0.476419,0.700788,-0.698679,-1.403807,0.129025,2.152605,0.465697,-0.787694,-1.244349,-0.576676,1.713725
graphe,-0.419866,-1.850403,0.83495,-0.780436,1.186069,1.062355,2.470519,1.926549,0.27059,-0.998311,0.71344,-0.213287,1.397968,0.7744,0.663239,2.169901,0.169354,1.242847,1.00722,0.201992,-0.422724,0.29606,-0.639642,-0.731901,0.549061,-1.083597,-0.510737,1.421328,-0.02833,0.27808,-0.201884,-0.633888,-0.856686,1.497305,0.331436,-0.95883,-1.085877,0.536168,-1.167083,-0.637538,0.382767,2.112898,0.409454,1.339561,-0.482275,-1.622276,0.339588
forme,-0.177273,-1.727977,-0.063717,-0.400597,0.287084,0.763285,0.885451,-0.085918,-0.212142,0.620918,0.508859,-0.000654,0.707411,0.735535,0.263108,0.015539,-0.965209,0.078601,-0.01427,0.243539,-0.77646,-0.317252,-0.002438,-0.44466,0.512006,0.357361,-0.999963,0.435338,0.45345,0.000324,-1.047532,-0.366571,-0.637801,-0.132757,-0.003561,1.096902,-0.370741,1.64391,-0.170447,-0.346197,0.382295,2.88559,0.196785,-0.675584,0.089971,0.427293,-0.293789
entier,-0.644448,-1.951221,1.106206,-0.892544,-0.647832,0.226112,0.960263,-0.591891,0.771401,0.195634,0.446587,0.519483,1.055114,0.830008,0.548526,0.474019,0.349851,-0.525291,0.05636,0.323209,1.054022,-0.12248,-0.166709,-1.437391,-0.480843,-0.091627,0.489008,0.031925,-0.663438,-0.987692,-0.208874,-0.891709,-0.228967,-1.306028,-0.335058,0.367537,-0.225305,2.280023,0.443108,0.196858,0.359364,2.733272,0.216616,-0.293003,0.115667,0.503831,0.505199
système,0.450851,-0.6056,-0.377447,-0.015563,-0.649684,-0.140497,0.128186,0.244937,-0.390828,-0.167049,-1.004919,0.973918,1.478884,-0.664589,0.529764,0.443622,-0.44385,0.551109,-0.294519,0.012294,-1.328081,-1.355427,-0.483792,-1.257488,0.381082,0.410803,-1.891058,0.011332,0.259383,-0.122626,-0.926174,-0.670996,-0.019216,-0.981901,-0.19127,0.630537,0.448666,1.051982,-0.984378,-0.633139,0.304713,2.764013,0.645667,-0.117057,-0.421122,0.565615,0.301915
équation,0.252315,-1.358579,-0.099994,0.313011,-0.255172,-0.495989,0.445527,0.789765,0.570063,0.438749,-0.646124,0.626993,0.743364,0.623645,0.498487,-0.213779,-1.14599,0.958249,-0.647999,-0.437397,-0.511116,-0.472758,1.033033,0.610199,0.276124,1.015036,-1.051767,0.119779,-0.284387,0.832429,-1.571284,-0.084518,-0.424245,-0.166795,-1.059847,1.501602,-0.954447,2.898173,0.042095,-0.291264,-0.46846,2.636836,0.465964,-0.281448,-0.380424,-0.070257,0.662207
suite,-0.649199,-1.615862,0.37597,-1.087777,-0.843171,0.123979,1.128986,-0.660615,0.9785,-0.00321,1.101818,-0.579589,0.484655,-0.559054,0.705452,0.422885,0.084474,-0.270716,-0.483929,-1.210372,-0.441615,0.090681,0.053002,-1.199002,0.489171,0.041706,0.054229,0.275952,-0.36604,-0.861102,0.247753,-1.05114,-0.131327,-0.495617,0.413668,0.149232,-0.180442,1.179938,0.330048,0.625633,0.503129,3.022711,0.278659,-0.454531,-0.267772,0.368247,0.64198
