word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
base,1.216467,-1.114422,0.214321,-0.152603,0.054212,-0.815368,0.564104,1.898634,-0.532839,0.609096,0.131198,0.211482,0.728001,0.18782,0.582958,-0.031462,-0.776908,0.739907,0.296778
géométrie,1.350608,-0.980665,-1.556551,0.527212,-0.444762,-0.324536,-0.600545,0.606051,-1.4109,0.620781,1.438037,-0.887441,1.213456,-0.874595,-1.757908,-0.471674,-1.820537,0.371825,-0.136858
analyse,0.889789,-1.346479,-1.023886,-0.589516,-0.691649,0.155498,-0.13948,1.237045,-0.863316,0.342121,1.441915,-0.269765,1.440704,0.295996,-0.544294,1.324595,-0.506381,-0.499627,-0.18088
loi,-0.055096,0.133897,-0.09259,-0.148705,-0.531729,0.932012,1.618205,1.912329,-0.138454,0.230191,-0.046073,-0.028943,2.256133,0.810177,-0.20181,0.908658,-0.294276,-0.522626,0.696819
définition,0.725641,-1.130394,-0.278648,-0.223522,0.072124,0.067314,0.126471,1.356992,-1.650562,0.580202,1.174898,-0.579492,2.027344,0.383021,-0.133091,0.621694,-1.061124,-0.128656,0.474159
réel,-0.004926,-1.522232,0.14785,-0.720762,-0.370936,0.67607,0.247748,1.442438,-1.580764,0.603865,0.906761,-0.415157,0.731943,0.107815,-0.464033,1.010264,-0.356616,0.153325,0.551698
dimension,0.57158,-1.55495,0.059878,0.105601,0.133076,0.111077,-0.221031,1.089896,-1.919397,0.303612,0.469174,-0.28231,0.616965,-0.492762,-0.780876,0.547833,-1.148377,1.305004,0.071438
statistique,0.212764,-2.133406,-1.426681,0.670613,0.876243,0.019774,0.434328,-0.794756,0.339024,1.211065,-0.982495,-0.212549,1.767173,0.661162,-0.167415,0.467313,-0.319071,-0.178008,-0.198575
sommet,0.063316,-0.304011,0.066322,-0.20521,1.388732,-1.245189,1.01306,0.447327,-1.36703,1.090244,-1.027495,-0.099878,-0.331305,-0.641174,-0.159828,0.486644,-1.28375,1.112358,-0.431306
logique,0.04808,-1.175353,-0.478639,0.183679,-0.6792,0.961737,-0.138889,0.935374,-1.532144,0.150315,1.54196,-0.901907,1.708262,-0.708105,-0.834965,0.390462,-1.532601,-0.257626,0.248285
terme,0.250161,-0.859886,0.073894,0.103126,0.371152,0.291231,0.633133,1.299687,-0.868307,1.166138,0.554884,-0.244918,0.370426,0.745534,0.372686,0.971594,-1.044611,-0.290822,-0.027387
trois,0.698157,-1.134767,0.440923,-0.035559,0.767659,-0.003325,1.702308,0.872475,0.23472,0.606949,-0.283652,-0.023694,-0.576295,0.100719,-0.331188,0.599108,-0.264008,1.061893,0.13593
plan,0.21066,-0.774507,-0.153686,-0.187576,-0.555483,-0.364494,1.57056,1.304284,-1.337596,0.215101,0.022437,0.485256,0.749037,-0.452056,-0.259724,0.624853,-0.523954,0.491003,0.113715
formule,0.274821,-1.50166,-0.825813,0.674465,1.219236,0.559103,-0.108839,0.685744,-0.299889,1.021986,1.213378,-0.309274,0.320388,0.532042,-0.706565,-0.248106,-0.69498,0.278974,0.61298
droite,-0.117515,0.166087,-0.37082,-0.319878,1.330483,-0.707249,2.181796,1.055338,-0.989173,0.286614,0.145141,-0.970604,0.050003,-0.956897,-0.758646,0.601143,-1.177087,0.580882,0.410098
$\mathbb{C}$,0.406119,-0.726492,-0.112635,-0.099994,0.459547,0.313233,0.591622,0.725495,-0.239421,0.608709,0.341432,0.309536,0.408272,0.358639,0.278875,0.414233,-0.253832,1.194574,0.48548
solution,0.27865,-1.207863,-0.626291,0.277864,-0.552238,0.32791,-0.161505,2.165734,-1.674168,0.594943,0.989245,0.616432,0.672793,0.46567,0.076639,-0.269002,0.133263,-0.371521,0.822512
modèle,1.317722,-1.825522,0.06512,0.181332,0.005749,0.077742,-0.221657,1.456154,-0.635974,0.555534,0.912361,0.421172,0.479984,-0.314434,-0.35235,-0.174449,-0.411869,0.30858,0.393524
linéaire,0.71302,-0.990446,-1.007811,-0.192632,0.487985,-0.936492,-0.311321,1.190294,-2.193747,1.031619,1.071876,-0.52362,1.545647,-0.00321,-0.855366,-0.510513,-0.874743,0.558738,0.403397
probabilité,0.102864,-0.781983,-0.849668,-0.636455,0.113959,0.443452,-0.626569,0.805509,-1.585123,1.826698,0.811129,-1.064198,2.05809,0.692769,-1.168952,-0.061604,0.136033,0.180691,0.184759
série,-0.387667,-2.040767,0.23467,-0.969123,0.177173,0.077469,-0.202973,0.136908,0.469329,-0.665581,-0.347136,0.335594,-0.72622,0.506057,-0.60798,1.376091,0.365773,1.208254,1.32777
somme,0.999872,-0.000668,0.457981,0.409643,0.493724,0.588007,1.76829,0.654002,-1.037423,0.481661,-0.131251,-0.264951,1.278585,0.402074,-0.601856,-0.060364,0.432416,0.640829,0.481505
mesure,0.549118,-0.748352,-0.227693,-0.352784,0.727886,-0.028196,0.469497,1.928351,-0.628493,1.187466,0.179141,0.356225,1.173915,0.355634,-0.203319,0.441156,-0.115543,0.452688,-0.434581
carré,1.634523,-0.276994,0.380539,0.20269,0.982935,-0.672445,1.037698,0.460753,-1.454492,0.035056,0.108252,-0.71334,0.186576,-0.615928,-1.080255,0.003101,-0.444851,1.77977,0.134723
vecteur,0.210493,-0.265965,-1.696883,-0.712501,0.298849,-0.706372,-0.81654,1.63182,-1.72216,1.35566,0.931502,-1.383739,1.556225,-0.053163,0.39385,-0.222063,-0.656845,0.641537,1.009716
connexe,1.297969,-0.618579,-0.803334,-0.163135,-0.040684,-0.831599,0.53756,-0.246426,0.574013,-0.140807,-0.114778,0.806294,1.181747,-0.195925,1.020325,1.04513,-0.897193,0.639127,-0.049776
classe,0.96904,-1.097929,-0.249001,0.627628,0.506501,0.402854,0.189839,1.157436,0.436298,0.544308,-0.261267,0.097331,0.456506,0.16981,-0.226073,0.056962,-0.682386,0.422932,0.219859
produit,1.646894,-1.347892,-0.229237,0.159437,0.308291,-0.282066,-0.097922,2.032006,-1.145494,0.136745,0.588119,0.926688,-0.144941,1.429103,0.983183,0.439981,0.714241,-0.396146,1.190023
égal,0.668783,-0.344435,0.019702,0.019491,1.665052,0.521223,0.454516,1.109135,-1.510031,1.389301,0.309691,-0.358559,1.510036,0.699044,-1.018484,0.056048,-0.434326,0.799013,0.822897
cercle,0.701637,-0.528914,-0.098737,0.466886,0.846008,-0.193757,0.805754,0.267201,-0.654037,-0.048514,-0.050491,-0.760771,0.217888,-1.186336,-0.920786,0.531444,-1.49892,0.15971,-0.43407
