word,1,2,3,4,5,6,7,8,9,10
modèle,-1.008253,-0.018303,-2.022033,-0.561939,1.615331,1.185298,1.845073,-0.588301,0.555314,0.49232
linéaire,-2.176017,-0.109748,-2.380991,-1.698048,2.144308,0.983719,0.951081,-0.731904,0.108483,0.01808
probabilité,-1.096817,-0.431993,-2.151413,-1.065641,0.622644,1.419608,1.958414,0.044512,-0.887726,0.095041
série,-1.159673,0.778187,-2.619428,-1.645271,0.359348,-0.106656,1.284844,-0.594845,-0.895526,0.262319
somme,-1.641399,0.819117,-3.243446,-0.132732,0.386031,0.401353,0.7035,0.022027,-2.455691,-0.126448
mesure,-0.981029,0.038152,-2.655565,-1.28337,0.650165,1.787153,0.386294,-0.440432,-0.629653,0.092215
carré,-1.046397,1.410416,-3.39711,0.11863,-0.054111,0.933083,-0.243181,-0.435782,-1.965863,-0.358698
vecteur,-2.261315,-0.113138,-2.565198,-1.393562,0.677048,2.280639,-0.99255,-0.325316,-0.370099,-0.950392
connexe,-0.956774,0.231264,-2.468389,-0.701368,1.442325,-0.282594,0.558593,-2.079499,-0.413396,-0.53887
classe,-1.352367,-0.742008,-1.556743,-0.689565,1.87975,0.735247,1.086056,-0.993892,-0.805882,-1.097776
produit,-1.813325,-0.147936,-2.824852,-0.336527,1.401551,1.008402,-0.238186,-0.606176,-0.916737,-0.395714
égal,-1.793615,0.478419,-2.860467,-0.470224,0.148558,1.408118,-0.097283,-0.050017,-2.268867,-1.269892
cercle,-0.316162,1.591527,-2.250905,-0.920342,0.011455,2.122659,-1.666959,-1.161849,-1.061349,-1.911691
partie,-0.515709,0.079045,-2.100887,-0.422211,0.796669,1.060947,0.884112,-1.247961,-1.091178,-1.300219
relation,-1.336667,0.859333,-1.946996,-0.532485,1.842427,1.231421,0.776779,-0.610521,-0.419568,-0.958383
courbe,-0.664384,1.24205,-2.267742,-1.685456,1.021779,1.734274,-1.251138,-0.736588,-0.420634,-0.641144
différent,-0.788477,0.143301,-2.828036,0.255061,0.707932,2.127215,1.407863,-0.8609,-0.219798,-0.701252
complexe,-1.3133,0.522275,-2.409969,-1.776793,1.979703,1.040553,0.182739,-0.920552,-0.696937,-0.347074
matrice,-2.638319,0.053588,-2.652816,-0.737589,1.157881,0.752468,-0.224414,-0.370586,-0.488647,-0.210041
domaine,-0.173901,-0.401393,-2.362284,-0.56001,1.083885,1.443926,1.688385,-1.730622,0.18202,-0.252944
fois,-0.590022,0.32941,-2.224011,0.109118,0.115753,1.499308,1.624769,-0.491588,-1.596824,-1.438714
type,-1.67591,0.358852,-2.231157,-0.070524,1.465617,0.896861,1.107122,-0.750932,-0.003509,-0.630485
mot,-0.522959,-0.070604,-2.502455,1.31852,1.701612,0.647783,0.928792,-0.677887,-1.742621,-0.134413
algébrique,-0.458507,0.645466,-2.284963,-1.068592,2.601598,0.446444,0.5349,-1.886797,-0.653981,-0.585612
degré,-1.586248,1.147601,-2.707467,-0.178809,-0.713948,0.37261,0.232738,-0.305751,-1.497706,-1.01661
langage,-0.462049,-0.10277,-1.858859,1.247114,3.005873,0.157727,1.629153,-1.426396,-0.434921,-0.130091
nul,-2.012603,0.012275,-2.268527,-1.415024,1.263659,1.894015,0.165191,0.549561,-1.935144,-0.800131
moins,-0.480283,0.279133,-2.144752,0.561817,0.51142,1.992973,1.776436,-0.084423,-1.62917,-0.93713
objet,-0.597636,0.363708,-2.188068,0.257717,1.468185,2.082335,0.640471,-1.149159,0.096535,-0.792312
triangle,-0.239658,2.52857,-2.457319,0.184,-0.033707,1.270973,-1.836052,-1.241985,-0.999513,-1.842708
structure,-1.532516,-0.013251,-1.833381,-0.177362,2.068319,0.785404,0.761667,-1.440071,0.708965,-1.076197
corps,-0.493833,-0.346973,-2.181133,-0.820055,1.869089,0.760345,-0.298571,-1.197508,-1.460579,-0.400062
rapport,-1.23592,0.556015,-2.387705,-0.991246,-0.212937,1.749809,0.457434,-0.579739,-0.322568,-0.914632
longueur,-1.450509,0.734671,-2.964048,0.316183,-0.039507,1.436085,-0.466161,-0.368534,-1.40014,-0.876646
informatique,0.183039,-1.275644,-1.866907,-0.957253,0.782305,0.27389,2.445431,-2.306655,0.729046,0.454138
infini,-0.641825,0.406429,-2.043354,-0.336574,1.70112,1.190898,0.676863,-0.478097,-1.629075,-0.589935
variété,-1.000267,0.209856,-1.431895,-1.329423,2.895227,0.910671,-0.985046,-1.356978,-0.320266,-0.993516
ligne,-0.875856,1.239533,-2.422754,0.115553,-0.747214,0.743668,0.592304,-1.474428,-0.077569,-1.522956
positif,-2.167426,0.353973,-2.220618,-1.1631,0.877424,1.299039,0.43535,0.592966,-1.443775,-0.384488
angle,-0.994439,1.892747,-2.713874,-0.215225,-0.849634,2.110875,-1.443418,-0.479921,-0.698941,-1.410952
polynôme,-1.465152,0.768244,-2.498844,-1.28605,1.402568,0.155261,-0.19964,0.085329,-2.069073,0.217444
centre,-0.443969,-0.404641,-1.936265,-1.237058,-0.539245,2.003177,-0.761509,-2.230168,0.054661,-2.16201
démonstration,-0.124973,2.279389,-1.786484,-0.476592,1.81734,0.756794,1.905225,-0.436609,-0.798888,-0.589578
vectoriel,-2.117181,-0.034467,-1.996737,-1.532548,2.535859,1.210978,-0.99464,-1.009711,-0.025034,-0.958831
limite,-1.21572,0.08987,-1.801208,-1.692163,1.482186,1.524801,0.840434,0.391584,-1.348813,-0.172413
représentation,-1.280724,0.332207,-2.513627,-0.44601,1.594797,0.819153,0.172105,-1.029847,-0.321936,-0.243386
famille,0.455146,-0.908544,-1.553765,-1.049507,1.017859,1.337312,0.117327,-1.205197,-1.940245,-0.816901
arête,-1.221699,-0.225879,-2.257514,2.290657,0.300284,1.268926,-0.258508,-1.222274,-1.154233,-2.097691
distance,-1.687214,0.088877,-2.294388,-0.621673,0.458586,1.775703,-0.757221,-0.480624,-0.41694,-0.738907
surface,-1.214808,1.176374,-1.990398,-1.28099,0.904976,1.139418,-0.941218,-1.443149,0.236058,-1.269661
aléatoire,-1.64737,-1.206869,-2.306226,-0.769652,1.173115,1.338096,1.148954,0.098259,-0.656262,0.705496
naturel,-0.798612,0.612302,-2.15558,0.196663,1.053653,0.498003,1.312153,-0.79819,-1.034615,-0.653472
normal,-0.965597,-1.024868,-1.983321,-2.329222,0.313652,0.718837,0.090757,-0.917233,-1.175448,-0.285357
arbre,-1.003188,-1.253298,-2.144711,1.448885,1.408916,0.786047,0.20091,-0.948319,-0.712274,-0.278408
démontrer,0.208455,1.773873,-1.002912,-0.990444,2.029298,0.645319,1.964531,-0.070128,-1.753288,-0.887815
algèbre,-0.409396,0.316586,-1.927395,-1.222786,2.271743,-0.046912,0.129805,-1.742395,-0.516033,-0.170704
règle,-0.683632,1.466262,-1.873256,0.345446,1.333518,1.315505,1.110935,-0.097948,-0.624069,-0.476115
volume,-1.420142,0.935052,-2.210983,0.02061,-0.91708,-0.914622,0.769905,-1.771072,-0.267609,-1.582157
calculer,-1.349263,0.840041,-2.596033,-0.384512,0.324008,1.334318,1.425323,0.342868,-0.691602,-0.115676
constant,-1.588424,0.439433,-2.293671,-1.641751,0.537066,0.657064,0.05591,0.166922,-1.434738,0.115287
quatre,-0.083414,0.721907,-2.403938,0.812832,-0.271138,0.952069,0.667505,-1.451615,-1.531621,-1.531301
différentiel,-1.08013,0.636286,-2.006786,-2.465853,1.587518,0.526111,0.440554,-1.107202,-0.041167,0.028103
hypothèse,-0.923906,0.789419,-1.232872,-0.917639,1.843779,1.477749,1.97424,0.809612,-0.602995,-0.195956
image,-1.612725,0.342778,-1.709067,-0.200592,0.919558,1.391237,0.162637,-0.893205,0.524771,-1.361618
régulier,-0.624681,0.653969,-2.503683,1.064687,1.344885,0.645181,-1.0935,-1.407761,-1.775921,-1.09386
complet,-0.863659,0.463944,-1.521112,0.213457,2.310248,0.258192,0.877679,-1.067633,-0.729574,-1.073226
racine,-1.14684,0.781744,-2.723739,0.01486,0.411096,0.714281,0.197336,0.227409,-2.098658,-0.058027
coefficient,-2.108617,0.777077,-2.573798,-1.220786,0.276679,0.663701,0.219094,0.579729,-0.882742,0.227655
côté,-0.207523,1.677933,-2.302378,0.410839,-0.561836,1.778865,-0.819845,-0.80716,-1.627732,-1.744035
preuve,-0.229138,1.410637,-1.379861,-0.09281,1.777692,0.786196,2.325116,-0.377515,-0.257131,-0.50388
axiome,-0.450426,1.478203,-0.565638,0.239619,2.986083,0.886288,1.097196,-0.273417,-0.798224,-1.302003
$\mathbb{R}$,-2.508876,0.145008,-1.479213,-0.130373,0.553397,0.658724,0.030044,-0.063667,-0.889531,-2.027494
continue,-1.543204,-0.706532,-1.350409,-2.25343,1.710926,1.280792,0.693906,0.146848,-1.453191,-0.60371
résoudre,-0.316172,0.919945,-1.680791,-0.449129,1.631882,1.126306,2.027324,-0.022159,-0.707915,-0.037075
arithmétique,-0.346322,1.339316,-2.140908,-0.469537,1.651376,-0.113102,1.58681,-0.746592,-0.806625,0.425667
conjecture,-0.078139,1.814051,-0.724444,-0.416694,2.203347,-0.688735,1.276517,-0.823899,-0.925999,-0.93499
réseau,-1.177211,-1.199718,-2.230954,0.437405,1.014771,1.124886,0.597174,-1.333239,0.77895,0.196225
opération,-1.434714,0.12206,-2.408158,0.469341,1.082368,1.097175,1.156172,-0.290868,-0.262861,0.018862
chiffre,-0.953838,0.70893,-3.249241,1.010857,-1.040686,0.718027,1.17701,0.009106,-2.059934,-0.069085
expression,-1.028499,1.034141,-2.175131,-0.268344,1.078725,1.018181,0.924,-0.11083,-0.373614,0.152812
propre,-0.886941,0.31399,-1.941681,-0.68016,1.221659,1.562922,0.509923,-0.645674,-0.429959,-0.678322
principal,-0.241055,0.095405,-2.062229,-0.484859,0.81383,1.224805,0.815947,-1.740035,0.408589,-0.624845
paramètre,-2.313977,-0.109619,-2.262644,-1.206736,0.353007,1.532089,0.886081,0.659962,-0.193756,0.114674
coordonnée,-1.82193,0.887681,-2.429333,-1.463283,-0.004508,1.758894,-1.382828,-0.166203,-0.262257,-0.460067
opérateur,-1.825448,0.281051,-1.848799,-1.609387,1.855241,0.517186,-0.325427,-0.241012,-0.326315,0.149999
numérique,-0.607111,0.079697,-2.466293,-0.96785,0.858716,0.608748,1.745301,-0.989283,0.762989,0.980454
unité,-0.92208,-0.163083,-2.773141,-0.009257,-0.333592,1.291292,0.01438,-0.803164,-1.021377,-0.42673
liste,-0.593457,-0.276277,-2.289325,0.670073,0.224987,0.075189,1.20893,-1.575937,-0.579847,-0.687433
convexe,-0.763804,0.07696,-1.773044,-0.117244,2.444077,0.844371,-1.20023,-1.109826,-1.237652,-0.821468
rationnel,-1.007248,0.334625,-2.169681,-0.875656,1.857191,0.81178,0.201716,-0.079018,-1.762515,-0.043016
nœud,-0.541474,-0.689148,-1.797435,1.136449,0.528276,1.358896,0.036349,-0.81929,-1.317828,-1.172748
$\mathbb{Q}$,-2.509119,1.495454,-1.010994,0.027654,1.046528,0.005572,0.134231,0.847597,-1.397085,-1.650994
topologie,-0.903762,-0.915126,-1.089008,-1.225281,2.801711,1.196792,0.140581,-1.377258,-0.512455,-0.917859
origine,0.362608,0.086471,-2.121736,-1.08901,0.263506,1.456518,0.331727,-1.449768,-0.766645,-0.174476
distribution,-2.098615,-0.363978,-1.983081,-1.763895,0.324192,0.551968,0.76372,0.207091,0.111476,0.421498
intervalle,-1.781228,-0.64417,-1.874254,-0.771942,0.442005,1.465234,0.315903,0.34785,-1.446321,-0.807032
compact,-1.703891,-0.559972,-1.093707,-1.117539,2.887789,0.758094,-0.867022,-0.86271,-1.0815,-1.377193
reste,-0.449121,0.388083,-1.535546,-0.515776,0.276521,1.390088,1.480902,0.025374,-1.68378,-1.119917
test,-1.449605,-0.1308,-1.034974,-1.008592,0.784936,0.049109,2.349704,0.971599,-0.030011,0.859127
proposition,-0.294758,1.972893,-1.341112,0.435224,1.253643,0.754359,1.19242,-0.045532,-1.051437,-0.945267
