word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
valeur,1.232699,-1.459013,0.096641,-0.648904,0.354357,-0.013284,0.320359,1.146434,1.100546,0.264641,0.018971,-0.196504,-0.34577,-0.733305,0.314172,-0.090933,0.769775,0.468057,-0.228049,-0.236393,1.386479,-0.434892,0.647924,-1.339182,0.901581,1.432309,0.075812,-0.288174,-0.338893,-0.46374,-0.021269,0.353973,-0.630486,-0.434799,-0.788698,0.31736,-0.361287,0.291651,-0.533648,0.496911,-0.057753
groupe,1.108476,0.148195,-0.358094,-0.984085,0.773145,0.223638,-0.702495,-0.475064,0.179821,0.56584,0.118456,-0.089831,-0.414977,0.550504,-0.249826,0.325454,-0.295442,0.179986,0.174473,-0.599228,1.091991,0.508813,0.054262,0.475203,0.991634,0.06858,1.11547,-0.521215,-1.849277,-0.472451,0.579768,0.282458,-0.395576,-0.059783,1.045179,-0.089072,0.126611,0.283759,0.073894,0.465955,-0.107651
graphe,-1.048872,-1.094833,-0.466953,-1.495301,-0.194218,-0.399165,0.711135,1.381932,0.183173,0.588018,-0.00892,-0.566991,-0.932279,-1.325346,-0.445861,-0.815369,0.01614,-0.230304,0.059161,-0.225505,0.524354,-0.681857,-1.23031,-0.485814,0.022898,0.336771,-0.140607,-2.25308,1.221598,-0.261129,0.641571,0.09957,1.436171,-0.940881,-0.086278,0.811868,-0.00682,-0.329135,-2.259072,0.276207,1.37613
forme,1.460733,-0.891749,-0.499175,-0.93523,0.413534,-0.042598,-0.132196,0.245314,0.302572,0.523498,0.342408,-1.033929,-1.118516,-1.303786,0.711164,0.194172,-0.119989,0.459477,0.182629,-0.249199,0.915982,-0.418941,-0.39992,0.020757,0.298744,-0.116079,-0.419405,-0.620386,-0.384872,-0.993107,-0.334028,0.286953,-0.531289,0.230726,0.331813,-0.32311,0.270209,-0.318933,-0.164578,-0.427469,-0.56844
entier,0.712222,-0.639395,-0.577453,-0.947574,0.274399,0.448254,-0.20302,0.233179,0.474774,0.45651,0.442246,-0.187689,-0.410512,-0.71123,0.064714,-0.106099,0.387874,-0.193193,-0.131854,-0.002667,1.063978,0.119919,0.531749,-0.498547,0.590809,0.787956,-0.365855,-1.15144,-0.71561,-0.855049,0.138728,0.122667,-0.428517,-0.715428,-0.284172,-0.032489,0.329215,-0.045856,-0.519816,0.026587,-0.116551
système,2.138839,-0.9688,0.323293,-0.175912,0.139914,0.034426,-1.006046,0.02064,0.340674,-0.374705,-1.169812,-0.994936,-0.448679,-1.038172,0.251668,-0.287359,-0.121115,0.582244,0.063389,-0.497952,0.827227,-0.382542,-0.317156,0.058964,-0.31525,1.514993,0.401389,-0.879397,0.380192,0.046753,-0.584713,0.828089,-0.325659,0.247141,0.326186,-0.665954,0.027396,-0.30985,-1.378195,0.32404,0.161285
équation,0.690265,-0.561861,0.168018,-1.078805,0.604019,0.138377,1.528766,1.683147,0.604517,0.030443,0.061455,-1.669064,-0.113498,-1.258706,0.028092,0.214019,0.393131,0.044504,0.385611,0.220931,0.875102,-0.395583,-0.058683,-0.769035,-0.004183,0.783893,0.932085,-2.165215,0.496011,1.114469,-0.289767,0.205187,0.393082,-1.547186,-0.931864,-1.010473,-0.081714,-1.913073,-1.103767,0.493034,0.843964
suite,0.923141,0.353315,-0.133456,-0.425724,0.099364,0.474281,-0.759048,0.29248,-0.393329,-0.331005,-0.079711,-0.087029,0.600099,-0.240675,0.426759,-0.398461,-0.052888,0.00076,0.176223,-0.086402,0.648316,0.531362,0.078617,-0.107976,0.295712,0.334294,-0.06136,-0.495535,-1.574245,-0.060732,-0.403098,0.853615,0.196587,0.413245,-0.133621,-0.483731,0.573078,0.042088,0.151858,0.092155,-0.643879
algorithme,0.353389,-0.405634,0.408847,0.018694,-0.465658,0.574222,0.035256,0.474082,-0.691173,0.534218,-1.533063,-1.429378,-0.884197,-1.515074,0.433179,-0.483102,0.381711,-0.002464,0.764006,0.462493,0.843428,-0.025552,-0.221707,-1.516393,0.260345,0.656184,0.914109,-1.710417,1.061838,0.446923,0.489,0.202975,0.33682,-1.002476,-0.425412,-0.272281,-0.260539,-1.351684,-1.907167,0.544485,0.53578
calcul,1.333554,-0.837643,0.272619,-0.135818,-0.146225,0.557682,0.410203,1.089568,-0.000596,0.405359,-0.954168,-1.338229,-0.339195,-1.35308,0.447562,0.086357,0.585728,0.361162,0.611425,0.116703,0.746818,0.147159,0.409206,-1.321058,0.060005,1.936121,0.478037,-0.966171,0.378353,0.307551,-0.522591,0.155681,0.250662,-1.119408,-0.872989,0.164083,-0.168525,-1.206244,-1.177193,0.319064,0.598049
