word,1,2,3,4,5,6,7,8,9,10,11
formule,0.874906,-1.643598,0.020472,-0.543698,0.19931,0.439346,1.500245,0.117283,-0.438972,0.209807,0.098587
droite,-0.99506,-2.261817,0.634963,-0.027125,0.904487,-0.663806,-0.108004,-0.125931,-0.767548,-0.183961,-0.059995
$\mathbb{C}$,0.269805,-0.805184,-0.1299,-1.061844,0.451233,-0.464521,0.48091,0.823608,-0.621574,0.458452,0.43351
solution,0.976621,-0.816901,-1.096725,-2.064514,-0.559937,0.043907,0.900592,-0.223138,-1.090884,-0.261717,-1.373727
modèle,1.087998,-1.360979,-1.070886,-0.912409,-0.272127,0.03459,0.757685,0.675209,-1.160023,0.376013,-0.537708
linéaire,1.249837,-2.226502,-0.980997,-0.806388,-0.039768,-0.108115,0.413511,-0.532922,-0.631488,1.7146,-1.083675
probabilité,1.329722,-1.470898,0.202444,-1.844752,0.0562,-0.790207,0.494918,-0.810684,0.765997,0.731232,-1.396164
série,-0.094688,0.688663,0.142544,-0.117272,-0.041259,-1.111558,2.619833,0.56328,-1.183445,0.386165,1.271752
somme,-0.960795,-1.45494,-0.027657,-1.534774,-0.280906,-0.827947,-0.444422,0.752241,-0.026099,-0.492153,0.213792
mesure,1.228703,-1.432454,0.008671,-1.679258,0.578905,-0.767042,-0.030759,0.150831,-1.096351,0.101324,-0.132861
carré,-0.780805,-2.040459,-0.832924,0.458626,0.444803,-1.087777,-0.199653,0.771466,-0.855507,1.110496,0.179001
vecteur,1.783686,-1.369515,-0.5951,-1.298337,-0.009683,-0.240335,0.049919,-0.933723,-0.124454,1.423728,-1.428455
connexe,0.671999,-0.158554,0.550118,-0.298759,-0.449934,-0.125384,-1.06843,0.655384,-1.640737,0.672173,1.327315
classe,0.961191,-0.810105,-0.117376,-0.576544,0.269713,0.099903,0.231928,0.582793,-0.924355,-0.295195,0.527661
produit,0.358048,-0.544144,-1.271312,-1.617909,-0.737761,-0.821888,0.708667,-0.399691,-2.041395,0.283945,-0.336884
