word,1,2,3,4,5
règle,-0.638853,0.36744,-2.895385,-1.176663,0.239917
volume,-0.041908,2.186291,-1.419901,0.639827,2.404108
calculer,-0.116172,0.636751,-3.29894,-1.140472,0.223486
constant,-0.967948,0.908802,-2.969363,-0.005869,0.359125
quatre,1.507027,1.513632,-2.691762,-0.568306,1.049998
différentiel,-2.143084,0.987572,-2.289841,-0.796032,1.461994
hypothèse,-0.76378,0.009455,-3.122362,-1.570029,0.129257
image,-0.960492,1.170326,-2.606056,-0.118144,0.693784
régulier,0.27899,1.454216,-3.021934,0.687499,-0.160229
complet,-1.392185,1.07908,-2.575773,-0.402465,0.988931
racine,0.06184,1.206736,-3.265075,-0.026976,0.243076
coefficient,-1.048109,0.865369,-3.275689,0.043042,0.132507
côté,1.876474,1.466063,-3.142886,0.057175,0.069973
preuve,-0.794952,0.172757,-2.326618,-1.754966,1.083362
axiome,-1.164243,0.187726,-2.592433,-0.743155,0.093788
$\mathbb{R}$,-0.336214,1.807226,-2.821068,0.951542,0.640056
continue,-1.300417,1.03474,-3.057436,-0.101128,0.642211
résoudre,-0.355981,0.305246,-2.605648,-1.626019,0.822968
arithmétique,-1.139801,0.589548,-2.258961,-1.225701,1.181839
conjecture,-1.161067,0.397799,-1.353986,-0.562182,0.970033
réseau,-1.251314,0.256745,-2.083108,-1.278825,0.526873
opération,-0.521696,0.58211,-3.017613,-1.059105,0.264294
chiffre,1.851885,1.128007,-2.761895,-0.442295,0.542999
expression,-0.82569,0.494591,-2.840058,-0.948895,0.434939
propre,-0.592392,0.730059,-2.860861,-0.902408,0.673681
principal,-0.756382,0.80399,-2.157327,-1.271714,1.386041
paramètre,-0.866967,0.50832,-3.331259,-0.512167,-0.24157
coordonnée,-0.823589,1.029299,-2.966773,0.349836,-0.196886
opérateur,-2.020283,0.673796,-2.65709,0.02337,0.430119
numérique,-1.565494,0.085745,-1.858325,-1.999474,1.383992
unité,0.26106,1.033756,-2.622951,-0.454143,0.43947
liste,0.117175,0.936184,-1.978137,-0.927054,1.49391
convexe,-1.288152,1.112516,-2.850402,0.680205,-0.14607
rationnel,-1.170196,0.695198,-3.063197,-0.289062,0.245314
nœud,0.929971,0.977402,-2.550264,-0.298958,-0.190612
$\mathbb{Q}$,-0.382574,1.767534,-2.908684,1.502803,0.167901
topologie,-2.161738,0.966411,-2.398865,-0.246245,1.048744
origine,0.295846,0.682495,-2.219383,-1.344047,1.075785
distribution,-1.6088,0.377368,-2.275252,-0.492541,0.434938
intervalle,-0.3439,1.153237,-3.418476,0.209167,-0.056839
compact,-2.153395,1.360263,-3.137923,0.890614,0.205831
reste,0.839503,0.964542,-2.781604,-0.962888,0.855067
