word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
entier,0.008775,-0.54387,-0.229555,0.058076,0.672212,-1.030802,-0.472493,-0.163557,0.004696,0.64278,-0.141003,1.055992,0.296912,-0.981254,0.931173,-0.321974,-0.164943,0.479373,0.120013,0.296436,0.095159,0.612075,-0.091924,-0.016554,1.315012,-0.051509,-0.142324,0.118944,0.208567,0.791376,-0.118384,0.437421
système,0.742283,-0.557818,0.49856,-1.226244,0.297345,-0.591557,0.237842,-0.42112,0.477053,-0.579107,-0.190137,0.874512,-1.028239,-1.697997,0.660905,0.213313,-1.064731,1.585574,0.163743,-0.382792,0.130569,0.754179,0.139924,0.943205,0.713756,-0.75176,0.263796,0.342308,-0.259722,0.628291,0.567055,-0.348924
équation,-0.355842,0.96311,-0.071183,-0.584133,0.346693,-0.089754,1.152688,0.728248,-1.119866,-1.012915,0.334612,0.686872,-0.74507,-0.814651,0.890527,-0.771392,-0.686784,1.317698,2.288485,-0.222983,0.996705,0.20146,0.060565,0.257735,2.403253,-1.94443,-0.090925,0.065313,1.485513,1.227876,-0.061844,0.222538
suite,0.293675,-0.335494,0.111269,-0.305813,0.670881,-0.267563,-0.00484,-0.626088,0.578312,-0.037083,-0.443548,0.779428,-0.557529,0.029752,-0.803889,0.664151,0.500207,0.021502,-0.389155,0.624191,-0.576125,1.606655,-0.047805,-0.1964,0.507267,-0.30834,-0.133321,0.344954,0.038334,0.776313,0.271721,-0.049404
algorithme,-0.044309,-0.819353,-0.678587,-0.853031,0.477361,0.410472,0.470621,1.022523,-0.02002,-0.899671,0.835196,0.150455,-0.660973,-0.64846,0.66516,-0.820125,-1.021304,1.626685,1.824773,-0.01156,0.423729,0.659476,0.073508,0.453815,1.314647,-1.173719,1.178654,0.211114,0.954977,0.0652,-0.319642,0.442702
calcul,-0.650971,-0.272538,-0.477406,-0.468394,0.828262,0.29463,0.766464,0.727867,-0.013447,-0.548147,-0.21756,1.033849,-0.361107,-1.239883,0.500587,-0.522027,-1.478307,1.595889,1.083244,-0.066439,0.629121,0.534942,0.787163,0.511733,1.738761,-1.049872,0.864988,0.268316,0.459731,0.819073,0.78471,0.396852
application,-0.001915,-0.470379,0.227462,-1.586496,-0.214731,-0.376152,0.844065,-0.864995,0.414378,-0.473732,-0.102651,1.117707,-0.880359,-1.218011,1.107274,-0.243824,-1.556184,1.719488,0.057579,-0.164435,0.543437,0.729414,-0.143679,-0.248112,1.120983,-0.920812,0.192115,-0.054893,-0.245398,0.090821,0.596256,-0.097884
élément,0.535476,-0.427277,0.302628,0.302493,1.205468,0.022944,-0.759026,-0.270798,0.677001,-0.345605,-0.233726,0.641813,-0.361014,-1.926683,0.394795,-0.614354,-0.481686,1.08828,0.22604,-0.064079,0.118427,0.299754,-0.558298,0.102718,0.942169,-0.415754,-0.484782,-0.774218,0.071316,0.549102,0.544671,-0.860144
grand,-0.010794,0.269588,0.415414,0.699563,0.664221,-0.599587,-0.831925,-0.286433,0.340596,-0.067977,-0.64894,0.865532,0.04708,-0.696606,-0.239664,0.144167,1.155676,-0.059028,-0.740062,-0.714736,0.184867,1.082686,0.076742,0.96419,-0.020869,0.411485,0.272287,-0.322834,0.07366,0.512741,0.470539,0.162845
propriété,-0.652209,0.6866,0.059376,-0.324526,0.173933,-0.61955,-0.379311,-1.332837,0.169795,-0.562637,-0.087077,1.622863,-0.481137,-1.382138,0.446296,-1.073336,0.316915,0.784242,0.217579,-0.084257,-0.2895,-0.176387,-0.215108,0.017718,1.127886,-0.600981,0.080001,-0.331017,0.826429,0.118766,0.779356,-0.042169
ordre,-0.081617,0.059867,0.423915,0.446173,-0.172359,-1.023453,0.366268,-0.614588,-0.634871,0.159745,0.058332,0.363233,-0.107795,-0.850592,-0.172583,-0.370286,0.359704,0.013816,-0.878862,0.377435,0.197584,0.997433,-0.466522,0.379914,0.586113,-0.642754,-0.407257,-0.283685,0.47364,1.485222,1.786506,-0.648891
variable,-0.129387,-0.527453,-0.353295,-0.192276,0.626868,-0.857628,0.713063,-0.047895,-0.16198,-0.446798,0.233135,1.671372,-0.049471,-1.42117,1.120747,-0.4012,-1.208808,1.509682,1.037217,-0.476868,0.383115,0.34686,0.53797,0.666006,1.355547,-0.077908,-0.969558,-0.348123,0.681342,0.914386,-0.024843,0.278759
base,0.720565,-0.656128,-0.140301,-0.222892,0.807979,-1.029197,-0.160235,-0.827935,0.582697,0.094099,0.277387,0.571117,-0.803053,-1.402148,0.436075,-0.460958,-0.661212,0.798501,-0.177671,-0.369836,0.838445,0.388725,-0.058797,0.542297,0.555145,-0.221924,0.20646,-0.191716,-0.102379,0.424404,0.466926,-0.526667
géométrie,-0.852211,0.480849,0.08304,-0.371484,0.937929,0.656614,-0.03678,0.215676,-1.004203,-0.821682,-0.317787,-0.097801,-0.016454,-1.284624,0.86576,-1.115499,-1.100965,0.706179,1.807464,-0.741281,1.499854,0.505633,-0.729009,0.640276,1.287502,-2.244259,0.146047,-0.491448,0.140743,0.040784,0.204068,0.201641
analyse,0.120709,-0.285848,-0.380437,-0.73198,0.596772,0.491051,0.349085,0.679383,0.685861,-1.305383,-0.348571,0.860372,0.140266,-1.15381,0.663315,-0.91261,-0.487889,0.57982,0.08216,0.030918,0.868948,1.00103,0.368212,-0.174513,0.898048,-1.256902,-0.402362,-0.381516,-0.734491,0.74816,0.167672,-0.189602
loi,-0.353505,0.723359,-0.549751,-0.51588,-0.550513,-1.328211,0.631536,-0.805999,-0.136096,-0.567681,-0.482346,0.918526,-0.643866,-1.23114,0.016071,-0.533498,-0.088597,0.811615,-0.37898,2.441357,0.417664,0.94901,0.131635,-0.543562,0.613554,-0.433856,-0.521414,0.191979,-0.160656,1.280653,0.833048,0.121587
définition,-0.189786,-0.336544,-0.420358,-1.037311,0.344589,-0.439558,-0.153314,0.572062,-0.025415,-0.643407,-0.436684,0.896223,-0.410911,-1.611511,1.0768,-1.122025,-0.790805,1.619025,0.515625,0.374736,0.597389,0.529305,-0.181138,0.495632,1.236247,-0.752704,-0.481356,-0.144493,-0.104113,0.807909,0.369114,0.065385
réel,-0.784587,0.082103,0.128051,-0.713185,0.407074,-0.057133,-0.641896,0.445751,0.688691,-0.425463,-0.5239,1.028724,-0.45161,-1.031562,0.878999,-0.425583,-0.68189,1.300269,0.30726,0.492931,-0.414361,1.029145,-0.061142,0.55056,0.980143,-0.234734,-0.292627,-0.240254,-0.079085,1.483644,-0.119284,-0.223453
dimension,-0.590196,0.341243,0.393676,0.083976,1.292606,-0.428473,-0.505563,-0.168707,0.586152,-0.393562,-0.609153,0.468679,-0.139709,-1.135365,0.668588,-0.389141,-1.326444,0.96147,0.772205,-0.06844,0.256335,0.588175,-0.562917,1.054835,0.930175,-0.085809,-0.500089,-1.151693,-0.445777,0.57848,-0.258431,-0.337295
statistique,-0.753509,-1.546875,-0.99416,0.525937,1.003772,-0.235447,1.443237,0.010705,-0.187656,-0.775412,-0.382987,0.607044,-0.695942,0.488425,-0.209693,-2.299144,0.16667,1.031529,-1.056113,-0.182074,0.439814,0.418559,0.162136,0.899686,0.230476,-0.832302,0.373506,0.518849,-0.125121,0.437505,-0.705671,0.28526
sommet,0.434089,-0.680192,-0.210181,1.004811,1.097758,-1.247599,-0.004251,-0.099172,-0.499263,-0.173577,-0.622858,0.49453,-0.840394,-0.938898,0.465067,0.179519,1.22706,-0.497818,0.87924,-0.37227,0.671704,0.569565,-0.789125,1.325211,0.15951,0.559205,0.11037,-1.150291,0.219826,0.306808,-0.456018,0.516424
logique,-0.429648,-0.448909,0.510451,-0.573512,0.353278,0.357257,-0.806733,0.939415,-0.605449,-1.330565,-0.661285,-0.137703,-0.18439,-1.213324,0.616627,-0.876244,-1.320381,1.477121,0.559154,0.761064,0.655719,0.805756,-0.347505,-0.144402,1.66897,-1.158712,0.281766,0.357538,0.197987,0.525436,-0.005487,-0.038357
terme,0.04575,-0.978344,0.093846,-0.134863,0.454802,-0.54713,-0.82167,0.207533,0.327026,-0.635512,-0.09384,0.7567,-0.294377,-1.006073,0.275463,-0.518928,0.345138,1.200069,-0.181415,0.164579,0.147862,0.672976,-0.394962,0.017097,0.665992,-0.411611,-0.2228,0.648428,0.082836,0.839831,0.44599,-0.015183
trois,0.574076,-0.334112,0.064632,0.741839,1.096312,-0.434695,-0.137522,-1.00185,0.152925,0.834139,-0.325405,0.804027,0.182182,-0.574149,-0.3378,0.193728,0.587285,0.147139,-0.344276,-0.047919,0.406566,1.457297,-0.146161,0.573893,0.439948,0.203266,0.24513,-0.234292,0.133784,0.766472,0.104517,-0.186579
plan,0.09915,-0.206801,0.260885,-0.3675,0.428933,-0.428224,-0.269261,-0.682796,0.127764,-1.047152,-0.694167,0.645444,-0.808383,-1.387815,0.032986,0.025633,-0.138749,0.067726,0.053447,0.372983,0.463811,1.407431,-0.261082,0.642289,0.521987,0.378793,0.207253,-1.121247,-0.306208,0.136612,0.275521,-0.221759
formule,0.213805,0.196621,-0.077294,0.335754,1.615059,0.426053,0.314174,0.275223,-0.698188,0.327583,-0.142904,0.632397,-0.518239,-0.184121,0.689261,-0.488543,-0.622605,1.576946,0.412165,0.206946,0.577064,0.727874,-0.56927,-0.113768,0.831373,-1.023487,0.144366,1.140984,0.57641,1.264916,-0.265063,0.982791
droite,0.221414,-0.225813,-0.137386,0.684465,0.180444,-0.36287,-0.709953,-0.576148,-1.551018,0.278944,-0.916273,-0.187993,-1.340694,-1.81186,-0.30071,0.345623,0.692564,-0.011143,-0.140835,-0.389025,0.444894,0.912292,-0.531023,-0.123888,1.106042,-0.02442,-0.317771,-1.500928,0.081505,0.90935,-1.03245,-0.040804
$\mathbb{C}$,0.019026,-0.015779,0.282348,-0.108673,0.638905,-0.708084,-0.279157,-0.221351,-0.304631,0.357377,-0.156979,0.587532,0.019135,-0.205552,0.011048,-0.225667,-0.434294,1.053411,-0.187209,-0.509749,0.368759,0.674949,-0.097176,-0.315755,0.930161,0.350301,-0.043616,0.433305,-0.070818,0.514288,-0.088339,-0.725303
solution,0.04741,-0.042545,0.850304,-0.885713,0.037989,-0.068252,0.372466,-0.350751,0.830974,-0.745477,0.09619,1.124937,-1.081779,-1.288517,0.774326,-0.21125,-0.82386,1.530597,0.525699,-0.154375,0.148956,0.283393,-0.247605,-0.897806,1.092286,-0.716035,0.661271,0.326123,-0.05103,0.625261,-0.325041,0.296518
modèle,0.268043,0.690571,0.77254,-0.430251,1.373817,0.011144,-0.745766,-0.365436,0.325484,-0.037587,-0.140017,0.571399,-0.715887,-1.146308,0.450568,-0.328199,-1.609561,1.326463,0.192662,-0.365357,-0.148162,0.739742,0.367055,0.746962,0.417607,-0.597313,-0.01765,0.348883,-0.199557,0.483122,0.405915,-0.014784
linéaire,-0.248206,-0.185931,-0.247774,-1.107324,0.953251,-0.383486,0.060222,0.452357,-0.17401,-0.414059,-0.012226,0.658861,-0.417936,-1.682453,0.238702,-0.840701,-1.015553,1.103649,2.013708,-0.414941,0.776671,0.182162,-0.260466,0.90531,1.985402,-0.816905,-0.537827,-0.401279,0.515061,0.413748,-0.613814,0.033608
probabilité,-1.071524,-0.21795,-0.579373,-0.313812,0.219748,-0.152465,0.912529,0.932957,-0.347617,-0.905407,0.013091,1.204498,-0.096566,-0.881494,0.829112,-0.903183,-0.886496,0.80471,1.104595,0.271644,-0.270619,0.123954,0.653746,0.602764,1.709307,-0.783812,-0.184747,0.518588,0.525589,1.613694,-0.175562,-0.082478
série,0.473373,0.736853,-0.427139,-0.381896,1.061641,0.063178,-0.48752,-0.266592,1.04973,0.387527,-0.092432,0.313471,0.160195,1.379437,0.530389,0.454859,-0.490628,0.903091,-0.565148,0.017751,-0.340903,1.961458,0.024586,0.634689,-0.033211,0.380802,-0.528276,-0.438234,-0.161314,0.825463,-1.134289,-0.368731
somme,-0.556037,0.186699,-0.358397,0.634199,0.118409,-0.310928,-0.110372,-0.661624,-0.566976,0.167773,-0.700671,1.211979,-0.380176,-0.939443,0.054035,-0.793675,-0.586376,0.314226,-0.952836,0.895662,-0.018632,0.020585,0.557092,0.243575,1.758641,0.699486,0.79962,-0.069239,1.071949,0.857231,0.163523,0.628519
mesure,-0.209759,-0.280338,0.033968,0.189138,0.668221,-1.406497,0.972922,0.039933,0.301093,-0.295245,-0.062476,1.284245,-0.661393,-1.582242,0.205555,-0.344286,-0.390424,0.156009,0.620563,-0.090805,0.623717,1.048264,0.275458,-0.050226,0.171237,0.056666,-0.178125,-0.199521,-0.532234,0.941201,0.310452,0.083643
carré,-0.207645,0.541486,-0.548604,0.56268,1.08901,-0.247249,-0.9039,-0.865104,-0.517365,0.681432,-0.439046,0.279186,0.136685,-1.676871,-0.548559,-0.485798,-0.634997,0.034957,0.382972,-0.349198,0.643525,0.322882,-0.357745,0.869961,1.041847,0.397542,0.077563,-1.354573,0.56629,0.261005,-0.508499,0.232363
vecteur,-0.308159,0.076017,-0.467853,-1.540841,-0.157866,-0.708042,0.640442,0.228901,-0.517689,-0.323234,0.550019,0.601748,-0.094636,-1.573673,0.61387,-1.034561,-0.8702,0.977877,1.671171,-0.762627,0.20462,-0.102805,-0.892569,1.065425,1.596915,-0.860244,-0.332455,0.324198,0.078222,1.509458,-0.651057,-0.803263
connexe,0.326951,0.741588,-1.215744,-0.445826,0.487514,-1.302454,0.197162,-0.077495,0.053627,-0.409972,-0.876113,0.171085,-0.226055,-0.276476,0.299978,-0.98424,-0.140942,0.533692,-1.628464,-0.868706,0.665189,-0.0081,-0.403717,1.042705,-0.258885,-0.299496,-0.388003,-0.432973,-0.098015,-0.550115,0.75761,-0.502842
classe,0.126864,-0.015024,1.077777,0.288933,0.43686,-1.03647,-0.015623,-0.64175,-0.657999,0.30042,-0.085333,0.247388,0.012097,-0.269623,0.814391,-0.602272,-0.742298,0.515696,-0.276045,-0.251312,0.50119,0.991319,0.376644,0.645921,0.055696,-0.285708,-0.357291,0.919052,0.023918,0.635798,0.498571,-0.271692
produit,0.770539,0.460577,-0.038924,-0.843597,0.717882,-0.355811,-0.120493,-1.002093,1.902926,0.302776,0.261561,1.639089,-0.510477,-1.410728,0.57898,-0.616388,-0.359296,2.046031,0.059804,-0.315828,-0.025452,-0.23857,0.146328,-0.611772,-0.001073,-0.174529,0.031553,0.834633,0.254471,0.357709,-0.306482,0.61979
égal,-0.71606,0.363989,0.509391,0.875508,0.674944,-1.093069,0.380323,0.020679,-0.853007,0.654963,-0.253571,1.045993,-0.321151,-1.244987,0.2259,-0.5858,-0.406473,1.231889,0.687077,0.404226,0.441567,0.006791,0.454351,0.538493,1.664516,0.381509,-0.466267,-0.268409,0.163948,1.608296,-0.494632,0.57331
cercle,-0.028344,-0.199305,0.398588,0.491732,0.104894,-0.507082,-0.999629,-0.075843,-0.936612,0.374137,-1.143117,-0.349881,0.263937,-1.001857,0.454857,-0.156138,0.021027,-0.394511,-0.258836,-0.350501,0.301923,0.722224,-0.397815,0.80595,0.979954,-0.991929,-0.19417,-0.489999,0.215009,0.201322,-0.504911,0.37246
partie,0.59875,-0.581308,0.090315,0.138299,0.769425,-1.021529,-0.781342,-0.837883,0.248433,-0.118717,-0.570264,0.961764,-0.449408,-0.661837,0.00703,0.121144,1.000585,-0.110138,-0.365699,-0.118955,0.107932,0.852014,-0.148776,0.582985,0.649541,0.297814,0.03528,-0.416171,0.049333,0.049229,0.27367,-0.3032
relation,-0.883341,0.123296,0.756938,-1.276037,-0.846087,-0.853793,-0.398648,0.419777,0.353105,-0.865078,-0.251137,0.519491,-0.111644,-0.656875,0.118785,-0.679959,0.797684,0.632298,-0.101631,0.30764,0.044986,1.241768,-0.295099,0.224487,0.552332,-0.795203,-0.156719,0.01902,-0.43655,0.810231,0.218174,-0.020955
courbe,-0.74291,-0.184753,-0.169764,0.212377,0.405414,-0.289917,-0.475089,0.055623,-0.865905,-0.724102,-0.191842,0.384809,-0.735647,-1.76418,0.034143,-0.301581,-0.892358,0.650377,1.822001,-0.909322,0.794725,0.546698,0.281267,0.699295,1.435194,-0.060015,-0.062343,-1.085199,1.30766,0.38657,-0.720498,0.698467
différent,0.763868,-0.985436,0.19262,-0.434147,0.969037,-0.38787,-0.667907,-0.466381,0.853851,0.239878,-0.191291,1.166037,0.060568,-1.523013,0.663464,-0.214703,0.123943,0.992792,-0.127672,-0.171409,0.418864,0.879742,0.121357,0.623581,0.583971,-0.273158,-0.353709,-0.06895,-0.366258,0.71254,0.488013,-0.215971
complexe,0.034211,-0.111257,0.16601,-0.495357,0.848726,-0.508377,-0.599436,-0.449033,0.522297,-0.8215,-0.556772,0.78074,-0.075169,-1.759449,0.183194,-0.774523,-0.11569,0.964607,1.045486,-0.500861,-0.144941,0.646372,-0.552707,0.590343,0.736607,-0.76957,0.029088,-0.166027,-0.274577,-0.216461,-0.1031,-0.521245
matrice,-0.384609,0.434951,0.004213,-0.658472,0.881193,-0.107592,0.480181,-0.13939,-0.1035,0.287993,0.529996,0.502776,-0.481912,-1.420773,0.277807,-1.334786,-1.118019,1.049844,1.431638,-0.135881,0.011567,-0.563627,-1.089388,0.005676,2.12554,-1.338852,-0.083223,-0.807733,0.365722,0.601361,-0.728269,-0.110784
domaine,0.3187,-0.118693,0.61736,-0.802225,-0.114379,-0.011578,-0.766537,-0.81246,0.425965,-0.756833,-0.367289,1.352806,0.178571,-1.271415,0.364029,-0.642121,0.720446,0.60925,-0.605045,-0.272997,0.312307,0.266515,0.722778,0.994736,0.720211,-0.403514,0.366839,0.054987,-0.156531,-0.081738,1.37304,-0.126319
fois,0.058691,-0.439321,0.497593,0.626033,1.093532,-0.242612,-0.199967,-0.364429,0.442619,0.532878,-0.05225,0.917122,-0.117832,0.073659,-0.095416,0.462624,0.577516,0.325756,-0.373761,0.014786,-0.149347,1.528978,0.078751,0.060284,0.485242,-0.061815,0.258047,0.38004,-0.059112,1.280112,-0.016764,0.14686
type,0.944043,-0.224832,-0.189241,-0.323426,1.225359,-1.062443,-0.270643,-0.625094,0.460643,-0.266306,0.258433,0.814388,-0.2229,-1.629244,0.419742,-0.299279,-1.460619,1.350997,0.143133,-1.105532,0.017042,0.221836,0.173145,0.54073,0.456563,0.24244,-0.639878,0.162313,0.057239,0.181259,0.280169,-0.743118
mot,0.642712,-0.96281,-0.487004,-0.036338,0.135085,-0.78486,-1.646378,1.127774,0.161479,0.593871,0.206855,-0.068595,0.594193,-0.968768,0.971329,-0.519305,-0.014135,1.372611,-0.158198,0.311536,0.454209,0.735894,-0.483389,-0.729256,0.98962,0.06611,-0.383746,-0.185311,0.741857,0.658716,0.250276,-0.557521
algébrique,-0.701385,0.241351,-0.111642,-0.274932,0.794048,0.138372,-0.224621,0.182213,-1.135738,-0.860455,-0.138258,-0.121642,0.116833,-1.236304,0.884659,-1.865527,-1.120569,1.322229,1.692852,0.344321,0.451483,0.29956,-0.848302,0.477365,1.771803,-2.129935,-0.435507,-0.082804,0.699246,-0.032959,-0.023658,0.154206
degré,-0.574323,1.500829,-0.296314,0.790788,0.767322,-0.106274,0.825159,0.795633,-0.568747,0.949047,-0.290078,0.367718,-0.739497,-0.087604,-0.89482,-0.936053,0.12385,0.237702,-0.355213,-0.987828,1.485774,-0.013354,1.508126,-0.075768,0.098075,-0.247519,-1.34777,-0.403434,0.533353,0.493247,0.848311,-0.781058
langage,-0.106977,-1.051816,0.060508,-1.393551,0.064711,0.54973,-1.659088,1.004582,-0.040257,-0.527772,0.031968,-0.013897,0.365679,-0.918383,1.372159,-1.084138,-1.135645,1.972859,0.509021,-0.162128,0.675585,0.892601,0.0843,-0.226672,1.117946,-0.941407,-0.279343,0.281767,-0.061106,-0.156244,0.348543,-0.513696
nul,-0.993012,-0.735429,-0.340851,0.271459,1.003661,-0.971232,0.778809,0.49858,-0.909919,0.267379,-0.299707,0.894338,-0.396813,-0.024401,-0.442271,-0.954904,0.12764,0.790026,0.114453,-0.021603,0.05055,0.819103,-1.435722,0.029807,1.550833,-0.157797,-0.422054,0.620593,0.647294,2.085466,-1.233951,0.56739
moins,-0.220587,-0.88846,0.035669,0.721664,1.300842,-0.810764,-0.573958,-0.233646,0.420892,0.406324,-0.230538,1.526633,-0.403758,-1.360899,-0.019229,-0.143946,0.305153,0.613014,-0.152158,-0.304457,-0.186754,0.834697,0.812872,0.05405,0.317711,0.49001,-0.20802,0.436621,-0.415302,1.44676,-0.270489,0.111159
objet,0.130294,0.225902,-0.750707,0.328726,0.933896,-0.298385,-0.233854,0.069413,0.883785,-0.141216,-0.448175,1.183796,0.014659,-1.610227,1.553429,-0.212405,-0.376148,0.549343,-0.219468,-0.161124,-0.29112,1.114781,-0.3092,0.386508,0.347641,-0.48126,0.387385,-1.19032,-0.222408,0.660169,1.122732,-0.210788
