word,1,2,3,4,5,6,7,8,9,10
connexe,0.836816,-0.079666,0.819856,-0.925082,0.560963,-0.632746,-0.704476,0.254719,-0.22266,-1.819292
classe,0.455034,0.305508,-0.178199,-0.751264,0.220401,0.459932,-0.706868,-0.376537,-0.198229,-0.976156
produit,2.034627,0.902842,-0.573977,0.086812,-0.896261,1.025506,-1.642255,0.129586,0.108819,-0.934402
égal,0.366856,0.489257,0.48953,-0.438854,0.436474,2.168498,-1.463209,-0.118761,-0.465934,0.33415
cercle,0.244301,0.032407,1.175465,0.712676,0.410339,0.566785,-0.273894,-0.320555,-0.13504,-1.036384
partie,0.512612,0.2486,0.119839,-0.252043,0.063307,1.331986,-0.137156,-0.495973,-0.340999,-2.410448
relation,1.008603,0.056382,-0.01266,0.083914,-0.745309,0.220996,-0.693338,-1.630802,-1.426848,-0.54185
courbe,0.526731,0.347164,0.882641,0.829806,-0.083038,2.459169,-0.867347,1.354567,0.29537,-0.036595
différent,1.681544,0.725483,0.822344,-0.124168,-0.76242,1.554295,-1.006814,-0.68975,-0.529933,-1.469904
complexe,1.83768,0.149235,0.593815,0.212264,-0.929405,1.211887,-0.771657,0.109536,-0.092344,-1.110369
matrice,0.64265,0.254015,0.780806,-0.134058,-0.838485,1.504898,-1.188567,1.438942,-0.11122,1.111424
domaine,0.673781,-0.741051,0.163349,0.357679,-1.141989,0.364549,-0.900299,-0.026046,-1.221912,-1.99889
fois,0.012911,1.192547,-0.340017,-0.395435,0.230279,1.394457,-0.157751,-1.274399,-0.650339,-1.232425
type,1.663573,0.682072,0.418914,-1.065951,-0.480375,1.662321,-1.200582,0.917788,0.148223,-0.993653
mot,1.005426,0.988573,1.786223,-0.079048,-0.827554,1.249762,0.321241,-0.513158,-0.8259,-0.257013
algébrique,0.562641,-0.336153,1.978729,-0.091969,-0.986693,1.133889,-1.467554,1.297798,-0.238328,1.965606
degré,-0.666053,0.322836,0.537568,-0.501531,1.694344,-0.12494,-0.289015,0.76582,-1.456051,-0.579706
langage,1.556554,0.666652,1.720306,0.357883,-2.220106,-0.054827,-1.20325,-0.079909,-0.601989,0.27072
nul,0.013929,0.572988,0.6038,-0.779478,1.211858,1.924844,-0.77889,-1.435334,0.297108,0.466939
moins,0.941771,0.661681,0.023048,-0.323702,0.316029,2.436809,-0.782716,-0.916724,-0.696796,-1.156692
objet,1.419867,0.745288,0.857137,-0.13656,-1.180445,1.257436,-0.485862,0.406499,-1.214167,-1.143524
triangle,0.791386,0.54476,0.53339,-1e-06,-0.111377,0.881214,0.475042,0.912976,1.119166,-0.297154
structure,1.836616,0.063953,0.725261,-0.133569,-1.0733,1.060901,-1.361124,0.414416,-0.202541,-1.21726
corps,0.494059,0.504209,-0.370347,-0.221557,-0.284602,1.710116,-0.099473,0.322983,-1.367443,-1.03132
rapport,0.980781,0.221609,0.359596,-0.59597,0.041237,1.311027,-1.939699,-0.660896,-1.211269,-0.521794
longueur,0.631135,0.678563,0.344773,-0.663975,1.263673,2.55934,-0.869146,1.303505,0.699394,-1.184412
informatique,1.541072,0.118112,0.210839,0.304519,-1.997989,-0.406911,-2.167681,-0.246381,0.466622,-0.485763
infini,0.649831,1.07919,1.401162,0.180325,-0.431948,1.195049,-0.483352,0.497146,-0.689208,1.27798
variété,2.170509,0.411547,0.650286,0.759867,0.431706,0.253599,0.17613,0.864155,-0.431676,-0.744611
ligne,-0.456587,0.362657,0.582484,-0.826987,0.551156,0.710498,-1.527663,0.42586,0.341888,-2.115634
positif,1.123765,1.028112,0.409309,-0.172534,-0.067876,1.057634,-1.56882,-0.805213,-0.812765,0.810968
angle,0.143454,0.947799,0.632716,0.254421,-0.383945,1.984797,-0.231203,1.349388,0.298542,-0.861937
polynôme,-0.315565,0.15441,1.740036,-0.333912,0.410231,1.677639,-1.095918,1.672697,-0.977533,2.609711
centre,0.89776,-0.349715,0.241103,0.061735,0.30431,0.08685,-1.038648,-0.376784,0.433983,-2.687677
démonstration,0.543645,0.24204,0.040145,0.240047,-0.805503,0.871236,-0.933232,-0.598646,0.060432,0.334406
vectoriel,0.717133,0.390008,1.487807,-0.074362,-1.587473,1.267145,-1.566812,1.529196,0.101814,1.394206
limite,0.712413,-0.262271,0.420224,0.061416,-0.025717,1.782364,-1.243469,0.057772,-0.197863,-1.287907
représentation,0.547243,0.5739,1.855038,0.00851,-0.552105,0.723664,-0.359705,-0.601533,-0.969451,-0.67652
famille,0.008173,-0.071493,-0.396664,0.306091,0.266256,0.252448,0.862843,-0.233114,-1.835108,-1.923982
arête,0.115014,0.15764,0.580863,0.88421,0.099554,2.255332,0.97134,1.5465,1.184768,-0.612467
distance,0.813149,0.714362,0.087263,-0.592586,0.29864,2.010443,-1.080131,-0.023282,0.53291,-0.635009
surface,1.59761,0.484517,-0.181274,-0.785651,0.102167,2.637764,-0.892671,1.41128,0.316327,-1.143375
aléatoire,1.210918,0.538154,0.55166,-0.187503,-0.95757,1.940196,-1.160762,-0.069012,-0.111592,1.187978
naturel,1.853344,-0.651853,0.660304,0.166964,0.249318,1.05839,-0.839426,0.675418,-1.091687,-2.017762
normal,1.068379,0.357753,0.07531,-0.066037,-0.098018,0.872318,-1.270073,0.374001,-0.465451,-0.367161
arbre,1.406674,0.666212,0.60476,0.278826,0.202804,1.860501,0.547603,1.153921,-0.564286,-1.312118
démontrer,1.437817,0.049055,-0.177869,0.026976,-0.838841,1.121084,-0.738363,-0.516381,-1.614132,0.375269
algèbre,0.653857,-0.64877,0.985202,0.096217,-0.876358,1.076833,-0.945311,1.966792,0.23028,1.778591
règle,0.307238,0.361164,0.773578,-0.35386,-1.295197,1.42706,-1.494749,-1.286613,-0.702575,-0.190084
volume,0.525049,1.342611,0.952194,-2.015716,-0.087952,-0.957107,-0.707291,1.148603,-0.892641,-0.721073
calculer,0.950526,0.392956,0.3006,-0.688104,-0.003877,2.022627,-2.21721,0.529568,-0.2323,0.910871
constant,0.385727,0.42387,0.22139,0.214354,0.204582,1.026965,-1.503569,0.720978,-1.567058,0.331709
quatre,-0.166889,1.132248,-0.019105,-0.446478,0.473026,1.541875,-0.346555,-0.469263,-0.235721,-1.934061
différentiel,1.137913,0.399062,-0.030885,0.223307,-0.34559,1.52531,-1.986181,0.96473,0.038881,1.186224
