word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
problème,0.107856,0.218956,0.206128,0.145505,-0.508244,-0.492337,-0.345983,0.556147,-0.23301,0.226468,0.339993,0.454688,-0.385745,0.254741,0.281784,0.284318,-0.668426,-0.137031,0.1586,-0.316899,0.804959,0.51366,0.734187,0.269028,1.151919,-1.440601,0.297202,-0.193945,-0.452329,-0.157501,-0.19509,0.527512,-0.493592,-0.149801,0.073385,-0.47487,0.055113,-0.005527,-0.217773,-0.037991,0.795126,-0.474616,-0.835756,0.521337,1.40408,-0.387214
valeur,-0.040408,-0.401269,0.937541,0.064921,0.002044,0.227818,0.161172,0.684336,0.105475,0.350356,-0.154353,0.756033,0.246525,0.279436,0.624347,-0.48048,0.438067,-0.072787,-0.423668,-0.467827,0.16755,0.658356,0.204737,0.145809,0.624144,-1.219997,1.134774,0.651372,-0.76022,-1.025188,0.293237,-0.370877,-0.551127,0.020801,0.66447,0.263865,0.677696,-0.996008,0.517644,-1.222838,0.679738,-0.007245,-0.625234,1.333325,1.050113,0.334831
groupe,-0.373112,-0.522738,0.169606,0.179607,0.614649,0.352149,0.334888,-0.979715,-0.495453,-0.0299,0.85669,-0.067229,0.249382,-0.045528,0.049778,-0.895286,-1.344614,0.591249,-0.330196,-0.330297,-0.231161,0.393689,0.683823,0.481974,0.915162,-0.445942,0.163094,0.332832,0.445852,-0.031392,-0.68984,-0.415713,-2.13383,0.121234,0.877601,0.316186,0.096193,0.31323,-0.128369,0.402442,-0.286963,0.396861,0.452836,0.224308,0.217741,-0.112422
graphe,0.375535,0.257446,0.530365,0.655999,0.274931,0.038864,-0.537528,-0.206172,0.143456,-0.840865,0.864733,0.477764,0.223732,-0.534584,0.676564,-0.586275,1.469307,-0.130975,-1.311054,-0.579149,-1.040987,0.641239,-0.708152,-0.292896,-0.343313,-1.171341,1.065611,0.138793,0.280906,-0.532853,1.07511,-0.378272,1.304016,0.25707,-0.705487,0.347358,1.053013,-0.252929,-0.366522,0.583446,-0.367154,-0.181241,-0.308123,1.436233,0.598145,-0.486694
forme,0.18349,-0.400642,0.463118,0.31437,0.251663,0.213109,0.44326,0.391059,-0.752745,-0.180375,0.146821,-0.244083,-0.128701,-0.342295,0.82107,-0.704159,-0.090764,0.725985,-0.758494,-0.757905,0.391803,-1.105689,0.177637,0.418675,0.656655,-0.787438,0.640005,0.614607,-0.121297,0.312422,-0.147818,0.194139,-0.327093,-0.136719,0.995035,-0.1314,0.100416,0.646262,0.205904,-0.325649,1.137773,-0.141968,0.095349,1.396756,0.279505,-0.337579
entier,0.27712,-0.326724,0.456862,0.056651,0.263641,0.334968,0.336429,-0.071516,-0.133008,-0.019936,-0.21275,-0.221191,0.234512,-0.246565,0.696125,-0.635194,-0.155383,0.271424,-0.061768,-0.850555,0.424254,-0.109743,0.223309,0.299886,0.259856,-0.820653,0.295516,-0.047039,0.30643,-0.358162,-0.004235,-0.228782,-0.572207,-0.251263,1.117243,-0.580242,0.454806,0.14353,0.335909,-0.373716,0.162251,-0.043962,-0.07677,1.236468,0.328921,0.386008
système,-0.191241,0.242916,-0.41376,1.139657,0.391807,-0.34726,-0.827957,0.263736,-0.183578,-0.184352,0.605438,0.030366,-0.573983,-0.218419,0.478668,0.04431,-0.246023,0.588993,-0.147814,-1.004017,-0.174194,-0.188442,-0.241851,-0.47073,1.327789,-1.905756,0.758234,0.504211,-1.273491,-0.451626,0.486714,-0.37272,-0.850905,0.049399,0.433709,-0.260961,0.99456,0.258422,-0.364443,0.132569,1.341331,0.276325,-0.823526,0.652904,0.839024,-0.695374
équation,0.056676,-0.131098,0.734086,0.055583,-0.025056,-0.343495,-0.339397,-0.057189,-0.848629,0.2072,1.403853,-0.479073,0.296458,-0.60969,1.094623,-0.734827,0.984256,-1.238849,-0.052148,-0.967727,-0.312715,-0.037203,0.095287,-0.432086,-0.367206,-0.931496,0.784917,-0.115467,-0.412274,0.042335,0.828354,-0.430663,0.535423,-0.252371,-1.977331,0.955256,1.187648,-0.68984,0.759888,-0.057926,1.436398,0.040366,-1.247256,0.828765,2.714855,-1.017814
suite,-0.471253,-0.137537,-0.111442,0.06961,-0.214725,-0.095905,0.197083,-0.354458,-0.465805,0.132688,-0.518635,-0.28844,0.019492,-0.08405,-0.312915,0.361545,-0.825559,0.367992,0.3585,-0.607348,0.282859,-0.574028,0.389499,-0.157019,0.824761,-0.806946,-0.003127,-0.675277,0.0987,0.0352,-0.978575,0.318958,-1.378447,-0.331031,0.460828,-0.475771,-0.245691,-0.315071,-0.387414,0.426251,0.406968,-0.322261,-0.11699,0.428731,0.310881,0.000623
algorithme,0.641851,0.582838,-0.220314,1.488911,-0.437592,-0.21714,-0.705187,-0.071233,-0.965484,0.577965,0.876198,0.139997,1.063338,-0.802616,0.150399,-0.261498,1.120031,-0.535176,-0.584945,-0.307684,-0.815832,0.601302,-0.39101,-0.187956,1.205388,-1.368771,1.05497,-0.307673,-1.152995,0.167731,0.954573,-0.828192,0.928563,-0.444438,-0.219791,-0.284651,1.043193,0.024736,-0.029282,0.4642,0.281671,-0.747896,-0.261347,0.43744,1.049358,-0.528922
