word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
théorème,-0.620892,-0.779491,0.207672,-0.228053,-0.970194,-0.734843,0.34859,-0.535851,-0.382878,0.000988,-0.7235,0.082113,0.102475,-1.215888,0.766612,-0.463304,-0.713008,2.192173,-0.137463,0.436444,-1.269484,-0.541602,0.226754,-0.11046,-0.374783,-0.230334,0.631209,0.110805,0.662886,0.896497,0.451318,1.122325,-0.124089,0.042239,-0.252538,1.44355,1.361981,1.423144,0.589273,1.119609,-0.004265,0.902235,0.54398,-0.10496,1.128276,-0.12076,-0.204792
problème,0.11593,-0.568546,-0.392921,0.292332,0.317476,0.019962,-0.10316,0.444459,-0.13215,0.097505,-0.592928,-0.652313,-0.091288,-0.914202,-0.293671,0.387358,-0.305664,0.455121,-0.131608,0.186618,-0.127969,-0.763313,-0.822839,-0.550932,-0.164842,1.399032,0.462865,0.423187,0.429826,-0.646707,0.173782,0.461478,-0.238007,-0.209498,-0.85637,0.216891,0.588904,0.418991,-0.535748,-1.31005,0.769137,-0.302369,0.016176,0.190346,-0.1032,-0.164698,0.014062
valeur,-0.00211,0.077679,0.88332,-1.049315,-0.670952,-0.470477,-0.360033,0.421749,-0.762877,0.338767,-0.284022,-1.025803,-0.707249,-0.582688,0.392598,-0.21041,-0.112629,0.418892,-0.372584,-0.24915,-0.316976,0.270428,0.30592,0.044572,-0.416288,0.522393,0.229357,0.23345,0.379795,-1.424713,0.144377,0.326567,0.052368,-0.347486,-0.406992,0.396885,0.818386,1.814229,0.690042,-1.622071,0.998653,0.224158,-0.197175,-0.202708,0.632317,-0.033444,-0.147638
groupe,0.549483,0.480821,-0.236446,0.032423,0.921594,-0.119671,0.147091,0.122731,-0.566901,-0.387361,-0.010085,0.520261,-0.098344,-0.256898,-0.979935,0.263826,0.944082,0.491922,0.375954,-0.923972,-0.399415,-0.451438,0.00494,0.118883,0.89233,-0.068181,-0.48888,-0.560198,0.205544,-0.039799,-1.338141,0.032403,-0.119394,-0.175158,0.011536,0.030406,-0.290745,0.891304,-0.306868,-1.990985,0.080136,0.688728,0.051534,0.929983,0.039262,-0.956842,-0.193425
graphe,-0.397795,0.574194,0.832867,-0.203171,-0.381564,-0.456001,0.793739,-0.104076,-0.493712,-0.016186,0.224504,-1.178656,-1.091616,-1.465494,0.443657,0.57186,-0.365003,0.814227,-0.525739,-0.623582,-0.774192,0.067141,-0.26548,0.339111,-0.368097,-1.03176,0.827712,0.334526,-0.90211,0.227464,1.072147,0.631871,0.345455,0.37627,-0.377914,0.629573,0.394659,1.622734,0.220119,1.45463,0.044468,0.190538,0.114809,0.563499,-0.129137,-0.904591,1.10862
forme,-0.966274,0.654701,0.281434,0.040684,0.086657,-0.487214,-0.721122,0.280445,-1.086284,-0.050196,0.041346,-0.412514,-0.745924,0.448326,-0.176873,0.652924,-0.308134,0.021393,0.412602,-0.412425,-0.491542,-1.280597,-0.528656,0.54727,-0.286928,0.166551,0.357288,-0.479248,-0.123207,-0.53782,-0.026363,0.009395,0.109482,0.271962,-0.702866,0.482491,0.259103,0.542532,0.362457,-1.209241,1.207766,0.306632,-0.147227,1.085451,-0.243757,0.072385,-0.241136
entier,-0.523922,0.674629,0.165409,0.029143,-0.062014,-0.532176,-0.188177,-0.039455,-0.348741,0.003823,0.040405,0.074467,-0.723047,-0.21892,-0.057922,-0.160035,0.070773,0.30753,0.167525,-0.17072,0.362488,-0.457842,0.027292,0.202048,-0.024275,0.321475,-0.085163,0.063386,-0.306217,-0.606063,-0.41773,0.03198,0.368796,0.593561,-0.127861,-0.069499,0.471673,0.868714,0.381724,-1.155588,1.227188,0.36957,-0.364571,0.00962,-0.056722,-0.478412,-0.075013
système,-0.823286,0.294141,0.267127,-0.336018,0.360068,-0.423405,0.037804,0.551114,-0.912067,1.292607,0.457603,-0.741478,-0.573154,-1.494052,-0.633648,1.718733,-0.454727,0.193826,-0.397379,-0.374337,0.379057,-1.012002,-0.71555,-0.583311,0.011304,0.778371,0.793419,0.224017,0.580537,0.004318,-0.155397,0.581737,0.297553,-0.360792,-0.772488,0.429296,0.49679,0.78197,0.582288,-0.960813,0.603998,-0.059134,0.466709,0.82272,0.181384,-0.422658,0.10973
équation,-0.801338,-0.664424,0.326008,-0.198088,0.175166,-0.912351,0.585916,-0.322488,-0.550895,-0.696156,-0.496512,-0.603204,-0.352112,-2.065552,0.405183,0.259791,-0.499352,2.297037,-0.359541,0.507928,-0.846102,-0.391202,1.022035,-0.579088,-0.539846,0.425104,0.935497,0.361147,0.400908,0.659619,0.909438,0.945207,-0.090799,-0.474393,0.040822,2.180056,1.898891,0.847927,1.291174,0.542524,0.858919,0.466966,0.659289,0.773432,0.028856,0.281556,0.132934
suite,-0.115781,-0.600496,-0.191609,0.172924,0.027601,-0.087412,-0.305284,-0.061046,-0.057923,-0.079394,-0.26565,0.336909,0.34384,-0.160805,-0.648842,0.106259,0.384216,-0.032378,-0.139998,-0.508103,0.279324,-0.595615,-0.791526,0.159492,0.175904,0.909158,-0.189772,0.371132,0.085374,0.076617,-0.599888,0.381797,0.246695,-0.006031,-0.202538,-0.466381,-0.052721,-0.511225,-0.258571,-1.602937,0.760882,0.562927,0.399096,0.41333,-0.700082,-0.050646,-0.066457
