word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
algorithme,-0.36006,0.204759,0.705433,1.240709,-0.520081,1.046603,0.073703,1.175477,-0.985005,0.141097,-0.113599,-0.189096,0.223912,-0.193026,0.051231,0.59955,-1.506222,0.442031,-1.419749,-0.570958,1.041259,-0.484753,0.831877,0.067534,0.320525,1.479203
calcul,0.382873,0.089265,0.00267,0.623941,-0.335041,0.658677,0.316108,0.706606,-1.064491,-0.27592,-0.463729,-0.088037,0.446723,-0.063679,0.289142,0.492849,-2.633723,0.90818,-1.417686,-0.911026,0.088402,0.299427,0.888155,0.711086,0.6725,0.998856
application,0.077021,-0.043964,0.577696,0.334072,-0.556336,0.463021,0.785423,-0.085072,-0.13819,-0.256845,-0.44616,-0.181084,0.194048,1.304779,0.626509,1.441414,-1.281954,1.313771,-1.072769,-1.117579,1.243651,-0.185722,1.1954,1.463005,-0.213478,0.632756
élément,1.745402,-0.052218,-0.922306,1.065351,-0.257974,0.872954,0.28178,0.634764,0.008831,-0.056215,-0.1644,0.569856,0.218369,0.12899,0.064368,1.217504,-0.379363,0.662746,-0.853044,-0.664597,-0.003381,-0.540719,1.241001,0.786384,-0.029568,0.000374
grand,1.92885,0.09893,-0.256152,-0.497839,-0.038027,0.124157,0.309773,0.292374,0.522272,-0.228663,-0.835016,-0.046049,-0.566458,0.221628,-0.186575,0.087339,0.079496,0.326245,0.392804,0.186661,-0.926802,0.521368,0.93908,0.609365,-0.351254,-0.686218
propriété,0.889291,-0.242059,-1.278702,-0.478092,-1.320877,-0.002258,0.33956,-0.304671,-0.186586,0.428789,-0.057288,0.091738,0.226311,0.862647,-0.401471,0.48801,-0.396111,1.528292,-0.204411,-0.592384,0.009923,0.297293,1.392147,0.557318,-0.188272,0.514643
ordre,1.425977,0.686362,0.045571,-1.044415,-0.49346,-0.22492,0.367282,0.384492,-0.428812,-0.952839,0.209419,0.959875,0.440149,0.179594,-0.118128,0.644672,0.247781,1.417853,-0.169972,0.46238,-0.247831,0.297837,0.159657,1.206161,0.277088,-0.892549
variable,0.92592,-0.46052,-0.113013,0.682121,-0.896212,0.69018,0.250605,-0.587456,-0.681625,-0.859858,-0.310706,0.325185,-0.414218,0.307136,0.211126,0.79022,-2.006185,0.827297,-1.812962,0.008145,-0.246689,-0.050133,1.472258,-0.360159,0.377614,0.227577
base,1.184723,0.092904,0.22395,0.421417,-0.380262,1.525825,0.21726,0.043772,0.141002,-0.292713,-0.182741,0.161359,-0.21979,1.07055,0.532012,0.71988,-0.304283,1.320723,-0.826396,-0.424119,-0.033529,-0.678842,0.715504,0.800091,-0.330916,-0.171758
géométrie,0.311026,0.747825,-1.263332,0.624368,-0.518889,0.620704,-0.296343,1.14269,-0.229226,-0.63779,-0.54142,0.370585,1.266122,-0.564295,0.736272,0.415003,-1.669444,-0.313235,-1.160355,-0.162768,0.217319,-0.840076,1.335825,0.283899,0.190647,1.308932
analyse,0.987851,0.04631,0.208222,0.421586,0.151643,0.240144,-0.690179,0.450483,-0.312853,0.298489,-1.261313,-0.02336,0.956921,-0.379563,-0.247688,1.09917,-1.53122,0.753058,-0.422811,-1.345856,0.911161,-0.592215,1.262912,0.46597,0.371888,-0.176673
loi,0.826028,-0.324445,0.244764,-0.845579,-0.79039,-0.616606,-0.579019,-0.359554,-0.814273,0.424819,0.103754,-0.197322,0.581761,0.976709,0.08157,1.244951,-0.293293,1.076295,-1.021507,-0.55751,0.771127,0.728641,0.279587,1.618708,1.051,-1.227801
définition,0.912178,0.099794,-0.233581,0.565511,-0.019075,0.464697,-0.004444,0.109507,-0.691628,0.144425,-0.827183,-0.262346,0.55459,-0.008071,-0.158984,1.547188,-1.136582,0.902178,-1.677491,-0.638879,0.724328,0.065971,0.837213,0.371356,0.508512,0.00191
réel,1.219216,-0.480322,0.134025,0.68103,0.508879,-0.317302,0.111705,1.069092,-0.329502,0.07595,-0.422457,-0.025833,-0.466843,0.150476,-0.374944,1.15764,-1.055233,0.584707,-1.109825,-1.043048,0.146705,0.691956,1.181299,0.428541,0.662757,-0.019309
dimension,1.129121,-0.487373,-0.513171,0.71216,0.017173,0.866023,0.14194,1.093783,0.090692,-0.172003,-0.301596,0.335094,-0.091315,0.325477,0.501892,1.351118,-0.805788,-0.400165,-1.060992,-0.95084,-0.768916,0.312501,1.430833,0.098436,0.565841,0.062176
statistique,0.425406,0.09783,1.25142,-1.357171,-0.312581,1.239505,0.203282,-0.039647,0.047247,1.364621,0.056614,-1.246378,0.186733,-0.836038,-0.909592,1.27349,-1.907469,0.328902,-0.632649,-0.211974,-0.964791,0.166297,-0.513492,0.120299,-0.485723,-0.369812
sommet,1.658146,-0.089608,-0.311955,-0.136383,-0.396402,1.309606,-0.241841,0.274172,-0.034853,1.065108,-0.79704,0.825353,-1.410506,-0.01999,0.468495,0.316823,-0.202599,-0.565053,0.155748,1.544449,-0.968201,-0.503215,0.694475,0.091831,-0.17634,-0.798931
logique,1.023253,0.309229,-0.613719,0.557828,-0.173985,-0.209764,-0.504152,1.570875,-0.69311,0.25005,-0.164016,-0.451799,0.972421,-0.165476,0.4381,1.227221,-1.105668,0.096324,-1.500556,-0.738691,1.001073,-0.004877,0.434096,0.67546,-0.176348,0.700282
terme,1.999873,0.196113,-0.291704,0.304917,-0.162172,0.270817,0.268206,0.171738,-0.125701,0.06179,-0.062729,-0.755825,-0.162243,-0.125516,-0.184931,1.054228,-0.63632,0.974252,-0.55438,0.014294,0.733939,0.146336,0.414601,0.472345,0.030352,-0.060745
trois,1.712319,0.05288,0.664445,-0.017633,-0.242464,0.4174,0.008675,-0.070207,0.272786,-0.266852,-0.102309,0.207691,-0.596157,-0.209489,0.261484,0.134294,-0.059687,0.278469,0.051061,0.211801,-1.147431,0.505257,0.532015,1.389956,-0.68383,-0.574384
plan,1.243633,-0.458543,-0.073005,-0.232628,-0.532483,0.278008,-0.092929,0.808531,-0.191489,0.514359,-0.857151,0.427936,-0.17905,1.284976,0.474378,0.696401,-0.396329,0.007928,-0.309484,-0.084181,-0.059856,0.117299,1.015553,1.162891,-0.238124,-0.49742
formule,0.719882,0.681268,0.172429,0.814714,-0.581447,0.300988,0.731898,0.310914,0.525296,0.256299,0.488986,-0.557719,0.318645,-1.412183,0.261622,0.038268,-1.531913,0.259274,-0.875262,-0.241034,0.22078,0.134784,0.533158,0.804812,-0.12005,-0.296526
droite,1.647154,-0.763004,-0.63843,-0.036015,-0.179491,0.423324,-0.449541,0.67273,-0.623006,0.089801,0.278557,0.921503,-0.211608,-0.249046,0.047526,0.561261,0.340453,-0.724153,-0.749418,1.050831,-0.546516,-1.123037,0.780454,1.406581,-0.902316,-1.581989
$\mathbb{C}$,1.473361,0.581145,0.681838,0.501162,-0.139196,-0.078981,0.345736,-0.299372,0.051652,-0.282927,0.326703,-0.356739,0.257343,0.4499,0.340111,0.193628,-0.503078,0.252869,-0.858046,-0.362302,-0.506132,-0.1062,0.353751,0.293333,-0.340588,0.113936
solution,0.371007,-0.003973,-0.254759,0.757274,-0.625515,-0.151019,0.485541,0.290401,0.22129,0.57605,0.360939,-0.358458,-0.454254,0.72897,0.488073,0.648915,-1.226076,1.026833,-0.621237,-1.207378,1.168308,-0.548132,1.411787,1.048447,0.079926,0.453783
modèle,0.932384,0.180403,-0.373787,0.937647,-0.451258,0.98527,0.745147,1.170811,0.872149,-0.723793,-0.097435,-0.584191,0.241976,0.521177,0.050627,0.022313,-0.982848,0.614657,-1.405896,-1.214206,-0.071904,0.019318,0.841899,0.721433,0.020661,0.26067
linéaire,0.727905,-0.471793,-0.728585,1.117418,-0.414674,0.937551,-0.134075,0.45262,-0.594851,-0.250865,-0.443767,0.477799,0.217546,-0.218041,0.669103,0.511222,-1.845843,0.303995,-1.969295,0.055658,-0.224413,-1.050742,1.467361,0.128311,0.456989,0.826411
probabilité,0.632183,-0.219354,-0.169448,0.4419,0.093555,-0.353281,-0.212758,0.182482,-1.713205,0.320551,0.568895,0.20368,-0.149183,-0.456005,-0.075419,0.432932,-2.653322,1.306911,-1.278901,-0.846628,-0.330284,0.075056,0.394989,-0.322053,0.974247,0.54951
série,0.421689,-0.424127,2.11727,0.848191,0.536691,-0.42287,-0.041366,0.499345,1.458072,-0.141419,-0.453038,0.07621,-0.739771,-0.332961,-0.203983,0.414857,0.304329,-0.057487,-0.567241,-0.927073,-0.623844,0.966818,0.848267,-0.376813,-0.48241,-0.644288
somme,0.53064,-0.60672,-0.850582,-0.121969,-0.431443,-0.245648,0.25956,-0.166478,-0.936541,0.479798,0.235199,-0.019002,0.071937,0.566169,0.17342,0.028298,-0.692526,0.675888,-0.656863,-0.573946,-0.992095,1.433972,0.08358,1.012867,-0.7109,-0.740738
mesure,1.570815,0.26371,0.333618,0.021352,-0.811911,1.055243,-0.074617,-0.131635,-0.438746,0.030873,-0.336924,0.220275,-0.371301,0.770657,0.208556,0.675069,-1.605449,0.409586,-0.502463,-0.430341,-0.109517,-0.31206,0.496905,0.78797,1.069881,-0.805512
carré,0.924216,-0.425633,-1.195369,0.425971,-0.43582,1.364198,-0.227322,0.060029,-0.366861,-0.3918,-0.195037,1.009792,-0.148616,0.10612,0.384145,0.114311,0.126652,-0.713067,-0.787029,0.005185,-1.722966,0.101215,1.150345,0.702601,-0.716542,-0.767046
vecteur,0.522473,0.615426,-0.435712,0.423688,-0.001872,0.146555,-0.261184,0.060883,-0.971348,-0.362266,0.099849,0.554497,-0.162005,-0.119741,0.325691,0.784581,-1.752731,1.39694,-1.878627,-0.120703,0.500898,-1.152368,1.175861,-0.443507,0.324318,0.754026
connexe,0.266176,0.633134,0.055152,-0.777824,0.420386,0.660616,0.612452,-0.479597,0.804771,0.080821,-1.469589,0.353855,0.750387,0.993505,-0.692279,1.093683,0.114211,0.532099,-0.730621,-0.315557,-0.635387,-0.333159,0.048323,-0.478406,-0.576001,-0.840929
classe,0.975856,0.909093,0.282395,-0.36227,-0.549729,0.330898,0.172822,0.079966,0.907247,-0.991137,0.070271,-0.470729,-0.045113,0.176455,0.064107,0.202107,-0.818721,0.616881,-1.104235,-0.128424,-0.412045,0.51659,-0.281305,0.653318,0.092217,-0.200834
