word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
groupe,0.234487,0.384514,-0.420739,0.393166,-0.013311,-0.415067,-0.84009,-1.816951,0.132549,-0.291402,-1.261213,-0.566665,0.604473,-0.841191,0.392773,0.633549,-0.518344,-0.111743,0.192481,-0.188247,0.495613,-0.109104,0.250759,0.872462,0.002181,0.054652,1.08034,-0.326244,0.265326,-1.611444,-0.220385,-0.333161,0.077197,0.533031,0.746062,0.043002,-0.231427,0.444626
graphe,-0.091706,0.490944,-0.009085,-0.017608,-0.430247,-0.597598,0.885311,-0.992905,1.052462,-0.589671,1.944177,0.639169,1.100384,-0.585973,0.140917,-0.856082,0.820986,-0.412521,0.127288,0.832717,0.111968,-1.234469,-0.281988,-1.155278,-0.266495,-0.22249,-0.360219,1.008792,0.983187,0.223665,0.759795,0.346956,-0.831628,-0.17555,-0.227048,0.751608,0.61764,-0.890512
forme,-0.087944,0.263453,0.503519,0.211462,-0.756402,-0.650388,-0.255223,-1.19068,1.531804,0.759205,-0.24327,-0.644921,0.139153,-0.905147,0.216982,-1.208161,0.021854,-0.285156,-0.286257,0.326217,-0.239002,-0.296641,-0.162261,0.052942,-0.00079,-0.780548,-0.163522,0.049567,-0.689443,-1.354242,0.295604,-0.364209,0.711565,0.211093,-0.387146,0.878002,0.028536,0.57484
entier,-0.075543,0.126163,0.175107,0.51105,-0.382838,-0.341974,0.248242,-0.602219,1.045672,0.333233,-0.042334,-0.093453,0.210661,-0.586846,0.075638,-0.558074,0.047981,-0.001802,0.106714,-0.4171,-0.395216,-0.497385,0.080988,0.296888,-0.083643,-0.331016,-0.058359,-0.024324,-0.49479,-1.764049,-0.327827,-0.209036,-0.235157,-0.281809,0.449213,0.420857,-0.315249,0.132545
système,-0.039637,0.837206,0.620351,1.615625,-0.024485,-0.173764,0.150329,-2.085352,0.871066,0.63908,0.95404,-0.808236,1.03072,-0.995032,-0.484931,0.087238,0.69252,0.001673,-0.160719,0.689036,0.271224,-0.226066,-0.22749,-1.060069,0.407074,-0.678851,-0.476213,0.237999,-1.291689,-0.558839,0.162434,-0.142364,0.134841,0.81578,0.161379,0.025667,-0.428981,0.244913
équation,-0.369303,2.328769,-0.014564,0.141244,-1.588215,-0.036631,1.25865,-0.399275,0.755744,-0.41532,1.132596,0.172387,0.282291,-0.211692,-0.358291,-0.727491,0.53788,1.106464,1.18469,1.100743,1.081889,-1.757073,-0.849194,-1.408002,0.048236,-0.744873,-0.506425,0.582711,0.003349,0.582762,0.644274,-0.320537,0.672802,0.573884,-0.044643,0.70376,-1.528189,-0.442099
suite,0.315789,-0.431017,0.465691,0.438943,0.059457,-0.030256,0.405312,-0.445534,0.077039,0.1016,-0.946739,-0.226213,0.18211,-0.16845,-0.64114,0.252595,0.201778,0.133011,-0.02789,0.264065,0.144675,0.633899,0.606129,0.366925,0.977993,-0.518242,0.089523,0.088535,-0.540933,-1.296628,-0.659103,-0.02907,0.431804,0.478851,0.485135,-0.29255,-0.963068,0.260206
algorithme,-0.038098,0.240185,0.265043,-0.28764,-0.573565,-0.293197,0.772453,-1.187894,0.814541,-0.541192,1.919947,0.44177,1.069598,-0.803354,-0.733175,-0.03871,0.57987,-0.300916,-0.508288,0.564106,0.673662,-0.220983,-0.386369,-1.543356,-1.033902,-1.13717,-0.318645,0.621052,-0.351332,0.14901,0.796561,-0.746288,-0.400045,0.456576,-0.433578,-0.240539,-1.023301,-0.20749
calcul,-0.091729,0.812421,0.541235,0.962349,-0.62807,-0.259037,1.172438,-0.711069,0.685192,-0.190242,1.226389,0.097722,0.495245,-1.072784,-0.436467,-0.382143,0.267784,0.30366,0.306272,1.220617,0.357868,-0.843518,-0.486142,-1.017234,-0.429773,-0.500908,-0.830321,0.55835,-0.778316,-0.296067,0.401028,-0.786016,-0.762497,0.334228,-0.228099,-0.220601,-1.647493,-0.222027
application,-0.017589,1.159068,0.340405,1.682863,-0.429253,-0.593137,0.364369,-1.242665,0.544136,0.782753,1.018292,-0.117865,0.534209,-1.190961,-0.892797,0.263303,0.812142,0.108794,-0.263522,0.714429,-0.19637,0.056495,-0.058075,-0.593132,-0.699174,-0.950744,0.132899,-0.644657,-1.435199,-0.096176,0.006005,-0.320112,-0.189206,0.670767,0.454114,-0.664044,-0.695515,0.192574
