word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
forme,-0.126381,0.337374,0.031663,-0.001358,-0.688569,0.279274,-0.311977,1.095697,1.609349,-0.039673,-0.975688,-0.077752,-0.338451,-0.21501,0.263623,-0.282739,-1.475303,0.661093,-0.068036,0.403294,0.451733,1.053095,0.257735,-0.009602,-0.478985,-0.37788,0.602677,0.185966,-0.700857,-0.615876,0.358909,0.14307,-1.016432,0.288097,0.339887
entier,0.166268,0.718763,0.822444,0.092573,-0.522701,-0.001966,0.465584,0.422546,1.369915,-0.688979,-0.76785,0.637239,0.162427,-0.090756,0.425451,0.062585,-0.540138,0.080914,-0.394513,0.019672,-0.186911,0.294263,0.136753,-0.101005,-0.642595,0.262052,0.326665,0.55241,-0.494806,-1.020489,0.237611,0.038044,-0.505458,-0.242084,1.097911
système,-0.744209,0.964297,0.499772,0.241311,-0.241525,-0.217947,0.046928,-0.014734,1.797865,-0.021767,-0.923585,-0.593498,-0.088409,-1.514939,1.098164,1.079625,-0.251305,0.322239,-0.284362,0.834013,0.288465,1.297653,0.977997,0.668572,-0.261556,0.180333,0.17414,-0.310551,-0.563425,0.150288,0.076051,0.917464,-0.855405,1.054,0.585709
équation,-0.370691,2.58757,1.004173,-0.238314,0.359486,0.067458,-0.406134,0.153561,0.133729,-0.607566,-0.673616,-0.01822,0.60212,-1.147767,-1.053252,1.149578,-0.448198,1.270888,-0.590146,0.443909,-0.904613,1.955739,0.677691,-1.014824,0.85799,2.040484,0.814709,0.582606,-1.040728,-0.838958,-0.407292,-0.505479,-0.814904,0.703679,0.23817
suite,-0.094162,0.299817,0.500421,0.349615,0.061481,-0.700148,0.251636,0.873842,1.099855,-1.049068,0.597726,-0.000407,0.869527,-0.061146,0.328129,0.006526,0.30207,0.293654,-0.36157,-0.3918,0.743304,0.059824,-0.044343,0.084443,-0.241941,-0.242117,-0.221707,-0.397442,-0.94306,-0.480489,0.45193,0.776092,-0.326526,0.274428,0.027392
algorithme,-1.31375,1.359488,-0.027365,0.138491,-0.030515,-0.479917,-1.367572,-0.136516,1.228457,-0.317955,-1.49568,0.107045,0.45054,-1.638433,-0.535079,1.243527,0.022344,1.043566,-0.450927,-0.186026,-1.83181,0.841831,0.794526,-0.073549,0.627267,0.889331,0.322776,0.924864,-0.586705,-0.174586,-0.504831,0.027494,-0.452953,-0.100064,0.193644
calcul,-0.560099,1.670447,0.917042,0.061105,0.114985,-0.068954,-0.60661,-0.578437,1.344468,-0.284852,-0.910241,-0.478488,0.164646,-1.731335,-0.341985,1.2131,-0.303097,0.825797,-0.920219,-0.558419,-0.340139,1.204003,1.198778,0.394113,0.398926,0.894416,0.523639,0.719787,-0.921755,-0.83577,0.024391,0.125603,-0.37637,0.009221,0.514566
application,-0.464104,0.497233,1.436883,-0.264414,-0.071133,0.000459,-0.552363,0.142548,1.453122,-0.164957,-0.931281,-0.729661,0.121565,-1.05037,0.997826,1.401086,-0.138531,0.616432,-0.464257,0.562869,-0.221806,1.742262,0.931888,0.270394,0.081293,0.653592,-0.018096,-0.773753,-0.529073,0.236375,0.231657,0.813904,0.066821,-0.099395,1.137334
élément,-0.571593,0.064697,0.322334,-0.176523,-0.02559,0.314627,0.478204,0.668256,1.413454,0.126385,-0.553993,0.304946,-0.27553,-0.571665,0.024287,0.307607,-1.37778,0.780576,-0.475727,-0.202438,0.442279,1.288127,0.788059,-0.759721,-0.848422,-0.164041,0.965928,-0.147547,-0.352172,-0.298504,1.011141,0.08817,-1.159128,0.106079,0.638769
grand,0.675226,0.137477,-0.115879,0.089264,0.324794,-0.10623,1.054735,0.544614,1.052923,-0.109754,0.02119,-0.012878,-0.142243,0.565246,0.673452,-0.06853,-0.449037,0.440293,0.019569,0.123674,1.053942,-0.364542,-0.054006,0.662937,0.14697,-0.465757,1.156204,0.071681,-0.258342,-0.757989,0.737943,0.206572,-0.364501,0.427601,0.053219
