word,1,2,3,4,5,6,7,8
matrice,0.273859,-0.514023,-0.04538,-1.882803,1.662026,-0.773642,-0.222006,0.819834
domaine,-1.666973,-1.380254,-1.382915,-0.72485,0.311419,0.552215,-0.124961,-0.225843
fois,-1.941732,-0.610324,-0.45231,1.07496,0.05773,-1.207242,-0.280899,-0.03328
type,-0.222775,-1.351124,-1.681678,-0.44971,1.36387,-1.221846,-0.869375,1.026922
mot,-0.730874,0.223232,-1.282278,-0.884648,0.729504,-1.025892,-0.423841,-1.108084
algébrique,0.589876,0.273952,-0.12627,-2.88746,1.974987,-0.011593,-0.186749,0.417074
degré,0.074797,-1.292474,-0.078299,0.916256,0.213494,0.692621,-0.125603,-0.266963
langage,-0.483598,0.17407,-1.908948,-2.129724,1.246678,-0.57064,1.039016,-0.30939
nul,-1.350699,0.677213,-0.148046,0.392827,0.42085,-0.831151,-0.675829,1.512665
moins,-2.173119,-0.877862,-0.870079,0.041831,0.666017,-1.475897,-1.197425,0.488188
objet,-1.185084,-1.230921,-1.596964,-0.886136,1.050933,-0.980884,-0.368322,-0.640154
triangle,0.651552,0.338154,-0.338995,0.2088,1.197677,-0.833317,-0.896843,0.119826
structure,-0.787679,-0.714551,-1.975214,-1.144577,1.132336,-0.459331,-0.545013,0.502377
corps,-1.420517,-1.449925,-0.151342,-0.195623,0.483396,-1.130089,-0.545826,-0.268094
rapport,-1.834478,-0.972861,-1.239735,-0.808035,0.524326,-0.483737,0.050458,0.902129
longueur,-0.114284,-1.19512,-0.6007,0.717524,1.749756,-0.872834,-1.918186,1.330465
informatique,-0.812054,-0.007387,-1.828821,-1.41103,1.199165,0.000225,1.423423,1.330938
infini,0.017603,0.126463,-0.28677,-1.405055,1.541948,-1.316953,0.008561,-0.640628
variété,0.412381,-0.389282,-1.607899,-0.398444,0.703978,-0.845704,-0.551737,-0.94851
ligne,-0.834001,-1.199509,-1.149876,1.338977,1.141467,0.758722,-0.796646,0.787632
positif,-1.149586,-0.085784,-0.711398,-0.910255,0.808961,-1.202753,0.785326,0.627172
angle,-0.22586,-0.836093,-0.05245,-0.112412,2.090352,-0.852502,-1.385162,-0.137175
