word,1,2,3,4
résoudre,-0.844626,-0.587396,-2.370017,0.320037
arithmétique,1.360767,-0.743092,-1.545458,-1.580188
conjecture,1.296679,0.659386,-1.874482,-0.948002
réseau,-0.947084,-2.616616,0.064015,0.341932
opération,-0.936663,-1.435656,-0.699922,0.749176
chiffre,-0.644549,-2.152747,-0.253968,0.111492
expression,-0.439761,-0.736246,-2.157478,0.571866
propre,-1.410992,-0.976559,-1.803083,1.24738
principal,-1.473112,-1.010403,-0.379366,1.379458
paramètre,0.745104,-2.785954,-1.714216,-0.129563
coordonnée,1.117155,-1.895742,-0.140645,-1.146978
opérateur,0.29353,-1.067275,-0.521186,0.565453
numérique,0.274674,-2.017526,-0.946315,0.830149
unité,-1.215655,-2.017891,-0.042785,0.214742
liste,-1.678511,-1.030403,1.132926,1.091267
convexe,0.890041,-1.568828,-1.115381,-2.264848
rationnel,0.397899,-0.526735,-2.975257,-0.653987
nœud,0.392882,-2.304137,-0.163879,-0.464784
$\mathbb{Q}$,1.284523,-0.604213,0.055,0.735244
topologie,1.825417,-1.397301,-1.466516,-1.536644
origine,-1.876819,-0.438274,-0.530939,0.765344
distribution,0.183319,0.900515,-0.045684,2.168046
intervalle,0.130232,-1.581252,-1.098082,-0.108468
compact,1.300081,-2.053502,-0.554085,0.128832
reste,-2.141483,-1.121983,-1.080779,0.734972
test,0.581634,-1.942424,-1.256565,1.35374
proposition,-1.236697,-0.592867,-1.532274,0.37116
catégorie,-0.338364,-1.603392,0.071576,1.391534
programme,-0.437891,-1.826107,-0.522392,1.391909
intégral,0.593366,-0.030798,1.113749,0.534599
complexité,0.363264,-1.256535,-2.882961,-0.023307
automate,0.927772,-0.838263,-0.697979,-0.904816
moyenne,-0.702165,-3.073437,0.637512,0.373618
symbole,-0.880174,-0.636343,-1.404168,-0.394045
axe,-0.477556,-2.246565,0.074434,-0.618319
euclidien,2.067334,-1.383156,-1.408709,-1.754102
inférieur,-1.301693,-2.558677,-0.420873,-0.472382
dérivée,1.732434,-1.171112,-1.824875,-1.298011
transformation,-0.508167,-1.638555,-0.849031,0.204683
anneau,0.579064,-1.12003,-1.187139,0.045891
facteur,-0.208713,-1.202559,-1.940789,-0.171119
indice,0.327117,-1.828876,-1.089482,-0.033889
zéro,0.068538,-1.227935,-0.37762,0.708808
sphère,-0.152929,-1.203539,-1.483543,-0.574146
strictement,-0.472792,-1.460687,-2.028959,-0.696002
puissance,-0.777611,-2.054719,-1.165593,0.082565
Euler,1.451541,0.963837,-0.97082,-1.889284
