word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
groupe,0.969213,-2.692617,0.664766,0.977403,0.411475,-1.256194,-0.746863,0.574884,-0.799679,1.287308,0.461861,2.594952,0.293015,-0.343516,1.098548,-0.143777,-0.036258,0.796007,0.169966,-0.367135,1.286525,-1.3009,-0.215693,0.811805,-0.320818,-0.363441,-0.293532,-0.158064,0.297926,0.321484,2.168077,0.016371,-0.338797
graphe,-0.256762,-0.723244,0.87694,-0.108396,-0.135229,-1.4282,-2.169427,-0.908921,-0.262996,0.995849,0.774845,2.714638,-0.316187,-1.093189,1.438091,-0.08608,-0.728714,0.208144,-0.455719,-0.715152,-0.124359,-2.206487,-1.450566,1.911659,-0.587525,1.244128,1.686097,0.037093,0.513281,-1.775791,1.407835,-0.711388,-0.263547
forme,0.099887,-1.703997,0.751743,0.550287,0.014011,-0.985394,1.337699,1.144687,0.609204,0.775797,0.820655,0.608281,-0.468557,0.514431,0.816981,-0.027059,0.303049,0.759388,-0.711235,-0.511406,0.768187,-2.126484,-0.69141,1.259116,-0.291751,0.515776,0.765934,0.589161,-0.300097,-0.264108,0.624716,-0.19064,-0.108962
entier,-0.197289,-1.594459,0.380957,0.058893,0.520163,-1.97763,0.657134,0.883367,0.574764,0.832022,0.716604,-0.360886,-0.242464,-0.054032,0.5106,1.505461,-0.741516,1.43485,-0.209057,-1.601145,0.512732,-2.241097,-0.035094,0.432502,-0.868186,0.442369,0.369451,1.06057,1.511254,0.752663,1.193964,0.089125,-0.033628
système,0.599149,-1.476223,0.566404,0.547163,-0.195792,-1.239052,1.292054,0.329792,0.62166,1.531603,1.877127,0.343255,0.432867,0.702898,0.985893,-1.055874,-0.681166,0.202369,0.621533,-0.23573,0.8302,-1.93396,-1.012974,0.305298,-0.240457,-1.151285,0.617351,0.674821,-0.172579,-0.629737,-0.368888,-0.521866,-0.294993
équation,-0.095127,-1.879418,0.839336,-0.899266,0.071334,-1.072446,1.616097,2.104428,0.277785,1.761349,0.160095,0.659681,-0.587469,1.834025,1.398728,-0.70855,-0.527223,0.434922,-0.37907,0.14307,-0.455185,-2.5557,-0.117752,1.395225,0.260895,-0.162338,-0.284465,-0.001116,0.471193,-0.342871,-0.127079,0.286789,0.366795
suite,-0.149076,-0.787339,0.095598,0.232915,-0.792291,-1.553555,0.719156,1.147733,0.49591,0.633085,1.427556,0.257821,0.229205,-0.244544,-0.238268,1.709263,0.09224,1.627667,0.091207,-1.468686,-0.39725,-1.905945,-0.489658,0.706667,-0.171508,0.342278,0.808414,0.185583,0.885608,0.504874,1.231949,-0.049184,-1.402263
algorithme,-1.926226,-0.759384,-0.028688,0.737634,0.160659,-0.449448,0.74993,-0.754771,0.036147,0.714533,1.951886,0.19743,0.578213,0.336006,1.265979,0.795304,-0.269739,-0.06276,0.707785,-1.498958,-0.990191,-2.93735,0.106325,1.141916,0.756772,-0.512282,1.427598,-0.531942,0.672549,-0.947818,-0.319107,-1.147131,0.279877
calcul,-0.41097,-1.209605,-0.022873,-0.103708,-0.005668,-1.022166,2.156642,0.367422,0.402061,0.983835,1.069836,-0.151297,-0.24851,0.961836,1.310072,-0.225491,-0.484182,0.405365,0.40856,-0.696715,-0.016334,-2.10824,0.233807,1.162198,-0.090544,-1.399333,1.382738,0.06047,0.092311,0.303979,0.22702,-0.74466,-0.076162
application,0.799338,-1.683813,0.510337,-0.003635,-0.593642,-1.336027,1.477494,1.29495,0.158984,0.586179,0.539172,1.386662,1.033396,-0.304823,0.928651,1.110652,0.201972,0.028482,0.324489,0.158957,1.158013,-1.700039,-0.22816,0.780962,0.17439,-0.62358,0.006495,-0.214737,0.601461,-0.640447,0.359657,-1.249665,-0.438979
élément,-0.246286,-1.836073,-0.173257,1.045019,0.726654,-1.146671,0.090924,1.319703,0.468041,0.269998,0.696814,1.062138,-0.03945,-0.019806,0.096647,0.698789,-0.248761,1.044411,1.03414,-1.387852,0.059559,-1.951266,-0.036775,1.718366,-1.029209,0.300532,-0.095661,0.61589,-0.34653,0.073125,1.507029,-0.434819,0.140895
grand,0.725748,-1.10207,-0.324888,-0.136157,0.328254,-1.129274,-0.110125,0.502898,0.389902,0.851025,1.488336,0.051913,0.416312,0.453553,0.691838,0.041578,-0.603574,-0.7568,0.836888,-2.226682,-0.246866,-1.326092,-0.566534,0.550311,-0.500562,0.992592,1.577366,0.003854,-0.226851,0.929946,1.253207,-0.46378,-0.412468
propriété,0.626053,-1.551751,0.267038,0.289995,0.113664,-1.765242,0.603734,0.659638,1.086393,0.969724,0.929099,0.997649,-0.664473,-0.75118,1.229284,0.590961,-0.152279,0.711928,0.363345,-0.47665,0.002031,-1.774744,-0.635661,0.668961,-0.94569,0.616058,0.467969,-0.796044,-0.024902,-0.855695,1.179435,-0.246825,-0.185926
ordre,0.479146,-1.572438,0.522346,-0.500101,1.345664,-1.400228,0.234654,0.114373,-0.223152,0.06419,0.437357,0.491662,-0.758124,0.030165,0.447777,-0.113432,0.566584,1.012338,0.546848,-0.887936,-0.240813,-1.756776,-0.880111,0.931133,-2.049264,0.556976,1.028499,0.225341,0.499598,-0.401002,1.834022,-0.716559,-1.294283
