word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
valeur,0.118413,1.643627,1.296554,0.992703,-0.606108,-0.136303,0.149816,1.062848,0.351441,0.145462,1.256271,-1.011349,1.362534,0.125096,0.342749,-0.071036,0.604559,-1.616137,-0.716096,0.459909,-0.114963,-0.491075,1.087279,-0.605336,-0.19244,-0.978784,0.58214,-1.149057,0.265055,0.894002,0.313943,1.114591,1.16617,-1.502284,-0.419214,0.127464,0.378418,-1.012443,0.336546,0.158258,-0.126158,-1.976105,0.734625
groupe,-0.742997,0.666609,1.125098,1.481756,1.487052,-0.358281,1.616433,1.039988,-0.564534,0.242225,0.212325,-1.323386,1.646643,-0.078005,1.589332,1.327766,-0.195174,0.446822,1.179728,-0.12768,0.721294,-0.573836,1.835616,-0.769936,-0.981106,0.627466,-0.991447,0.504691,0.696386,0.401684,1.081885,0.176765,-0.287653,-0.516148,-0.550909,0.1075,0.045537,0.640759,1.486482,0.176935,-0.693999,-1.126417,0.514826
graphe,0.648608,0.441131,0.065821,3.144675,-0.51991,-0.920877,1.39255,-1.300737,-0.26899,-0.773372,-0.428856,-0.857601,1.449465,0.164062,-0.698967,-0.089945,-1.34493,-0.657746,-0.172834,-0.731376,0.229343,-0.614338,2.188178,-1.221289,-0.224643,0.231577,-1.403202,-0.002411,0.335779,-0.490561,2.082535,0.239605,0.678202,-0.864173,-1.468291,0.173328,1.590792,1.067983,1.188284,-0.660387,0.331789,-0.735735,1.426255
forme,-0.497793,1.434753,0.751366,0.955958,0.134204,-0.403921,-0.445533,0.246913,0.372517,0.657682,-0.025828,-0.513309,1.205591,-0.877127,0.452983,0.821622,-0.059631,-0.827044,-0.043452,0.540061,0.206109,-0.891023,1.601484,-0.047778,0.478129,-0.391039,-0.986834,-0.42355,0.282248,-0.522895,0.574301,0.66874,0.040949,-2.065151,-0.471432,0.106529,-0.704221,-0.590398,0.122805,-0.088502,-0.334053,-1.956951,0.431761
entier,0.61362,2.182406,1.37037,-0.069402,-0.10195,-0.945785,-0.010002,0.477865,0.44497,0.304789,0.680796,-1.429785,2.315583,-0.514904,0.067521,0.400811,-0.416565,-0.193073,0.066899,0.016661,0.113449,-1.271221,1.39564,-0.291992,0.596795,-0.448923,-0.075382,-0.447604,-0.191065,1.21404,-0.314064,0.73938,0.596033,-0.943589,-1.211969,-1.021554,-0.425432,0.344022,0.792371,0.07505,-1.032262,-1.552361,0.046894
système,0.755828,1.587773,-0.558974,1.013058,0.834919,-1.065408,-0.010089,0.400615,-0.083375,-0.380246,-0.424335,-0.98871,1.310273,0.504673,0.309407,0.0318,0.33746,-0.323238,0.050374,0.87962,-0.450599,-0.913552,1.909847,-0.332479,0.147644,-0.317672,-0.847485,0.101983,0.421265,0.792745,-0.449687,1.534717,-1.098038,-1.516755,0.451411,1.075072,-0.311259,-1.288126,0.289274,0.77926,0.507585,-0.858136,0.140009
équation,0.583164,1.341825,1.082984,0.864433,0.105235,-0.029438,-0.071875,-0.757156,0.57496,1.511879,0.720253,-1.027493,0.405445,0.059597,0.12409,0.571021,0.36158,-0.188243,-0.045815,0.047525,-0.783424,-1.032289,1.691253,-0.022097,-0.35436,-0.004253,-1.456557,0.604866,0.318932,-0.158877,0.046372,1.168591,-0.823882,-2.465648,-0.639933,-0.111849,-1.061201,-1.546351,-0.382769,1.321156,-1.19025,-1.082238,1.268158
suite,1.208243,2.094503,1.643644,0.547222,0.068794,-0.096729,-0.404576,0.334096,0.904676,0.608272,-0.047037,-1.296046,2.136485,0.288658,0.310471,-0.018411,0.03181,-0.703505,0.291,-0.09193,0.353807,-0.620331,0.680666,-0.238038,-0.361843,-0.477945,0.470329,-0.725558,-0.16671,0.978899,0.658067,0.222861,0.088743,-1.616915,-0.631576,-0.634235,0.321332,0.307991,0.930759,-1.259575,-0.168632,-1.039278,0.269038
algorithme,1.493964,0.676061,0.333936,1.622074,-1.022605,-0.617938,-0.466948,-0.513211,0.09835,-1.07603,0.211689,-1.211105,1.912885,0.056078,-0.400424,-1.108091,0.244356,-0.035085,-0.88792,0.293164,0.798362,-0.805414,1.082644,0.252194,0.018372,0.348486,0.305442,-0.69953,1.077755,-0.046284,1.937013,1.09356,0.340894,-2.070768,-0.302411,-0.560835,-1.513058,0.182951,0.006334,0.956665,1.455794,-0.020853,0.376874
calcul,0.823092,1.460398,0.604281,0.693669,0.028541,0.188545,-1.228102,0.255358,0.122665,0.023495,0.554295,-0.363995,1.568497,0.047476,-0.090424,-0.075151,-0.10168,-0.181509,0.208225,0.280357,-0.185832,-1.071554,1.044334,-0.732752,-0.797277,0.157233,0.36932,-0.258195,0.161359,0.660804,0.564355,1.370899,-0.569501,-1.940515,0.140167,0.743861,-1.403298,-0.166206,-0.339436,0.805787,0.636653,-1.555318,-0.026402
application,-0.307476,0.998975,0.857539,1.797204,0.445015,0.293509,0.445653,0.760691,0.321606,0.742845,-0.166578,-1.175773,1.502908,-0.073361,0.480679,0.494618,-0.289205,-0.121736,0.577913,0.502766,-0.713067,-0.090013,1.058639,-0.186119,-0.444245,-0.269636,-0.968799,0.020314,-0.03605,0.516147,1.073835,1.111031,0.465117,-1.992053,1.239328,-0.812202,-0.432192,-0.549952,-0.182901,0.435822,0.375619,-0.71676,-0.993041
élément,-0.009159,0.450503,1.324183,0.571334,-0.55272,-0.724573,-0.513221,1.529825,-0.133235,0.486373,0.332257,-1.246001,2.239107,0.584988,0.561629,1.01952,-0.201201,-0.825356,0.428435,0.16865,0.616554,-1.720247,0.864383,-0.38409,0.061147,0.479995,-0.063487,-0.01237,0.410976,-0.104082,1.19398,0.424218,0.347702,-0.916511,-0.321168,-0.819063,0.090736,0.620904,0.598223,0.143808,-0.242312,-1.188774,0.574073
grand,1.250127,0.967267,0.663822,0.232406,-0.049952,0.203354,-0.653774,0.415314,0.285213,-0.244351,1.08704,-0.657925,2.110374,-1.4538,0.464253,0.609355,0.397945,0.20478,-0.139992,0.141285,1.388667,-1.220266,1.121826,-0.773654,-0.020222,-0.056903,-0.406066,-0.947136,0.015254,-0.099614,0.822938,1.022954,0.227282,-0.737825,-0.61203,0.292368,1.244483,-0.916929,0.046856,0.271688,0.372986,-0.668873,-0.131066
propriété,-0.188824,1.44207,0.368811,1.862081,0.220807,-0.289556,-0.153116,0.738115,0.284512,0.412662,0.423968,-1.029407,0.921788,-0.0565,0.607898,0.355156,-0.933263,-0.118366,0.085822,-0.033485,0.325139,-1.334823,1.779771,-1.417052,-0.550474,-0.702351,-0.829347,-0.163399,0.524663,-0.196969,0.213061,0.746081,0.304679,-1.744276,-0.661533,-0.418629,0.570189,0.258454,-0.204443,-0.717428,-0.461736,-0.511156,0.330492
ordre,0.233674,1.672225,1.510563,0.956318,-0.354334,0.316865,-0.722349,0.157086,-0.443671,0.00603,1.013417,-0.007901,1.818688,0.419332,-0.132721,0.385266,-0.378383,-0.02586,0.206024,0.039684,1.612318,-1.450046,1.470224,-0.221818,-0.440658,-0.723391,-1.77714,-0.156162,0.563903,0.074288,-0.046881,0.008364,0.915531,-0.897563,0.519356,0.053323,1.197716,-0.15244,1.119767,0.432055,-0.088249,-0.969507,1.573886
variable,-0.090884,1.467063,0.426887,0.969981,-0.574887,0.29299,0.244501,1.572551,0.699804,0.560629,-0.032212,-1.312293,1.069412,0.805269,0.514346,0.382472,0.610472,-0.328811,-0.617361,0.825092,-0.618633,0.196887,-0.407332,-0.302235,-0.570851,-0.891825,-0.64737,-0.301163,0.580964,0.680064,0.256442,0.307631,0.16335,-2.248275,-0.61616,-0.413076,0.406861,-0.033903,-0.809653,0.930505,-0.081874,-2.450694,1.478108
base,0.091148,0.790258,-0.229156,0.834378,0.620128,-0.943304,-0.521805,0.485529,-0.238472,-0.43473,0.138496,-2.05983,1.643345,-0.376041,0.651791,0.612038,-0.555407,-0.577365,0.271638,-0.405861,0.499234,-0.785065,1.124644,-0.502251,0.572081,-0.937275,-0.106354,0.13267,0.16011,0.734972,0.273689,0.95145,0.186358,-1.341645,0.016935,0.040702,-0.40861,-0.387153,0.148262,0.42678,0.531853,-2.097438,-0.553737
géométrie,-0.289866,0.031671,1.197093,2.05814,1.08909,0.29365,-0.703037,-0.07558,0.392531,0.345536,-0.298946,-0.742547,1.092042,-0.974648,0.051238,1.296776,-0.629923,1.301126,0.692457,0.055811,-0.52069,-1.045793,0.589748,-1.06805,-0.316005,0.679449,-1.046767,1.244537,0.406035,-0.315525,0.729297,1.492189,-0.39387,-0.842021,-0.736304,0.36095,-0.62061,-0.868055,-0.775061,-0.159556,0.437523,-1.841279,-0.765199
analyse,0.297445,0.908388,2.205416,1.835028,0.370929,0.115605,0.364133,0.160543,0.218748,-0.223353,-0.179764,-0.39452,1.288482,-0.006551,0.352074,0.186846,0.592079,0.635112,-0.05267,0.418691,-0.442362,-0.226678,0.499579,-0.898625,-0.469207,0.266735,-0.169005,0.206369,0.80027,0.534264,0.160432,1.201203,-0.909807,-2.096223,0.288504,-0.091986,-0.577898,-0.266079,-1.096948,0.535554,0.674198,-1.626084,-0.548443
loi,0.556438,1.888279,-0.043714,-0.052598,0.853425,-0.566322,-0.32384,0.580176,1.336788,1.025751,-0.692234,-0.595357,0.879924,0.048268,1.133895,0.276497,0.468259,0.197133,0.041569,-0.682797,0.970646,-0.106323,0.316081,-1.163254,-0.976778,-1.784118,0.084217,-1.099549,1.127652,-0.594922,0.565703,0.060618,-0.273326,-2.241808,-1.023397,-0.433273,1.450375,-0.190669,-0.878076,0.723104,0.135419,-1.527693,0.829461
définition,0.147692,1.475653,0.889146,1.342869,0.148383,-0.466209,-0.522784,0.456837,0.125706,0.532775,-0.002209,-0.902982,1.045215,0.220493,0.654919,0.487552,-0.69988,-0.504372,-0.281093,0.844626,0.079912,-0.961564,0.659736,-0.453887,-0.582902,-0.687377,-0.531704,0.076552,0.588597,0.307146,0.780363,0.959615,0.503236,-1.585439,-0.415251,0.194373,0.042781,0.033545,0.413331,-0.674085,-0.218904,-1.070989,-0.064692
réel,-0.267211,1.875037,1.532842,1.12488,-0.159814,-0.433586,0.544375,1.256811,1.053011,0.927331,0.70569,-0.645369,1.625226,-0.032198,0.066469,1.145618,0.159346,-0.586572,0.376633,0.347685,0.14212,-0.647015,0.663895,-0.297473,0.384055,-0.666289,-0.162888,0.494424,0.578393,0.717676,-0.171356,0.935739,0.446612,-1.353698,-1.017236,-0.901028,-0.202869,-0.85762,0.087061,0.026705,0.269592,-1.697477,-0.114613
dimension,-1.079402,0.641996,0.622073,1.869351,0.186118,-0.18419,0.164699,0.569944,0.197874,0.622845,0.36196,-1.733234,0.636371,-0.304404,1.360536,0.339403,-0.755541,0.319616,0.498166,-0.437119,0.500252,-1.116839,1.07381,0.530439,0.00296,-0.059655,-0.714802,0.17496,0.618138,-0.133174,1.038104,0.825499,1.012568,-0.714211,-0.47164,0.146967,0.465135,-1.349835,0.553757,-0.286339,0.708667,-2.196004,-0.303136
statistique,0.673514,0.835862,1.422986,0.716038,1.473893,0.457752,0.131922,-0.05863,-0.515301,-0.681249,-0.76211,-0.677813,1.108684,0.235046,0.887788,-0.443591,1.452224,0.571168,-0.887285,0.063226,-0.125138,0.129372,0.400023,-2.307644,-0.441298,-1.002689,0.182583,-0.455511,1.20621,0.432603,-0.230334,0.94703,-0.488593,-1.540923,0.962826,-0.367961,1.270623,-0.088069,-0.820976,1.579782,1.014121,-0.911993,0.248131
sommet,-0.058055,0.440055,-0.890994,1.998992,-1.245745,-1.12465,-0.23119,-0.2629,-0.39972,-0.527556,0.745428,-1.572182,1.846902,-0.112614,-0.199282,0.013411,-0.651787,-0.767951,-0.072478,-0.590912,-0.682989,-1.056462,0.9788,-0.642004,0.797857,0.23034,-1.048646,0.029524,-0.891198,-0.651964,2.412694,0.472026,1.029009,-0.273807,-0.785178,0.376518,2.066348,0.519006,1.433668,-0.483182,-0.08324,-1.180027,1.493868
logique,0.553106,1.760268,0.125952,0.753942,-0.164072,-1.002461,-0.758431,0.711599,0.264319,0.288902,-1.238174,0.417476,1.52083,-0.149125,-0.279268,-0.679594,-0.868934,-0.239749,-1.447464,0.866663,-0.77173,-1.595731,0.680082,-1.747949,-0.508748,-0.166988,-0.933228,1.637932,1.352331,0.072937,0.106002,0.649219,-0.481107,-1.000224,1.210634,1.103305,-0.023951,0.376389,-0.948241,0.045058,0.038889,-1.945666,0.073653
terme,0.605083,1.404548,0.847452,0.257238,-0.363561,-0.239958,-0.415149,0.586207,0.137451,0.243655,0.255202,-1.19733,1.251792,0.358358,0.395809,0.345297,-0.033199,-0.840891,-0.33701,0.895553,0.099343,-0.98665,0.472918,-1.16376,-0.248052,-0.57036,-0.593348,-0.667375,0.077019,0.538949,0.64039,0.38752,0.818709,-1.609545,-0.440855,0.950938,-0.55448,0.359178,-0.132956,-0.156029,-0.359212,-1.384035,0.727355
trois,0.260204,0.455601,-0.152511,0.383994,0.837959,-0.26536,-0.905779,0.465396,-0.203925,-0.536976,0.572815,-1.547739,1.809694,-0.528022,0.820251,0.468026,0.234796,-0.201401,-0.215464,-0.138351,-0.365926,-0.541544,0.899404,-0.849846,-0.199949,-0.065383,-0.780984,0.556828,-0.651178,-0.436156,1.079758,1.117885,0.130291,-0.8764,-0.806726,0.061386,0.188634,-0.455724,0.094315,0.447938,-1.279713,-1.734115,0.772187
plan,-0.716869,0.800871,0.371696,1.982446,0.99886,-1.082092,-0.5251,0.291439,0.886179,-0.189557,1.009008,-1.1942,1.212433,-0.084716,1.376352,1.580579,0.066298,0.559548,0.993285,-0.262722,-0.578653,-0.869603,0.089184,-0.495283,1.262125,-0.89625,-0.70413,0.765599,0.920598,-1.01921,0.945996,1.035086,0.194686,-0.81721,-0.412133,0.044299,0.272093,-0.650527,0.53878,0.169225,-0.146449,-0.941497,-0.40193
formule,0.674626,2.05229,0.12987,0.414187,-0.086198,-0.224501,-1.349107,0.488506,-0.168167,1.238627,0.276067,0.113868,0.672077,0.400899,0.311503,0.426906,-1.071395,-0.464022,-0.888112,-0.638016,-0.043776,-0.541941,1.033868,-0.589465,-0.694622,-0.786706,0.09608,-0.142326,0.953412,-0.390618,0.46908,0.176853,0.249338,-2.381245,-0.615722,0.497575,-0.39598,0.091207,0.396063,0.518588,-0.753222,-1.796715,0.569783
droite,-0.450724,0.64688,0.157562,2.281873,0.069271,-0.746674,-0.898055,0.322985,0.528302,0.397307,1.358162,-1.465792,1.471538,0.07077,0.645525,1.050087,1.04684,-0.426342,0.795429,0.138345,-0.538134,-0.310433,-0.307968,-1.032708,1.039176,-1.953135,0.0524,0.905784,0.424956,-0.850208,1.236193,1.009905,0.527073,-0.400914,-0.234039,-0.582355,-0.827777,-0.166182,0.275046,-0.687158,-1.46048,-1.174888,0.534837
$\mathbb{C}$,0.106508,0.966428,-0.382075,0.367107,-0.695765,-0.522675,-0.286062,1.062945,0.242067,0.599828,0.970099,-1.288588,1.373063,-0.724451,0.41001,0.771921,0.002745,-0.231283,0.28741,0.132771,0.019495,-0.924634,1.397335,-0.783526,0.825685,-0.765737,0.096085,0.505182,0.443227,0.266356,1.455383,0.107166,0.601849,-0.489038,0.716248,-0.919451,-0.081882,-0.368922,0.568041,0.79758,-0.823467,-0.978088,-0.071577
