word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
définition,0.243395,-0.703884,-0.880634,2.181276,0.365872,-0.34718,-0.235918,0.524323,0.047333,0.754475,0.222291,1.344653,0.342519,1.129093,1.586204,-0.357384,0.095637
réel,0.000852,-0.558269,0.015917,2.199795,0.079905,-1.350179,-0.197182,-0.022937,0.124633,0.143329,0.564447,1.536922,-0.029537,0.451071,0.51111,0.075024,-0.317745
dimension,0.448256,-0.778935,-0.867807,1.887079,0.421812,-0.265744,-0.330031,-1.085994,-0.443842,0.86489,0.309681,1.03899,0.030315,0.182277,0.565155,-0.006936,-0.356294
statistique,0.242322,-0.654054,-0.850141,1.269928,-0.086292,-0.214574,1.910248,1.122374,0.988682,1.326454,-1.231567,-0.435194,-0.816131,-0.691368,0.270879,-0.58202,0.657778
sommet,0.646942,-1.015246,-0.329859,0.63975,0.328783,0.341804,0.836501,-2.177593,1.131456,-0.294204,-0.477238,0.099384,0.128879,-0.931174,0.729627,0.522222,0.380818
logique,-0.008432,0.371786,0.00146,2.232206,0.595596,-0.381515,-0.28401,-0.139601,0.016576,1.134954,0.161869,1.045374,0.51992,1.589972,1.157404,-0.522369,-0.497124
terme,0.912199,-0.555509,-0.30111,1.466461,0.339616,-1.141006,0.419455,0.036961,0.105157,-0.108604,-0.051618,0.869997,0.662571,0.048433,1.231482,0.151574,0.185919
trois,0.521392,-1.21431,0.178061,1.828537,0.31753,-0.358147,0.223679,-0.476985,-0.061309,-0.280428,-0.282189,-0.435854,0.450281,-1.405167,-0.240817,0.553271,0.242057
plan,0.064859,-1.242142,0.434623,1.465998,0.457786,-0.706608,-0.574807,-0.84096,0.336722,0.442554,0.045485,0.275576,0.584096,0.137086,0.754759,-0.019316,1.049958
formule,1.324746,0.420485,-0.704562,1.847603,0.304513,-0.408758,0.128019,0.538355,-0.50294,0.420653,-0.908825,0.138474,-0.872986,0.048342,0.298559,0.571295,-0.249432
droite,0.655659,-0.584169,0.941602,1.667333,1.018038,0.602019,-0.023518,-1.164307,0.994566,-0.243794,0.002237,-1.046684,0.3678,-0.468237,1.522569,0.909864,-0.196896
$\mathbb{C}$,0.514185,-0.675245,-0.730242,1.46861,-0.001551,-0.211765,-0.182692,0.130794,0.003816,-0.160391,0.199469,-0.069684,-0.081702,-0.518452,0.265249,0.113787,0.600341
solution,0.395185,-0.502638,0.055774,1.391994,0.38217,-1.404513,-0.63791,0.141637,-0.401087,0.126118,-0.069869,1.604249,-0.672794,1.485817,0.698692,0.600287,1.282804
modèle,0.159789,-0.593394,-0.942909,1.945566,0.429711,-0.485206,-0.753375,-0.073227,-1.156292,0.180607,-0.805949,0.918291,-0.088405,0.456304,0.015807,0.415335,0.517879
linéaire,0.34231,-0.306688,-0.989298,1.995372,0.741654,0.871898,-0.483873,-0.933913,-0.058287,0.994466,-0.45749,1.598389,-0.849481,0.739645,1.434556,0.34766,-0.006011
probabilité,-0.016713,0.831186,-0.040788,2.054653,-0.168806,0.613789,0.572462,0.392903,0.223758,0.328386,0.63104,2.387548,-1.091312,0.1984,0.984428,-0.679708,0.510506
série,-0.844319,-0.89615,-0.947293,1.170643,-0.462255,-1.744227,-0.149917,0.043447,0.0432,0.176637,0.909383,-0.698285,-1.00732,-1.091007,-1.009221,0.813459,-0.81908
somme,0.738488,-1.074917,1.141829,1.327582,0.524425,0.546083,-0.238231,0.650032,0.116996,0.01412,0.510452,0.180652,0.099091,-0.417758,0.246142,-0.423206,1.055096
mesure,0.58444,-0.50342,-0.301578,2.016033,0.022219,-0.380883,0.498783,-0.198677,-0.388163,-0.18502,0.091162,0.85337,-0.159129,-0.17596,1.236734,-0.154838,1.533038
carré,0.552457,-1.685335,0.002704,1.324838,0.578321,1.519069,-0.607466,-1.105205,-0.601483,0.194468,-0.035253,-0.194942,-0.008081,-0.847234,0.532597,0.34033,-0.372664
vecteur,-0.81783,0.246743,-1.149582,1.68009,0.435985,0.897367,0.238447,-0.09958,-0.194547,0.145371,0.369661,1.749468,-0.670044,1.052447,1.723691,0.361765,0.568983
connexe,-0.60387,-1.515183,-1.559323,0.242868,-0.433842,-0.160659,-0.201206,-0.007808,0.08002,-0.046531,-0.669994,-0.889518,0.851658,-0.143219,0.976635,-0.764633,0.676166
classe,0.042883,-0.324411,-0.66544,1.201312,0.36665,-0.357791,0.455944,0.253242,-0.874838,-0.013592,-0.74136,-0.195738,0.486938,-0.386719,0.104959,0.353697,0.759004
produit,0.725611,-2.094105,-0.402358,0.806366,0.186214,-1.533424,-0.557561,0.753902,-1.078524,-0.615501,-0.16534,1.218966,-1.209324,0.693119,0.619669,0.896681,1.159037
égal,1.266197,-0.052151,-0.297641,2.17563,0.549568,0.661127,0.358881,0.471397,0.403312,0.4056,0.138823,0.990445,-0.734651,-0.735526,1.042002,0.119184,0.526902
cercle,0.024043,-0.528328,0.197645,1.018119,0.38622,0.283491,0.625103,-1.150815,0.013806,0.340367,-0.815914,-0.637817,0.988438,-0.033436,0.730359,0.063216,-0.908301
partie,0.492376,-1.402984,0.080943,1.189273,0.322802,-0.504299,0.043167,-1.030501,0.589575,-0.299364,-0.174396,0.094789,0.846839,-0.965164,0.509525,0.183358,0.891171
relation,-0.126189,-0.132958,0.46647,0.870907,-0.109331,-1.844874,0.407635,0.378836,0.730643,0.056632,0.1091,0.95504,0.990196,0.119898,1.097071,-0.463027,0.081595
courbe,0.601725,-0.675455,0.403384,1.664753,0.569667,1.473092,-0.390926,-1.520317,-0.020003,0.953474,-0.34717,1.03167,-1.148958,0.117691,0.881919,0.153901,-0.093535
différent,0.533977,-1.592094,-0.565411,2.127407,0.590169,-0.997757,0.23133,-0.338018,-0.408386,-0.045088,-0.320147,0.941399,0.671858,0.069555,0.803857,0.507231,0.232659
complexe,0.235342,-1.309293,-0.417143,1.050557,0.339817,-0.635946,-0.198732,-1.239607,-0.181547,0.20658,-0.574336,1.224865,0.151089,0.650239,1.090365,0.138166,0.39935
matrice,0.580182,0.244131,-0.665775,1.081682,0.962117,0.968404,-1.112086,0.014645,-0.644272,0.830542,-0.171177,1.635776,-1.053752,0.736656,1.543611,0.848978,0.270962
domaine,-0.301632,-1.704017,0.521623,0.92986,0.368105,-0.649833,-0.716494,0.030452,0.014242,0.198786,-1.066147,1.323003,1.293381,0.072051,0.65247,-0.635225,0.64763
fois,0.736119,-0.422893,0.143794,1.873575,0.046801,-1.111453,0.531445,-0.073798,0.053139,-0.448296,-0.192122,0.214696,0.192468,-1.441933,-0.487011,0.485047,0.190331
type,0.053301,-1.5092,-1.562888,1.786797,0.505418,0.236381,-0.189404,-0.491314,-0.99305,-0.087374,0.036229,0.730099,-0.220006,0.167507,0.881087,0.721467,1.191857
mot,0.662972,-0.665772,-1.138373,1.242287,0.649659,-0.381259,-0.468691,-0.092904,-0.352939,-0.426819,1.179337,0.52817,1.046534,-0.093762,1.421221,0.864433,-1.052999
algébrique,0.996808,1.098506,-0.531158,1.358697,1.366095,1.166875,-0.350291,-0.162371,-0.56284,2.347908,-0.154391,1.187535,-0.096096,1.216566,1.65867,0.279727,-0.358783
degré,0.105482,0.128223,-0.627733,1.177545,-0.62324,0.729082,-1.123101,1.292217,-0.510804,-0.511983,-1.333353,-0.210593,-0.432525,-1.825253,0.721132,-0.866774,0.044587
langage,-0.14845,-0.726285,-1.161067,1.501293,0.560779,-0.752435,-0.887999,0.306278,-0.614081,0.922022,0.017292,1.486946,0.739837,1.44254,0.925272,0.067609,-1.312527
nul,1.5949,0.828725,-0.310223,2.22421,0.100686,-0.033261,1.378978,0.097491,0.994334,0.249391,0.23284,-0.120378,-0.880834,-0.825951,0.601542,0.084481,0.164433
moins,1.110657,-1.227843,-0.074975,2.26697,0.07676,-0.447648,0.9792,0.006256,-0.086043,-0.738942,0.053318,1.101705,-0.083601,-1.078914,0.53638,0.277486,0.513216
objet,-0.102889,-1.412095,-0.388295,1.815857,0.067151,-0.594026,-0.629095,-0.74148,-1.130079,-0.063442,0.290355,1.222013,0.858218,-0.123056,0.694278,-0.195999,0.081813
triangle,-0.467806,-0.526562,-0.824248,0.336785,0.860371,0.775591,0.06523,-1.605424,0.058531,0.884345,0.164957,0.060001,-0.227086,0.006846,0.471414,1.050699,-0.263948
