word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
ordre,-0.175453,0.584786,2.529078,2.026184,-1.432065,0.604646,-0.066795,-0.342338,-0.292149,-0.320329,-0.878897,-0.263245,1.45402,1.004925,1.597554,-0.392154,0.790153,-0.04932,-1.096681,-0.06938,-0.292778
variable,-0.994912,0.68451,0.352856,1.648162,-2.769249,0.282613,0.869612,0.874267,-0.311645,1.11373,0.424311,-1.58003,1.853696,-0.567382,1.7416,-0.320576,0.682646,-0.361911,-0.293862,0.86944,0.659659
base,0.048499,0.310871,1.72539,1.266649,-1.043348,1.705972,1.670622,-0.448253,0.645691,-0.116915,-0.792574,-0.112386,0.858561,-0.812927,0.951511,-0.420802,0.30857,0.124293,-1.172129,0.20667,1.475755
géométrie,0.266483,-0.30552,0.988097,0.389407,-0.803174,1.424909,0.747049,-0.675418,0.798045,0.203898,-1.136545,-0.489318,0.614308,-0.230348,0.340916,-0.94777,3.304576,0.776748,0.669052,-0.486654,2.29005
analyse,-1.396517,0.495561,0.580549,0.385373,-2.463576,0.310265,0.602828,-0.651691,0.747816,0.352462,-0.450318,-0.998106,0.59579,-0.362656,-0.201364,-0.743702,2.443161,0.309779,-0.755304,0.294964,1.741519
loi,-0.444854,-0.408381,0.725089,1.679187,-2.160139,-0.014415,1.284803,1.660633,0.93031,0.801253,0.454271,-0.39409,1.099952,0.707163,1.437643,0.353058,1.918056,-0.663072,-0.766823,1.191984,0.298474
définition,-0.675912,0.421985,1.46598,1.452527,-1.28277,0.740005,1.096077,0.316841,-0.090563,0.571249,-1.40775,-1.016365,0.986872,-0.043728,1.226241,0.268739,1.299752,0.206607,-0.56192,-0.225232,1.222234
réel,-1.09512,0.545767,1.811599,1.409798,-1.06847,0.364919,1.965025,-0.433824,-0.100601,0.944197,-0.691483,-1.16056,0.143592,-0.034937,1.981729,0.009562,1.11149,-0.258278,-0.443012,0.778548,1.033726
dimension,0.38225,0.125234,1.647831,0.939559,-0.800751,2.218966,1.17953,-0.277901,-0.729789,0.376101,-0.771901,-0.433067,0.318253,-0.926263,1.287967,-0.164769,1.458265,-0.763044,-0.238712,-0.244432,1.552162
statistique,-0.693861,1.372058,0.74063,0.415696,-2.808676,0.374706,0.091721,-0.087141,1.690323,-0.551521,0.747258,0.044747,1.098805,-0.723505,-0.42541,0.118903,2.475532,0.560548,-1.400572,1.247368,0.075728
sommet,2.152917,0.62598,2.948019,1.311412,-0.73283,2.369504,-0.906575,1.334288,-1.121685,0.00963,-1.432838,-0.241844,1.201339,-1.123002,1.141699,-0.04279,-0.124974,-1.334243,0.372716,0.610409,0.85042
logique,-1.578577,0.108481,1.004244,0.852773,-1.210342,1.049266,-0.42955,1.298039,0.694532,-0.229479,-1.512454,-1.559421,1.509018,-0.098517,0.727331,-0.822843,1.640375,2.004023,-1.078672,-2.180636,0.239296
terme,-0.735738,0.130707,1.433263,1.519176,-1.540885,0.512453,0.582144,0.121745,0.348047,0.963634,-0.56595,-0.915526,1.164456,-0.356469,1.914889,-0.705158,0.203611,0.279881,-0.775763,0.221653,0.737432
trois,0.914755,0.5214,1.837641,1.545881,-1.393139,1.275647,-0.487506,0.047051,0.952196,0.118712,-0.801558,-0.210181,1.159327,-0.449581,1.649872,-0.752598,0.258073,0.238557,0.868081,0.481407,1.40638
plan,0.711999,0.729644,2.221961,1.171259,-0.190424,1.935883,1.293676,-0.213233,0.30053,0.579161,0.007025,-0.886833,0.665806,-0.950259,0.606345,0.939432,1.61961,0.437868,0.941151,0.441101,2.201395
formule,-1.065698,-0.649375,1.03281,1.807601,-1.289876,1.493239,1.177356,0.975504,0.937799,1.460128,-0.657526,-0.851592,1.442525,1.499049,1.148234,-0.25063,0.387081,0.620985,-0.571551,-0.302717,0.673516
droite,0.404902,0.894158,1.983931,2.031061,0.641351,2.033879,0.474093,-0.29526,0.490713,0.594717,-0.219316,-1.339052,1.356954,-0.422993,0.492191,1.470042,0.676675,-0.108974,0.902019,1.363088,1.671791
$\mathbb{C}$,-0.95325,0.890405,2.245776,1.014884,-0.134266,2.274409,0.995579,0.410905,0.19086,-0.280132,-0.553156,-1.423478,0.459472,-0.753893,0.717864,0.183577,-0.019298,-0.187176,0.151211,0.672542,0.286943
solution,-0.848451,0.515702,1.75293,-0.112445,-2.310613,1.452658,0.555941,0.231736,-0.372501,2.002083,-0.659416,-0.957157,-0.171472,0.22423,1.151034,-0.136561,0.289782,0.195015,0.527489,0.278393,0.972484
modèle,-0.590367,0.094605,1.201797,0.008932,-2.502387,0.28722,0.300543,1.155932,0.323685,0.419721,-0.637265,-0.713123,1.132013,-0.965777,0.337475,0.018468,1.467174,0.057978,-1.476774,0.191598,0.664159
linéaire,-0.637422,0.661459,1.138857,0.329318,-2.132992,0.988085,1.848821,-0.772426,-1.149948,0.584261,-0.44457,-1.478722,1.484272,0.232818,0.535194,-0.246847,1.382446,0.083994,-0.94916,0.163375,1.374086
probabilité,-0.756638,0.916727,0.653878,1.475852,-2.398172,-0.069026,-0.117299,1.492593,0.503513,0.497955,-0.399956,-0.793378,0.55661,-0.219573,1.39558,0.327229,1.501798,-0.52278,-1.075978,1.232077,0.44991
série,-1.025343,0.575325,0.455615,1.987444,-1.822853,0.66003,1.050125,-0.219042,0.845682,0.373614,-0.061293,-0.054972,-0.281862,1.013447,0.775455,-0.605477,1.328186,-0.163406,-0.72154,0.5067,1.689308
somme,-0.103377,0.506515,1.848619,2.517222,-1.779255,0.791732,0.969643,-0.457472,0.129113,0.847056,-0.882465,0.566327,0.330214,0.708059,1.550474,-0.738902,-0.018442,-0.893187,-0.612889,0.8262,0.891854
mesure,-0.293226,-0.299612,2.118235,1.071838,-1.223021,0.435228,0.936447,-0.400059,0.687094,0.172791,0.044625,-0.105159,0.302322,-0.450688,1.520885,0.945046,1.695214,-0.54226,-1.481147,0.517039,0.922062
carré,0.943731,-0.401634,2.633654,1.768046,-0.973626,1.908679,0.974628,0.372007,0.658904,1.015656,-0.386153,0.825591,0.507325,0.715256,1.133913,-0.802523,-0.345986,0.137368,-0.460188,0.553552,0.955648
vecteur,0.213198,-0.131981,1.168493,1.367296,-0.393715,1.569944,1.765429,-0.467987,-0.447999,0.429198,0.650722,-1.749292,2.584779,-0.499205,1.734946,0.494851,0.635249,-0.60132,-0.192737,1.536155,1.412684
connexe,0.166489,0.00622,2.126687,1.004155,-1.543907,1.008802,1.112922,0.926552,0.20316,-0.965467,-0.455234,-0.446221,0.02101,-0.206007,-0.060653,-1.047074,2.26382,-0.339263,-0.760009,-0.209805,1.020807
classe,-0.346795,1.323354,2.226462,0.455219,-1.541124,0.21054,0.545468,-0.081413,-1.073226,0.030462,-1.208586,-1.039655,0.682998,0.110241,0.811714,-0.678676,1.438742,0.225898,0.369774,-0.281088,-0.111572
produit,-0.005105,0.36096,1.233794,2.1648,-0.870418,1.226522,1.73327,-1.173515,-0.282339,-0.360602,-0.652918,-0.42156,1.745903,0.125031,1.320759,0.263407,0.199213,-0.060527,-1.23989,0.138015,1.293838
égal,-0.048343,0.493974,2.921917,2.061012,-0.554874,1.488553,0.804965,-0.338414,0.007283,0.587693,-0.496999,0.035391,0.315931,0.294825,1.555621,0.496598,0.209867,-1.048283,-0.292382,1.141278,0.177631
cercle,1.028601,-0.220849,3.30558,0.712739,0.385443,1.939339,0.447851,0.271387,1.230405,0.930484,-0.171105,-0.447724,0.316318,-0.018311,0.145063,0.875943,1.110871,0.213457,1.330401,1.287602,1.472473
partie,-0.144532,1.191109,1.684875,1.253683,-1.013468,0.553339,0.548883,-0.12284,0.681093,-0.515584,-0.641954,-0.863329,-0.382916,-0.145239,1.743902,-0.218385,0.951051,0.510078,-0.011141,0.354879,1.298102
relation,-0.730767,0.051828,1.333624,1.577684,-1.351374,0.978594,0.749544,0.072587,-0.007812,-0.087773,-0.79504,-1.018155,1.810292,-0.00218,1.209098,0.58918,1.09955,0.04097,-0.274163,-0.680017,0.135101
courbe,0.672609,-0.48374,2.307004,0.336156,-0.305669,0.94095,1.31644,0.331054,0.132428,1.583684,-0.102982,-1.259977,0.150469,0.559138,0.277867,0.416538,1.584236,-0.188529,0.966299,1.281482,2.247432
différent,0.151881,0.467027,2.24147,0.762145,-1.88766,0.695962,-0.07262,-0.091597,0.458157,0.595378,-0.625686,-0.358437,1.245969,-1.378965,1.266174,-0.139601,0.480913,0.222323,-0.489852,0.291434,0.922493
complexe,-0.710863,0.100962,1.417224,0.522454,-1.047782,0.816276,2.001103,-1.344147,-0.216559,0.695546,-0.876534,-1.000318,0.185111,-0.204916,1.327551,-0.663056,1.367003,-0.029132,0.134391,0.467381,1.596052
matrice,0.21612,-0.169364,1.309087,1.079186,-2.580448,1.319,2.082507,-0.611062,-0.884887,0.176718,0.051427,-0.717065,1.836707,0.262883,0.631124,0.293057,-0.40606,-0.893084,0.123538,0.626221,0.790982
domaine,-0.316852,0.95908,1.307929,0.067775,-1.997813,-0.145215,0.456958,-0.736839,0.603637,0.052485,-0.602823,-0.454678,0.252459,-1.103459,1.013075,-0.583801,1.94104,0.525357,-0.427163,0.368776,1.276322
fois,0.266772,0.828324,1.155891,1.155778,-1.632416,1.450742,-0.469695,-0.027344,0.697859,0.065422,-0.896993,-0.022817,0.458614,-0.079761,1.652867,-0.102777,-0.013282,-0.028372,-0.344043,0.750821,1.021241
type,-0.598995,0.5021,1.646249,0.692356,-1.771811,0.667265,0.968449,0.765132,-0.299613,0.286372,-0.242567,-1.304065,0.940035,-0.573349,0.855049,-0.937571,0.395462,0.409861,-0.299529,-0.316542,0.735233
mot,-0.059794,-0.303192,1.912166,1.181445,-1.109721,-0.389171,0.559463,1.129305,0.284561,-0.598415,-1.577122,-1.338501,0.699308,0.258337,1.536275,-1.162417,-1.106663,0.341556,-1.095596,0.072402,1.271232
algébrique,-0.370793,0.027876,1.631451,0.581749,-1.044797,0.642982,1.117769,-1.033316,-0.34932,0.153705,-2.083116,-0.936381,0.71644,-0.028732,0.907294,-1.152451,1.90829,0.532811,0.497329,-0.706996,1.456945
degré,-0.14946,-0.284001,2.382021,1.469652,-0.213262,2.194927,-0.603119,-0.48984,-0.17638,1.073654,0.108477,0.07518,0.702878,0.25624,1.382221,-1.035194,0.642783,-0.954212,-0.23402,0.042558,0.120411
langage,-0.747769,0.139171,1.552563,0.270317,-1.099637,0.275505,0.70619,0.721093,0.106457,-0.961703,-2.418964,-1.815968,1.21819,-0.547166,0.391089,-0.95673,-0.179782,1.506199,-1.301477,-0.937811,1.023275
nul,-0.51591,0.574273,2.189085,1.337687,-1.335203,0.853582,1.698939,-0.175328,-0.479003,0.682856,0.095136,-0.655448,0.267041,0.581867,2.480457,1.090426,0.535962,-0.410733,-0.069208,0.821927,0.055815
moins,-0.147218,0.80242,1.786384,0.832705,-1.263846,1.086331,-0.117481,-0.011191,0.368348,0.750654,-1.603692,0.226357,0.153711,-1.418785,2.156567,-0.051414,0.293691,-0.399145,-0.793481,0.670422,0.397786
objet,0.128697,0.235948,1.954863,0.537736,-0.930962,0.609355,0.407637,0.218411,-0.103812,0.10351,-0.562893,-1.1941,1.122397,-1.599478,1.872115,-0.048526,0.668384,0.758912,-0.264243,-0.52675,1.366136
triangle,1.249344,-0.528376,2.769831,1.457726,-0.145548,2.776874,0.828574,0.462751,1.298484,1.047944,-0.294585,0.829708,1.065454,-0.10059,-0.059437,0.551655,0.346889,0.309909,1.723501,0.213381,0.69205
structure,0.004158,0.378139,1.129703,0.280288,-2.01681,0.629692,1.086891,-0.451168,-1.078936,-0.715525,-0.839953,-1.262482,0.839111,-1.448375,0.847456,-0.164216,1.038881,-0.132411,-0.057647,-1.088019,1.528462
corps,-0.221186,0.172125,2.698762,0.48244,-0.315316,0.022134,1.094361,-1.396376,-0.603838,-0.202929,-1.106625,-1.120378,-0.06777,0.801231,1.853134,-0.661202,1.041589,0.601413,-0.085677,-0.515658,0.96617
rapport,-0.424694,0.093877,2.033976,1.456335,-1.042498,1.156233,0.259799,-0.651535,0.916619,0.180049,0.512464,-0.284521,0.516545,-0.468324,1.074769,1.080606,1.030301,-0.541002,-0.124655,0.632447,0.670884
longueur,0.396574,-0.641195,3.139246,1.979299,-0.372568,1.116088,0.009065,0.042662,0.30992,0.47979,-0.379755,-0.564875,0.555442,0.0769,0.760156,0.464687,-0.381978,-1.239156,-0.481432,0.811314,1.46734
informatique,-0.169184,0.752526,0.92187,-0.887746,-2.243847,0.685613,-0.167154,-0.818758,0.679221,-1.211484,-1.06236,-0.501946,1.286511,-0.81499,-0.597446,-1.241553,1.626483,1.314857,-1.444528,0.164769,0.550242
infini,-0.399593,0.0101,1.874675,1.495411,-0.555722,0.006203,0.501289,0.248314,0.226946,0.162436,-1.338729,-0.936767,-0.152389,0.18635,1.888569,0.268954,0.626877,0.140235,-0.595818,0.100889,1.200083
variété,0.666393,0.099407,1.296316,0.195731,-0.436264,1.2172,1.537183,-0.665409,-1.529411,0.457635,-1.26424,-0.50548,0.118234,-0.448328,1.443304,0.312218,2.571894,-0.268608,0.571059,-0.817301,1.737064
ligne,-0.019961,0.217104,1.387403,1.740705,-0.891498,1.515233,-0.694368,0.473496,1.13127,-0.377298,0.34904,-1.047357,0.109414,-0.396049,0.047842,-0.515339,0.12409,-0.367766,0.030346,0.59624,2.114368
positif,-0.935758,0.595638,2.107676,1.691523,-1.695534,0.643335,1.79349,-0.238972,-0.325767,0.632269,0.32196,-0.330167,0.10572,0.519753,2.397505,0.478112,0.311539,-0.533154,0.054675,0.558314,0.150551
angle,0.639735,-0.725431,2.678215,1.79831,0.317227,2.547696,0.471044,-0.254787,1.19402,0.840578,0.56514,0.746061,1.684258,-0.803919,0.872445,0.993747,0.90856,-0.501441,0.322071,0.12565,0.332261
polynôme,-0.543255,-0.600725,1.883663,0.994561,-1.543062,0.692399,1.775876,-1.393257,-0.702079,1.36543,-1.480081,-0.455838,1.630601,1.352398,0.719787,-0.844516,0.024861,-0.725694,0.56679,0.958637,-0.05283
centre,0.633883,0.921325,2.681036,0.418074,-0.351855,1.817476,0.27308,-0.81788,1.118964,-0.615967,0.708358,-0.466931,0.824326,-0.504881,0.027698,0.594034,1.988966,0.309812,1.259538,1.405931,0.525022
démonstration,-1.118602,0.108615,0.993179,1.245105,-1.329877,1.199384,0.340581,0.616907,1.217833,1.08807,-2.259375,-0.205172,-0.069006,0.225262,0.292053,0.214456,0.872603,0.873679,-0.149083,-0.712749,1.393342
vectoriel,-0.524951,0.103782,0.840924,1.364519,0.20378,1.258959,2.418202,-1.083431,-0.853025,-0.319947,-0.751287,-1.591588,1.436238,-0.38874,1.215979,0.62359,1.712903,-0.123685,-0.888982,-0.140007,1.801898
limite,-0.907036,0.695131,1.535105,1.278082,-0.865709,-0.004234,0.28344,0.017881,-0.391788,1.045721,-0.762016,-1.232106,-0.220011,0.71295,1.5244,0.72736,1.49825,-0.359872,-0.969536,0.596236,0.912092
représentation,-0.085075,0.151948,1.244117,0.859482,-1.198092,0.826846,1.457244,-1.033334,-0.250287,0.132796,-0.718318,-0.316992,1.434963,-0.350426,0.829748,-0.447047,0.647391,0.295968,-0.595239,-0.321839,1.190421
famille,0.738027,0.311322,1.067759,0.59373,-0.33949,-0.267335,0.562485,0.340064,-0.043582,-0.952326,-1.426135,-0.938801,0.893681,0.056198,1.920109,-0.029428,1.571168,-0.316099,-0.254365,1.682461,0.472638
arête,2.08465,0.663991,2.468755,1.233655,-0.733325,2.056703,-1.006093,1.173091,-1.398003,0.117455,-1.068117,0.005139,1.168447,-1.459337,1.213567,0.120633,-0.065765,-1.399776,0.095418,0.319493,0.559433
distance,0.230504,-0.540903,2.567053,0.942322,-0.428643,1.354055,0.334,-0.014322,-0.41219,0.522759,-0.137086,-0.568813,0.604499,-0.841208,0.666066,1.041449,1.160959,-1.588656,-0.679521,0.645449,0.758462
surface,0.8718,-0.402976,1.987012,0.157583,-0.583755,1.840454,1.096048,0.041475,-0.241672,0.767152,0.733743,-0.445499,-0.316418,0.016016,0.760402,0.38506,1.916099,-0.179973,0.762861,-0.32243,1.932194
aléatoire,-0.112522,0.490193,0.341837,1.140271,-2.558504,-0.937326,1.062535,1.714834,-0.181737,0.648931,-0.391745,-1.010741,1.00891,-0.789843,1.155977,0.155528,0.959069,-0.86199,-0.882406,1.66674,0.937698
naturel,-1.242835,0.804851,1.372507,1.73678,-1.151779,0.198857,0.251351,-0.799558,0.225384,-0.134232,-1.04645,-0.621528,0.597567,-0.334052,1.765351,-1.206473,0.354336,0.411972,-0.498686,-0.449001,0.38904
normal,0.395834,0.979854,0.671752,1.165966,-0.934655,0.639684,0.948222,0.718668,-0.594959,0.151623,0.488757,-0.527371,0.966999,0.834366,1.366719,-0.646596,2.770978,0.045439,-0.511338,1.624413,-0.250396
arbre,0.960181,0.515253,1.879816,0.697485,-0.85401,0.084529,0.000323,1.241054,-0.917904,-0.101553,-2.158918,-1.487511,1.553803,-0.680698,-0.689813,-0.558621,-0.454267,-0.427458,-0.921768,1.587676,1.39841
