word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
problème,-0.465308,0.309858,0.150781,1.372801,0.18501,0.27454,-0.389651,0.101241,-0.306564,1.541269,1.009264,1.178056,-0.828089,-0.129903,0.027511,0.430831,0.638536,0.490045,-0.547813,0.035646,-1.778191,0.755017,-0.028875,2.499106,0.106804,1.371571,-0.772368,0.533965,-0.139408,0.219428,1.14738,0.945582,0.503417,0.055914,-0.521576,1.575444,-0.315457,-0.644334,0.357951,-1.698343,-0.442968,0.222178,1.163863,1.143327,-0.817519
valeur,0.460178,0.54577,-1.005333,-0.117934,0.577969,-1.263675,1.299613,-0.204813,0.06831,0.367637,0.763667,1.494476,-0.905562,0.292017,0.419341,-0.394732,0.933606,0.874896,0.083382,0.090679,-1.853446,0.671334,1.527769,0.162623,0.01286,0.884328,-0.719265,-0.245677,-0.296283,-0.694863,-0.664691,0.802677,0.502958,0.971898,0.094227,1.267231,0.626112,-0.595609,-1.002278,-1.473547,-0.214946,0.366428,0.526703,1.311288,-0.678033
groupe,-1.739119,-0.878227,-0.430211,0.914109,1.460974,0.260428,0.646717,0.209166,0.897804,1.117276,-0.308758,1.305519,0.913716,0.714638,-0.274324,-0.547695,2.068707,1.157809,1.59298,-0.28153,0.493204,0.850072,-0.32459,0.174132,-0.486797,0.798532,-1.431846,-0.273297,-0.569803,0.260187,-0.189723,0.377176,-0.154905,-0.049743,-0.626691,1.302493,0.998592,0.555592,0.577509,-1.431714,0.610474,-0.579475,-0.12696,1.400706,-1.295003
graphe,0.521627,-0.418776,0.272771,1.019035,0.362981,1.381891,0.575718,-0.001415,-0.218677,-0.628244,1.026623,0.671266,0.051668,0.833046,-0.219138,-0.986635,1.657824,-0.273541,2.360897,0.465027,-1.349425,1.666559,-1.330351,1.562322,0.386194,1.409566,-1.337933,0.45503,-1.135669,-0.675019,0.43399,0.636265,-0.164547,-0.196781,-0.13259,1.840545,-0.429646,-0.746422,0.135841,-1.324193,-1.004788,-0.531976,-1.219119,1.857897,-0.574715
forme,-0.64345,-0.350162,-0.660543,0.398173,0.898209,-0.179946,0.335894,-0.633772,-0.087106,0.545297,0.123784,0.851156,-1.004452,-0.114835,0.928187,-0.39385,1.093115,1.051815,0.635538,-0.820809,-0.603087,0.874001,0.463998,1.053379,0.431568,0.559778,-0.517785,-0.320197,0.340351,-0.303893,0.674232,0.185165,0.34354,-0.163892,0.132948,1.58557,1.576935,-0.725059,-0.592198,-1.854978,0.190033,0.604253,0.211907,0.905305,0.167425
entier,-0.404273,0.45355,-0.839422,0.242597,1.453988,-1.875781,0.030511,-0.24097,-0.430812,0.5121,0.078625,1.706859,0.269818,0.741325,0.136386,-0.172133,0.921624,1.167921,-0.20823,0.97946,-0.710241,1.271479,-0.086577,0.570755,-0.142375,0.591307,0.632672,-0.415357,-0.603379,0.093967,-0.056209,0.896726,-0.056745,0.262877,1.148995,1.489694,0.86179,0.1125,-0.787517,-2.429553,0.084572,0.047616,0.476953,2.027454,-0.429024
système,-0.467048,0.289061,-0.605004,1.062662,0.434123,-0.03673,-0.979459,-0.214328,-0.278245,1.887319,0.669413,0.901485,-0.641298,-0.378938,0.214347,-0.313879,-0.774082,0.848129,0.293159,-0.239678,-0.336568,1.013483,0.174612,0.687369,0.608383,1.159306,-2.450014,-0.23869,0.053254,0.420488,-0.228974,0.144369,0.142842,-0.078271,-0.531073,1.659791,0.753098,-0.300905,-0.439886,-1.189328,0.35153,0.569342,-0.105363,1.350348,-0.238717
équation,-1.424581,0.119644,-0.799168,0.745751,-0.245107,-0.078969,0.320562,0.273355,-0.23079,0.708767,-0.438869,1.510828,-0.905017,-1.026285,0.839175,0.560626,0.395533,1.465741,0.500755,0.213755,-0.637554,0.113406,0.686862,0.47357,0.562316,1.280174,-0.911631,0.643273,0.298436,0.088628,1.514764,-0.183284,0.597449,-0.121064,-0.818882,2.104896,1.002137,-1.599187,0.062181,-0.710704,0.058872,1.115046,1.498633,2.049528,-0.42084
suite,0.637288,-0.222089,-1.146689,0.082624,0.860459,-0.637303,1.068209,-0.304806,-0.330498,0.500335,0.913033,0.652569,0.357478,-0.190833,0.361799,-0.049918,1.50711,0.819734,-0.339,0.666734,-0.5291,1.136843,0.346978,0.322253,0.298291,0.734239,-0.631956,-0.646875,-0.497458,-0.696907,0.124573,0.206564,-0.127825,-0.500215,1.078774,0.748165,1.089433,0.273216,-0.935783,-1.768795,0.54638,-0.460693,0.517007,2.379504,0.433177
algorithme,0.335906,-0.022064,-0.9354,1.412001,0.280785,-0.626845,-0.019427,-0.716214,-0.500321,0.458406,1.333102,0.121778,-0.802886,0.044617,0.061807,1.229636,-0.036906,-0.280179,0.313916,-0.642512,-2.490846,0.478518,0.676494,1.845101,-0.760515,1.250325,-1.484628,0.937506,-1.320779,0.754065,0.360024,0.68532,-0.426987,-0.324906,1.042779,1.000063,-0.059278,0.325996,-0.746906,-1.451791,-0.025605,-1.108743,0.554675,0.924969,-0.571146
