word,1,2,3,4,5,6,7,8,9,10,11,12,13,14
réel,-0.082614,-0.761895,1.41654,-2.672627,-1.632586,0.653755,-0.303761,0.164313,1.566301,-0.234477,-1.438176,0.682662,1.830269,-0.485687
dimension,0.691412,-1.281661,2.108582,-1.847885,-1.680612,0.454404,-0.685616,0.33126,1.009308,0.911925,0.342568,0.143859,1.627947,0.028733
statistique,-0.863428,1.202173,0.581798,-0.710008,-2.552612,1.010016,1.30301,1.67496,2.030324,0.127677,-0.762159,-0.686348,-0.732869,-1.693392
sommet,1.867513,-1.005546,1.108299,-1.819252,-3.047109,1.275389,-0.480419,-1.112784,-1.38371,0.882915,0.787859,-1.474692,1.950372,-0.157654
logique,0.203817,-0.371617,-0.810164,-1.699558,-2.081884,-0.755706,0.999313,1.847262,2.651815,-0.206419,0.132138,1.897571,0.935246,0.119487
terme,0.438995,-0.834329,-0.165591,-2.21754,-1.685156,0.594146,-0.467688,0.766568,1.546235,-0.076481,-1.23592,-0.141264,1.473725,-0.508872
trois,0.453405,-1.116925,0.317555,-1.698886,-2.528305,1.557111,-0.355569,-0.253276,0.97409,0.388362,0.31989,-1.423188,0.994074,0.598999
plan,1.083538,-0.210938,2.083849,-1.880588,-1.955089,1.433514,-1.099374,-0.23104,1.234979,1.5432,-0.230865,0.355021,0.743783,1.320807
formule,1.790203,-1.262586,0.297391,-2.018787,-1.311579,-0.339466,-0.30932,0.518273,2.210118,-0.851767,-1.562978,0.098021,0.903006,0.377163
droite,1.171526,0.001597,1.644425,-2.061483,-2.253686,1.366671,-1.910286,-0.802056,0.454211,0.214583,-0.693895,-0.029424,0.377721,1.446704
$\mathbb{C}$,0.581615,-0.621826,1.338094,-2.025769,-2.741981,0.666665,-0.686568,0.625433,-0.325561,-0.588643,-0.39856,0.127685,0.96324,0.628091
solution,0.460055,-1.220756,1.199999,-2.2131,-1.82495,-1.105963,-0.318033,0.384222,1.087196,0.757255,-1.164702,-0.889824,0.905252,-0.460887
modèle,0.517514,0.340781,0.152927,-1.603409,-1.886107,-0.182159,1.215342,1.235844,1.415749,0.889135,-1.161656,-0.235587,0.721235,-1.150966
linéaire,0.390664,-0.685282,1.927227,-1.791087,-1.688791,-0.151423,-0.15195,0.747413,1.703927,0.809132,-1.362155,0.601455,0.966998,-1.637283
probabilité,0.190865,0.957131,-0.110101,-2.530149,-2.052695,-0.039708,0.663968,0.575094,1.179645,-0.519542,-1.372785,-0.659858,0.779453,-1.19459
série,0.040204,-0.764096,0.843527,-1.679104,-1.10073,0.351675,-0.265855,1.039781,2.642321,-0.895724,-0.508544,-0.286294,0.639446,-1.037889
somme,0.559188,-1.809702,1.031624,-2.076761,-1.064796,1.174298,-0.326225,0.412535,1.087736,-1.069345,-0.866334,-1.260273,2.064109,-1.043281
mesure,0.022926,0.097058,1.146795,-2.14652,-1.380734,1.205514,0.15443,0.380991,1.543675,0.295948,-1.428306,-0.254005,1.196962,-0.173199
carré,1.807049,-1.525086,0.614285,-1.86352,-1.001795,1.476072,-0.63449,-0.259287,1.261795,-0.486599,-0.467937,-1.65052,1.682947,-0.1813
vecteur,1.442094,0.398966,1.582202,-2.029286,-1.88756,1.389242,-2.132332,-0.251836,1.125988,0.539674,-1.416806,0.818672,0.450306,-0.511281
connexe,1.164875,0.05797,1.647001,-1.359291,-1.882948,0.880869,0.984233,0.806779,1.66263,0.051598,0.864163,0.427677,1.184665,-0.731361
classe,-0.279433,-0.856357,1.237367,-1.270261,-2.382212,0.268256,0.400412,0.205229,0.334721,0.368658,-0.269171,0.773143,1.366122,-0.916463
produit,0.49849,-1.323891,1.231767,-1.416173,-1.597365,1.61238,-1.044603,0.408703,1.314108,0.139306,-0.967225,0.766942,1.467489,-0.670635
