word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
équation,0.577365,-1.339176,-0.72974,1.464366,-0.323551,-0.265063,-1.075359,0.291502,-2.027397,-0.691418,0.087803,0.891961,-1.232336,1.202931,-0.11791,0.946215,-1.004371,2.044359,0.871348,0.57057,-0.273783,-0.277967,0.17379,1.17185,0.77946,-0.859447,1.891363,-1.445807
suite,-0.526459,-1.217195,-0.867172,-0.546709,-0.478751,-0.820603,0.178866,-0.29959,-2.5485,0.335328,-1.048921,-0.019403,0.377316,0.522985,0.333905,0.217522,-0.563672,0.813282,0.200497,-0.532672,-0.657447,1.456885,0.704308,-0.725894,1.002863,-1.574159,0.981758,-1.825536
algorithme,-0.408146,-2.046875,-1.000191,1.234225,-0.872213,-0.584744,-0.459546,1.254636,-0.866309,0.029449,-0.986115,-0.580054,-0.659509,0.063181,0.223805,-1.003416,1.384402,0.761995,-0.923583,-0.694964,0.443875,-0.726311,0.989758,-1.005704,2.190461,-1.114005,1.783391,-1.547267
calcul,-0.14335,-1.357546,-0.309398,0.38897,-0.719847,-0.465573,-0.112944,1.194396,-1.44346,0.676859,-0.536648,0.151976,-0.496644,0.585496,-1.08359,-0.443632,0.202245,2.118223,-0.335766,-0.388998,-0.384884,-0.428761,0.710685,0.35344,0.817843,-1.087978,2.003534,-1.45908
application,-0.383109,-1.751767,0.610273,0.81473,-1.543078,-1.275272,-0.403363,1.29725,-1.831261,-0.120336,0.463412,-0.189212,1.039683,1.166612,-0.37167,0.987813,0.225811,0.430886,-0.393143,0.736368,-0.641448,0.141343,0.236463,0.259223,0.339073,-0.705872,1.529557,-0.780239
élément,0.615664,-0.83179,-0.391043,-0.432222,-0.345561,-0.902228,0.183318,0.095177,-2.188494,0.38524,0.156228,-0.918341,0.840719,1.576227,1.264345,-0.99288,-0.626201,0.789349,-0.146616,0.655648,-1.229145,0.141501,1.383273,-0.136123,0.856031,-1.420308,0.843796,-0.989808
grand,0.246457,-0.942739,-0.290433,-0.975813,-1.078265,-0.96667,0.064686,0.164046,-0.382692,-0.136231,-1.052607,0.601443,0.292765,0.948018,-0.006703,-0.84726,0.274897,1.047537,-0.63355,0.005038,0.081065,1.393701,2.067285,1.094799,0.870018,-0.890606,0.532976,-2.168205
propriété,0.532403,-1.00733,-0.010902,-0.733139,-0.856215,-0.839333,-0.818077,-0.23955,-1.679453,-1.224732,0.362577,-0.20588,0.751799,1.297034,0.197481,0.165845,-0.181419,1.024658,-0.229441,-0.320431,-1.072692,0.64352,1.31404,-0.34137,1.06735,-0.35521,2.251634,-0.934907
ordre,0.413535,-1.192769,-0.286334,-0.953235,0.181852,-1.33807,-1.254191,-0.585059,-1.592383,0.825059,-0.002343,-0.476744,0.454547,1.167779,0.193168,0.437566,-0.264957,2.018367,-0.835728,0.104129,-0.643615,1.056867,2.00844,0.029096,1.159715,-0.044478,0.794744,-0.86169
variable,1.618906,-2.067879,-0.045391,-0.216349,0.316209,-2.098679,0.481939,0.006412,-2.512157,-0.037546,-0.131289,-0.418459,-0.006304,0.20145,-0.494542,0.668168,-1.026323,0.431109,1.621393,1.08843,0.637064,-0.140501,0.298611,-0.242726,1.48865,-0.967531,2.005868,-0.803335
base,0.014818,-1.527922,-0.497294,0.10574,-0.633239,-0.621366,-0.206984,0.606594,-1.484919,0.51335,0.649213,-0.022357,1.529855,2.135049,-0.513621,-0.911561,0.096732,0.500433,0.574429,-0.421918,-0.544029,0.110407,0.736181,-0.091351,0.679658,-0.696177,1.295007,-1.085678
