word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
théorème,0.966203,0.694948,-0.427217,0.622777,-0.15835,1.27199,-1.278226,1.111167,-0.914128,0.538662,0.124538,-0.305038,0.742991,-0.380929,0.023005,-1.677878,0.39796,-1.3739,-0.028497,-1.080048,0.759943,0.621032,0.222337,0.613533,0.373906,0.458886,-0.687744,-0.953986,-0.203276,0.356922,0.860868,1.857525,0.347621,-0.619409,1.825507,-0.990855,-0.21745,-0.171575,-1.273265,0.338163,-0.831284,-0.149054,1.231151,0.117593,0.605239,-1.742542,-0.357666,-0.042219,-0.577793,-1.829006
problème,0.753169,0.007405,-0.600357,-0.225035,0.29036,-0.00163,-1.154119,1.249905,-0.351257,-0.51023,-1.048271,-0.63518,0.378025,0.518423,0.564249,-1.19965,-0.081478,-0.617748,-0.084967,-1.494951,-0.047634,-0.154897,-0.299599,-0.605707,2.387044,0.728852,-1.293872,0.083125,0.147253,0.074563,1.313029,0.390903,1.449789,-0.917872,0.377709,-0.811961,0.519908,-0.402661,-0.766396,0.265054,0.128039,-1.12358,0.221283,-1.450251,0.553961,-0.627359,-0.097627,-0.807906,0.281639,-1.953407
valeur,0.544816,1.579979,0.482516,-0.860085,0.521283,0.246924,-0.546753,-0.070191,-0.075298,0.25778,-1.500372,0.292021,1.28768,-0.869679,0.76339,-1.658281,0.105753,0.123148,0.407643,-1.304977,-0.287016,0.32297,0.004337,-0.899129,0.378902,-0.277415,0.108782,-0.852199,-0.62668,0.229113,0.785051,0.578069,-0.232573,0.4263,-0.005016,-0.612135,1.272946,0.375787,-0.524198,1.0802,1.480857,-0.573995,-0.049883,-1.057516,-0.244012,-1.559039,0.557978,-0.26934,-0.328582,-1.324301
groupe,0.663445,0.078523,-0.344799,-0.046734,-0.00411,1.31228,1.36287,0.615299,-0.422225,0.779768,0.249733,0.948621,1.223848,-0.31617,-1.161601,-1.593271,0.408509,0.430227,-0.80767,-1.819218,0.026298,-0.062858,-0.358878,-0.213101,0.879888,-0.36378,0.042019,-0.387684,-0.685712,0.875166,-0.028286,-0.141716,-0.586382,-0.122083,0.766383,-0.134435,1.262251,-1.307141,-1.059967,-0.77682,-0.625462,-0.033334,0.870439,-1.52829,0.41732,-0.144233,-0.614902,0.97904,0.279063,-2.512699
graphe,0.021741,0.441144,1.013216,-0.122496,0.837059,1.070224,1.371162,0.816408,-0.447733,0.091385,0.03464,0.158471,0.590974,0.523234,-0.75377,-0.682742,-1.498207,0.337074,0.180592,-0.864473,0.556685,-0.031391,1.060569,0.005791,2.525834,2.26597,-0.603497,-0.043181,0.405353,0.778243,-0.136737,0.976281,-0.684051,-1.702403,0.862377,-0.527592,0.771969,-0.109189,-1.920401,-0.853877,-0.000913,0.745774,0.699667,-1.16417,-0.123282,-1.556669,-0.114923,-0.583528,-0.848832,-3.056121
forme,-0.332851,0.618153,-0.379227,-1.018751,0.041226,0.742039,0.070515,0.607425,0.71493,-0.223157,-0.402159,-0.026799,1.08206,0.35577,1.317166,-1.194575,0.640949,0.081014,-0.098495,-2.051167,-0.132474,0.873047,-0.267156,-0.532719,0.292094,-0.29989,-0.437274,-0.448428,-0.454795,0.055735,0.091697,0.01585,0.62407,-0.652698,0.074339,-0.689092,0.209859,-0.245307,-0.027423,-0.049891,0.093946,-0.550833,1.16258,-0.66187,0.142208,-1.351506,0.098454,0.263287,-0.464244,-2.468794
entier,0.644543,1.416088,-0.078442,-0.802319,-0.115734,0.934831,-0.370687,1.247637,-0.595095,0.415395,-0.321085,0.196694,0.738359,-0.660271,0.714611,-2.081596,-0.125413,-0.055227,-0.276787,-1.235435,-0.708586,-0.661206,0.829073,-0.799935,0.151405,-0.243572,0.646233,-1.209136,-1.394629,0.172132,0.403204,0.015767,0.195893,0.078661,-0.372966,-1.284589,-0.127757,-0.682215,-0.027219,-0.485501,0.43911,-0.564747,-0.101682,-0.697809,0.2138,-1.466707,-1.172069,-0.180488,-0.539673,-2.160336
système,0.97941,-0.24513,-0.6388,-0.397961,-0.353259,-0.076559,-1.289286,0.397706,0.024001,0.086049,-0.609234,0.290429,0.483072,-0.267116,0.30697,-0.768498,0.491496,-0.687491,0.9047,-1.126783,-0.726831,0.68122,-0.365116,-0.559565,1.231475,-0.117417,-1.037917,0.050626,-0.723102,-0.258895,-0.18732,-1.361072,0.270971,-0.63333,0.632218,-0.615579,1.337226,-0.958127,-0.02008,-0.977966,1.392264,-0.876776,0.944187,-1.049902,0.514496,-0.93897,0.847343,-0.341419,-1.087021,-1.866618
équation,0.370541,0.512111,-1.291105,-0.279931,0.729462,-0.03476,-0.950811,1.336862,-0.533102,-0.600339,-0.187047,1.349817,0.151065,0.722646,2.295406,-1.8266,1.1202,0.254576,-0.003798,-1.579299,0.042916,0.918982,-0.247556,0.178848,0.574869,-0.399989,-1.270068,-0.454686,-0.086353,0.494704,0.180265,-0.118021,0.644078,0.255627,1.025008,-0.445843,0.472898,-0.682926,0.120364,-0.010837,-0.77677,-0.772352,0.52911,-1.593028,-0.65366,-0.303529,0.537297,-1.065967,-0.384381,-2.085853
suite,1.02917,1.418597,-0.550266,-0.198873,0.269907,1.551464,-0.131883,0.549928,-0.542279,0.289973,-0.133542,0.126634,1.045314,-0.934137,0.816502,-1.394654,-0.048689,-0.200133,0.39402,-1.108557,-0.916563,0.166771,0.949294,-0.544918,0.31928,-0.776252,0.263763,-0.145066,-0.87806,0.188019,0.308409,0.660345,-0.310115,0.049247,0.412326,-1.882997,0.071289,0.829501,0.075682,-0.039101,0.744276,0.693696,0.492615,0.239271,0.235208,-0.902068,0.150656,-0.311736,-0.500285,-1.948449
algorithme,0.571449,0.72883,-0.184477,0.700444,-0.269338,-0.769611,0.187938,-0.143545,0.399361,0.363507,-1.883315,-1.300759,-0.560576,-0.633088,1.10085,-1.219136,0.303138,-0.748219,-0.350933,-1.389944,-0.226068,-0.155017,0.374932,-1.838884,1.188972,0.999917,-2.078095,-0.633485,0.083529,-0.152243,0.471687,1.166166,-0.314805,-0.46066,-0.140953,-2.035113,0.562602,0.52329,-1.04774,-0.937287,0.337275,-0.274784,-0.063225,-0.351235,0.515138,0.017911,-0.012252,-0.916434,-0.743358,-2.018772
