word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
problème,0.218197,0.5501,-1.358372,-0.397804,-0.48391,-0.296219,-0.714606,-0.322225,-0.457254,0.143577,0.427423,-0.356165,-0.95077,0.89256,-0.111737,-0.213313,-0.951087,0.259304,-0.136177,-0.143819,0.809449,0.266776,0.377335,0.684825,0.359626,0.108162,-0.126388,-0.034486,0.651151,-0.557191,0.08149,-0.807508,-0.256069,-0.291135,-0.298853,0.753696,0.051048,-0.02011,-0.217684,0.293309,0.120407,0.256254,0.379484
valeur,-0.03221,0.457471,-1.580073,-0.720419,-0.812275,-0.498989,-0.407999,0.861245,-0.50017,0.38364,0.16717,0.00199,-1.249317,-0.725039,0.055963,1.12973,-0.399441,-0.338384,-0.567306,-0.25246,0.903404,-0.913498,0.319229,1.3281,-0.091969,-0.127079,-0.840134,-0.319689,-0.165041,0.34046,-0.195545,-0.825039,0.534593,0.036493,-0.563241,0.074783,-0.510683,0.131849,-0.34462,0.447058,0.475855,-0.300167,0.412588
groupe,-0.094172,-0.184089,-1.075434,0.172858,0.805305,-0.188451,-0.719077,-0.558893,0.004599,-0.908388,-0.308105,0.186927,0.581162,-0.262685,-0.374576,0.024774,-2.150193,0.149971,-0.603104,-0.569384,0.277665,-0.36017,0.123066,0.143665,0.287387,0.710941,0.089123,0.524173,-0.951437,0.791471,-0.408883,-0.41555,0.402583,0.13726,-0.39314,0.746774,-0.094359,0.135481,0.326304,-0.757629,0.693305,0.404745,-0.019367
graphe,0.408784,0.780596,-0.371165,0.464712,-0.304787,0.061501,-0.120606,0.141275,-0.091079,-0.30846,0.398615,-0.1563,-0.953108,-1.289852,1.010761,0.138848,0.848608,-0.124781,-0.198627,0.576584,0.970208,-0.255851,-0.643801,0.665743,-1.241818,0.45495,-1.324255,1.19872,1.149017,0.746974,-0.514815,0.073075,0.110061,-1.318689,-0.305486,-0.931338,-0.460761,0.315307,-0.367086,-0.050253,0.270733,-0.274832,0.181999
forme,0.213385,0.381995,-2.021154,-0.916273,-0.120753,-0.053151,-0.341305,0.707936,-0.377753,-1.216027,-0.673007,0.115609,-0.396724,-0.027696,0.038879,0.062052,-0.61854,-0.105873,0.463865,0.11333,0.205842,0.0261,0.132514,1.100697,-0.283307,-0.28576,0.020463,0.206561,-0.479347,0.031891,-0.272118,0.357039,0.552804,-0.967541,-0.669385,0.133843,0.225633,-0.132975,-0.241306,-0.444554,0.27536,0.078633,0.541442
entier,-0.2818,-0.051079,-1.390659,-0.296323,0.113932,-0.548589,0.343498,0.717292,-0.734002,-0.501018,-0.67403,0.100105,-0.28724,-0.350148,0.014053,-0.308484,-0.754908,-0.374888,-0.068761,-0.63702,0.248704,-0.201316,0.1068,0.768194,-0.031611,-0.243711,-0.553781,0.197072,-0.362783,0.17408,-0.094394,-0.396795,0.417252,-0.306523,0.095122,0.161831,-0.146754,0.187144,-0.19978,-0.187392,0.624552,-0.015007,-0.119662
système,-0.044113,0.681754,-1.562445,-0.657032,-0.26373,0.333086,-0.871329,0.140697,-0.229808,-0.433773,0.082005,0.415818,-0.835486,0.038163,0.776155,-0.084119,-0.688336,0.240668,-0.015289,0.537246,1.642662,0.762717,-0.38197,1.288106,0.118588,0.495312,-0.716263,-0.277069,0.358588,-0.833342,-1.33975,-0.865693,-0.606249,-0.961013,-0.798421,0.317189,-0.335509,-0.07036,-0.177327,-0.761005,0.754273,0.026419,0.16897
équation,-0.123735,1.338213,-0.714278,-0.022672,-0.114785,-0.16811,-0.857399,0.11155,0.418375,-0.488078,0.363157,0.573676,-1.360168,0.754985,0.538321,0.946673,1.221945,-0.325838,1.420972,0.702925,0.927416,-0.820723,0.064033,0.507146,-0.155098,0.183866,-2.513568,1.410065,1.546346,0.222037,-0.220952,-1.506903,0.713169,-0.777185,-0.71703,-0.412835,0.217383,0.568695,-0.145731,0.302711,0.312869,-1.039437,0.269867
suite,-0.933887,0.263965,-0.524296,-0.394553,0.037947,-0.376433,-0.130123,-0.294146,-0.358292,-0.478776,-0.073751,-0.203279,0.044771,0.737037,-0.156376,-0.215237,-1.147844,0.009641,0.300705,-0.612532,0.336979,-0.005721,0.332467,0.488795,0.623342,0.353328,0.378304,0.171116,-0.534765,-0.787626,-0.400272,0.195379,-0.384028,0.053909,0.331013,1.235209,-0.225828,0.146295,0.455222,-0.270819,0.409572,0.080769,-0.12257
algorithme,0.092953,0.483929,-0.591121,-0.956311,-0.346323,0.13543,-0.663614,-1.032491,-0.087765,-0.26785,-0.295946,-0.992165,-1.280375,-0.390302,0.733686,0.008238,0.63122,-0.354604,0.370446,1.057098,1.022971,-0.685257,-0.471812,0.820516,0.160328,0.307951,-1.5832,0.24146,1.776086,0.096902,0.093696,-0.546283,-0.954318,-1.616774,-0.908768,-0.353644,-1.08446,0.090424,-0.52,-0.451405,0.314969,0.554266,-0.360708
