word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
théorème,0.268725,0.973057,-0.883365,0.729041,1.196813,-0.764031,0.350601,-0.425683,-0.478977,0.211488,-0.423863,1.855193,-1.580338,1.14375,0.382217,-0.831889,-0.3934,-0.372182,-0.27899,-0.807384,-1.34382,-0.554684,-0.237594,-0.255658,-0.417687,-1.077014,-0.424785,-0.972167,0.51006,0.705819,0.921686,-0.951996,-2.16738,-0.045738,-0.544739,1.914303,-0.232298,0.056754,0.042586,-0.68243,1.227395,1.666763,0.151392,-0.607754,0.303662,0.07059,-1.592132,1.051337
problème,-0.681041,-0.486093,0.060574,1.186614,0.481115,0.30129,0.809742,-0.401672,0.379716,0.488505,-0.695887,2.094782,-0.614275,-0.856548,-0.131623,-0.042021,0.482725,-1.30612,0.567113,1.237751,-0.598198,-1.25912,1.057909,-0.545601,-1.062346,-1.291527,0.124694,-1.51986,-0.539911,1.598084,0.166668,-0.900817,-1.589283,-0.353936,-0.019069,1.591213,0.008339,0.077882,0.27689,1.110788,0.068961,0.968983,0.496999,-0.319179,0.871852,-0.732567,-1.141058,0.56459
valeur,0.911469,-0.102355,0.969424,0.333377,0.897556,0.581535,-0.650417,0.602488,0.48143,0.552523,-0.40533,0.142678,-1.694091,0.645885,0.199625,-0.19996,0.245328,-0.184391,-0.918799,0.303953,-1.064197,-1.711329,-0.216181,-0.188852,-1.751253,-0.199786,-0.545056,-0.129865,0.380898,1.138107,0.078438,-0.819389,-1.37158,0.515897,0.568929,0.267763,0.825764,0.542319,0.761207,1.033023,-0.121566,1.075802,0.089603,-0.181251,2.037102,0.454909,-1.274391,-0.908973
groupe,-0.018974,1.043007,-0.163296,0.429295,0.590996,0.60352,-0.107152,-1.969198,-1.432025,-0.13359,-0.955686,0.268291,-2.06457,-0.407494,0.245139,-1.425621,1.294675,0.369517,-0.354023,-0.271561,-0.822931,-0.677168,0.6719,0.736714,1.13714,0.173127,-0.528385,-0.44893,-0.717189,1.968426,0.122349,0.172134,-0.14959,0.204114,-0.472364,0.16585,0.21196,-0.578786,0.592747,1.383554,0.953742,1.81618,0.213568,-0.919979,0.389949,-0.329146,-1.260492,0.202391
graphe,-1.158841,-0.340119,1.016931,-0.43672,1.196856,0.308664,-0.253786,-1.319086,-0.033249,-0.718222,-1.958692,0.224064,-1.242434,-0.166817,-0.449282,-0.297195,-0.456009,-1.0356,-0.007274,-0.002406,0.409863,-0.968049,0.465503,0.505146,0.075325,-0.572843,-1.268426,-1.215496,0.189745,0.930049,-0.052277,-0.893601,-1.01586,0.002272,-1.533385,1.300686,-0.799164,-0.310086,-0.228483,1.527594,1.144009,1.405845,0.661065,-0.051505,-0.280102,-1.461089,-3.811614,-0.022776
forme,-0.136228,1.150864,0.182841,1.331376,0.769994,0.734072,-0.298359,0.791073,-0.474278,0.414461,-1.101416,0.637691,-1.543322,0.813967,-0.045772,-0.496593,1.013946,-0.454982,-0.239136,0.077589,-0.467988,-1.367737,0.277426,-1.13792,-0.420597,-0.823724,-0.226399,-0.4403,-0.339435,1.091359,-0.207161,-0.093305,-0.700293,0.390979,0.881528,0.320536,0.170398,-0.216405,-0.143709,0.766958,0.751682,1.357574,-1.280992,-0.36184,0.960228,-0.434059,-1.041731,-0.217564
entier,0.208608,0.749441,0.067141,0.768139,1.257081,0.657593,-0.815455,0.162757,0.551094,1.35005,-0.592715,1.549747,-1.406724,0.72918,-0.096252,-0.742399,0.981237,0.524094,-0.91227,0.58171,-1.620717,-0.374604,-0.211457,-0.185735,-0.456361,0.152648,-0.081453,-0.497373,-1.34612,0.794585,0.429962,-1.210925,-0.601979,0.775,0.11044,0.548394,0.717307,-0.675932,0.328981,1.110054,0.254296,1.371929,0.102821,-0.344902,0.583043,1.047918,-1.604262,-0.822872
système,-0.004029,0.741714,0.921529,1.130877,-0.403524,0.706147,0.464623,-0.709882,0.381373,0.328555,-1.246412,0.790896,-0.760871,-0.330855,-0.493695,-0.231235,0.576794,-0.86955,0.119719,0.388744,-1.56991,-1.949399,-0.14801,-1.394058,-0.051928,-0.34337,-0.396288,-0.916566,-0.61934,1.758989,0.252175,-0.619754,-0.858769,0.495486,0.763464,0.392265,0.711259,-0.538962,-0.493749,-0.42876,0.078749,1.527448,0.594641,0.507973,1.022952,-0.916246,0.15969,0.223342
équation,-0.378356,1.09586,-0.912068,1.254892,-0.194374,0.322298,0.783508,0.37622,-0.515968,1.392834,-0.932244,1.537541,-0.3334,-0.077136,-1.400129,-0.529947,0.208548,-1.115111,0.227478,0.456515,-0.412436,-1.727532,0.881724,-0.905083,-0.878273,0.111507,-0.748194,-0.403948,-0.078047,1.730813,0.389257,-0.970734,-0.103818,0.131791,0.940466,1.014893,0.116571,-0.02583,1.10432,0.545989,0.013965,1.925816,-0.914356,-0.798491,1.607801,0.070263,-0.275145,0.564283
suite,-0.037068,0.600728,-0.06813,-0.138234,1.003118,1.006614,-0.566389,0.119403,0.573369,-0.358388,0.492539,0.74782,-1.254879,1.837502,-0.326401,-0.57624,0.308708,0.356804,-0.422217,0.533094,-1.476793,-0.399521,-0.081521,0.094574,-0.21714,-1.070928,-0.325781,-0.050499,-0.430711,1.282008,-0.369312,-0.853501,-1.234562,0.681777,0.120208,-0.547083,0.511603,-0.53904,0.340849,0.440617,0.007936,1.753255,0.683127,-0.763884,0.874843,0.727932,-1.852383,-0.45534
algorithme,-1.47194,1.215282,0.857873,0.706382,0.197913,0.290772,-1.493989,0.225228,-0.032972,0.143789,-0.271178,0.729654,-0.854381,0.554326,-0.166297,1.253116,-0.387294,-1.364606,0.544882,0.434257,-0.823553,-0.688235,0.944016,-0.182301,-1.506604,-1.530009,-0.189564,-0.684264,-1.158105,1.495009,-0.130957,-1.485914,-1.401509,-0.503341,-0.851227,0.534983,1.064582,-0.095784,0.424517,0.265882,0.484319,-0.266619,1.769028,-0.116925,0.928626,-0.91362,-1.338337,0.22737
calcul,0.194599,1.509828,0.259145,1.090555,-0.100875,-0.583744,0.290149,0.618272,0.876471,0.500475,-0.416846,1.231105,-0.64683,0.792792,-0.283954,-0.138039,0.346418,-0.304715,-0.049426,-0.147488,-1.120936,-1.805606,0.264913,-0.290814,-1.729368,-0.267397,-0.746913,-0.627812,-0.627831,0.863374,-0.724237,-0.006429,-1.283423,0.071752,0.440447,0.286342,0.855991,-0.595941,0.553873,0.336254,0.048624,1.224542,1.230692,-0.316928,0.844253,-0.684605,0.021076,0.478822
application,-0.80216,0.948644,-0.684118,0.636723,0.491638,-0.666989,-0.468057,-0.463323,0.032048,0.205355,-0.119814,0.252102,-1.065424,0.698483,0.588031,-0.575072,0.880475,-0.759038,0.144667,0.369949,-0.504723,-0.537277,-0.125963,-1.152328,-0.046804,0.247095,-0.422718,-0.165015,-0.784296,1.970025,0.219668,0.606604,-2.001787,-0.282368,0.296263,0.4501,0.604048,0.592373,0.203109,1.248506,0.193335,1.433351,0.330507,-0.635704,0.883629,-0.259832,-0.325951,-0.388063
