word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
base,0.238452,-1.130167,0.271667,-0.846376,0.500179,-0.246102,0.381058,0.882658,-0.185634,0.08697,0.162622,-0.180655,0.655376,-0.600887,-1.461829,-1.707647
géométrie,-0.337403,-0.796645,-0.028408,-1.4026,0.233847,0.534334,-0.517792,-0.712788,-0.060073,-1.354207,0.608482,-2.039213,-0.554027,-1.626932,-0.936093,-0.410668
analyse,0.413356,-1.399534,0.894504,-1.386015,1.403982,-0.628925,-0.20634,-0.189786,-0.18801,-0.954632,0.514422,-0.757908,0.418001,-0.773007,-1.258707,0.569805
loi,1.159264,-1.569557,0.962446,0.00858,0.794306,-1.777663,-1.178164,0.117376,0.432075,-0.499924,-0.628347,1.013806,0.33683,-0.2578,-1.074326,-0.183203
définition,0.503503,-1.735957,0.193808,-1.141203,1.227841,-1.078258,-0.157071,0.161258,-0.232445,-1.078745,-0.168478,-1.343377,-0.046723,-0.376309,-1.522201,-0.452187
réel,0.509791,-1.531004,0.488078,-0.439272,1.007105,-0.698734,1.068858,-0.223139,0.653212,-0.878035,-0.112013,-0.734334,0.40892,-0.197947,-1.633126,0.168297
dimension,-0.028025,-0.889603,-0.420902,-1.082282,0.156305,-0.25361,0.924244,-0.128814,0.019814,-0.342264,-0.059375,-1.312101,0.320544,-0.949139,-1.90826,-0.196239
statistique,0.750966,-0.818661,0.325097,-0.086317,-0.872822,-0.13059,-0.891459,-0.454106,-1.898271,-0.495836,0.570093,-0.433132,1.500108,1.471199,-0.959932,0.035341
sommet,-0.22739,-0.184616,0.604537,-0.790347,-1.93825,0.282874,0.891129,0.368379,-0.512126,0.712493,-0.890622,-0.208366,-0.367568,0.545307,-1.331215,-1.148927
logique,0.442882,-1.392609,0.33816,-0.746919,0.545889,-0.893474,-0.12606,-0.641541,0.107653,-1.665376,-0.274902,-1.679333,-0.154339,-1.220892,-1.082355,0.399269
terme,0.321287,-1.757677,0.72792,-0.878423,0.300853,-0.835631,0.730349,-0.262524,-0.345916,-0.377016,-0.087635,-0.082394,0.035939,0.042172,-0.828098,-0.909109
trois,0.787507,0.026083,0.387081,-0.664968,-0.551909,-0.029756,1.030846,-0.55344,0.3015,0.266984,-0.191964,0.687081,0.586371,0.398442,-1.678825,-1.097573
plan,0.859463,-0.871978,0.412677,-0.759118,-0.365947,-0.252212,0.123178,0.480783,0.412744,-0.134153,-0.422499,0.057951,0.076444,-0.717502,-1.793312,-0.593533
formule,0.015466,-0.53143,0.182019,-0.565212,0.046718,-0.325993,0.086585,-1.514071,-0.089531,-0.702433,0.929448,-1.020956,1.182248,0.134433,-0.588316,-1.093307
droite,0.523301,0.25064,1.430283,-1.394079,-1.337316,-0.69261,-0.112924,-0.378904,0.824104,-0.051385,-1.147174,-0.326473,-0.768244,0.376451,-1.314249,-1.182406
$\mathbb{C}$,0.072983,-0.208671,-0.032566,-0.414109,0.420067,-0.622153,0.178211,-0.152252,-0.284373,0.117674,0.021799,0.059754,0.694491,0.13297,-1.436924,-0.928237
solution,0.351451,-2.079379,0.535514,0.039949,0.730669,-0.614051,0.043736,0.673139,1.017027,-0.336177,0.781083,-1.015361,0.813965,-0.783044,-1.017139,-0.95927
modèle,0.420833,-0.747295,-0.054323,-0.71582,0.886898,0.329545,0.686767,-0.163004,0.177168,-0.738449,0.670125,-0.802466,1.052021,-0.955671,-1.29117,-1.154126
linéaire,-0.796726,-0.981655,0.204185,-0.841781,0.099637,0.089029,-0.452937,0.101185,-0.04247,-0.700981,0.105742,-2.320804,-0.303986,-0.663907,-2.012564,-1.11264
probabilité,-1.060437,-1.389892,0.48885,1.082005,1.01425,-0.416724,-0.500875,-0.604679,-0.198009,-1.190732,0.283808,-1.257463,-0.430222,0.051193,-2.283858,-0.052415
série,0.046979,0.556153,-0.231596,-0.637531,0.452946,0.007964,1.412919,-0.29144,0.931184,0.669631,-0.299473,-0.026196,2.517029,0.988035,-1.123954,0.833372
somme,1.335825,-0.174909,-0.157449,0.37103,0.255395,-0.588312,-0.544108,-0.074932,0.336879,-0.360947,0.159261,0.638677,-0.632577,0.607116,-1.840138,-0.689335
mesure,-0.218951,-1.263701,0.888122,-0.288739,0.214536,-0.771798,0.059775,0.045463,-0.386933,-0.105171,0.507337,0.048563,0.277258,-0.3487,-2.012755,-1.16883
carré,0.297749,0.813272,-0.333945,-1.529365,-0.577714,0.473306,0.195593,0.086974,0.434123,0.292623,-0.101525,-0.469958,-0.811568,-0.03334,-2.149011,-1.244881
vecteur,-1.454642,-1.198851,1.183899,-0.042059,1.139351,-0.28451,-0.549415,0.500636,-0.210932,-0.691733,-0.04573,-1.940484,-0.185035,-0.757215,-1.338819,-0.795624
connexe,0.660919,0.150009,0.357549,-1.40501,0.316612,-0.012174,-0.276106,1.176008,-1.75294,0.282181,-0.264009,0.481063,0.861306,-0.16563,-0.575388,-0.151799
classe,0.310184,-0.469364,0.484459,-0.25397,0.099702,0.022485,0.308649,-0.251183,-0.568535,-0.367932,0.461745,0.258556,0.962887,-0.375267,-0.74652,-0.897437
produit,0.55401,-1.563352,0.391539,-0.643946,1.324265,-0.286614,0.597762,1.314949,0.879168,0.776043,1.752516,-0.413416,1.12946,0.386383,-0.830791,-1.34533
égal,-0.278186,-0.967617,0.22468,-0.007508,0.247333,-0.763447,-0.630475,-0.922293,-0.184097,-0.71068,0.045434,-0.71413,-0.145425,0.785653,-2.158094,-1.332054
cercle,0.762154,0.219503,0.822967,-1.386749,-1.05175,0.100654,0.769365,-0.30174,-0.338334,-0.340086,-0.532794,-0.350692,-0.465274,-0.363016,-0.695342,-0.111218
partie,0.767281,-0.711843,0.308788,-0.828288,-0.820236,-0.061073,0.68776,0.345545,-0.150209,0.252395,-0.723959,0.875642,0.107845,0.119914,-1.560855,-1.069015
relation,0.697197,-1.911194,0.967938,-0.507249,0.370374,-0.726026,0.364981,-0.13715,-0.010885,-0.564099,-0.529941,0.566485,0.268962,-0.05981,-0.388487,0.452913
courbe,-0.627573,-0.288761,-0.015052,-0.596239,-0.935847,0.485384,-0.421663,-0.299954,0.557922,-0.309602,0.371537,-1.770886,-1.121837,-0.236783,-2.45997,-0.634425
différent,0.853667,-1.51287,0.588024,-1.355387,0.427659,-0.332892,1.173747,0.218466,-0.020843,-0.241679,0.08145,-0.415782,0.441038,-0.196364,-1.554477,-1.142986
complexe,0.200826,-1.475858,0.486204,-1.175157,-0.058722,-0.053077,0.735632,0.683434,0.005829,-0.067546,0.169056,-0.775439,-0.196316,-0.636449,-1.32353,-0.732277
matrice,-1.111619,-1.033393,-0.202604,-0.802791,0.781878,0.039218,-1.103758,-0.256727,0.667776,-0.565279,0.46986,-1.802546,-0.379004,-0.634374,-1.018581,-1.397998
domaine,1.659414,-1.620832,0.155525,-1.02105,0.493444,0.69092,0.135156,0.788859,-0.117976,-0.771349,0.023354,0.715956,-0.488932,-0.428111,-0.964928,-0.654671
fois,0.423395,-0.518908,0.422317,0.032998,-0.154337,-0.28408,1.264007,-1.103074,0.194272,-0.109062,0.033532,0.809728,0.999504,0.643933,-1.380545,-0.831447
type,-0.380948,-0.657088,0.152472,-0.873333,0.774388,-0.344713,0.398054,0.895182,-0.188514,0.236036,0.54125,-0.806733,0.684897,-0.799998,-1.969044,-1.698447
mot,-0.299508,-0.754221,0.038869,-1.879477,1.208585,-1.193143,1.073017,-0.257353,0.203801,-0.063767,-1.075657,-0.449903,-0.333886,-0.015931,-0.585553,-0.654528
algébrique,-0.857407,-1.361097,-0.776615,-1.037098,-0.158598,-0.551494,-1.688945,-1.097815,0.115094,-1.223328,-0.013541,-2.446334,-0.747874,-1.200783,-0.726598,-0.731176
degré,-0.311813,0.986392,0.369957,-0.983143,1.166472,0.865644,-1.168928,-1.309076,-0.976986,-0.65963,0.762565,1.052001,0.445801,0.389851,-1.072579,-0.985744
langage,0.428788,-1.583971,-0.419638,-1.757095,1.638211,-0.278733,0.452069,-0.003892,0.096764,-1.15459,-0.143763,-1.78871,0.21201,-0.878039,-0.34725,0.170775
