word,1,2,3,4,5,6,7,8,9,10,11,12,13,14
réel,0.216284,1.125444,0.747881,-1.024898,0.832445,0.83401,-0.696065,0.698557,-1.19078,-0.248345,-0.063249,-0.032962,-1.714318,0.227264
dimension,0.818741,1.082247,0.713057,-0.345569,0.276177,0.185993,-0.312104,0.824095,-1.805274,0.590937,-0.071816,-0.226197,-0.87587,0.796957
statistique,2.443064,-0.39676,-0.37166,0.199981,0.80087,-0.336757,0.459303,-0.378373,0.666448,0.234053,-0.520658,0.879497,-1.887893,-0.29653
sommet,0.276221,0.127181,-0.304209,0.457113,-0.017465,-0.838307,-0.282618,0.294766,-1.234201,1.875487,1.553194,0.895599,-0.847014,-0.303439
logique,0.91353,0.347992,1.122978,-0.16178,1.250664,1.83385,-0.484318,0.904915,-1.227649,0.131966,-0.548493,-0.993131,-0.754301,0.486099
terme,0.519702,0.253793,0.603369,-0.802737,1.291823,0.292355,-0.822181,-0.212809,-1.187494,0.676476,-0.090508,0.392897,-1.376129,0.208252
trois,-0.592985,0.454833,-0.173042,0.127441,0.970321,-1.517268,-0.344149,0.321252,-0.75047,0.758214,-0.028543,0.670909,-1.667084,0.257689
plan,-0.291291,0.488693,0.31838,-0.56916,1.243531,0.160149,0.556545,0.908709,-0.899337,1.279124,0.597122,-0.035494,-1.250068,0.382057
formule,1.326404,0.262327,-0.093248,0.532755,0.738575,-0.126401,-0.746431,0.662805,-0.982008,-0.345717,-1.605861,0.46561,-1.062506,0.037968
droite,-0.579632,0.010424,-0.435974,1.286684,0.767318,0.100307,-0.076006,0.659654,-1.488641,1.647156,0.897696,-0.252534,-1.689407,-0.364712
$\mathbb{C}$,0.287056,0.877349,0.122294,-0.292712,0.699115,-0.846547,0.32973,-0.019561,-0.93111,0.308078,-0.547543,0.203574,-0.958207,-0.062858
solution,0.42588,0.728641,0.186689,-1.980743,0.53257,1.337535,-0.196678,1.172346,-0.978218,0.240802,-0.972123,0.617743,-0.9472,0.464762
modèle,0.457416,0.464986,-0.018,-0.872755,0.901926,-0.179193,0.139123,0.827354,-1.691769,-0.136483,-1.134793,0.502362,-0.532001,1.055798
linéaire,1.584591,1.00254,-0.518585,6e-06,0.133686,1.171494,0.034606,0.834255,-2.379752,1.19273,-0.743642,-0.052816,-0.477885,0.450264
probabilité,1.342495,0.951299,-0.539705,-0.941441,0.269346,1.246402,-0.839481,0.402108,-1.197251,0.502771,-1.164905,-0.808064,-0.981578,-1.068569
série,-0.243175,1.948788,0.284165,0.321355,-0.391582,-1.181743,0.226112,0.387479,0.271795,-1.483352,0.462427,0.75321,-1.778539,0.506308
somme,-0.642889,-0.022381,-0.025273,-0.687171,0.557053,-0.429675,0.18315,0.093179,0.015551,1.400814,-1.196103,-0.529802,-1.517001,-0.349121
mesure,0.844396,0.664361,-0.42668,-1.285286,1.281788,0.035682,0.040585,0.204766,-1.719869,0.700816,-0.182246,-0.010404,-1.313165,-0.373437
carré,-0.441346,0.417652,-0.526625,0.808983,-0.408127,-0.888678,0.176637,0.336599,-1.6843,1.83348,-0.289166,-0.357272,-0.951881,0.959652
vecteur,1.425609,0.896369,-0.886088,-0.909498,0.155362,1.789814,-0.069234,0.31187,-2.238697,0.344811,-0.482655,-0.402028,-0.264508,-0.301527
connexe,0.754722,-0.080433,0.092702,-0.334457,1.018535,-0.675963,1.44264,-1.040764,-0.616864,0.271692,0.816311,-0.056971,-0.649909,1.13472
classe,0.420187,-0.196984,-0.196324,-0.566911,1.058177,-0.843866,0.110186,0.271399,-0.600056,-0.335349,-0.619877,0.402131,-0.639377,0.257156
produit,0.056183,0.584929,-0.176114,-2.273991,-0.134934,-0.035553,-0.068557,0.028327,-1.033539,0.0548,-1.045182,1.274786,-1.530404,1.443394
égal,1.024656,0.861294,-0.410207,-0.005129,0.63013,0.166716,-0.49702,-0.1101,-1.364083,1.033703,-1.335151,-0.175909,-1.577129,-0.77258
cercle,0.118518,-0.829334,0.133311,0.631506,0.509526,-0.40424,-0.534471,0.270217,-0.832383,0.604815,0.788275,-0.419381,-0.812485,0.641065
partie,-0.352966,0.364561,0.216785,-0.377359,1.189647,-1.024609,-0.126453,0.107547,-0.678452,1.668822,0.788937,0.697753,-1.175141,0.314431
relation,-0.14027,0.170441,0.752604,-0.839503,1.754315,1.000012,-0.688348,-0.043925,-0.092041,0.076872,0.772758,0.106561,-1.213027,0.09078
courbe,0.751271,0.657535,-0.656982,0.273093,-0.436282,0.544269,-0.460696,1.366199,-1.596175,1.992728,-0.535142,-0.666223,-0.763973,0.321752
différent,0.239857,0.408989,0.530893,-1.049541,1.194604,-0.090742,-0.541995,0.220783,-1.793724,0.628289,-0.204635,0.778889,-1.597846,1.085753
complexe,0.499854,0.301951,0.171604,-0.99467,0.524416,0.544586,-0.349754,0.61478,-1.563425,1.14255,0.426415,0.52685,-0.640728,1.149489
matrice,0.886527,0.998168,-0.600807,-0.124391,-0.019737,1.469343,-0.228358,0.390841,-1.735163,0.868402,-1.827467,-0.134179,0.243522,0.316554
domaine,-0.423896,-0.360565,0.356083,-1.178141,1.738023,0.490166,0.02909,-0.096053,-0.328791,1.307504,-0.23835,0.347513,-0.772455,1.502798
fois,-0.232136,0.596743,0.017765,-0.056562,1.185175,-1.35033,-1.068264,0.32893,-0.449113,0.023451,-0.412981,0.764462,-1.603792,-0.363373
type,0.796489,1.030844,-0.331175,-1.380899,0.261998,-0.575696,0.560849,0.259455,-2.191968,0.791328,-0.629535,0.510407,-0.825172,0.772705
