word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
valeur,0.442237,-0.760743,0.838331,-0.471947,-0.694387,0.445341,-0.739348,-1.151106,-0.113032,-0.291185,-0.402374,-0.165869,0.278076,-0.338538,-0.497691,-0.451966,0.613649,-0.217322,-0.062724,0.290526,-1.117374,0.989074,-0.323353,0.286209,0.097712,-0.123087,0.425768,-0.079349,0.208675,1.29549,0.362047,0.667117,0.47341,-0.202653,-1.009071,0.072606,-2.253051,-0.282407,-0.340626,0.556016,0.129427
groupe,0.546402,0.098138,-0.555437,-0.125989,0.162633,0.078068,0.138295,0.468579,-0.791706,-0.009651,-0.274502,1.890292,0.082756,-0.724645,0.488546,0.125329,0.263637,-1.66243,-0.227913,-0.110632,-0.281895,0.48296,-0.252055,-0.004738,0.120048,-0.163199,-0.453014,0.90483,0.112482,0.298155,0.514255,0.719138,0.500028,-0.381234,-0.098893,-0.834659,-0.837562,-0.554161,0.26238,-0.979021,0.31803
graphe,-0.302966,-1.246957,0.189313,-0.770368,0.457321,0.124304,-0.672939,-0.142182,-0.627524,-0.223047,-0.479688,-0.761028,0.28203,-0.179688,0.090535,0.16636,-0.294791,0.954185,0.128297,1.083686,-0.438397,1.728171,0.77249,0.025773,0.140653,0.246516,-0.694203,-0.076382,-0.024224,-0.200494,0.534496,-0.697106,-0.683576,-0.365417,-0.418681,0.627048,-1.578446,1.730315,1.256551,0.647094,-0.158655
forme,0.844255,0.324938,0.09681,-0.362971,-0.324772,-0.006672,-0.202291,0.415043,-0.240851,0.565965,-1.015964,0.257582,0.162327,0.139301,-0.61749,-0.861549,-0.268976,0.293801,-0.300408,0.190422,-0.117009,-0.026332,0.327327,0.242784,0.28037,-0.535915,-0.614016,0.760186,-0.036851,0.303493,-0.226905,-0.206368,0.326659,-0.48081,-1.269788,-0.439844,-2.258623,-0.14432,0.442207,-0.549689,0.413786
entier,0.924429,0.26045,-0.058472,-0.426568,0.095261,-0.033346,-0.391678,-0.359017,-0.366322,0.22521,-0.806248,-0.007282,-0.168745,-0.192506,0.338167,-0.332442,0.229885,-0.074845,-0.192751,0.034166,-0.849755,0.163046,0.057417,0.55243,-0.069131,-0.418692,0.205966,-0.031424,-0.220191,0.611439,0.465434,0.274636,0.358905,-0.520164,-0.555587,0.040207,-1.534505,-0.226353,0.19725,-0.644514,-0.043728
système,1.155246,-0.665865,0.067564,0.491125,-0.346331,0.030203,-0.621199,0.646567,-0.163447,-0.106406,0.276596,-0.240057,0.333448,-0.65642,-0.063008,-0.277622,-0.420155,0.543903,-0.455252,0.803547,-0.329566,0.96528,0.221402,0.077382,0.44045,0.260999,-0.14148,0.324508,1.07479,0.595236,-0.382015,0.527185,-1.448369,-0.264714,-0.312409,-0.994393,-2.845183,0.007577,-0.327576,-0.370087,0.504238
équation,-0.245112,-0.689403,1.008239,-0.026407,-1.155146,-0.735712,-0.804465,-0.755009,-0.014805,0.574728,1.092968,-0.131426,0.832371,-0.197894,-0.406567,0.544534,-0.077297,1.430874,-1.068057,1.679224,-0.114926,1.413649,-0.368277,-0.090787,0.871116,-0.249074,-0.392832,-0.121016,-0.841009,0.663072,-0.182628,0.441301,-0.227138,1.142611,0.21749,1.188631,-2.480794,1.058085,0.881183,0.267614,0.547638
suite,1.038675,0.28185,0.560503,0.121782,0.289582,-0.442304,0.002817,0.310416,-0.44108,0.181087,0.159386,0.486007,-0.059725,-0.142609,0.608249,-0.099348,0.295045,-0.089179,-0.413149,-0.643442,-0.395242,-0.49874,-0.495231,0.648475,0.191055,0.406759,-0.234568,0.022382,0.4493,0.350676,-0.451636,0.178255,0.113849,0.296441,0.217843,-0.677889,-0.577973,-1.054309,-0.137822,-1.086772,0.797851
algorithme,-0.105085,-1.004768,0.388026,0.322284,-0.296236,1.240614,-0.640585,0.390216,-0.856489,-0.195679,0.173184,-0.913072,1.442667,-0.814322,0.481735,0.711636,0.281238,1.328637,-1.146518,1.558867,-0.937554,0.595797,0.49128,0.284656,0.468495,0.241205,-0.828935,-0.303534,-0.017641,0.543591,-1.074727,0.118352,-0.999379,-0.021301,-0.729926,-0.19788,-1.484429,1.089629,0.172147,0.314888,-0.1586
calcul,0.559036,-1.025703,0.814782,0.046242,-1.022823,0.156953,-0.664123,-0.93142,-0.086729,-0.278521,0.429991,-0.731143,0.856424,-0.642113,-0.124572,0.514165,0.406571,1.437293,-1.098138,1.152837,-1.080246,0.79063,0.842519,0.52842,0.265932,0.26395,-0.390814,-0.343217,0.424871,0.846221,-0.330016,0.469168,-0.599612,-0.058392,-0.455778,-0.016649,-2.006252,0.303878,0.091173,0.035321,0.380745
application,1.399078,-0.366411,0.099971,0.756315,0.014759,-0.065353,-0.154256,0.496305,0.12551,0.274197,0.009372,-0.298494,0.157234,-0.925611,-0.670957,0.61906,-0.170477,0.667933,-0.733874,0.549361,-1.082613,1.136164,-0.310496,0.707357,-0.093817,-0.481133,-0.041206,0.165757,0.779532,0.777084,-0.877776,0.68523,-1.291838,-0.286808,-0.196751,-1.111143,-1.936304,-0.13722,-0.654664,0.42858,0.186107
élément,0.735707,0.674088,0.873125,-0.754608,-0.18611,0.660422,-0.589795,0.144388,-0.661516,0.208041,-0.265315,0.038878,0.48268,-0.184648,-0.862699,-0.781257,-0.371791,-0.145845,-0.593324,0.440674,0.296109,0.431287,-0.093053,0.521618,-0.412024,-0.207131,-0.498191,0.310485,-0.036867,1.093596,0.123586,-0.153637,0.484777,-0.51191,-0.919301,-0.683219,-2.092432,-0.134097,0.08039,-0.050832,0.353779
grand,0.493756,-0.221956,0.559655,-0.377027,0.545313,-0.226498,0.147952,-0.719565,0.524273,-0.122245,0.088604,0.6931,0.064274,-0.033244,-0.162799,-1.345688,0.202145,-0.510583,0.354702,-0.994529,0.057682,-0.697682,0.385451,0.264449,0.228331,0.236149,0.53168,0.398614,0.155208,0.149442,0.315672,-0.079205,0.376354,-0.015506,-0.337374,-0.324161,-1.353125,-0.135074,-0.245738,-0.514115,0.182987
propriété,0.462285,0.121166,0.000438,-0.442795,0.961417,-0.397191,0.023563,-0.665883,0.179902,0.225818,-0.318872,-0.230702,-0.245079,0.100392,-1.134977,-1.00249,0.195011,-0.061285,-0.502246,0.124623,-0.117925,1.300944,-0.025279,0.281847,0.338529,-0.426324,0.208281,-0.784134,-0.282781,0.308105,-0.507999,0.72465,0.096685,0.613435,-0.181272,-0.278607,-1.912009,-0.122732,-0.697658,0.247518,0.976347
ordre,0.694199,-0.237708,0.266875,-0.825122,0.267636,0.270745,-0.443698,-0.862864,0.192356,0.085326,0.545238,-0.233123,-0.381589,0.788216,-0.424936,-0.269494,-0.150659,-0.387392,-0.306731,-0.327972,0.307877,-0.378412,-0.504211,0.191306,0.045303,-0.495686,1.01695,0.783856,0.387036,1.06902,-0.174079,-0.287214,-0.26744,-0.025514,0.567278,0.65279,-1.375731,-1.102394,-0.174113,-0.649259,0.819514
variable,0.100058,-0.216156,-0.111146,-0.038119,-1.140539,0.092291,-0.459459,-0.088358,0.292303,-0.280474,-0.409358,-0.126794,-0.543235,-0.613213,-0.94055,0.283315,0.544964,0.470001,-0.378548,0.581022,-0.655186,0.719024,0.617652,0.127178,0.7394,0.252351,-0.200988,-0.009813,0.30502,1.058641,0.033566,0.229537,-0.148023,-0.02563,-0.872871,0.773611,-2.843925,0.148089,0.276012,-0.029878,-0.01975
base,1.051943,0.508577,-0.509176,0.045072,-0.101993,0.444283,-0.458559,0.074918,-0.283251,0.712608,0.171581,-0.138081,0.446156,-0.334341,-0.646218,-0.156096,-0.232308,-0.175437,-0.455168,-0.072332,-0.195029,0.223846,0.307463,-0.159045,-0.338116,-0.214624,0.083927,0.246007,0.633563,0.492004,0.041528,-0.090803,-0.431883,-0.528333,-0.839725,-0.517853,-2.129543,-0.243378,-0.236121,-0.11396,0.051632
géométrie,-0.047175,-0.503796,0.452068,-0.592127,-1.109698,-0.015677,-0.184178,-0.441345,0.211726,-0.129624,-0.072758,-0.384537,1.125156,0.13796,-0.760323,0.526147,-0.936663,1.515368,-0.718432,1.20688,0.211952,0.710081,0.748912,-0.177247,0.098807,-0.280409,-0.57724,0.171436,-0.487428,1.101288,-0.021422,-0.200132,-0.068857,0.243436,-0.046117,-0.876155,-1.937382,0.930011,1.24442,0.668531,0.235739
analyse,1.794791,0.003567,1.058554,-0.377725,-0.852165,0.245405,-0.426459,0.227092,-0.379984,-0.425485,0.455799,-0.228593,0.449175,-0.923689,-0.209615,0.373637,0.755231,0.398245,-0.690938,0.518279,-0.141605,0.83386,-0.479495,0.645597,0.257913,-0.391314,-0.125046,0.516086,0.070198,0.688088,-0.232981,-0.822668,0.701451,-0.233539,-0.465641,-0.895373,-1.205878,0.456142,-0.145765,0.402291,0.216381
loi,1.256364,-0.098954,0.830594,0.610065,-0.358539,-0.395702,-0.937637,-0.468877,-0.423627,-0.063951,0.123887,-0.387596,-0.448112,0.12351,0.298251,0.169236,-0.173853,0.35695,0.653648,-0.547602,-0.822381,1.31335,-1.71167,-0.296067,-0.745104,-0.215337,0.970218,0.15355,-0.118488,-0.1248,-1.123886,0.329299,-0.370833,0.561816,0.139253,0.24166,-1.577508,-1.091816,-0.291997,0.085254,1.497518
définition,0.930333,-0.499703,0.805723,-0.192849,-1.09666,-0.351004,-1.025308,0.06016,-0.236202,-0.126653,-0.3013,-0.294529,0.014168,-0.440894,-0.40734,-0.201187,0.319972,0.604867,-0.094537,0.757948,-0.564878,1.355514,-0.272112,-0.028026,-0.282644,-0.675096,-0.157942,0.603675,0.205096,0.455536,-0.3668,-0.184099,-0.357882,-0.081156,-0.712131,-0.374527,-1.980552,-0.057923,-0.380167,0.405432,-0.181473
réel,0.708518,-0.673732,1.10333,0.04143,-0.108473,-0.191602,-0.775762,-0.102385,-0.440769,-0.699282,-0.172157,0.086428,-0.014529,-0.503277,0.364071,-0.650494,0.812567,0.580307,-0.113261,0.564988,0.099545,0.612353,-0.564422,0.798378,-0.041326,0.457054,0.061157,0.051545,0.265427,1.130336,-0.092551,0.172946,-0.058174,0.257313,-0.982057,-0.65231,-1.665419,-0.245158,-0.232803,0.001511,-0.120439
dimension,0.430081,0.108319,0.451545,-0.487945,-0.508013,0.227481,-0.209417,-0.305514,-0.242264,-0.450057,-0.206843,0.261313,-0.127301,-0.288216,-0.331516,-0.902448,-0.257537,0.526646,-0.007109,0.258962,0.262881,0.649033,0.34422,0.250043,-0.671226,1.084099,-0.303369,0.345459,0.233987,1.286779,0.154412,0.028275,0.227843,0.198152,-1.288755,-0.688248,-1.981747,-0.099416,0.959965,0.744586,-0.391919
statistique,0.21332,-1.142943,0.486473,-0.151992,-0.755786,0.311765,-0.674865,-0.433469,-2.127249,-0.879408,1.836725,-0.147577,-0.272912,-0.238353,-0.428979,0.71168,0.241326,-0.871391,-0.620522,-1.010981,-1.42457,0.481159,0.838503,-0.07918,0.015447,-0.507432,-0.158412,-0.475273,0.464263,-0.14549,0.026648,0.161431,0.024035,1.426791,-0.28985,-0.161445,-0.775262,0.643878,-1.098219,-0.111883,-0.172812
sommet,-0.017891,0.734251,0.210737,0.134134,0.377144,0.164533,0.456335,-0.657314,0.093646,-0.258091,-0.118862,0.802143,0.593172,0.402888,0.350259,-1.019768,-0.147081,-0.407101,0.184371,-1.199946,-0.631536,-0.669732,0.371366,-0.409212,0.670053,0.466847,-0.418471,0.786177,0.472129,-0.667321,0.91526,-1.297797,-0.072084,-0.371288,-0.250919,0.663247,-2.098467,0.254964,0.899784,-0.15596,-0.795666
logique,1.249401,-1.382736,1.331613,-0.375104,-0.707783,-0.411265,-0.53704,-0.13406,-0.570354,-0.289111,0.034266,-0.850881,0.969956,-0.02858,0.163986,-0.124979,-0.268107,0.565877,0.190543,1.19164,-0.300797,0.915605,-0.441464,0.124755,-0.272278,-0.239432,-0.905434,0.326858,-0.17925,0.790923,-0.572949,0.207429,-0.157619,0.197935,-0.449171,-0.895145,-1.348492,0.184809,0.503145,0.426614,0.027052
terme,0.828465,-0.624726,0.278628,0.074696,-0.757943,-0.382876,-0.908844,-0.054073,-0.417862,0.011832,-0.171762,0.136311,0.450661,0.038998,-0.316841,-0.881872,0.359582,-0.427431,0.097955,0.327631,-0.703699,0.15397,-0.490632,0.227378,-0.059754,-0.982006,-0.615335,0.195874,0.205274,0.308354,-0.119056,-0.296009,0.251478,-0.001033,-0.328423,-0.315344,-1.633242,-0.414356,-0.375669,-0.414544,0.418544
