word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
problème,-0.252996,-0.299711,1.065898,1.422508,-1.074553,-0.242301,1.024058,0.143033,1.240548,0.0054,-0.507229,-0.096507,-0.001586,-1.241183,0.113628,0.478812,1.08367,0.759075,0.039957,0.44347,-0.226324,-0.161958,-0.109653,1.446726,0.665341,1.309857,0.162714,0.41924,-1.815091,-0.144018,0.801446,0.860002,0.970145,-1.651348,1.901063,-0.131423,1.242132,-0.32622,-0.6266,-0.245522,0.96082,0.04333,1.160401,-1.238021
valeur,1.096769,-1.370169,0.057541,1.374259,0.23846,-0.826964,0.369323,0.551166,1.515403,-0.100183,-1.629181,-0.461312,1.320462,-0.307673,-0.283871,-0.817337,0.488135,0.198402,1.130709,0.432927,-0.546313,-0.595528,-0.840198,0.274429,0.396553,-0.073426,-0.335281,-0.197552,-0.49163,0.16941,0.902832,-0.583012,0.613283,-1.598264,0.338786,-0.7024,1.237599,-0.110532,0.309178,0.026584,1.150931,-1.253902,0.921361,-1.231455
groupe,0.582824,-0.515867,0.855398,-0.27811,-0.982714,0.069478,0.881636,-0.177802,2.213703,-0.2881,0.031165,-0.269491,0.10245,-0.573151,1.124821,-0.478834,1.10355,-0.347206,0.836609,-1.512032,0.27223,1.157143,-0.521116,2.280574,-0.778419,0.350385,0.184509,-0.851414,0.464605,0.22719,1.19879,-1.55362,-0.272954,0.196976,0.296161,0.832503,0.319047,-0.685797,-0.695811,0.47867,0.447785,0.415879,1.427426,-2.285227
graphe,0.499442,-0.976668,0.041751,0.360939,-0.610224,0.305184,1.612522,0.09927,2.270411,0.828481,0.201108,-0.470343,-0.133623,-2.295458,2.327971,-0.389585,-0.015779,0.943164,1.029704,0.206179,1.300737,1.6753,-0.05137,0.920791,0.126695,0.792533,2.193687,0.229669,-1.252656,0.111873,0.439669,0.184653,-0.236703,-0.951574,0.557312,-0.619945,2.375848,-1.033874,0.500561,0.885941,-0.485466,0.449265,-0.103931,-1.719796
forme,0.358438,-0.567763,0.760684,1.352199,-1.021469,-0.741466,0.324888,0.494507,1.380896,0.125468,-0.319698,-0.677783,0.503474,-0.585196,-0.624602,-1.090617,0.920772,-0.312107,0.719245,1.082576,0.412778,0.266986,-0.258951,0.973393,-0.034722,-0.71895,0.178227,0.159829,-0.025905,0.407747,0.744249,-0.70132,0.083182,0.085765,0.913277,-0.442542,-0.133899,-0.749075,-0.165286,0.110615,1.325437,-0.704163,1.005813,-1.95364
entier,1.012968,-1.316891,-1.27631,1.117585,-1.005643,-0.421044,0.455724,0.66432,0.709025,-0.360451,-0.701876,-0.078715,0.480722,-0.8179,0.199361,-0.540357,0.090272,0.119125,1.41933,-0.368038,0.644476,0.25322,-0.894655,0.946929,-0.155143,-0.735408,-0.500626,-0.853802,-0.839804,0.602377,0.79157,-0.952278,0.170646,-1.127179,0.604977,-0.006076,0.699795,-0.494841,-0.982339,-1.582959,1.87118,-0.612604,1.120294,-1.386915
système,-0.187441,0.645657,1.390127,0.803054,-0.800277,0.477665,-0.135732,-0.483766,1.772578,-0.439657,-0.453783,-0.297432,0.422607,-1.442043,-0.108599,0.087995,1.508901,0.644072,0.827086,0.532999,-0.283844,0.013932,-0.346912,0.829051,0.288954,-0.217642,-0.923081,0.721127,-0.452658,-0.199726,0.691135,-0.575582,0.548808,-1.014208,1.730048,0.463477,0.605877,-0.818731,0.277066,-0.767865,-0.115485,-1.770231,1.053245,-1.559611
équation,1.068731,0.050369,0.862012,2.375306,-0.701946,-0.526688,0.307742,0.376739,2.042861,0.523536,-1.005981,-0.359947,0.597176,-0.570461,-0.223773,0.111465,1.450557,0.180152,0.075865,1.149604,0.047966,-0.637275,-0.356978,0.854203,0.329073,0.026751,0.127685,1.07554,0.045011,-0.582171,1.137046,-0.244388,1.147265,-0.417569,1.121126,0.483244,-0.034357,-0.576213,-0.787036,-0.94507,1.329735,0.916939,0.845916,-1.242865
suite,0.594909,-0.817487,-1.325199,1.880857,-0.3502,-0.106885,-0.160426,0.783253,0.64313,-1.244392,-1.285339,-0.171438,-0.008092,-1.40084,0.258406,-1.056474,-0.623484,-0.274871,0.935709,0.206316,0.663072,0.61906,-0.748842,0.201217,-0.213242,-0.00695,-0.17229,-0.645353,-0.327287,0.16766,1.350667,-1.251502,-0.015108,-1.015859,0.128172,-0.021186,0.992865,-1.03544,-0.851174,0.175908,1.158255,-0.99208,0.768638,-1.238591
algorithme,0.057254,-0.368872,0.889516,1.101347,-0.379707,-0.12958,0.915987,0.190956,0.933857,-0.697195,-0.603471,-1.543733,-0.236508,-1.942407,0.211952,-1.066888,-0.390613,0.372102,0.066146,-0.212625,0.469339,0.707571,1.541013,0.331417,0.807149,0.560198,-0.362703,-0.932586,-0.518284,0.608869,1.667042,0.962814,1.220042,-1.61554,1.315766,0.026667,1.774961,-0.803988,-0.491815,-0.11156,0.500354,-0.526788,0.853446,0.106082
calcul,0.256576,-0.197126,0.850839,1.328939,-0.53638,-0.148225,0.506178,0.366191,0.87254,-0.825684,-0.80474,-1.181623,0.074525,-1.74909,-0.959484,-0.680322,1.036369,-0.376377,-0.003498,0.066277,-0.06722,-0.827077,-0.370568,0.096861,0.303458,-0.169333,0.050913,-0.033222,-0.586429,0.589336,0.11931,0.134312,0.946591,-1.213636,1.230075,0.71534,0.736865,-0.234465,-1.024865,-0.273659,1.016113,-1.189387,1.267822,-0.755672
application,-0.519736,-0.052946,0.880057,0.844855,-0.585045,0.322966,0.152594,-0.412785,1.24583,-0.674825,-0.524381,-1.359485,-0.158311,-0.807826,-0.141929,-1.84064,1.073109,0.110876,0.702187,-0.575139,0.400481,0.847306,-0.769616,0.451987,0.091001,0.467932,-0.2738,-0.047298,0.156268,-0.752528,1.065412,-0.118048,0.331126,-0.953255,-0.008391,-0.231596,-0.281224,-0.632263,-0.095498,-0.351039,1.904803,0.127425,1.192748,-2.065407
élément,0.517469,-1.036009,-0.433438,0.127753,-0.423264,-0.846259,0.256392,0.272634,1.750215,-0.292834,-0.744781,-1.024758,-0.065678,-0.463052,0.064125,0.371523,-0.061803,-0.63907,0.076249,-0.377654,0.355496,0.777867,-0.68331,1.318212,-0.579751,0.145836,0.372038,-0.917451,-0.445839,0.630004,1.2482,-0.934918,0.251631,-0.732235,0.908249,-0.919647,0.301037,-1.063589,-0.105075,-0.060221,0.849676,-0.627082,1.960201,-1.348775
grand,0.902372,-1.126828,0.175225,0.873297,-1.459348,0.244297,-0.461537,0.024002,1.082063,-0.529602,-0.315137,0.471539,0.369382,-1.567949,-0.045519,-0.576983,-0.664676,-0.433019,-0.083874,-0.102206,-0.815402,-0.445558,0.017426,0.498191,0.279505,0.501541,-0.743825,0.043168,-0.908617,0.458535,0.312918,-0.457797,0.324465,-0.879066,1.009578,-1.215551,0.991464,0.755232,-1.054511,0.802139,-0.03399,-0.499541,1.03873,-2.169571
propriété,0.078551,-0.429932,-0.013904,1.601536,-0.126703,-0.188476,0.920901,0.40085,1.459839,-0.141697,-0.535669,-0.251648,0.444932,-0.899361,0.58541,-0.705214,0.329022,-0.188129,0.188287,0.179845,-0.20251,1.083428,-1.325863,0.769495,-0.149723,0.176772,0.742739,-0.403356,-0.105197,-0.151337,0.195349,-0.380843,-0.625326,-0.48563,1.210029,-0.843326,1.369913,-0.388107,-0.073884,-0.445602,1.234551,-0.19565,0.503912,-2.165233
ordre,1.416795,-0.786241,-0.406437,0.094269,0.069197,0.075536,-0.437377,0.390071,2.861887,0.433351,0.277899,0.094913,0.274292,-0.382304,-0.610806,-0.72191,0.206216,-0.462154,0.066749,0.172731,0.16865,0.619615,-0.684261,0.187825,0.524497,-0.127714,-0.53077,-0.327321,-0.157396,0.402082,0.401909,-0.707364,-0.255652,-0.870919,0.882361,-0.523624,1.432183,-1.814759,-1.302827,0.429338,0.814335,-0.107942,1.15609,-2.248447
