word,1,2,3,4,5,6,7,8,9,10,11
série,0.653923,0.9731,-0.611268,-0.606067,-0.659992,1.975676,0.452778,2.205153,0.648,0.440673,-0.328374
somme,0.800849,-0.089573,0.695362,-1.373461,-0.85768,0.081867,-1.0259,-0.216325,-0.285748,-1.249142,1.047579
mesure,0.332177,1.372171,-0.06972,-1.095966,0.093083,-1.035674,-0.501337,0.969162,-0.138297,-1.04021,1.404617
carré,0.514659,0.520034,-1.150963,-0.141723,-1.325361,0.723668,-1.034952,-0.432483,-0.649988,-1.745302,0.989231
vecteur,1.352326,-0.132074,-1.404165,-0.780155,-0.026498,-1.968462,-0.545985,0.900976,0.200103,-1.964125,0.752008
connexe,-0.74587,1.186848,-0.458811,-0.360974,0.902557,0.587183,-1.750669,0.463328,-0.262462,0.360577,1.047213
classe,0.782379,1.232187,0.373884,0.09965,0.350809,-0.087746,-0.683275,0.705688,-0.053183,-0.33577,0.765653
produit,0.052309,1.377896,-0.093318,-0.954168,0.3466,-0.381677,-0.633227,1.943663,-0.357305,-1.916523,-0.243655
égal,1.232671,0.163352,-0.398948,-0.981544,-0.966453,-0.853336,-0.327778,0.758727,0.45896,-1.608225,1.63873
cercle,-0.01394,0.968702,-0.352152,0.345879,-0.257348,0.252384,-0.819569,-0.567102,0.649001,-1.019853,0.599536
partie,-0.451924,2.175959,0.283571,-0.719712,-0.717956,0.387873,-0.619324,0.090247,-0.73225,-0.390461,0.85187
relation,0.267127,1.674469,0.471555,-1.301168,0.499503,-0.615756,-0.157762,0.057706,1.078011,-0.103702,-0.126193
courbe,0.730667,-0.367857,-1.178476,-0.274589,-0.772176,-0.427391,-0.546877,-0.016827,-0.327145,-2.751421,0.668028
différent,0.361703,2.603878,-0.255143,-0.709658,-0.272712,-0.533756,-1.017208,0.779902,0.146089,-1.335579,0.199522
complexe,0.099986,1.591135,-0.756535,-0.521813,0.122049,-0.853894,-0.891652,0.490967,-0.22372,-1.629973,-0.035694
matrice,1.998825,-0.458799,-1.224111,-0.486508,-0.099755,-1.369723,-0.673253,0.806949,-0.240029,-1.906995,0.467049
domaine,-0.058305,1.822383,0.579432,-1.123874,0.635203,-0.190562,-1.424534,-0.573926,-0.668173,-1.112568,-0.141135
fois,0.690951,2.018574,0.633019,-0.588245,-0.994072,0.569242,0.487362,0.634035,0.120015,-0.327175,0.805065
type,0.3075,1.288812,-0.962467,-0.549987,-0.14422,-0.742691,-1.081776,1.583252,-0.953129,-1.410293,0.822484
mot,0.508827,1.624332,-1.611061,-0.797588,-0.907813,-0.623081,-0.516806,0.045698,0.812914,-0.334508,0.005893
algébrique,2.014662,-0.595739,-1.498326,-0.416595,0.641882,-1.415678,-1.178069,-0.112922,0.590981,-2.028367,0.105782
degré,1.124278,0.044766,-0.592765,-0.095069,0.729799,1.247803,-0.393302,-0.557458,-0.063271,-0.068166,2.146298
langage,1.332908,1.185189,-1.235709,-0.414154,0.50615,-1.077302,-1.285537,0.438882,0.940272,-1.248479,-1.39106
nul,0.989719,0.427224,0.351679,-0.065151,-1.385648,-0.709167,0.102167,1.006289,1.439183,-0.566148,1.881406
moins,0.007829,1.983914,0.127816,-1.040999,-1.107766,-0.395493,-0.011552,0.814462,0.171146,-1.353555,1.374263
objet,0.660782,2.030866,-1.119167,-0.980671,-0.011822,-0.427869,-0.969469,0.163507,-0.425603,-1.122381,-0.053352
triangle,0.115838,-0.328325,-1.347959,0.453494,-0.811671,-0.346298,-0.407571,0.56766,-0.182753,-1.123697,0.156046
structure,0.229358,1.662892,-0.621382,-0.51401,0.364392,-0.902595,-1.396089,0.850764,-0.39889,-1.595224,0.059831
corps,0.807326,1.675476,-0.272271,-1.006882,-0.197858,-0.119544,0.344546,-0.15512,-0.997318,-1.063723,0.899801
rapport,0.479367,1.108495,0.215946,-1.475822,0.197116,-0.796148,-0.867798,0.81102,0.647252,-1.103728,1.134817
