word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
théorème,1.148136,0.453895,-1.00711,0.647354,-0.976301,1.475891,-1.247471,-0.343691,0.006312,-0.652451,1.67909,0.184228,-0.217699,-1.63193,0.691126,-1.309304,0.743223,1.135712,-0.853207,-1.33764,0.162025,0.330397,-0.546149,0.1949,-1.117381,1.881892,-1.221643,-0.277527,2.120038,0.466968,-0.077321,0.281596,0.025897,-0.157633,-1.044424,-0.382885,1.365515,-0.263064,-0.835733,-0.259433,0.807919,0.581061,0.527298,-0.115588,0.280395,0.291509,0.391559,0.923269,0.746055
problème,0.595801,0.551459,-0.945712,-0.153399,-1.143458,-0.347607,-1.006403,-0.131044,-0.046614,0.597239,1.58829,0.023071,-0.600908,-1.58323,-0.058365,-0.420038,0.614102,0.558425,-1.521078,0.730078,-1.743635,0.430574,-0.577502,1.351687,-1.978222,-0.052748,-0.781068,0.350325,0.197355,0.492552,-0.094397,0.658586,0.648472,-0.500231,-0.375056,-1.104513,1.275257,-0.152112,-1.105885,-0.254613,-0.119573,0.400807,0.519887,-0.205657,0.759511,0.844974,-0.589233,2.062606,0.104127
valeur,-0.152489,-0.492804,-0.102458,0.265589,0.705626,-0.090069,-1.62391,-0.371747,1.526343,-0.897042,0.330863,-0.006641,-0.572892,-0.759238,0.4158,0.371414,0.694703,1.149825,-1.383637,0.045734,0.313064,-0.664569,0.319751,-0.010574,-1.285707,-0.428903,-0.951302,-0.074243,1.159134,0.98282,0.462527,1.191018,-0.190745,-0.747413,0.049021,-1.304742,-0.023129,-0.696602,0.116599,-1.069687,0.125125,0.161818,1.37886,-0.00814,0.250765,0.823818,0.460891,1.736305,-0.27698
groupe,-0.316928,0.868657,0.390846,1.485139,-1.207259,-0.327701,-1.358057,0.211464,-0.125528,-0.168265,0.667011,-0.352971,-0.380653,0.477966,1.264889,-0.725187,0.791413,1.834069,-2.014177,0.254507,-0.130515,-1.307157,-0.15662,0.224976,-0.490058,1.065518,-0.158038,-0.097387,2.463895,-0.819575,-0.7763,1.002491,-0.943502,-0.995749,0.379269,0.198215,0.898228,1.137639,-0.053653,-0.757389,-1.144068,0.343386,0.650951,-0.141555,0.596241,0.458299,-0.426543,-0.061388,0.848122
graphe,0.404308,-0.041828,-0.865778,-0.079971,-0.73433,-0.47312,-1.012164,-1.023505,-0.359129,-1.239442,0.269576,0.059738,-1.462378,0.103555,0.198108,-0.894764,-0.290622,0.033802,-1.737364,0.073041,-0.897376,0.258436,-1.288191,1.627387,-0.408965,0.998581,-0.49586,0.270052,1.471595,-0.898163,-1.717446,0.862691,-0.564488,-0.635729,-1.352922,-0.345805,2.457909,1.257036,-0.606692,-1.004385,0.576797,1.711704,1.307838,0.069926,0.204902,2.28096,0.475311,0.668473,-0.778438
forme,0.194372,1.055674,-0.260333,0.323135,-0.090906,0.043894,-1.60212,-0.285437,0.363143,-0.596307,0.415053,1.255301,-0.468231,-0.625755,0.537522,-0.693552,0.155542,0.902241,-1.736805,0.713697,0.35689,-0.199685,-0.493707,0.02101,-1.2494,-0.156885,-0.383349,-0.282068,0.992301,-0.321717,0.11213,1.085984,-0.019328,-1.097531,-0.738971,-0.970252,-0.115227,-0.118362,0.700838,-0.937296,0.05355,-0.532807,0.894558,0.706641,0.381429,0.315049,-0.837856,1.705032,-0.03329
entier,0.024019,-0.385176,-0.783412,1.246182,0.469389,1.385039,-0.906818,-0.038008,-0.32421,-0.58169,0.846819,0.343244,-0.959904,-0.727537,1.191399,-0.244593,-0.098685,1.397073,-1.260802,1.041669,0.034632,-1.041569,0.059834,-0.056746,-1.362826,-0.402809,-1.660932,0.750471,1.076053,-0.353818,1.202397,1.401594,-0.58572,-1.608108,0.12189,-0.346071,0.050019,-0.968329,0.025463,-0.913541,0.186769,0.329366,0.732693,-0.377824,1.133788,0.996661,0.751243,0.855335,-0.031921
système,0.359169,0.484653,0.772393,0.451083,-0.881451,-0.23552,-1.439791,1.018616,-0.111546,0.100332,0.711702,0.328985,0.140961,-1.320173,-0.227255,-1.070103,-0.120843,-0.468565,-1.661644,0.256608,-1.12022,-0.818203,0.356702,-0.244721,-1.445878,0.130556,0.004496,-1.289121,0.808918,-0.478172,0.41874,1.018403,-0.467556,-1.265277,0.661811,-0.371471,0.706055,0.097002,-0.105911,0.531999,-0.346409,-0.327355,1.336212,0.250623,0.350706,0.478336,-0.349883,2.244389,-0.090576
équation,-0.552206,1.498824,0.554446,0.042557,-0.725191,0.437761,-2.012723,0.344621,-0.294726,0.991402,1.310037,0.846132,0.08538,-1.879646,0.402418,-1.342066,0.947391,0.926107,-1.248438,0.46541,0.011979,0.325721,-0.324403,0.637364,-0.934395,0.30855,-1.136581,-0.332104,0.52044,0.241039,0.085836,0.764538,1.135264,-1.572142,0.35038,-0.957904,0.271726,-0.170984,0.933035,-0.666402,-0.888223,-0.083576,0.332089,-0.283743,-0.445001,0.043539,-0.01252,1.95817,-0.65925
suite,-0.213569,0.485308,-1.048828,0.986566,0.852421,0.502236,-0.691662,-0.318815,0.240669,-0.909804,0.837348,0.20047,-0.045236,-0.567756,1.327485,-0.657185,0.617761,0.745985,-1.565803,-0.236386,0.470009,-0.688124,0.818121,0.275416,-1.65788,0.15815,-1.161309,0.637066,1.033166,-0.276018,0.863012,0.039869,-0.726435,-0.821924,0.169161,0.079646,0.297602,-0.508208,-0.589231,-1.154405,0.547206,-0.516842,1.448316,-0.392085,-0.807931,1.69531,0.052421,0.697355,-0.777304
algorithme,0.972459,0.608939,-0.384468,-0.433279,0.658349,-0.438572,-0.759659,0.409334,1.246216,0.305717,-0.043552,0.011801,-0.475616,-0.913078,0.240291,0.057967,0.68227,0.122531,0.024228,0.334512,-1.230249,0.132922,-0.312135,-0.015488,-2.792969,0.14351,-1.815409,0.385532,0.782111,-0.625811,0.012349,1.056644,-0.986697,-0.10717,-0.100295,-0.861492,2.501702,0.152648,-0.682595,-0.112896,0.436426,-0.141416,-0.278997,-0.20288,0.136379,2.154755,-0.645354,1.827014,-0.147223
