word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
graphe,0.993844,-1.726734,0.695616,-0.241923,1.664782,0.305972,-0.197135,0.769037,0.562604,-1.439781,-1.614541,-0.407062,-0.184247,-1.97848,-0.448523,0.947852,0.218021,-0.01232,-0.752948,0.112265,0.761571,0.336057,-1.529323,0.144926,-0.161437,-1.279268,-0.435326,-0.535927,-0.085015,0.416981,1.010722,0.166449,-0.31629,-0.264985,-1.190815,-0.538997,-1.712338
forme,-0.051415,-1.409593,0.255826,0.390857,0.495415,-0.10565,-0.21382,0.894223,-0.229272,0.175483,-0.382157,-0.718432,-0.276382,0.281564,-0.450575,-0.398446,0.262544,0.4718,-0.189507,-0.266903,-0.571109,-0.030867,0.139872,0.953809,0.092183,-1.91499,1.345495,-0.383183,-0.869378,0.362787,0.306922,0.261332,0.339156,0.452357,0.173557,-0.103189,-0.009302
entier,-0.167464,-0.376295,0.202539,0.253578,0.354171,0.00801,-0.389235,0.401746,0.444527,-0.301341,-0.868156,-0.42633,-0.298786,-0.303479,-0.294785,0.431366,-0.076409,0.096144,-0.441893,-0.158471,0.097351,0.387115,-0.067422,0.962614,0.527297,-1.258876,0.627664,0.420443,-1.8538,0.391677,-0.219993,0.074678,-0.328943,0.596551,-0.152328,0.364577,0.386329
système,-0.879841,-0.678018,-0.084636,0.888444,1.63545,-0.141247,0.365694,0.340639,0.007362,-0.269662,-0.907202,0.156382,-0.654764,0.403086,-0.603836,0.254754,-0.623414,0.970323,-0.123663,0.220683,-0.328255,-0.787004,-0.114706,1.681096,-0.873255,-1.433621,1.616664,0.756343,-0.084575,0.908279,0.134421,-0.227126,0.280836,-0.399466,0.061389,-0.473916,0.027206
équation,-0.456273,-1.204914,1.467422,1.241708,2.272555,0.5475,0.123111,-0.579946,0.86271,-1.820969,-0.469178,-0.766927,-0.474226,0.368386,-0.408267,0.204385,0.809169,1.190293,0.001597,-0.135429,0.474488,1.338212,-0.856974,-0.0622,-0.128023,-1.862733,-0.324231,0.769805,-0.143267,1.684184,0.147551,-0.321679,0.033168,-0.354158,-0.615744,0.555768,-1.319891
suite,-0.990285,-0.577212,-0.063329,0.692133,0.166104,-0.377919,-0.323117,0.124186,0.708793,0.260045,0.103338,0.355274,-0.041519,0.37664,-0.276166,-0.580286,-0.015978,-0.156388,0.426596,-0.442908,0.102843,-0.134106,-0.58971,0.359527,0.017765,-0.077661,1.339286,0.227525,-0.590214,0.123247,-0.852029,-0.032287,-0.395259,0.594424,0.416339,0.37272,0.584108
algorithme,-0.102009,-0.354269,0.039421,0.52174,1.531189,0.041704,0.083004,0.569922,1.144357,-0.468289,-1.297212,-0.610687,-1.971983,-0.345794,-0.951456,0.619412,0.573597,1.107124,-0.568796,0.097054,1.295577,-0.254002,-1.46837,-0.220467,-0.649345,-1.70787,-0.372728,0.229754,0.599472,1.112863,0.173691,-0.929344,0.621601,-0.24924,0.084625,0.111762,-0.859918
calcul,-0.804517,-0.745326,0.375856,0.375621,1.666604,0.228166,0.277597,0.406439,1.382942,-0.607269,-0.544159,-0.788336,-1.178658,0.128104,-0.238828,0.294996,0.28702,0.942434,0.045631,0.21728,0.732562,-0.265089,-0.60799,1.012676,-0.616888,-1.771206,-0.408557,1.097118,-0.515599,1.666478,-0.393006,-1.001423,0.357364,0.04743,-0.153349,0.104949,-0.397672
application,-1.481226,-0.218952,-0.165379,0.378645,1.370603,0.007109,0.117758,0.92385,0.542214,-0.226493,-0.595116,-0.012926,-0.304521,0.323539,-0.319897,0.531366,-0.579379,1.548856,-0.171151,0.383792,0.384717,0.204032,-0.066989,0.993842,-0.702722,-1.79417,0.915397,0.755425,0.016964,0.459935,-0.939426,-0.679221,0.183137,-0.694769,-0.467885,-0.698411,0.141839
élément,-0.162024,-0.836893,0.359219,0.52642,0.36887,-0.662504,0.184978,0.41878,0.407042,-0.014531,-0.33869,-1.15183,-0.006161,0.234097,-0.490438,-0.592625,0.745884,0.675245,-0.57985,0.706286,-0.178791,-0.159855,0.308886,1.019944,0.16282,-1.78611,1.292185,0.111563,-0.890113,0.587572,-0.182389,0.549302,0.411918,0.105305,-0.290232,-0.693716,0.537821
