word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
théorème,0.794194,-0.783507,0.67454,0.423737,-0.424356,-1.073754,-0.062253,-0.054614,0.190009,1.498492,-0.352019,0.170671,-0.722049,0.108077,-1.032376,-0.390699,-0.006444,-0.006874,-0.626167,0.888476,-0.409242,0.944644,0.599962,0.649247,0.426239,0.427145,0.43133,-0.857588,0.818834,-2.057001,0.292893,0.100464,1.064835,0.165079,0.685635,-0.873615,-0.883643,-0.313881,0.510326,0.880652,0.322343,-0.197481,-2.064855,-1.31808,-0.316504,0.055179,0.945083,0.642084
problème,0.009841,-0.263112,0.098326,-0.111077,-0.049001,0.178362,0.34065,-0.075821,-0.738343,0.240306,0.685537,0.113501,0.110769,-0.497931,0.402966,-1.264005,-0.337963,0.562165,-0.903436,-0.19548,-0.163977,-0.235698,-0.373333,0.743039,-0.581671,0.787536,0.14839,0.392754,-0.664821,-0.758255,0.054586,-0.368107,0.167108,-0.436995,-0.378075,0.158449,-1.121984,0.098343,0.004032,-0.428691,-1.445106,-0.648957,-0.545983,-0.182488,0.22945,0.444181,0.581208,0.048012
valeur,0.552988,-0.734078,-0.683609,1.060479,0.034426,-0.262426,0.076405,-0.270887,-0.243357,1.23133,-0.345736,0.690058,0.053871,0.081337,-0.282256,-0.31517,-0.067987,-0.258412,-0.576297,0.303579,0.146943,-0.075067,0.68538,0.601993,0.434922,-0.107298,0.059097,-0.293163,-0.367276,-1.473523,-0.089665,-1.148461,-0.73339,0.00194,-0.901589,0.372158,-1.217039,-0.243682,0.268567,-0.279791,-2.0712,0.148261,-0.159355,-0.633548,0.104171,0.146164,0.53672,0.564765
groupe,0.26716,0.069607,0.403366,-0.060552,0.811255,1.077972,-0.214595,-0.162818,0.124973,-0.352998,0.077274,0.608311,0.078333,-0.273595,0.652408,0.993394,0.025378,-0.187781,-1.176072,0.809914,-0.415529,0.184421,0.090467,0.461013,0.192816,0.39369,0.627236,0.127083,0.859272,-0.46635,-0.191178,-0.005375,0.124666,-0.110171,0.028817,0.86231,-0.299904,0.230151,-0.837946,0.079494,-1.290257,-0.078801,1.224503,0.319731,0.587683,1.396599,-0.728965,-0.290614
graphe,0.2115,0.331531,-0.091997,1.215927,0.00587,-1.823257,-0.278338,0.533918,0.192207,0.130023,0.581464,-0.577692,-0.504557,0.011422,-0.692018,-0.372,-0.411574,0.460701,-0.39841,0.051983,-0.578711,0.719055,0.000739,-0.174322,0.857628,-0.591544,-0.351548,-0.32317,0.846506,-1.581883,0.114024,0.083645,0.930756,-0.139925,0.215574,-0.829212,-0.706665,-0.528326,0.635023,0.731717,-0.966166,1.136762,-0.340572,-1.226398,0.857392,-0.580586,-0.202085,-0.742801
forme,0.157777,0.257665,-0.161363,0.02201,-0.317615,-0.354956,-0.211594,-0.818152,-0.218772,0.101788,-0.651336,-0.076112,1.340179,-0.960257,0.205243,-0.343754,0.637792,0.893928,-1.257905,0.477676,0.192528,-0.157601,0.07439,0.045257,0.332254,0.078803,0.331707,-0.396069,-0.24296,-0.888028,-0.384074,-0.422612,0.121837,-0.026892,0.204469,0.164612,-0.438504,0.437068,-0.081098,0.235778,-1.513084,0.746778,0.681173,-0.31966,-0.394354,0.706262,0.596949,-0.317019
entier,-0.131009,0.297668,-0.24453,0.372112,-0.026825,0.013411,-0.30611,-0.384195,0.345198,0.176825,-0.47145,-0.241458,0.339123,-0.073561,0.038437,-0.122796,0.174879,-0.004612,-0.851608,0.241352,0.298195,-0.014068,0.540725,0.414064,0.314024,-0.209368,0.01508,-0.646108,-0.539145,-0.794513,-0.168659,-0.04946,-0.290494,0.025786,-0.221626,0.760419,-0.158162,0.019026,-0.429821,-0.143087,-1.618006,0.327298,0.322324,-0.315062,-0.049001,0.44461,-0.24585,0.048325
système,0.168963,-0.131044,0.627784,0.063822,0.761938,-0.077465,-0.222163,-0.040738,-0.033745,0.096467,0.632161,-0.183624,0.671479,-0.804366,-0.195248,-1.229957,0.827896,0.516636,-0.933607,-0.004268,-0.025067,-0.771383,-0.258231,-0.109103,-0.451333,-0.099592,-0.284959,0.228154,0.829188,-1.243054,0.780685,-0.707213,0.046138,-0.103221,-0.221466,-0.384208,-1.420867,-0.144961,0.127951,0.035678,-2.407663,-0.135968,-0.072226,-0.018237,0.115475,0.488823,0.901883,-0.54128
équation,1.402846,-0.351215,0.992405,0.700855,-0.839723,-0.350871,0.436449,-0.173456,0.163257,1.416603,-0.334283,-0.51478,0.206949,-0.166275,-1.122132,-1.716814,0.118775,-0.191795,-1.130761,0.490931,-0.41055,0.993976,0.528889,0.132572,-0.032538,0.243772,0.448209,-0.400843,1.276626,-1.99096,0.5665,-0.799644,0.721391,0.448838,0.633487,-0.537081,-1.454891,-0.305684,0.651378,0.591719,-0.321493,-0.334486,-1.156794,-1.819308,0.484572,-0.613293,1.075454,0.678538
suite,-0.379091,0.51547,0.220314,-1.063587,0.230398,0.685371,0.483552,-0.644636,0.119129,-0.113755,-0.046985,-0.173382,0.436946,-0.229236,0.271788,0.076285,-0.299354,0.046265,-0.388501,0.223687,0.170427,-0.262628,-0.010151,0.268435,-0.706221,-0.01747,0.493213,0.239507,-0.24224,-0.412436,-0.006305,-0.401868,0.252727,-0.224333,-0.048414,0.91204,-0.20731,0.919464,-0.256054,-0.270909,-1.067536,-0.735994,-0.204223,0.599628,0.008668,0.611884,-0.313439,-0.591732
