word,1,2,3,4,5,6,7,8,9,10,11,12
modèle,-1.098568,0.618461,-0.831388,-0.427983,0.416078,-1.325522,1.239033,-0.069733,0.76076,0.998716,0.103044,-0.741746
linéaire,-0.921539,0.863645,-1.243411,0.058156,0.893692,-0.324886,0.573993,-0.858318,2.124647,1.370624,1.017179,-0.499699
probabilité,-1.708725,0.903162,-0.375845,1.025726,1.367107,1.004545,0.848381,-0.045801,0.84831,0.876453,1.636009,-0.309417
série,-1.607295,-0.91649,1.17768,-0.244726,0.517376,-1.180962,-0.854282,-0.035141,-0.569967,0.793056,-1.662469,-1.34141
somme,-0.441776,0.67996,0.249927,0.312203,1.302645,-1.626447,0.067912,0.260233,-0.292051,-0.634082,1.259748,0.475325
mesure,-1.375721,0.279536,0.493794,0.574353,0.393164,-1.046387,1.540053,-0.02332,0.801554,1.066569,1.267319,-0.136238
carré,0.213945,1.291231,-0.142902,0.576155,0.43914,-2.239702,-0.784686,-0.508996,1.112345,0.822078,0.501731,0.099625
vecteur,-1.437266,0.561065,-1.096774,0.503203,0.442317,0.587556,1.125089,-0.1664,1.683503,1.22651,1.273102,-0.46182
connexe,-0.397017,-1.064231,0.428294,0.230174,-0.606983,-1.709349,0.905338,-0.554939,1.197121,-0.424889,-0.458315,0.844289
classe,-0.675756,0.286894,0.459876,-0.446153,0.015731,-1.047292,1.226228,-0.321917,0.221844,0.395704,0.136114,-0.120065
produit,-1.7539,-0.785082,-0.642171,-1.040261,0.965916,-1.417931,0.324871,0.728439,0.795952,1.136757,0.982757,-0.165265
égal,-0.913402,0.881145,0.396425,0.52862,1.808978,-0.341138,0.661934,-0.635037,1.072959,0.685347,1.406382,-0.523957
cercle,0.301051,0.350117,0.024978,0.18462,-0.554968,-1.25349,0.190143,-1.359145,-0.190295,0.755148,0.152654,0.637651
partie,0.186239,-0.251391,0.874749,-0.033047,0.063679,-2.298236,0.58407,0.275626,0.08941,0.8454,0.846009,0.304815
relation,-0.467539,-1.233517,0.104156,0.073394,0.777655,-0.297255,1.451026,-0.054269,-0.863382,0.900398,0.461843,0.797156
courbe,-0.494682,1.640425,-0.671201,0.087636,0.703724,-0.776182,-0.676742,-0.474514,1.536688,1.335355,1.425,-0.042156
différent,-0.877133,-0.459543,-0.231625,-0.198372,0.561586,-1.989657,1.241908,-0.472351,0.267447,1.771943,0.915476,-0.088314
complexe,-0.507286,-0.439102,-0.947801,-0.167044,0.091398,-1.282232,0.887641,-0.100476,0.830066,1.612161,1.061782,0.129289
matrice,-0.46093,1.124656,-1.376407,-0.142477,1.613968,0.46094,0.569031,0.096303,1.804588,0.803056,0.841192,-0.732567
domaine,0.015088,-0.311854,-0.749584,-0.49495,0.696299,-1.793688,1.284285,0.509129,0.101996,0.609965,0.770714,1.427782
fois,-0.488435,0.263161,1.510569,-0.086307,0.768787,-1.509141,0.633286,-0.043878,-0.824847,1.263886,0.312687,-0.661301
type,-1.471366,0.191932,-0.444187,0.131291,0.055033,-1.701667,0.864225,0.272434,1.639952,0.97374,0.806178,-0.857975
mot,-0.042676,-0.945876,-0.487766,1.51637,0.875465,-0.928931,0.418648,-0.613672,0.202366,1.738714,0.291689,-0.483271
algébrique,0.092215,0.849572,-2.07511,0.095082,1.794842,1.011095,0.825251,-1.288902,1.792614,0.666411,0.716128,-0.528385
degré,-0.142242,1.41769,1.285066,0.792477,1.059779,-0.459687,0.900043,-0.550364,1.599249,-0.191127,-1.17422,1.00199
langage,-0.652017,-0.834148,-2.305695,0.162741,1.095534,-0.46844,1.184471,-0.873927,0.512848,1.477627,-0.242935,-0.219017
nul,-0.732859,0.596548,1.563409,0.299503,1.069911,-0.179891,0.658605,-1.552489,0.201618,0.596853,1.19482,-1.145724
moins,-0.951937,0.097318,1.147576,0.530336,0.921461,-1.563937,0.661723,-0.261026,0.135357,1.526264,1.655834,-0.250163
objet,-0.67765,-0.026358,-1.018126,0.767144,0.195815,-1.83274,1.152608,0.293131,0.484084,1.815039,0.153537,0.106263
triangle,0.147753,-0.034113,-0.38264,-0.127539,-0.354349,-0.479464,-0.81237,0.029258,1.253995,0.846488,0.312403,-0.892264
structure,-0.846497,-0.145776,-1.078837,-0.562907,0.172126,-1.55585,1.239775,-0.246347,1.222153,1.310391,0.94479,0.140356
corps,-0.42103,1.097026,0.344541,0.641551,-0.077243,-1.194747,0.72845,0.89904,-0.090598,1.578469,0.506407,0.167807
rapport,-1.721803,-0.088287,0.171141,0.544053,1.124675,-0.974702,1.469837,-0.461354,0.369628,0.512654,1.230557,0.351782
longueur,-0.910964,1.310635,1.051142,0.187361,-0.028538,-1.723441,-0.120902,-0.476368,2.368516,0.713083,1.27132,-0.712038
informatique,-1.301158,-0.523156,-2.146309,-1.744246,0.382148,-0.773186,1.398976,-0.583362,0.126531,0.44383,0.122796,0.061121
infini,-1.030535,0.441717,-1.262504,1.747687,0.673722,0.20484,-0.309423,-0.65617,0.364224,1.199678,0.354061,-0.629924
variété,-0.345288,-1.080462,-0.122899,0.190516,0.306448,-0.577714,-0.3834,0.124738,1.881648,1.699128,0.033674,0.9683
ligne,-0.588032,0.586774,0.280876,0.027794,-0.16754,-2.671596,0.217771,-0.498036,0.605354,-0.763395,0.265832,0.016727
positif,-2.087284,-0.335658,-0.042796,0.55889,1.535055,0.034421,0.763802,-0.772193,0.208717,0.913455,0.528199,-0.319869
angle,0.090304,1.393725,-0.567614,0.126413,0.541843,-1.622796,-0.583887,-0.258374,1.195854,1.328198,0.77665,-0.369148
polynôme,0.268432,1.006811,-0.975288,1.032098,3.281998,1.621853,0.136033,-0.4435,2.408601,0.150125,0.9648,-0.508343
