word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
problème,-0.422063,-1.435297,1.043313,-0.565105,0.22216,-0.512082,0.581975,-0.06887,0.434231,0.258536,-0.608847,0.184039,0.256014,-0.1998,-0.077398,-1.018565,0.355386,0.599194,0.716103,-1.101658,-0.021225,-0.667099,-0.270312,0.341322,-0.881965,0.267395,0.166513,1.064985,-0.150315,0.016193,0.165956,-0.314553,0.253942,-0.223176,-0.216536,0.465691,-0.098709,0.652131,0.284499,-0.192684,0.197118,0.636893,-0.089128,-0.13251,-0.604115
valeur,-0.767404,-0.720099,1.940151,-0.418011,0.029384,-0.742801,0.277895,0.687233,0.079686,-0.39143,-0.422277,-0.258202,0.193519,-0.161805,-0.165094,-0.030399,-0.393214,0.703895,1.065172,-0.216662,-0.089434,-0.129451,0.845758,1.024564,0.056153,-0.172674,0.917989,0.794256,-0.179129,0.53893,-0.374042,-0.268231,0.092083,-0.637111,0.038843,-0.147121,0.109785,0.620151,0.097533,-0.384392,-0.292784,0.402914,0.31995,-0.947802,-2.000369
groupe,-0.373424,-0.089077,0.503807,0.541734,-0.228646,-2.085064,0.253669,-0.212538,-0.61203,-0.353144,0.303179,-0.525554,-0.422344,-0.827993,0.003789,-0.359824,-0.075753,-0.568797,0.814715,0.488574,-0.370959,-1.586608,0.946144,0.21726,-0.652822,0.664518,0.221753,0.487834,0.1524,-0.202931,0.601998,-0.076284,0.027062,0.548468,0.433486,-0.476717,-0.529894,-0.518156,0.609034,0.047588,-0.162936,-0.451801,0.6642,0.435243,-0.092263
graphe,-1.777917,0.773427,1.229594,-0.529891,1.141641,0.926802,1.223001,0.278758,-0.333399,-1.481124,0.668536,0.108315,1.069906,-0.792153,-0.465985,-1.041844,-1.10407,0.994893,-0.229791,-0.19413,0.742673,-0.594171,0.203896,-0.74279,0.434417,-0.377413,-0.73428,0.537961,0.020686,-1.324081,-2.388488,-0.051136,-1.289474,-0.11282,0.959945,0.901129,0.201462,0.279151,1.177759,0.319308,-0.018537,0.327805,-1.625939,-0.413669,-1.161758
forme,-1.659491,-0.175662,1.285932,0.01442,0.152747,-0.753909,0.635461,-0.102506,-0.349458,0.279621,0.233337,0.036285,0.375865,0.02989,0.918494,-0.955239,0.700481,-0.3351,0.263592,-0.012858,0.107354,0.221583,0.78693,0.416353,0.098308,0.363759,-0.122995,0.641016,0.32159,0.321275,-0.001427,-0.237798,-0.755372,-0.060127,0.241999,0.043055,-0.707308,0.033294,0.202048,-0.113415,0.406937,0.355654,0.905165,0.105957,-1.317096
entier,-0.867043,0.055693,1.237445,-0.239001,-0.0463,-0.906939,0.326649,-0.243715,-0.267752,-0.070872,-0.266161,-0.621114,0.089114,-0.510042,-0.282254,-0.278265,-0.347442,0.228274,0.683872,-0.3211,0.278953,-0.665061,0.571245,0.369849,0.472864,0.141686,-0.077232,0.098075,-0.120762,0.753148,-0.515132,-0.181889,-0.085409,0.061244,0.803214,0.183985,-0.302676,0.155463,0.818848,-0.158491,-0.316906,0.50556,0.400362,-0.334944,-1.482917
système,-1.277035,-0.618153,1.044384,-1.327217,0.497136,-0.848552,0.032744,0.02155,0.13143,0.050601,-0.508614,0.722364,0.039135,-0.083754,0.423457,-0.664234,-0.138596,0.081245,0.18944,-0.499289,-0.06663,-0.184461,0.319011,0.770636,-1.159273,0.763406,0.378963,1.119287,0.482595,-0.985429,0.732471,-0.490809,-0.975417,0.082133,-0.816853,0.589631,-1.050349,0.380452,0.7335,-0.325145,0.259193,0.287448,-0.200102,-0.268551,-1.597046
équation,-0.436258,-1.108053,1.740737,-0.667142,-0.768457,-1.175932,0.843984,-0.026734,-0.670886,-0.724006,-0.75279,0.324668,1.010206,-1.341925,0.501493,-1.034862,-1.277397,1.675992,0.136496,-0.270148,0.389002,0.389786,-0.9806,-0.636669,-0.02333,1.001415,-0.356552,1.341389,-0.019797,-0.606582,-1.387098,-0.283719,-1.049003,-1.904522,-0.826954,0.872985,0.527714,0.504958,0.976347,-0.618297,-0.592941,0.163132,-0.247603,-0.363546,-1.290989
suite,-0.136723,0.118979,0.456591,-0.25506,-0.223141,-1.146637,-0.098397,-0.214506,0.177487,0.350361,-0.323022,0.064111,-0.483756,0.090212,0.396384,-0.483408,0.324449,-0.341334,0.494758,-1.181729,-0.365109,-0.616518,0.076648,0.430574,-0.463072,0.28462,-0.466658,0.740606,0.401132,0.744126,0.370727,-0.190206,0.513811,0.113407,0.416302,0.298414,-0.579707,0.205523,0.498291,-0.098919,-0.746091,0.024762,0.065361,0.449097,0.122116
algorithme,0.246861,-0.208571,0.97862,-1.245343,0.391286,-0.284752,1.057931,0.806405,0.057725,-1.236125,-0.609157,0.770007,0.838157,-1.046324,-0.137375,-1.199574,-0.756907,1.275124,0.357795,-0.478309,0.255336,0.273717,0.021319,0.489387,0.433617,0.763685,-0.685191,0.885488,0.086331,-1.107459,-0.673309,-0.876428,-0.607413,0.07069,-0.337343,1.763122,0.231717,1.39866,1.820949,0.648216,0.838273,0.280827,-0.036864,-0.09171,-0.940596
calcul,0.07264,-0.871691,1.687101,-1.460646,-0.191976,-0.879743,0.637089,0.631423,0.209108,-0.189763,-0.65804,0.762648,0.121832,-0.584405,0.325068,-0.618349,-0.808472,1.328444,0.624463,-0.65105,-0.002636,0.354247,0.083471,0.764453,0.318608,0.647561,-0.061071,0.705816,0.16413,-0.340257,-0.555205,-0.357883,-0.823767,-0.575575,-0.781813,0.919591,0.10812,0.950631,1.103965,-0.281101,0.380428,0.384282,-0.243175,-0.337305,-1.634081
application,-0.506893,0.078154,0.797714,-1.178816,-0.157246,-0.73089,0.291738,0.044963,-0.230952,0.643413,-0.242661,0.149447,0.144999,-0.885707,-0.433629,-0.664797,-1.155299,0.262695,0.413168,-0.540302,0.428894,-0.07728,0.135195,0.760974,-1.049265,0.560216,0.067629,1.601741,-0.635857,-0.39585,0.544687,-0.119354,-0.460721,-0.12254,-0.937057,1.055127,-0.589179,0.552779,0.59365,0.58392,0.397546,-0.173107,0.089942,0.030831,-2.12874
élément,-1.108605,-0.807097,0.330128,-0.067399,-0.199888,-0.267188,0.217663,0.250945,-0.494709,0.196617,0.106554,-0.380072,0.365324,0.125738,0.706028,-0.628543,0.424859,0.38943,0.259511,0.133957,-0.313217,-0.5364,1.150365,0.665723,0.278144,0.36489,0.808559,1.488676,0.06204,0.42919,0.113254,-0.021264,-0.804861,-0.464346,0.169286,0.099147,-0.242411,0.447068,0.546138,-0.332317,-0.013993,0.168155,0.794595,0.373334,-1.73558
grand,-1.57591,-0.469653,0.686146,0.471506,0.218561,-0.342845,-0.382704,0.645677,0.225246,-0.144305,0.110938,0.160819,-0.565683,-0.08724,0.64795,-0.030181,0.691086,-0.287105,0.356207,-0.264408,0.004105,-0.083575,-0.372342,0.661631,0.13704,0.301584,0.448545,-0.30121,0.159833,0.776026,0.464544,0.141724,0.020479,0.251856,0.29,-0.432446,-0.249842,0.081268,-0.034686,-0.606679,-0.593115,-0.583484,0.151233,0.08605,-0.437312
propriété,-1.469224,-0.583775,1.133715,-1.222592,0.344741,-0.241318,-0.179497,0.471805,-1.188305,0.129364,1.167456,-0.490438,-0.007973,-0.600657,0.139294,-0.243893,-0.372318,-0.155458,0.599712,-0.113243,0.065588,0.033387,-0.225904,0.447872,-0.410298,0.00937,0.18603,1.041536,-0.098172,0.695273,-0.193861,0.119623,-0.476358,-0.641996,-0.400123,0.270024,0.516062,0.319836,0.47406,-0.406232,-1.154397,0.571091,0.286926,-0.445109,-1.283356
ordre,-1.106142,0.532895,0.579524,0.528541,-0.086402,0.465569,0.145892,-0.254017,0.250059,0.545795,-0.216835,-0.073566,-0.449841,-0.476863,0.90853,0.294385,-0.28855,0.408995,0.919408,-1.050776,-0.211809,-0.049255,-0.107206,-0.376087,-0.519484,0.168922,0.791673,0.553307,0.309008,1.3273,-0.204585,-0.337766,-0.500993,-0.1675,-0.265535,-0.375435,-0.562482,-0.130722,0.800694,-0.272131,-1.115429,0.083076,0.150457,-0.274154,-0.795404
variable,-0.992152,-0.034363,2.022207,0.034407,-0.094802,-1.187026,0.421303,-0.161476,0.139046,-0.585962,-0.200241,0.118697,0.907076,-0.293328,0.124957,-0.934173,-0.638611,0.854866,0.540619,-0.061792,-0.350233,0.005477,0.043817,0.697823,0.159548,-0.402783,-0.150053,0.588214,-0.225755,-0.495481,-0.404397,0.09811,-0.807987,-0.721034,-0.928052,0.644436,-0.524512,0.403348,0.317028,0.34797,-0.071831,0.883399,0.212586,-0.452185,-2.244411
base,-1.213209,-0.138345,0.396183,-0.274148,0.291394,-0.613601,0.248477,-0.27785,0.022177,0.366884,-0.224211,-0.18411,0.164562,-0.413175,0.152948,-0.13168,-0.211388,0.157162,0.60102,0.137142,-0.133559,-0.171147,0.497448,0.341443,-0.32036,0.006385,0.272077,0.595962,0.358707,0.476303,0.715817,-0.332642,-1.197244,0.084268,0.201331,0.318519,-0.469481,0.196009,0.681672,0.247214,0.584184,-0.004719,0.26505,0.391625,-1.832209
