word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
entier,0.102837,0.164835,0.167623,0.597771,0.207409,-0.272217,-0.64064,-0.116218,0.137575,0.326965,0.460224,-0.422309,0.131842,-0.730031,0.111861,-0.15685,0.285786,-0.062412,0.018972,-0.223467,0.78923,0.127475,0.135067,-0.243702,0.078118,-1.902242,-0.179536,-0.019783,0.285338,0.712442,0.114186
système,0.60454,0.565558,0.347256,0.431934,-0.487523,-1.36912,-0.419221,-0.967864,0.743787,-0.695374,-0.049711,-0.973616,-0.788442,0.022063,-0.88689,-0.975341,-0.138178,0.194321,0.496828,0.132084,-0.458492,0.541654,-0.587282,0.60557,-0.144707,-2.538558,-0.055901,-0.025369,-0.622882,0.008173,1.333029
équation,-0.550674,-0.835788,0.53057,0.210609,-0.370534,-0.046269,-1.83209,-0.273949,0.084135,-1.054326,0.168369,-1.451623,-1.145477,-0.375427,-0.201795,-0.540892,-1.499021,0.062607,-0.335781,-0.931861,-0.934327,1.481354,0.200212,1.842673,0.830084,-0.47278,-1.311755,0.229562,0.83195,-0.720712,2.167776
suite,1.382335,-0.223849,0.51203,-0.215317,-0.157186,0.564478,0.371759,-0.420882,-0.064095,-0.07189,0.102719,0.13268,-0.334661,-0.84934,0.144673,-0.068632,-0.258571,0.07067,-0.081524,0.85668,-0.149754,-0.393195,0.070473,0.072144,0.509082,-1.546172,0.612919,0.250934,-0.413575,0.709394,-0.064125
algorithme,-0.242516,0.212714,1.029278,0.485749,-0.546654,-1.243193,-0.042923,0.232291,0.909952,-0.220321,0.291633,-1.173209,-0.328733,0.280354,-0.015825,-0.206073,-0.937478,-0.23026,0.712917,-0.592431,-1.217099,-0.361359,-0.823293,0.63021,-0.233942,-0.643639,-0.630144,0.575647,0.254262,-1.104809,2.050777
calcul,0.191852,0.015759,0.48366,0.816231,-0.750383,-0.928008,-0.958987,0.061593,0.578797,-0.723893,0.251932,-1.317483,-1.164495,-0.576331,-0.437632,-0.391555,-0.792943,0.272878,0.515279,-1.079687,-0.542137,0.064516,-0.661083,1.469121,0.161815,-1.338824,-0.172882,1.056177,0.446079,-0.787724,0.972773
application,1.122393,1.10776,0.265496,0.69292,0.178428,-1.109387,0.011033,-0.268924,1.102939,-0.303215,0.301951,-1.038601,-0.559743,0.112293,-0.550552,-0.612355,0.452355,0.841745,-0.096798,-0.188,-0.77009,-0.107192,-0.809463,0.968154,-0.147422,-1.983475,-0.191884,0.646548,-0.684749,-0.045714,1.690577
élément,-0.279418,0.855508,0.032836,-0.021186,-0.697483,0.267533,-1.355333,-0.657601,0.34965,-0.337974,0.171335,-0.309605,0.689505,-0.374859,0.359992,-0.996683,0.071559,0.207543,0.362076,0.218759,0.337419,0.455527,-0.658614,0.326532,-0.47139,-2.323787,-0.223031,0.82014,0.322657,-0.083835,1.042247
grand,0.312532,-0.273215,-0.210037,-0.078429,-0.018579,0.117413,-0.753735,-0.196323,-0.718542,-0.228302,-0.348384,0.539383,-0.328507,-0.58305,-0.261466,-1.123521,0.635858,0.045591,0.268711,0.859072,0.531259,-0.151867,0.192147,-0.160626,-0.099533,-1.718872,0.450482,-0.012335,0.48374,0.144498,-0.769559
propriété,0.659657,0.324524,-0.756385,-0.095483,0.112911,-0.50755,-1.342929,-0.666837,-0.399179,-0.191652,-0.276014,-0.834726,-0.956872,-0.012231,0.809876,-0.762915,0.823489,0.571606,0.054613,0.30201,0.753348,0.394923,0.049864,0.98654,0.620331,-1.361412,-0.649727,0.505691,-0.295253,-0.211636,0.635644
ordre,0.204313,-0.213869,0.361636,-0.580949,0.179202,0.625338,-0.843236,-0.939393,0.080788,-0.005052,-0.0571,-0.11689,-0.344249,-0.226592,-0.348045,-0.659916,0.752771,-0.351737,-1.443865,-0.087277,0.872431,0.693304,-0.315056,0.828775,0.08192,-1.679965,1.092123,-0.182484,-0.457835,-0.158355,-0.221372
variable,-0.372679,1.029303,0.614815,0.474666,0.274689,-0.910275,-1.316765,0.651537,0.631059,-0.917656,0.192505,-1.175107,-0.65263,-0.859684,-0.301756,-0.438185,-0.597348,0.308773,0.447503,-0.884546,0.028609,1.200952,0.060046,0.69388,-0.244758,-1.896431,-0.666712,-0.024246,-0.152779,-0.393758,0.552764
base,-0.384074,0.684035,-0.08831,0.867463,-0.107909,-0.817685,-0.59892,-0.484407,0.516034,-0.509921,0.447286,-0.423524,0.334735,-0.127559,0.153719,-1.033615,0.516324,-0.177955,-0.011319,0.271063,-0.306485,0.224887,-0.238623,0.003274,-0.116164,-2.217972,0.406267,0.167725,-0.337533,-0.13895,0.6576
géométrie,-0.352523,0.2417,-0.227468,0.311525,-0.704813,-0.236299,-1.949377,-0.331951,0.362412,-0.094978,-0.423517,-1.504602,0.288622,-0.07907,-0.983245,-1.085296,-1.076385,-0.026548,0.14982,-0.379671,-0.690947,0.649109,-0.88571,0.64494,-0.308487,-0.113727,-0.487909,0.20395,0.971501,-0.421745,1.592078
analyse,0.916752,-0.009444,0.109485,0.473285,-0.642585,0.434151,-0.531524,0.585425,0.02464,-0.599912,0.155146,-0.849054,0.264863,0.452565,-0.209121,-0.424573,-0.480058,0.805623,-0.647004,-0.567537,-0.735769,-0.092597,-0.436959,0.437544,-0.944909,-2.101326,-0.408948,0.924616,0.58951,-0.322875,1.080844
loi,1.51294,-0.266927,-0.222551,-0.093694,-0.446406,-0.024403,-0.439625,-0.869728,0.33874,-0.211037,-0.271928,-0.084789,-0.149441,-0.529793,0.013597,1.257452,1.032776,-0.28454,-1.380147,-0.947982,-0.409947,0.595286,0.205228,0.960995,0.95022,-2.172693,-0.693422,0.117923,-0.835812,0.088265,0.400302
définition,0.500969,0.191198,0.595592,0.489338,-0.663925,-0.760355,-0.995703,-0.048699,0.328393,-0.747395,-0.326492,-0.72195,-0.345246,0.051436,-0.343759,-0.000558,0.221967,0.238026,-0.120338,-1.143947,-0.070654,0.33513,-0.421567,0.614506,-0.628659,-2.206897,-0.801091,0.412499,0.313738,0.015997,1.339184
réel,0.683503,-0.084937,0.91374,-0.22969,-1.181719,-0.001543,-0.543778,-0.127847,0.384568,-0.255848,-0.105165,-0.291697,-0.718975,-0.043492,-0.783261,-0.066578,0.060414,0.415775,0.939208,-0.368482,-0.177483,-0.003171,0.07618,0.568198,-0.474015,-2.434722,-0.755045,0.541312,0.107951,0.054592,0.305224
dimension,0.22007,0.849238,0.392479,0.117335,-1.051435,-0.304109,-1.819328,-0.106819,0.513437,0.105844,-0.21182,-0.154096,0.291997,-0.0919,-0.715151,-0.292903,0.025441,-0.063519,1.013373,0.299732,-0.523376,0.670492,-0.013776,0.480839,-0.568048,-1.77548,-0.465575,0.500689,0.665437,-0.193971,-0.019482
statistique,0.859978,0.06787,-0.180001,1.044122,-0.354379,-0.544723,0.483363,-0.546525,0.195122,-1.479327,0.036379,0.56613,-0.643217,-0.196919,1.339368,0.670279,-0.732518,-0.596727,-0.404107,-0.302274,-0.092154,-0.622486,0.609422,1.432543,-1.017757,-1.094697,0.80416,-0.823754,1.513461,-1.121857,0.229006
sommet,-0.173629,-0.462921,0.189989,-0.438986,0.915838,-0.817535,-1.360037,0.274308,-0.80623,-0.381461,0.398425,0.927609,0.953641,-0.159399,0.411228,-0.701558,-0.358714,-0.690985,0.790897,0.436182,0.166245,0.174452,0.384238,-0.9691,0.058213,-1.610453,0.939761,-0.470219,0.805614,-0.031239,-0.341357
logique,0.57469,-0.086798,0.680854,0.090259,-1.458245,-0.216928,-0.817078,-0.654176,0.355931,-0.091313,-0.535229,-1.107736,0.327187,0.048259,-0.678683,-0.230481,-0.040276,0.283672,0.157105,-0.890102,-0.908121,-0.347499,-0.467989,1.324278,-0.568546,-1.219198,-0.852485,-0.117929,0.829076,0.299981,1.571012
terme,0.372378,-0.283076,0.66113,0.162094,-0.443007,-0.179259,-0.536433,-0.589986,0.403667,-0.656912,-0.475147,-0.206436,-0.056039,-0.624212,0.560714,-0.622172,0.052168,0.26312,0.022146,-0.260698,0.527281,-0.480762,-0.047811,0.292527,-0.502662,-2.045132,-0.230448,-0.199258,0.014991,0.14448,0.747314
trois,0.10042,0.310113,-0.036365,0.269594,0.275298,0.314679,-0.235173,-0.463197,-0.50449,0.192076,0.186238,0.194825,0.000242,-1.221409,-0.098387,-0.568769,0.030448,-0.943456,0.064275,0.78124,0.366039,-0.042072,0.159334,0.139694,0.340947,-2.025817,0.559602,-0.13558,0.695516,0.201635,-0.402858
plan,0.710858,0.145551,-0.163327,-0.570249,0.127386,-0.511365,-1.104315,-0.0723,-0.353292,-0.399849,0.123777,0.050357,0.621665,-0.212731,-0.344095,-0.638119,0.510705,-0.118089,0.381831,0.168364,-1.085161,0.025595,-0.256484,0.309799,0.207803,-2.208219,0.285792,0.347172,0.191447,0.000657,0.102152
formule,0.446455,0.086679,0.057156,0.872051,-0.812716,0.3977,-0.322902,0.086496,0.17064,0.018732,-0.199935,0.306993,-0.894385,-1.190799,0.22505,-0.521617,-1.59263,-0.503811,0.013001,-0.038468,-0.025509,0.01289,-0.370988,0.79098,-0.548491,-0.964902,-0.261436,-0.365369,0.433208,0.241005,1.328857
droite,-0.403589,0.149158,-0.117693,-0.557354,0.425959,0.521885,-0.863807,0.004514,-1.067211,0.309029,-1.091908,-0.0394,1.523555,0.205858,-0.172697,-0.253753,0.136391,-1.117689,0.856327,-0.377809,0.275968,0.517883,0.446577,0.296695,0.591802,-2.199547,1.044236,-0.694464,0.474255,0.747449,0.666991
$\mathbb{C}$,-0.309337,0.792035,0.451262,0.82523,-0.414834,-0.288735,-0.102228,-0.180015,0.062844,-0.182989,-0.419025,-0.197469,-0.014977,-0.617545,-0.147734,-0.582001,-0.086786,0.13275,-0.563409,0.299494,0.061813,-0.176863,0.403936,0.716995,-0.000558,-1.317994,-0.212831,-0.196749,0.021442,0.510495,0.098275
solution,0.384289,0.206854,-0.126979,0.552944,-0.080217,-0.541204,-0.39731,-0.043093,0.893064,0.221669,0.023872,-0.347645,-0.314706,0.208189,0.123357,-0.887107,-0.585808,1.327222,0.437683,-0.036575,-0.550033,-0.061267,-0.289714,1.049142,0.472145,-1.886498,-0.918522,0.450949,-0.564442,0.069894,1.692781
modèle,0.281992,0.964343,-0.250253,1.071012,-1.616104,-0.242111,-0.879871,-0.440661,0.264027,0.029882,-0.357403,-0.415609,-0.892422,-0.20637,-0.525768,-1.15176,-0.096869,-0.372328,0.981273,0.398424,-0.597709,0.491871,-0.890722,0.619252,-0.57452,-1.454257,-0.459967,0.063813,-0.504943,0.255431,0.649369
linéaire,-0.506093,0.41671,0.361617,0.679051,-0.461026,-0.995434,-1.633474,0.302462,0.099524,-0.723981,-0.345435,-1.331077,0.222218,-0.375838,-0.32713,-0.568348,-1.080778,-0.292485,0.947996,-0.60104,-0.505983,1.117021,-0.056162,0.057774,0.203717,-1.395089,-0.52097,0.555868,0.538602,-0.088888,1.519353
probabilité,-0.190919,-0.181528,0.81636,-0.12389,-0.930134,-0.557297,-0.926247,0.282914,0.595414,-0.715535,0.491255,-1.373165,-0.846622,-0.03525,0.191087,0.501481,-1.732228,0.711711,0.165634,-1.32588,0.213197,0.340452,0.455937,1.572488,0.185359,-1.3036,-0.465405,0.520559,0.072352,-0.294616,0.287797
série,0.448114,0.911832,1.050174,0.234269,-0.718997,0.79314,0.980242,0.576218,0.055557,0.025463,0.422022,0.470098,-1.169387,-0.407465,-0.518451,0.404285,0.180305,-0.672465,0.381358,1.563354,-0.63555,0.379655,0.733185,-0.490097,-0.393858,-1.338391,-0.541627,-0.290823,0.698605,0.236076,-0.386861
somme,-0.121516,-0.031493,-0.570843,0.021079,-0.070718,-0.274302,-0.22088,0.089963,-0.264156,0.18141,0.341035,0.291712,-0.462755,-0.981689,0.5238,0.117236,1.049015,0.262127,0.283998,-1.02806,0.160819,-0.259764,0.091206,1.688693,0.87367,-1.384419,0.260711,0.628736,0.536893,0.255521,-0.288575
mesure,0.413978,0.109882,0.234714,0.717836,0.059142,-0.639087,-1.273401,0.080026,-0.009238,-0.351208,0.194512,-0.029073,0.3425,-0.28567,-0.140512,-0.647611,-0.660906,0.051822,-0.389568,-0.746168,-0.505552,0.163925,0.228479,0.395604,0.256723,-2.429529,0.050289,-0.014861,-0.72123,-0.809363,-0.131598
carré,-0.863482,0.786007,-0.743863,0.319893,-0.102592,-0.114496,-1.325779,0.113423,-0.864865,0.578627,-0.482768,-0.205174,0.58566,-0.85849,-0.184266,-0.527199,0.433591,-0.870261,1.032164,0.029302,-0.011828,0.771961,0.207144,0.030013,0.599581,-1.459158,0.568702,0.444927,1.060255,-0.16641,-0.080248
vecteur,-0.427562,0.068631,0.151127,-0.076425,-0.838499,-1.308948,-0.871633,-0.120442,0.790471,-0.434363,-0.091872,-1.880467,-0.791611,0.539579,-0.668819,-0.033077,-1.253354,0.475294,-0.420348,-0.549162,0.206962,1.176517,0.205899,0.178367,0.046128,-1.369837,-0.384466,-0.300236,-0.071258,-0.211604,1.31453
connexe,0.286257,0.949556,-0.173749,0.704723,-0.476493,-0.779733,-0.179962,-0.391725,-0.482421,-1.251752,-0.584491,0.625169,-0.521864,0.709915,0.094699,-0.086517,1.462408,0.243363,-0.979645,0.200589,0.114022,1.068138,0.124124,-0.514686,-0.687395,-0.909004,1.032698,0.034446,0.593767,-0.45576,0.26649
classe,0.046502,0.349787,-0.083571,0.911348,-0.349801,-0.003263,-0.403761,-0.71711,0.407228,-0.302264,0.354463,-0.121463,-0.528701,-0.428248,-0.686529,-0.857182,0.166834,-0.369505,-0.466616,0.132708,-0.035517,0.101147,-0.629048,0.64348,-0.438769,-1.067898,-0.099308,-1.20292,-0.318517,0.445418,-0.790864
produit,0.247364,0.848649,-1.091636,1.054907,-0.132309,-0.629829,0.518147,0.027385,0.622687,-0.244759,0.069532,0.017918,-1.092705,-0.676305,0.782089,-0.58228,-0.025207,1.146671,0.60185,0.661459,0.259681,0.038169,-0.059496,-0.154147,0.049096,-2.3646,-1.345374,0.738484,-0.834363,-0.326112,1.117087
égal,-0.546151,-0.029288,0.038202,0.927484,-0.070985,-0.227605,-1.527987,0.077697,0.456022,-0.196017,-0.451399,-0.185135,-0.087368,-0.827435,-0.439166,0.075034,-0.664446,-0.460905,0.338064,-0.857536,0.428198,0.866015,0.586761,1.694422,0.497038,-1.742163,-0.622441,-0.025044,0.221984,0.193436,-0.273098
cercle,0.07631,-0.066483,-0.059949,0.490385,-0.087029,0.665092,-1.068268,-0.336139,-0.298849,0.424703,-0.185516,-0.106584,0.641491,0.194477,-0.496455,-0.557546,0.490889,-0.076422,0.589196,-0.265917,0.494987,0.341399,-0.457715,-0.193573,-0.027884,-0.783541,0.66964,-1.077146,1.385668,0.716239,0.119742
partie,0.237547,0.10577,0.191787,0.015145,0.397504,-0.368628,-0.650493,-0.59239,-0.632204,-0.572588,0.145966,0.178997,0.481521,-0.535136,0.413667,-0.739672,0.646885,-0.219401,0.178803,0.623081,0.45598,-0.147583,0.236561,-0.02768,0.232946,-1.916622,0.407728,-0.138719,0.333878,0.800963,-0.134251
relation,1.109158,-1.378346,0.820095,-0.02293,-0.148783,0.088096,-0.666391,-0.192236,0.236455,-0.341142,-0.894432,-0.158447,-0.47188,0.612316,-0.44224,-0.231708,0.613329,0.711987,-0.58741,-0.158287,0.036502,-0.385068,-0.057242,0.258364,0.150629,-1.686821,-0.700877,-0.279485,0.001925,-0.031807,0.165575
courbe,-0.852144,-0.092672,0.313459,0.114878,-0.023449,-0.475266,-1.537767,0.566706,-0.404223,-0.360353,-0.640314,-1.264276,0.289244,-0.729595,-0.061906,-0.931476,-0.487029,-0.169322,1.690846,-0.921683,-1.083745,0.651764,0.447835,0.806254,0.570949,-0.917987,-0.016068,0.068138,0.858944,-0.721369,0.584814
différent,0.363633,0.330746,0.243045,0.607878,-0.146299,-0.330969,-0.512252,-0.360994,0.457634,-0.55915,0.279867,-0.518211,-0.015776,-0.606577,-0.153538,-0.808077,0.185777,-0.021223,0.331609,0.231512,0.557706,-0.024817,-0.566867,-0.163209,-0.594945,-2.852452,-0.233313,0.21151,0.288896,0.300165,0.539925
complexe,0.277363,0.640954,0.014288,0.123243,-0.442333,-0.652796,-1.533313,-0.639236,0.081496,-0.661309,-0.206716,-0.580993,0.293145,0.103238,0.15084,-0.838341,-0.397564,0.638294,0.524523,0.61889,-0.044583,0.014387,-0.705916,-0.393696,-0.015758,-1.779949,-0.57721,0.119064,0.554848,-0.257905,0.656846
