word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
géométrie,-0.337712,1.254654,0.430907,-2.650568,-1.025781,-0.174214,-1.501599,-0.117692,-0.601147,-1.119556,-0.58424,-1.368906,0.304861,0.982586,-1.271473,-0.266585,-1.017753,0.348847
analyse,0.129449,1.219962,-0.053015,-1.250803,-1.296062,-0.4698,-1.864671,-1.36481,0.11104,-0.411166,-0.150222,-0.064523,-0.236749,0.295527,0.097726,-0.625126,-0.665375,1.144808
loi,0.315862,0.821849,-0.176878,0.102671,-0.859429,-1.126158,-1.219331,0.093847,0.98299,-0.044369,0.583738,-0.851347,0.954983,0.249111,1.901794,-0.878458,-0.196573,1.178641
définition,0.224436,1.888256,0.34437,-1.595984,-0.613451,-0.390936,-1.582502,-0.501725,-0.173616,-0.747257,0.108245,-0.400069,0.157898,0.513304,0.585379,-1.512925,-0.727123,0.855297
réel,1.217605,1.960285,-0.630909,-0.982346,-0.302,0.080992,-1.272954,-0.5083,0.109511,-0.049112,-0.187132,0.122082,0.352587,0.110632,0.434222,-1.060586,-0.70225,0.878565
dimension,0.28037,1.879697,-0.191515,-1.53299,0.024004,0.380117,-1.339814,-0.146257,-0.280993,0.606908,0.072483,-0.098905,0.410609,0.743111,-0.423878,-0.886873,-1.274802,0.028155
statistique,-1.649562,1.458155,-0.064123,-0.707387,-0.068336,-1.336145,0.066525,0.227296,0.511426,-0.019672,-1.567379,-0.137123,-0.999208,0.395327,1.464776,0.104191,-0.766467,0.15576
sommet,-0.923483,1.224689,-1.069183,-0.734316,0.440634,1.089566,-0.352975,0.542253,-1.309688,0.6328,-0.398403,-0.266555,0.644016,0.474309,0.852481,-0.257146,-0.498946,-0.980072
logique,0.77642,1.589869,-0.022288,-2.580984,-1.028129,-0.200675,-1.089907,-0.631489,0.535133,-0.85105,0.179072,-1.006139,0.190167,0.561867,-0.079543,-0.682982,-0.343596,0.745566
terme,-0.060913,1.333358,-0.627366,-0.567882,0.369072,-0.294537,-1.322564,-0.690922,-0.132339,-0.301491,-0.225666,0.175184,0.783278,0.272841,0.998748,-1.266669,0.257915,0.395772
trois,-0.597227,1.322581,-1.197023,1.218861,0.386107,0.601586,-0.538722,-0.052929,0.323,0.420084,-0.765506,-0.298256,0.75165,0.85898,0.251882,-0.788894,-0.539621,-0.183231
plan,-0.547117,1.32581,-0.848226,-0.61553,-0.579018,0.727774,-1.086895,0.081279,0.101459,0.328733,0.406828,-0.692981,1.130959,-0.148536,0.624915,-0.538492,-1.069234,0.58065
formule,0.119669,1.10955,-0.448931,-1.097504,0.228364,-0.731084,-0.472532,0.501661,0.294627,-0.601019,-1.490185,0.226879,0.120246,1.22235,-0.367361,-1.284988,-0.393949,0.723027
droite,-0.119056,1.136566,-1.105763,-0.311622,-0.692869,1.598295,-0.288851,0.870425,-0.200561,-0.407404,-0.111572,-0.708227,1.246444,1.505132,1.305971,-0.808853,-0.32996,-0.613036
$\mathbb{C}$,-0.163383,0.829193,-0.398947,0.29711,0.075774,-0.009871,-0.480384,0.021776,-0.096051,0.547505,-0.096441,-0.061911,0.136404,0.548857,0.062322,-1.48305,-0.556141,0.495972
solution,0.606169,1.037793,0.202075,-1.227612,0.293135,-0.208016,-1.316786,0.160518,-0.025361,-0.415114,-0.232583,0.513889,1.020618,-0.431091,0.261438,-1.061701,-0.776767,2.037472
modèle,-0.380815,1.06893,-0.287465,-0.707394,0.530197,-0.263143,-1.038326,-0.420314,0.005521,-0.421409,-0.242528,0.005909,0.60099,0.666559,-0.815031,-0.975574,-1.376929,1.460655
linéaire,0.146435,1.76823,0.86836,-2.141996,-0.325027,0.472784,-1.239357,0.498893,-1.207992,-0.445979,-0.811241,-0.501257,0.248383,0.808626,-0.15373,-1.417502,-0.929033,0.923902
probabilité,1.399837,1.681041,0.5517,-1.469604,-0.83818,-1.032842,-0.764095,-0.173779,-1.12024,-0.071767,-1.43888,-0.754036,-0.204007,0.221711,0.692761,-0.889973,-0.442106,1.1211
série,0.584762,1.121998,-1.196738,0.916347,0.33642,0.701883,-1.014251,0.357408,1.026453,1.108696,-0.271214,1.173157,-1.507907,0.443518,-0.288389,-0.037914,-0.915951,0.135602
somme,-0.017549,1.283818,0.186357,0.584609,-0.948674,-0.258282,0.064595,0.410723,-0.00876,0.076285,-0.631526,-0.955434,1.260201,0.183213,0.704748,-1.201111,-0.510632,0.401294
mesure,-0.300888,0.902829,-0.640006,-0.645028,-0.15804,-0.74286,-0.90164,-0.382838,-0.769953,0.796087,-0.496966,-0.254289,1.075761,0.668748,0.943514,-0.909262,-1.011721,1.146319
carré,-0.359325,1.415966,0.07539,0.227363,-0.700038,0.924774,-0.532484,0.467996,-0.895595,0.205898,-0.13431,-0.557324,1.062801,1.363787,-0.587328,-0.914973,-1.48857,-0.880117
vecteur,0.834035,1.321925,1.068346,-1.68472,-0.137391,0.514014,-1.113877,0.347365,-1.652147,-0.608626,-0.155083,-0.737601,-0.366966,1.266478,1.125725,-1.239117,-0.674503,1.494529
connexe,-2.281956,0.136968,-0.135637,-0.060078,-0.464676,0.143715,-0.92709,-0.375193,-0.094,0.331094,0.910334,-0.420135,-0.857114,0.451495,0.435905,-0.76192,-0.704975,-0.10925
classe,-0.726157,0.484899,-0.27951,0.072089,0.659494,-0.515693,-0.694472,-0.172475,0.312919,-0.061065,-0.468902,-0.20923,0.358007,1.05422,0.151352,-0.621882,-0.459171,0.713503
produit,-0.245333,0.742632,0.398989,0.650768,0.36081,-0.194817,-1.695542,-0.128491,-0.281865,-0.449902,-0.273777,1.995764,1.036706,-0.20792,0.288716,-1.408543,-1.249275,1.81116
égal,0.557564,1.650519,0.022386,-0.473763,-0.39661,-0.88623,-0.511608,0.611244,-0.829287,0.05279,-1.220194,-0.402101,0.697837,0.985515,0.822363,-1.789203,-0.580645,0.366858
cercle,-0.684469,0.902445,-0.286277,-0.657029,-0.176691,1.303296,-0.4831,-0.523164,0.269295,-0.659194,-0.332386,-0.676488,0.375503,1.333367,0.195729,-0.199105,0.025967,-0.664963
partie,-0.999372,1.142529,-0.994838,0.750302,0.338064,0.923387,-1.061799,-0.16341,-0.231186,0.525114,-0.071052,-0.49056,0.929672,-0.180426,0.65757,-0.900251,-0.089547,-0.071728
relation,0.121786,1.040869,-0.882377,-0.521859,-0.120025,-0.398867,-1.633779,-0.652618,0.367097,-0.424432,0.198223,-0.383159,0.101366,-0.615728,1.216829,-0.380368,0.479336,0.561186
courbe,0.196701,1.620004,0.291728,-1.684402,-1.0895,0.987636,-0.737064,0.711905,-1.460103,0.009291,-1.231746,-0.687052,1.129471,0.675189,-0.259021,-0.588604,-1.130128,-0.002157
différent,-0.560123,1.941683,-0.468421,0.064358,0.550989,0.364037,-1.567517,-1.10135,-0.023367,-0.348173,-0.199633,0.264183,0.749263,0.36284,0.438621,-1.429887,-0.633988,0.657325
complexe,-0.555212,1.487283,-0.047179,-1.167836,0.128466,0.766664,-1.445886,-0.512405,-0.741836,-0.202057,-0.013394,-0.03861,0.750659,0.001747,0.087011,-0.788948,-0.661901,0.654756
matrice,0.643735,1.127298,1.164075,-1.417351,-0.307081,-0.08906,-1.227157,1.024897,-0.98647,-0.690113,-0.362964,-0.641581,0.5095,0.928678,-0.276743,-1.207599,-0.877132,1.007946
domaine,-1.17031,1.290154,-0.020468,0.419904,-0.368287,0.163336,-1.568652,-0.893219,-0.17212,-0.984484,0.075601,-0.698614,0.820905,-0.981825,0.13301,-0.786245,-0.205239,0.801625
fois,0.079526,1.329264,-1.567449,0.924937,0.779358,-0.14044,-0.568032,-0.267169,0.474028,0.506871,-1.116137,0.02086,0.406521,0.439723,0.139331,-0.721931,-0.049774,0.331381
type,-0.697068,0.96942,0.645528,-0.102953,0.547675,0.477505,-1.129793,-0.447947,-0.790703,0.689334,-0.028384,0.317395,0.696225,1.087903,0.104019,-1.601402,-1.400099,1.198434
mot,0.835499,0.898445,-0.065518,0.11026,0.213728,0.365643,-1.445257,-0.751752,-0.285986,-0.329855,0.828528,0.336841,0.15168,1.209842,0.24331,-1.963202,0.265631,-0.446952
algébrique,0.223956,1.375081,0.888898,-2.910002,-0.875777,-0.55851,-1.770276,0.632416,-0.348319,-1.302599,-0.581925,-1.548326,0.402488,1.364615,-0.748987,-0.811547,-0.393,0.030692
degré,-0.766182,-0.289884,-0.796699,0.901743,-1.41713,-1.505597,-0.547617,0.260414,-0.869428,-0.194422,-1.126095,-0.741261,-0.596345,0.924084,-0.817602,-1.163904,-0.513224,0.295627
langage,0.679066,1.547754,0.733286,-1.430053,0.164001,0.023564,-1.82784,-1.096574,0.358295,-1.168436,0.91535,0.233938,-0.36399,0.445809,-0.70654,-1.290001,-0.404529,0.544775
nul,0.350727,1.492455,-1.053506,-1.135672,0.040133,-0.671143,0.169568,0.61555,-0.066358,0.586266,-1.679654,-0.166035,0.006055,1.323604,1.529032,-1.366385,0.29299,-0.154373
moins,-0.071678,1.753002,-0.92299,0.749237,0.55958,-0.406935,-0.671732,-0.89426,-0.880682,0.450888,-1.344959,0.343303,1.056928,0.415004,1.065324,-1.376083,-0.407781,0.399668
objet,0.037927,1.509699,-0.438141,-0.166306,-0.112773,0.047366,-1.589354,-1.443428,-0.644555,0.363132,0.492034,-0.403656,0.739733,0.397,-0.454251,-0.812689,-1.1967,0.498461
triangle,-0.096867,1.336442,0.681084,-1.226212,0.293499,1.09408,-0.528563,1.058713,-0.588973,0.074352,-0.02854,-0.627918,0.024197,1.280505,0.143023,0.05508,-0.785612,-0.618539
structure,-1.12813,1.372296,0.490818,-1.433754,0.07264,0.621289,-1.829165,-0.367831,-0.105506,-0.098138,-0.065117,-0.191626,1.292596,0.289855,0.295027,-0.808165,-1.008278,0.767974
corps,0.457014,0.643714,-0.473375,0.391354,0.140631,0.822976,-1.340401,-0.291043,-0.254918,0.664118,-0.151014,-1.275693,1.500262,1.617597,0.37229,0.074576,-0.546203,0.635513
rapport,-0.128406,1.323338,-0.606348,-0.429222,-0.702334,-0.817899,-0.900203,-0.657424,-0.246772,0.070242,-0.336178,-0.291122,0.497956,0.319771,1.176288,-1.108219,-0.972495,1.161516
longueur,-1.035826,1.344661,-0.101566,-0.196176,0.024721,0.727927,0.003264,0.728729,-2.034077,0.980555,-1.124142,-0.328684,0.620551,1.253606,0.185164,-1.249709,-1.796604,0.310436
informatique,-0.800036,1.653818,0.868182,-0.718618,0.565659,0.084696,-0.946738,-1.126906,0.772457,-1.713003,0.623442,-0.084133,-0.627402,-0.199381,-0.310458,-0.412636,-1.331974,1.960861
infini,1.510067,1.396559,0.048787,-1.914056,-1.059567,0.69706,-0.720982,-0.050324,-0.516715,0.355234,-0.129528,-0.492472,-0.203084,0.842991,-0.308437,-1.139079,-0.418477,-0.111
variété,-0.539559,0.04069,0.703108,-0.026222,-0.156924,-0.378218,-2.315994,0.162985,-1.338986,-0.421932,-0.008291,1.360696,0.554866,0.946865,0.125326,-0.57487,-0.438824,-0.530504
ligne,-1.641694,0.969966,-0.715314,0.487185,-0.623998,1.127809,0.377172,-0.010248,0.335157,0.693087,-0.042874,-0.745963,0.184678,0.046332,0.053244,-1.228454,-1.208852,0.533027
positif,0.877933,1.527599,0.165526,-0.727797,-0.722541,-0.611572,-0.914615,-0.386592,0.03232,0.015739,-1.268954,0.553003,-0.398112,0.488594,1.026334,-1.277296,-0.07878,0.948917
angle,0.031633,1.79497,0.154586,-0.932545,-0.399768,1.619457,-0.626396,0.77058,-0.787751,0.723037,-0.517865,-1.225782,1.032941,0.928175,-0.488654,-0.283612,-1.290007,-0.589302
polynôme,1.504822,1.402564,1.291028,-1.210639,-0.821644,-0.937174,-1.396613,1.998955,-1.400018,-1.338246,-1.391314,-1.608312,-0.181845,1.281773,-0.071097,-1.399832,0.156133,0.313552
centre,-2.465418,1.254982,-0.636828,0.132237,-0.13896,1.142404,-0.411205,-0.633116,0.183506,-0.044387,0.333762,-0.380002,0.167896,-0.389343,1.03901,0.046497,-0.913493,-0.11818
démonstration,0.641721,1.497478,-0.139297,-1.552402,0.068461,-0.300935,-0.364643,-0.597387,0.476215,-0.431583,-0.852009,-0.420493,0.524002,0.666446,-0.73907,-0.135936,-0.394512,0.451794
vectoriel,0.841404,1.584755,1.101491,-2.245621,-0.345664,0.46357,-1.207145,1.337228,-0.726472,-0.981347,0.271301,-0.927377,0.306184,1.092004,-0.564291,-1.775225,-1.168163,0.870092
limite,-0.574207,1.553113,-0.233081,-0.596051,-0.764809,0.700769,-0.818139,0.239089,-0.869893,0.206823,-0.471154,-0.656317,0.842681,-0.256516,1.440175,-1.069238,-0.457153,0.384467
représentation,-0.025873,1.365002,-0.32509,-0.490045,-0.275285,-0.074579,-1.086762,-0.900564,0.425187,-0.264963,0.125595,-0.260113,0.438659,0.940221,0.001129,-1.104641,0.072691,-0.771633
famille,-0.419344,-0.128676,-0.8668,2.143948,-0.203823,-0.426968,-1.736154,-0.294964,-0.678968,-0.45889,0.195555,-0.62918,0.561591,-0.09998,0.145783,-0.244875,0.452617,-0.336366
arête,0.194353,1.258158,0.274537,-1.363486,0.069314,1.043496,-0.244235,1.496325,-1.709448,0.651641,-0.818646,-1.052491,1.02657,1.334771,-0.082944,-0.175067,-0.896542,-0.874564
distance,-0.114294,1.766637,-0.661535,-0.667675,0.411036,0.68472,-0.022596,-0.075057,-0.945891,0.756278,-1.067369,-0.366522,-0.045557,0.52613,0.396087,-0.792284,-1.147002,1.013939
surface,-0.687916,1.173439,-0.027693,-0.621104,0.115629,0.811585,-0.704354,-0.041645,-2.039125,1.349454,-1.009382,0.287222,1.184119,0.247379,0.250779,-0.878465,-1.814679,1.119107
aléatoire,1.490846,1.917366,0.815789,-1.638775,0.001927,0.01672,-0.686889,-0.067328,-0.814067,-0.32823,-0.805745,-0.289742,0.205647,0.547725,0.24047,-1.020964,-0.530363,0.909858
