word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
élément,0.267847,-1.113496,1.79582,0.821605,-0.696835,-0.385337,-0.151898,-0.158957,-0.211489,0.193245,0.122459,-0.543359,0.124699,0.324161,0.919425,0.85104,-0.192071,0.906033,0.553872,-0.893753,-0.998839,-0.135584,-1.020469
grand,0.515636,-0.310359,0.917222,-0.3413,-0.189707,-0.710631,-2.133597,-0.282668,-0.505603,-0.374356,0.103391,-0.763824,0.186248,0.012437,-0.041559,0.642622,-0.191421,0.138504,0.246648,-0.739863,-0.007581,-0.204526,-0.241835
propriété,-0.076261,-0.576272,1.047325,0.933686,-0.409762,0.514205,-1.026128,-0.081594,-0.34021,0.615887,0.143506,-0.785192,0.275882,-0.199036,0.821374,1.056926,-0.374767,0.395166,1.66351,0.633938,-0.188708,0.03706,0.077973
ordre,0.320948,-0.868495,0.985984,0.984564,-0.165099,0.250887,-1.88049,-0.327611,-0.452969,0.391934,-0.243552,0.756476,-0.833061,-0.230796,0.023878,0.614935,0.37674,0.465468,-0.004582,0.061341,0.035603,0.187973,-1.377067
variable,0.510631,-1.076294,0.970698,0.597825,0.171171,0.408913,0.460197,-0.601713,0.238118,0.854606,-0.555236,-0.261854,1.290568,-0.283282,1.115378,-0.129295,0.287619,1.277688,1.145551,-0.75894,-1.525283,-0.264537,-0.273346
base,0.326521,-1.343292,0.786169,1.163378,-0.204953,0.158384,-0.802151,-0.825089,-0.278214,0.383477,0.232364,-0.623815,0.229059,0.499107,1.13417,0.123184,0.139913,0.299315,0.488927,-0.877616,-1.093717,-0.482844,-0.443678
géométrie,-0.774534,-0.841753,0.803184,-0.133636,-0.584353,0.317085,1.738822,-0.140607,0.311317,0.115336,-0.54117,0.448716,0.340074,0.259862,0.484847,1.127664,-1.050767,0.756883,1.113335,-0.49386,-1.151665,-0.432395,-1.721867
analyse,-0.133257,-1.082639,1.608496,-0.548391,-2.000034,0.371363,0.409227,-1.07274,0.065492,0.408292,-0.519227,0.227072,0.366322,-0.178098,0.531194,0.312498,0.608241,0.462225,0.897513,-0.808842,-0.622222,0.437188,-0.368212
loi,0.529524,-1.848411,1.177947,0.437412,-1.036969,0.221421,-0.865993,-0.496492,-0.46888,1.185456,-0.090531,0.115723,-0.774096,-0.216445,0.839268,-0.337538,0.80296,0.922318,0.191385,1.061007,0.502865,1.193846,0.170458
définition,-0.018274,-1.271979,1.577535,0.332214,-1.181748,0.226866,0.495792,-0.587473,-0.443248,0.571548,-0.68492,0.24607,0.719546,0.366815,1.238559,0.227256,0.329079,0.705321,0.514907,-0.524598,-1.306239,0.533634,-0.066921
réel,0.119846,-1.068274,1.883457,0.152817,-1.499915,-0.257856,0.11795,-0.117206,-0.505809,0.138871,-0.316263,-0.491134,0.857563,0.342858,-0.039178,-0.672524,0.19595,0.740865,0.522864,-0.80398,-0.474011,0.392895,-0.038938
dimension,0.082533,-1.215531,1.38412,-0.24491,-0.185793,-0.077082,0.739366,-0.187237,-0.277897,0.081969,0.178378,-1.029548,0.25744,0.436281,0.613965,0.105144,-0.744689,1.013204,0.401745,-1.347572,-0.834458,0.263714,-0.609505
statistique,0.350103,-1.714488,-0.348868,-1.60498,0.285714,0.83257,-1.198095,-1.247004,-0.733328,-0.532321,-0.53259,1.583095,0.543969,-0.9475,-0.019871,-0.722523,-0.477925,0.684607,0.773397,-0.482892,-1.145499,-0.013927,0.665889
sommet,0.067815,-0.528109,0.311441,-0.502391,0.638075,-0.867417,-1.626162,0.018833,0.119695,-0.010407,-0.401902,-0.624947,0.27408,-0.155607,1.230872,0.213017,-0.934042,1.015742,-0.44604,-1.82126,0.56757,-1.213855,0.21385
logique,-0.413681,-1.355586,1.593441,-0.260057,-1.357124,-0.193908,1.074929,0.332648,-0.297782,-0.081949,-1.291233,0.303359,0.079896,0.71788,0.517387,0.046688,-0.256997,0.612437,0.519715,-0.124606,-0.958199,0.716963,-1.035162
terme,0.476862,-0.978193,1.639873,0.424751,-0.644159,-0.568519,-0.857859,0.177441,-0.517849,-0.278017,-0.218616,0.450017,0.356815,-0.007911,0.700218,0.211093,0.235321,0.519916,0.736501,-0.155415,-0.788071,-0.065882,-0.05365
trois,0.483867,-0.700021,0.626497,0.212146,0.229029,-0.738339,-1.953444,-0.754938,-0.487269,-0.33194,0.115394,-0.812591,0.271922,-0.285202,-0.111844,0.139141,-0.262813,0.837775,-0.274876,-0.393541,-0.263867,-0.220704,-0.64485
plan,0.131786,-1.208486,0.918355,-0.184429,-0.934047,-0.081434,-1.045325,-0.432663,0.077854,0.481157,-0.539057,-1.182191,-0.05999,0.341717,1.038216,0.126227,-0.67667,0.777709,0.051075,-0.516865,0.204282,0.084657,-0.341038
formule,0.660989,-0.948375,0.586639,-0.379047,-0.739637,-0.004882,0.198989,0.073938,-0.424808,-0.751461,-0.09616,0.403976,0.262309,-0.156712,-0.620155,0.014504,0.018546,1.557772,0.475065,0.008115,-1.607294,-0.902979,-0.434698
droite,-0.044402,-0.729037,0.899196,0.006404,0.394687,-1.561803,-1.187883,-0.303336,0.592663,0.701394,-0.566784,0.007348,0.082835,0.570088,0.769701,0.702202,-0.765797,1.912093,-1.059721,-0.224292,0.326696,-0.354603,-0.810594
$\mathbb{C}$,0.857656,-1.044366,0.149624,0.681633,0.036259,-0.367956,-0.60714,-0.075099,0.014082,-0.345682,0.097964,-0.197862,0.440978,0.029215,-0.125956,0.245196,0.112537,0.394665,0.461073,-0.35816,-1.102457,0.501712,-0.41557
solution,0.166581,-1.274728,1.063261,1.003239,-1.932266,0.132667,0.437546,-0.091483,0.153684,0.070688,-0.013294,-0.744337,0.50964,0.117702,0.601379,-0.380845,-0.060914,0.566992,1.320709,0.554069,-0.831467,-0.497448,0.261274
modèle,0.283666,-1.33713,0.580854,0.246773,-0.654854,-0.148824,0.43179,-0.426757,-0.791012,-0.279774,0.130059,-1.08655,0.250864,0.989707,0.107363,0.247228,0.046288,0.356046,1.064151,-0.246503,-1.624642,-0.492335,-0.974247
linéaire,-0.146197,-0.973538,0.676655,0.286549,-0.349767,-0.115147,1.324344,-0.400407,0.292007,0.411476,-0.702121,-0.225806,1.229283,0.407122,1.449495,0.454524,-0.144861,1.78373,0.892902,-0.967911,-1.08734,-0.686436,-0.76341
probabilité,0.070367,-1.343586,0.566669,0.547377,-0.542388,0.23942,0.991534,0.206096,-0.495222,1.046564,-0.953264,0.827925,1.721007,-0.961291,-0.212838,-0.502763,0.337502,1.106449,1.590363,-0.591099,-0.321452,0.113464,-0.252415
série,0.160392,0.102578,0.460104,-0.142939,-0.278984,-0.265098,-0.641695,-0.93857,0.423049,-1.146086,0.558102,-1.324863,0.049758,0.328906,-1.520411,-1.484673,0.53252,0.655438,-0.407544,-1.210921,-0.89923,0.659102,0.401656
somme,0.795446,-1.17046,0.389264,-0.015687,0.213721,0.203011,-1.102613,0.185607,-1.053493,1.287155,-0.585946,-0.747974,0.638701,-0.100942,-0.274983,0.1844,-0.278654,0.654921,0.220187,0.862416,-0.280638,0.465787,0.011787
mesure,0.887312,-2.068087,0.584382,0.087325,-0.647937,-0.097651,-0.457907,-0.574254,-0.238057,0.778334,0.02903,-0.381401,0.094432,-0.851391,0.931608,-0.080626,0.35127,0.971867,0.694634,-0.842449,-0.079669,-0.586544,-0.424944
carré,0.078644,-0.564945,0.499965,-0.374954,1.084411,-0.502305,-0.475001,-0.628642,-0.26022,1.056525,-0.058589,-1.648541,0.285263,0.1334,0.253697,1.25801,-0.907941,1.157263,-0.540334,-0.882147,-0.519662,-0.437418,-0.607433
vecteur,-0.495695,-1.15578,0.635985,1.338014,-0.451925,-0.08003,1.021884,-0.156326,0.735669,0.803048,-0.980648,1.169954,1.299403,0.032258,0.834711,-0.012026,0.140244,0.614231,1.063563,-0.98415,-1.122651,-0.244493,-0.279666
connexe,0.540661,-0.613723,-0.120832,-0.245603,-0.151108,0.96444,-1.245906,-1.043995,0.512165,-0.07914,0.028728,0.31854,-0.237123,0.728837,0.825007,0.960707,0.078158,-0.666507,-0.126966,-0.943488,-1.022061,0.644578,0.387771
classe,0.615119,-1.120075,0.202119,0.156076,0.261989,-0.231535,-0.761266,-0.641892,-0.445519,-0.450808,0.168798,0.045621,-0.299,0.318704,-0.013261,-0.195713,0.29323,-0.164042,0.440273,0.132909,-1.076877,-0.253185,-0.894705
produit,0.787398,-0.809052,0.98547,1.168924,-1.321547,-0.176487,-0.187457,-0.833962,-0.009464,0.148119,1.142292,-1.373288,0.873432,-0.051699,0.391289,0.017575,0.717498,0.024671,1.285728,0.69386,-1.502719,-0.993594,1.100954
égal,0.595165,-1.679759,0.638141,0.270021,0.458938,-0.657848,0.18409,-0.030438,-0.779896,0.722962,0.073406,0.172624,0.670214,-0.303008,0.243438,0.136156,0.035778,1.982749,0.658826,-0.063516,-0.783805,0.089903,-0.318564
