word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
équation,-0.102302,1.735857,0.069023,0.641288,2.181874,1.190601,1.552603,-0.212103,-0.624252,-0.186973,-1.360902,-1.533463,-0.618273,-0.662222,0.211506,0.157415,0.61671,-1.126807,-0.581268,0.238246,-0.801777,2.160736,0.060662,0.156918,0.190576,1.831654,0.796635,-0.264545,-0.653694
suite,-0.90396,0.588664,-0.42515,-0.008672,0.295866,0.337828,0.549321,0.706308,-0.343949,-0.179538,0.026379,-0.030577,0.293718,0.019516,0.943596,0.44766,0.569331,0.452921,-0.204146,-0.253707,0.481159,-0.800542,0.92915,0.598346,-0.657246,0.108459,-0.281841,-1.203548,-0.01833
algorithme,1.002891,1.439476,-0.099453,0.543513,1.785828,0.922425,0.785562,-1.338772,-0.313963,0.599553,-0.497472,-0.484373,-0.014295,-0.970579,0.149716,0.323894,0.039613,-0.596285,-1.185064,0.05263,-0.510649,0.974732,0.667427,0.608781,0.906289,0.795311,0.343628,-0.749606,-0.877127
calcul,0.659662,0.915548,-0.061615,1.09021,2.286732,0.856681,1.889421,-0.184964,-0.71951,0.09349,-0.02762,-0.405369,0.183824,-0.571392,0.881248,-0.156992,-0.201822,-0.843754,-0.782504,0.024358,0.570846,1.088279,0.100827,0.299946,0.610055,0.979016,0.238782,-0.578834,-0.61617
application,0.974823,0.834483,-0.260148,0.11562,1.989739,-0.410767,1.342991,-0.261733,-0.794256,-0.275977,0.048247,0.270353,0.159041,0.114724,0.698254,-0.611398,-0.078628,0.145197,-1.897603,-0.237179,0.556466,0.341814,0.805727,0.421368,-0.010657,1.26909,1.213138,-0.865299,-0.268981
élément,0.585671,0.576213,-0.182299,0.637603,1.440031,0.461511,0.554903,-0.459612,-1.488034,-0.968646,-0.300996,0.314706,-0.296686,-0.073669,0.171006,-0.555477,0.381417,0.814378,0.735249,-0.156127,1.048474,0.221226,-0.42215,0.877108,-0.39437,0.59046,0.379712,-1.202543,-0.424517
grand,-0.371764,-0.009228,0.020724,0.390804,-0.488579,0.315166,0.128623,0.579921,-0.657304,-0.104321,-0.00899,0.348248,-0.275333,0.413542,0.487182,-0.073661,0.118516,-0.303431,0.800483,0.021926,1.306808,-0.087884,0.325442,1.047114,-1.734164,0.253244,-0.469665,-0.454125,0.179304
propriété,0.705312,1.103274,0.755536,0.484603,1.054095,0.679289,0.617675,0.739575,-0.993418,-0.809534,-1.142181,0.753554,0.128816,-0.138893,0.432167,-0.458571,0.154214,0.002763,-0.493063,0.269072,0.794577,1.194008,0.514013,0.486179,-1.024568,0.270624,0.830776,-0.05037,-0.11701
ordre,-0.016791,0.578737,-0.343878,-0.34407,0.061356,0.298268,0.490051,0.696348,-0.296001,-1.681694,-0.279496,-0.023357,-0.268162,0.225283,1.473092,0.337937,1.254202,0.26044,-0.271521,-0.335275,1.389322,0.046914,-0.272469,0.386571,-0.742917,1.106017,-0.123384,0.53687,0.083392
variable,0.522498,0.536084,0.466174,0.75855,2.229714,0.505106,0.131594,0.300223,-0.827287,0.480087,-0.518617,-0.116539,-0.764698,-0.008843,1.000881,0.092889,0.400348,-0.277398,-0.610577,-0.127541,0.812499,1.518166,-0.473176,1.0242,0.761637,1.410326,0.781889,-0.953919,-0.083798
