word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
système,0.465661,0.122335,0.478134,-0.866678,0.626204,1.376821,0.348703,-0.050798,-1.053566,1.418981,0.149552,-0.39654,-0.13583,0.154494,0.485368,0.130105,-0.154627,0.517743,-0.671124,-1.459714,-0.729979,-0.25247,0.726011,0.232883,0.218689,-1.061186,2.026035,-0.123067,0.94049,0.303464
équation,0.767992,0.359027,1.293633,0.506375,0.111035,1.180417,1.044679,-0.429305,-0.184236,1.377982,1.948744,-0.106288,-0.892517,0.216538,0.355108,1.404042,-1.298736,1.174641,-0.982679,-1.286169,0.236306,-1.598403,-0.72372,-1.281873,-0.212299,-0.97897,0.966784,-0.31292,-0.697094,1.790821
suite,0.081516,-0.560678,0.176961,-0.095272,-0.045248,0.568466,-0.572159,0.172266,-0.24256,-0.097148,0.238502,-0.056872,-0.449852,-0.709995,0.050181,-0.067872,0.247045,0.203074,-0.663943,-0.749362,-0.161106,0.613086,0.10751,-0.639974,-0.337618,0.558409,0.52915,0.501559,1.930717,0.422975
algorithme,0.535373,0.179535,-0.158205,-0.590746,0.062559,0.923924,1.271416,-0.32824,-0.453151,1.489041,0.936022,-0.143164,-0.147415,0.907702,0.494637,0.935911,-0.092867,1.529869,-0.728067,-1.038093,-0.442433,-0.501256,-0.072534,-1.496726,0.220226,-1.08425,1.030796,0.702363,-1.266769,0.998678
calcul,0.404512,-0.064345,-0.216556,-0.084691,-0.234902,1.857354,1.561012,-0.220299,-0.260813,1.238635,1.104127,-0.326278,-0.152363,0.471601,0.257673,0.706843,-1.049117,1.318175,-0.408875,-1.220067,0.23477,0.068758,0.030016,-1.004892,-0.105588,-1.125378,1.576478,-0.194073,-0.019907,0.813973
application,0.764443,0.388967,0.161017,-0.851675,0.593386,1.545359,0.885459,0.963265,-1.12512,1.577582,0.537431,-0.280888,-0.598025,0.083724,-0.513941,0.445128,-0.083306,0.425085,-0.092635,-0.989352,-0.205847,-0.260407,1.104854,-0.12644,0.248977,-1.06892,1.688949,-0.204941,0.589255,1.088527
élément,0.214016,-0.068653,0.857026,-0.617215,-0.529906,0.101144,0.35672,-1.10786,-0.448205,0.929952,0.035247,-0.338619,-0.623992,0.349838,-0.398287,0.553144,-0.664379,1.339244,-0.67733,-0.53708,-0.1644,0.69244,0.757395,0.855978,-0.579221,-0.921647,1.213334,-0.408793,1.23353,0.548488
grand,0.282281,-0.001531,-0.181519,-0.236575,0.048223,-0.271974,-0.276972,-1.282184,0.038722,-0.8504,-0.245686,-0.2443,-0.567736,-0.200247,0.242664,0.022447,-0.108306,-0.342291,-0.182289,-0.350643,0.422569,0.17089,0.133807,0.193844,-0.194091,-0.244706,1.008093,-0.45769,2.138812,-0.230004
propriété,0.485085,-0.084673,0.284518,-0.137501,0.711157,0.170586,0.633835,-0.618703,-1.042081,0.128842,0.688612,-0.216072,-1.540984,0.531924,-0.146801,0.003025,-0.689652,-0.118877,0.34398,-1.282557,0.536647,0.238166,0.10779,0.335419,-1.063016,-1.231257,0.743524,0.002417,0.731267,1.255618
ordre,-0.167271,-0.619899,0.958685,0.162068,-0.54147,1.027197,-0.301234,-0.683951,-0.603707,-0.748439,0.498879,0.425361,-0.821945,0.244534,-0.848476,-0.308196,-0.671903,-0.399878,-0.189612,-0.965586,-0.339687,-0.599032,0.936244,0.26379,-0.559809,0.196434,0.501444,-0.489348,1.574209,0.518222
