word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
forme,2.320028,0.143871,0.142009,0.072891,0.179652,0.204653,-0.411397,0.44423,-0.384325,-1.156467,-0.184196,-0.246816,-0.104343,-1.15831,0.648881,0.094942,-0.745054,0.501222,0.790599,-0.821504,0.652135,-0.403703,-0.003292,0.319715,-0.159766,-0.653463,-0.183012,-0.383303,-0.413591,0.028561,0.266345,0.471304,-0.445045
entier,1.904525,-0.347473,-0.627917,0.055857,0.137716,-0.040873,-0.302955,0.163544,-0.218036,-0.066653,-0.269854,-0.24505,0.645148,-0.519297,0.413489,-0.052531,-0.106884,-0.311153,0.092185,-0.462525,0.471196,-0.337487,0.074726,-0.360406,-0.489456,-0.566822,-0.036147,-0.41513,-0.174394,-0.158584,0.391642,-0.051913,-0.216468
système,2.357493,0.926355,-0.443142,0.009816,-0.201799,0.057979,0.199197,0.568681,-0.217905,-1.005134,-0.029324,0.366347,0.154439,-1.487378,-0.623022,0.226431,-0.226821,0.649249,0.110176,0.011857,1.94536,-0.210946,-0.338982,0.339804,-0.960668,0.645856,0.120066,-0.483856,0.466312,-0.238656,0.079949,0.029444,0.809156
équation,0.418467,1.542385,0.804658,-0.410918,-0.364111,-0.452538,1.303689,0.242628,0.716404,-2.481409,0.619266,-1.262836,2.41228,-1.834127,-0.902671,0.30411,-0.886755,0.445639,0.010044,0.518721,0.083974,0.944903,0.180924,-0.8108,-0.923764,-0.228464,0.201425,-0.510286,0.72116,0.414858,0.540094,1.307118,0.652542
suite,1.319119,0.403298,0.14171,-0.537513,0.05493,0.117475,-0.523395,-0.547638,0.087835,-0.155585,-0.379298,-0.235617,-0.442576,0.365668,0.493107,-0.46694,-0.544639,-0.686208,0.405423,0.358315,1.41256,0.398921,0.254612,-0.486339,0.211727,-0.024094,-0.242804,-0.351687,0.25817,-0.672953,0.189389,-0.991313,-0.342981
algorithme,-0.095608,-0.058259,0.029831,0.023131,-0.417016,0.094653,-0.349312,-0.100934,0.131719,-1.619316,0.752994,-0.088538,0.913279,-2.277465,-1.081518,0.185836,-0.139987,1.011535,-0.267727,0.73799,0.503054,-0.433211,-0.504477,0.51249,-1.416868,0.158388,-0.780645,-0.381595,0.468376,-0.161063,0.337384,0.127272,0.886511
calcul,1.193485,-0.132102,0.154626,-0.525592,-0.622828,-0.339033,0.716223,-0.253253,0.731444,-1.478369,-0.197173,0.233216,1.084945,-2.215432,-0.882197,0.559601,-0.547407,0.278987,-0.334723,0.373396,0.773744,0.480328,0.404882,0.225146,-1.478789,0.151757,-0.62953,-0.541365,0.337058,-0.080309,0.535983,0.245188,1.016576
application,1.42015,0.888129,-0.609602,0.15465,-0.584938,-0.29708,0.446978,0.342147,-0.463837,-0.673206,-0.272768,0.815858,0.31216,-1.897339,-0.456456,0.128294,-0.774024,0.08365,-0.271316,0.151687,1.639316,-0.655773,-0.450534,0.684691,-1.151832,0.53553,-0.150722,-0.324414,1.276429,-0.526436,0.768314,-0.557216,0.253485
élément,2.146109,0.094923,-0.031998,-0.329425,0.619504,0.445162,-0.572231,-0.097007,-0.146278,-0.889913,-0.67053,0.135983,0.441383,-1.278266,-0.074522,0.178488,-0.961088,0.237614,1.011449,-1.059597,0.580543,-0.164643,-0.050749,0.11833,-0.407994,-0.209806,-0.396845,-0.25521,0.62014,0.458675,0.249993,0.80808,0.274681
grand,2.326025,-0.554922,0.609392,-0.494861,-0.077114,0.263255,0.015216,0.376854,-0.499936,0.020867,-0.841849,0.123311,-0.136079,0.862322,0.383288,0.132699,-0.248137,-0.002002,0.022028,-0.161035,0.531833,0.24572,0.080683,-0.295752,0.557235,-0.087605,0.007253,0.109828,-0.645746,0.549086,-0.04289,-0.28074,0.039491
propriété,1.767364,0.487198,-0.577363,-0.142068,-0.623699,-0.901705,0.522086,0.819786,0.503937,-0.574034,-1.271694,-0.432709,0.579701,-0.603751,-0.354907,0.451119,-0.758494,0.347414,0.413303,-0.494409,0.405874,-0.170293,-0.42616,-0.266721,0.592155,-0.053726,-0.038315,-0.074028,0.33541,0.933446,1.394533,-0.313861,0.415128
ordre,1.883431,0.478511,-0.456504,-0.662023,0.062389,0.457649,-0.065705,0.062654,-0.453463,-0.101038,-0.445971,0.074835,0.674861,0.076423,0.289435,-0.102062,-0.316604,-0.443003,-0.221678,-0.140801,0.459103,1.594835,0.380261,0.651125,0.932217,0.178472,0.794073,-0.619377,0.648611,0.39106,0.460414,-0.040347,-0.608719
variable,1.425888,-0.194918,-0.268104,0.356983,-0.320473,0.058362,1.44868,0.723249,0.144182,-0.803496,-0.094061,-0.061599,0.757271,-2.148891,-0.148252,0.009908,-0.238299,0.286236,0.056661,-0.545879,1.20991,0.723729,0.131183,-0.078856,-1.132447,-0.451332,-0.341081,-0.455646,-0.293756,0.311155,0.319569,0.914074,-0.022433
base,1.868187,-0.028679,-0.429557,0.017796,0.090553,-0.144329,-0.476318,0.886263,-0.616464,-0.350485,-0.576545,0.193774,0.136686,-0.949444,0.239623,-0.024429,-0.405011,0.204432,0.19986,-0.43188,1.173297,-0.167848,-0.43117,0.711326,-0.28683,0.279937,-0.273483,-0.66322,0.541203,-0.140486,-0.009966,0.732567,0.403308
géométrie,0.974683,0.73185,1.327333,-0.253935,-0.222798,-0.097055,0.331464,0.191557,0.2556,-1.131716,0.367862,0.172042,0.945549,-2.172408,-0.910888,0.920695,-0.394581,0.684458,0.139238,0.006622,-0.448728,-0.199122,0.992708,0.488695,-0.487605,-0.67499,0.139621,-0.282995,0.755817,0.260776,-0.333693,1.22044,1.015312
analyse,1.152361,0.716834,0.064644,-1.0992,-0.10477,0.61175,0.187886,-0.098831,-0.120842,-0.738026,-0.903565,-0.119373,0.326759,-0.981543,0.156203,0.181675,-0.654019,-0.12363,-0.058291,-0.178004,0.161935,-0.409262,0.44298,0.183183,-2.153037,-0.270085,-0.616186,-0.187836,1.517155,0.271071,0.071792,0.122125,0.233457
loi,1.579904,1.161429,-1.518657,-0.309284,0.660285,-0.534204,1.175327,-0.038621,0.752459,-0.302141,-0.331378,-0.22982,0.407231,0.123342,0.258311,0.375003,-0.971079,-0.617522,-0.364289,0.515907,0.361278,1.040041,-0.489494,0.169931,-0.380692,-0.072468,-0.452635,-0.887769,1.330634,-0.019527,0.781138,-0.572477,-0.588117
définition,1.853455,0.61775,-0.867316,-0.172417,0.006412,0.372161,0.749263,-0.066496,0.138374,-1.293486,-0.462877,-0.14656,0.528403,-1.51267,-0.379787,0.448151,-0.487367,0.34917,-0.580458,-0.333855,0.364236,-0.156843,-0.249126,0.392777,-1.586336,-0.001522,-0.575435,-0.442347,0.359892,0.258885,0.236934,0.182934,0.06241
réel,1.992019,0.096366,-0.183675,0.024004,0.147913,0.75144,0.335397,-0.924888,0.421602,-0.769746,-0.056323,-0.145872,0.072139,-0.658696,-0.148792,0.630343,-0.269828,0.137702,0.204698,0.061596,1.045159,0.030838,0.229485,-0.485561,-1.427944,-0.064438,-0.581984,-0.027897,0.374877,0.958826,0.597084,-0.454163,0.572447
dimension,1.790703,-0.340561,0.472573,0.294558,0.671663,0.746787,0.394086,0.318257,0.226677,-0.283491,0.156634,0.153146,0.269812,-0.882294,-0.310511,1.33396,-1.02812,0.282295,0.778861,-0.517929,0.735208,0.024102,0.414187,0.109893,-0.996736,-0.063117,-0.549358,-0.119696,0.087943,0.606876,-0.087739,0.440947,0.26072
statistique,0.139583,-0.719211,-0.287386,-1.024119,-0.558108,-0.228168,-0.638813,0.583616,0.764693,-0.707579,-0.847559,-0.341691,1.148503,0.508907,-2.063049,-0.507856,-0.256043,-0.863029,-0.904911,-0.468968,0.788769,0.913355,-0.476152,0.917126,-1.020189,-0.429842,-1.223645,-0.523382,0.226777,0.221609,-0.890372,-0.533467,0.534006
sommet,1.533876,-0.757448,0.268643,0.251968,0.615845,0.672428,-0.291848,1.548552,-1.2326,-0.260308,-0.500971,-0.315617,0.360815,0.084214,0.263542,-0.133827,-0.175333,0.457422,0.75248,0.359842,0.038903,0.485234,-0.265492,-0.634655,0.442795,0.314598,-0.760524,-0.18503,-0.969929,-0.048569,-1.820949,0.230072,-0.853804
logique,1.631498,0.98136,0.176217,-0.03715,0.413118,-0.203086,-0.239212,-0.714457,0.581534,-1.58124,0.404633,0.195294,0.572385,-0.981538,-0.933982,0.549645,-0.858315,0.363309,-0.449703,0.170276,-0.014366,-0.481203,0.450602,0.3508,-1.548658,-0.148908,-0.182788,0.068266,1.07369,0.430157,-0.077775,0.054158,0.01061
terme,1.930804,0.42769,-0.571052,-0.07791,-0.054636,0.121133,-0.695752,-0.321034,0.096731,-1.249335,-0.625164,0.225969,0.236747,-0.27845,-0.231404,-0.196599,-0.331369,0.140104,-0.33879,-0.311789,0.611611,0.198741,-0.312875,-0.109865,-0.671916,-0.415156,-0.359266,-0.427982,-0.09422,0.289097,0.336043,0.181049,-0.395879
