word,1,2,3,4,5,6,7,8,9
partie,1.502929,0.825292,-0.562172,-1.853505,0.220873,-0.129911,0.335461,-0.623511,-0.479055
relation,-0.03348,0.537682,0.277498,-0.993747,-0.366697,1.23724,0.585785,-1.832651,0.152162
courbe,0.380507,-1.644683,-0.362947,-2.372663,0.272753,0.324491,-0.871141,1.04306,0.071932
différent,0.506679,0.679872,0.045376,-2.93413,0.110304,0.826662,-0.258924,-1.055582,-0.293415
complexe,0.104294,0.452556,0.004479,-2.49868,0.128083,0.560644,-0.528684,-0.372085,0.569781
matrice,-0.653019,-1.065488,0.123336,-1.683912,-0.067175,1.267795,-1.030451,1.514325,0.265258
domaine,1.591632,0.739261,0.344998,-1.66367,-0.73777,0.719727,-0.217066,-0.777536,1.037753
fois,0.721516,0.275044,-0.509888,-1.49777,-0.012049,0.30893,0.847646,-1.019374,-1.777971
type,0.086038,0.864458,-0.061122,-2.828616,-0.19784,0.456834,-0.577751,0.969777,-0.393336
mot,-0.103338,-0.087209,-0.554884,-1.460092,1.102672,1.450161,-1.046889,-0.979021,-0.509983
algébrique,-1.089897,-1.459523,0.659927,-1.087126,0.730876,2.171439,-1.283658,1.43572,0.699567
degré,1.551218,0.380045,-0.013702,0.411904,0.184451,0.627046,-0.380324,0.61728,-0.874958
langage,-0.93779,0.032506,1.112452,-1.814316,0.048272,1.485984,-1.696162,-0.953217,0.51851
nul,-0.417239,-0.561587,0.151026,-1.394061,1.464802,0.627443,1.518046,0.215795,-1.549695
moins,0.631725,0.128985,-0.600908,-2.786268,0.267833,0.590934,0.779358,-0.586512,-0.966421
objet,0.58518,0.439673,-0.267442,-2.256677,-0.24857,1.223007,-1.100114,-0.537659,-0.130471
triangle,-0.411465,-0.242983,-0.525832,-1.117021,0.50714,-0.961833,-1.047886,0.68344,-0.145449
structure,0.324208,0.614677,0.337123,-2.707909,-0.099845,0.886666,-0.619522,0.035351,0.690671
corps,0.917392,-0.078467,-1.066898,-1.718846,-0.864238,0.66862,0.020429,-0.260173,-0.61501
rapport,0.309852,0.444195,0.634717,-2.247255,-0.094501,1.668882,0.540658,-0.185324,-0.437618
longueur,0.820553,0.086923,-0.574227,-2.793569,0.664757,-0.357475,-0.13971,1.783846,-1.018408
informatique,-0.595387,0.536739,2.259999,-1.984005,-0.644507,0.359047,-0.623137,-0.537808,0.97027
infini,-0.820185,-1.01348,-0.175171,-1.227106,0.454315,1.445467,-1.252492,0.119681,-0.533406
variété,-0.045832,0.798076,-0.703859,-1.333042,-0.070915,-0.24997,-1.648783,-0.384435,0.710972
ligne,1.854654,0.766871,0.798466,-1.553317,0.537481,-0.257859,0.104688,0.873569,-0.685147
positif,-0.881377,-0.218321,0.847058,-1.708139,-0.024925,1.550196,-0.023513,-0.404708,-0.884184
angle,0.870774,-0.770772,-0.673046,-2.106748,0.278858,-0.079855,-1.11093,0.819081,-0.381906
polynôme,-0.859213,-1.898566,-0.177583,-0.290489,0.385533,2.600992,-1.044098,2.360266,-0.119642
centre,1.727618,1.417897,0.816094,-1.640016,0.413945,-0.79443,0.286227,-0.460238,0.535651
démonstration,-0.49313,-0.675045,0.568402,-1.416647,0.008665,0.442043,0.176231,-0.399989,-0.199303
vectoriel,-0.991267,-1.316531,0.981084,-1.813657,0.12687,1.445095,-1.698639,1.436272,0.366791
limite,0.979614,-0.045434,-0.050733,-2.385178,0.031988,0.384206,0.367959,0.159916,0.320059
représentation,0.689208,0.147287,0.105216,-1.311217,1.052644,1.417705,-0.695347,-0.912547,-0.296973
famille,1.888326,0.739963,-1.133645,-0.095913,-0.630508,0.172182,-0.074142,-1.351289,-0.111354
arête,0.547637,-1.404982,-1.598236,-1.696614,0.887757,-1.283936,-0.756177,0.964826,0.387002
distance,-0.017328,-0.037248,-0.011065,-2.461927,0.230866,0.018756,0.534862,0.681145,-0.877643
surface,0.306848,0.34663,-1.002885,-3.33766,-0.407399,-0.065231,-0.273309,1.48603,-0.259043
aléatoire,-1.352264,-1.082374,0.259185,-2.222631,0.043911,1.411298,-0.172705,0.16061,-0.035223
naturel,1.290547,1.185112,-0.437702,-2.400296,-0.061536,0.612338,-0.563994,-0.108778,1.121504
normal,0.1596,0.316646,0.384434,-1.683185,-0.569123,0.586593,-0.284648,0.282159,-0.015469
arbre,0.571307,0.312266,-1.676923,-2.2287,0.19454,-0.049172,-1.178242,0.002193,0.038035
démontrer,-0.539829,-0.0057,-0.233233,-1.59984,-0.971501,1.684628,-0.025271,-0.819235,0.244237
