word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
sommet,0.16272,1.396815,0.82042,1.441338,0.07968,-0.388265,2.326712,0.337346,0.465319,0.629307,0.356217,0.228269,0.35503,-0.03419,-0.113447
logique,-0.632721,-0.527972,-0.680939,0.491928,0.161181,0.486066,0.851021,-0.086399,-0.690495,-0.491337,1.37811,0.603507,-0.622314,2.981733,-0.22525
terme,-0.788788,0.706975,-0.317222,1.869935,0.092489,0.336507,0.565445,-0.354528,-0.07208,-0.303519,0.389241,0.524708,-0.697197,1.148777,-0.772513
trois,-0.716741,0.457506,0.813969,2.118011,-1.009851,0.288059,0.904839,-0.108351,0.239311,-0.210771,-0.819446,-0.180341,0.42005,0.067626,-0.137335
plan,-1.437292,-0.243263,0.373666,1.603382,0.005877,-0.043138,1.325943,0.711345,0.187733,0.272746,0.393485,-0.3751,-0.333866,0.790251,-0.176285
formule,0.464474,-0.151721,-0.133885,1.388646,-0.559476,-0.47433,0.573018,-0.973544,-0.278432,-0.740046,-0.098501,0.248013,0.796988,2.134763,-0.461395
droite,-0.183272,0.483089,0.956738,1.426257,-0.088402,0.96438,2.098774,0.030081,1.174158,0.904524,0.426981,-0.267068,0.259564,1.135357,0.873327
$\mathbb{C}$,-0.584132,-0.088914,0.656217,1.176034,-0.503262,-0.32903,0.590279,-0.275884,0.713599,-0.538122,-0.097811,0.187921,0.030058,0.673919,-0.744973
solution,-0.763356,-0.800172,-0.77163,1.98815,1.03285,-0.917445,0.397524,0.339122,0.143479,-0.725207,0.276678,-0.12631,-0.739929,1.821039,-0.620276
modèle,-0.390226,-0.2307,0.149489,1.730084,-0.189538,-0.65661,0.059763,0.316539,-0.266126,-1.317736,0.547822,-0.501849,0.143767,1.440829,-0.739481
linéaire,0.557685,-0.410205,0.012447,1.283456,0.459013,-0.895397,1.407606,0.679251,0.143907,-0.018269,1.271671,0.304809,0.001333,2.94572,-1.11718
probabilité,0.672388,-1.050652,-1.095854,1.185843,0.525651,0.088546,0.879302,-0.406377,0.579732,-0.023904,0.712383,1.366841,-0.068599,2.439219,-1.118682
série,-0.270971,-0.783137,1.691566,0.583045,-0.325552,-0.408346,0.74837,-0.904956,-0.677733,-0.966545,-2.247261,-0.082407,-0.827009,0.038338,-0.276003
somme,-0.763565,-0.627485,-0.2753,1.505971,-1.014206,0.007378,0.311311,0.487722,1.492074,0.877315,-0.153709,0.66275,0.32527,0.984206,-0.185186
mesure,-0.830076,-0.334245,0.234209,2.135285,0.480657,0.018704,0.941228,-0.155977,0.757478,-0.45702,0.767976,0.339159,0.16477,0.761941,-1.312182
carré,0.415452,0.150715,1.351765,1.175859,-1.188061,-0.110027,1.153141,1.428842,0.913981,0.391301,0.393687,-0.172651,0.394796,1.189499,-0.352558
vecteur,0.679397,-0.621008,-0.14239,1.077361,1.645514,-0.757455,1.406001,-0.129432,1.093228,-0.187123,1.35686,0.26961,-0.54684,2.380744,-1.218488
connexe,-1.516701,0.366001,1.676264,0.390148,-0.015443,-0.602084,-0.302898,-0.349131,-0.26464,0.69503,0.863481,0.07466,0.252624,-0.040862,-1.202359
classe,-0.601196,0.04354,0.009643,1.460123,-0.298411,-0.395714,0.109971,-0.473827,-0.20951,-0.500204,0.202427,-0.118831,0.634609,0.404367,-0.682242
produit,-0.571468,-0.15729,0.378672,2.485801,0.699029,-1.338129,-0.793406,0.584493,0.15972,-0.608338,-0.571921,-0.255144,-0.82197,1.295861,-1.02306
égal,0.406325,-0.082589,-0.246333,1.642557,-0.478691,-0.258196,1.296286,-0.469027,1.419654,0.089982,0.164805,1.185781,0.359054,1.862511,-0.8867
cercle,-0.180231,0.681191,0.70354,0.763628,-0.157495,0.947924,1.002312,0.308496,-0.689951,0.37917,0.720082,0.260206,0.522761,0.849693,0.415489
partie,-1.234427,0.818206,0.522243,1.931006,-0.446509,0.039365,1.227225,0.336036,0.326547,0.531499,-0.042969,-0.220867,-0.072979,-0.389793,-0.532399
relation,-1.423989,0.240097,-0.728829,1.20152,0.526661,0.775103,0.519813,-0.805214,-0.533776,0.41363,0.161421,0.104543,-1.165538,0.704879,-0.446634
courbe,1.062834,-0.593182,0.338895,1.261058,0.097673,-0.2959,1.927504,1.40205,0.517319,0.581242,0.912957,0.355353,0.405252,2.22555,-0.348724
différent,-1.029372,0.846332,0.447852,2.549944,-0.047096,0.054187,0.526202,0.294637,-0.202717,-0.714325,0.167232,-0.007017,-0.586059,1.226456,-0.860301
complexe,-0.571732,0.549075,0.321896,1.708958,0.664729,-0.428421,0.990594,0.945702,-0.402923,-0.00839,0.818171,-0.014739,-0.428148,1.191077,-0.7827
matrice,1.024047,-0.724037,-0.510327,0.926702,0.266321,-1.241648,0.976939,0.356742,0.695401,0.045293,1.076817,-0.155135,-0.224449,2.824932,-1.247377
domaine,-1.529122,0.360436,-0.320554,1.927558,-0.334917,0.067744,-0.343187,0.876266,-0.354318,0.875127,0.653774,-0.536948,-0.475732,0.776875,-0.830571
fois,-0.437566,0.258679,0.12153,2.113109,-0.907598,0.484033,0.883062,-0.716202,0.166603,-0.69902,-1.059977,0.031206,0.189654,0.025507,-0.280028
type,-0.486246,-0.06495,0.939743,1.906935,0.339593,-1.042358,0.494774,0.75063,0.597062,-1.065356,0.663095,0.040975,0.008565,0.838804,-1.439409
