word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
dimension,-0.19831,-0.262063,1.066296,-0.568831,-0.975253,1.399905,-0.528427,1.022439,0.503813,0.248112,1.392111,0.554588,0.721264,0.9273,1.10916,0.349723
statistique,0.533934,0.308332,0.251132,0.520816,-0.478414,0.857296,1.913601,-0.533618,0.605383,0.805037,0.191417,0.265788,1.484109,-0.792164,1.776092,0.799447
sommet,-1.113067,-0.877042,1.229637,-0.764953,-0.836888,1.013219,0.277071,1.152522,0.242239,-0.165908,-0.820957,0.540279,1.517727,-0.562662,0.652923,-0.393079
logique,0.782255,0.86997,0.125063,-0.858394,-1.483657,1.0578,-0.663351,0.195169,0.801287,0.541042,2.046273,-0.046974,-0.127015,0.426383,1.630647,0.152594
terme,0.014366,-0.086896,0.283178,-1.362852,-0.028968,0.63481,-0.646279,-0.122844,0.341645,-0.049927,1.000906,0.563826,1.57768,0.020664,1.147989,0.251312
trois,0.131873,-0.753898,1.945197,-0.599097,0.253946,0.668517,-0.076389,-0.472241,0.885425,-0.107448,-0.515297,0.718064,1.310551,0.036538,0.010129,0.271111
plan,0.693472,0.156049,1.024882,-1.170546,-0.780302,0.587498,-0.112412,0.744319,0.856451,-0.085422,0.059305,0.592392,1.277925,0.980839,0.393065,-0.426003
formule,0.010993,-0.268379,0.560139,0.545446,-0.993141,0.830877,-0.415303,-0.634983,1.310661,-0.075693,1.481619,0.213738,0.799869,-0.655493,1.017222,1.07778
droite,-0.144967,0.483593,1.985084,-1.229924,-1.496173,0.393686,-0.203375,0.718185,0.755234,0.096658,-0.55011,0.462277,1.037248,-0.950778,0.511608,-0.368927
$\mathbb{C}$,0.471757,-0.801338,0.858723,-0.347816,-0.119137,0.146607,-0.267437,0.236996,0.542814,-0.354297,0.349169,0.47559,0.948202,0.182602,0.480049,0.886794
solution,0.73577,0.252602,-0.546436,-0.027045,-0.726041,0.416832,-1.067905,0.41998,0.789672,-0.196583,1.978211,0.303255,1.993904,1.118086,0.087372,0.172462
modèle,0.5803,-0.832808,0.386192,0.273667,-0.332686,0.908955,-1.000796,0.154767,1.310207,0.595117,1.183188,0.438231,0.97834,0.952321,0.398989,0.452841
linéaire,-0.131522,0.373238,0.091322,0.194779,-2.310008,1.510684,-1.012038,1.337491,0.77317,0.148598,1.280776,0.497049,1.184357,0.490826,1.425547,0.715609
probabilité,0.942729,0.806422,0.020013,-0.207291,-2.070444,1.383257,-0.915008,0.196128,-0.476869,0.388633,1.538176,0.000267,1.249461,-0.454278,0.941847,1.318124
série,-0.33733,-0.396404,2.549993,0.755878,0.754477,-0.512953,0.819421,-0.280951,0.022792,0.189381,1.117453,-0.34346,0.668997,1.197844,-0.134597,0.859973
somme,1.196541,0.588044,0.455467,-0.726957,-0.746104,0.514157,-0.129402,0.066612,0.658777,-0.465388,-0.503631,1.154462,1.010442,-0.127465,-0.202004,1.033082
mesure,1.076686,-0.773306,0.422092,-0.699601,-0.747256,0.728293,-0.664918,0.421613,-0.007185,0.280379,0.565748,0.472887,2.013505,0.078855,0.864587,0.449534
carré,-0.396147,-0.144717,1.637082,-0.010639,-1.071636,1.281128,-0.758821,0.979837,0.784398,0.194411,-0.917081,1.512929,0.17447,0.180064,0.302806,0.751954
