word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
groupe,0.745152,-0.97793,-0.323807,0.748426,0.407306,0.948017,-1.595967,0.324995,0.544312,0.846478,-0.287802,0.935802,0.931358,0.222518,-0.249797,-1.774354,-0.246639,2.74549,-0.663344,-1.6742,-0.825831,-0.51667,0.279463,0.195599,-0.796271,-0.591942,0.645133,-1.816916,1.581498,0.465231,0.386278,0.859179,-0.218309,-0.385959,0.955284,0.317417,-0.325928,0.58234
graphe,1.839608,-1.017947,-1.032256,0.672571,0.831438,2.479193,-0.114563,1.282631,-0.49107,0.661502,-1.147512,0.697468,1.379708,1.25991,0.267417,-1.432547,0.587495,1.003043,-1.289389,-0.578235,0.092779,0.480028,-1.130783,-0.444177,-1.172119,0.144718,0.768741,-1.854579,0.939711,1.745433,-0.410128,0.3228,0.077418,0.244791,0.289675,-2.508868,-1.423495,0.387779
forme,0.001587,-0.639917,-0.365327,0.045866,0.617778,0.315332,-0.513625,0.144043,-1.350529,0.703734,0.081684,-0.278024,1.246458,-0.954779,-0.608081,-1.106749,-0.260573,1.32788,-0.163125,-1.051102,0.045011,0.189834,-0.038367,-0.642183,-0.1178,-0.277134,-0.17328,-1.711584,2.176927,-0.022895,0.374597,0.264218,0.325829,1.702584,-0.12009,-1.137609,0.145832,-0.296391
entier,1.200803,-0.430454,-0.959424,0.350235,0.638728,0.676906,-1.685644,0.982247,-1.212022,1.533084,0.360785,0.184135,0.307158,-1.210398,0.083854,-0.845671,-0.265454,2.129712,-0.251151,0.053163,-0.653673,-1.849167,0.173002,-0.715578,0.37706,-0.088559,-0.236249,-2.106096,0.202293,-0.411891,0.50239,0.250308,0.317107,1.732723,-0.042133,-0.961997,0.455025,0.351317
système,0.115314,0.446097,0.047743,-1.139656,0.603312,0.613523,-0.469428,0.712034,-1.187389,-0.147264,-0.245945,-0.604213,0.713293,-0.065873,-0.649064,-1.357495,-1.015239,1.987444,0.768968,-1.689725,-0.219424,-0.012054,-0.224511,0.16821,-0.1836,0.031281,-0.025784,-1.35529,1.346905,0.88082,0.904066,0.352561,-0.301483,0.878417,-0.716194,-1.111825,1.67618,0.62324
équation,-0.884717,0.653483,-0.057763,1.110953,0.906095,0.446291,0.331691,0.122161,-1.975622,0.212546,0.434415,-0.434076,1.107657,-0.837289,-1.381043,-0.796287,-0.829644,1.925887,0.683053,-1.403472,0.041012,0.487712,0.157985,0.547374,-1.054528,0.794401,-0.14891,-2.144806,1.096073,-0.28938,0.735022,-0.222483,0.381543,1.53043,0.29521,-0.841296,0.646921,-0.804513
suite,0.777703,0.30841,-1.068374,-0.341774,0.409622,0.828598,-1.4504,0.634291,-0.711278,1.213014,0.795234,0.369342,0.705267,-0.870145,-0.154554,-0.31589,0.468747,1.795439,0.996475,0.05408,0.068653,-2.107018,-0.022845,-0.298186,0.018508,-0.788026,-0.003966,-1.729933,0.782863,-0.03893,-0.500779,0.293491,0.892172,0.684805,0.347818,-1.386088,0.226873,-0.245697
algorithme,0.011324,0.934046,-0.931392,0.209906,1.671077,1.071955,0.200779,2.604871,-0.317027,-0.022542,0.416319,-0.408174,0.251989,0.106436,0.25058,-0.41926,0.761413,1.456512,0.423569,1.055113,0.997787,-0.116531,-0.624001,-0.172285,0.658194,0.882934,-0.680414,-2.501801,2.169801,1.089989,-0.649869,0.152415,0.477005,0.238484,-0.544695,-0.711054,0.532145,0.846968
calcul,-1.187622,0.320543,-0.560624,-0.514039,0.458227,0.727316,-0.366738,0.480406,-0.927907,-0.062955,0.589567,-0.57085,0.284383,-0.326637,-0.320876,-0.570978,-0.54856,1.227883,0.862742,0.178407,0.171334,-0.037693,-0.973582,0.099003,0.310517,0.198908,-0.11008,-3.012489,1.37629,0.252019,0.247367,0.891142,0.13686,1.451777,-0.04803,-0.47892,0.852925,0.019054
application,-0.611209,-0.896131,-1.20606,-0.145076,0.402691,-0.144769,-0.1545,0.518187,-0.468901,-0.371443,0.090198,-0.606135,0.645506,-0.549848,-0.160326,-1.831945,0.243658,1.961873,-0.133046,-1.48035,0.635365,-1.043099,0.041405,0.132168,-0.43305,-0.496217,0.098534,-1.191176,1.440415,0.911506,-0.006975,0.439454,-0.03756,0.792216,1.24149,-0.321945,1.137494,0.199147
