word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
groupe,-0.874251,0.538174,-0.35347,-0.897551,-0.536582,0.802065,0.906995,-0.871129,0.065568,0.694496,-0.205271,0.111575,0.557932,-0.103706,0.231421,-0.752149,-0.105079,0.146785,0.261219,0.173199,0.706155,0.790653,0.025715,-0.189108,0.620363,-0.082589,-0.460784,0.450964,0.060215,0.899636,-0.257768,-0.710873,-0.091146,1.00364,0.303067,-0.060453,0.911231,0.895159,-1.548343,-0.163977
graphe,-1.122073,-0.357694,0.383452,2.092333,0.160461,-0.226449,-0.425513,0.695591,-1.125322,-0.731766,0.540414,0.786753,1.541086,-1.44413,0.384582,0.462548,-0.661897,0.012665,0.045814,0.30236,0.562774,0.840587,1.697034,-1.03332,0.473088,0.362428,-0.027378,0.893439,0.847767,-0.434204,0.715225,1.447908,-0.159695,-1.101279,0.635946,-0.804603,0.207372,1.988344,0.888401,0.945618
forme,-0.306422,-0.199089,0.354246,-0.316907,-0.795316,-0.062136,0.609521,0.192393,-0.087899,-0.45407,0.115143,-0.042951,2.003493,-0.163637,-0.560373,-0.650722,-0.029966,-0.453232,-0.153083,-0.097569,-0.540562,-0.145889,0.339217,0.176778,0.097182,0.536546,0.23187,-0.461102,0.182245,0.035198,-0.860536,1.014318,-0.248853,0.491511,0.40916,-0.133763,0.270248,0.786284,-1.607396,0.130581
entier,-0.33511,0.238153,0.199234,-0.054486,0.419649,0.207934,0.439063,-0.291806,-0.927244,-0.387609,0.646489,0.144378,1.336168,0.290482,0.208825,0.164256,-0.119272,0.15455,-0.3404,0.291356,0.337604,0.648966,0.57039,-0.367657,0.48261,0.254797,0.512782,0.361768,-0.555229,0.034923,-0.556487,1.03177,-0.257919,0.920373,0.124231,-0.533443,0.15796,0.65081,-1.284748,0.11591
système,0.131455,-0.590211,-0.327399,1.136461,-0.989512,1.007513,-0.590283,-0.073618,-0.454194,-0.47472,-0.190728,0.104075,2.495491,0.482399,-0.778927,-0.439171,-0.807743,0.78437,0.469623,-0.265425,-0.629302,0.654075,0.23316,0.225957,-0.116191,-0.426449,-0.15486,-0.102267,0.993975,0.222755,-0.847051,0.339453,-0.356668,0.601063,0.966259,-0.487716,0.496672,0.199133,-0.965754,-0.294455
équation,-0.842089,-0.15371,-0.93576,0.804491,-0.195085,0.01044,-1.002454,-0.53748,0.02922,-2.192454,-0.304341,2.147455,2.266802,-0.751191,-0.287945,0.709765,0.363176,0.213331,0.061586,0.097939,0.018426,0.22736,2.289342,-1.562191,-0.231526,-0.621667,0.785337,-0.117155,0.045208,-0.185519,-0.255075,0.311152,-0.727146,-0.50041,0.894436,-0.34859,-0.725693,0.635753,-0.501419,-0.100919
suite,-0.22436,-0.145053,-0.15423,-0.681939,-0.518123,-0.024624,0.136902,-0.898791,-1.033693,0.349978,-0.696802,-0.27521,0.44366,0.968562,-0.31273,0.154506,-0.66155,0.222916,0.203629,-0.088741,0.193209,-0.115792,0.298457,0.036136,0.395491,-0.05869,-0.161151,0.184761,-0.119487,0.319676,-0.751174,0.02269,0.282113,0.561861,0.049024,-0.22574,-0.699211,-0.044917,-1.332708,-0.274208
algorithme,-0.044104,-0.962487,-1.578817,2.493869,-0.382837,0.25273,-0.169664,-0.168524,-1.252042,-0.844571,0.039032,1.645235,2.117179,-0.524094,0.079856,0.448496,-0.33002,-0.154608,0.308069,0.152566,-0.332718,0.030203,0.171791,-0.586606,-0.130773,-1.179388,0.806391,0.481219,0.137545,0.387784,0.164974,0.705096,-0.779178,-0.679853,-0.4631,-0.537017,-0.176726,0.931511,-0.782416,-0.095251
calcul,-0.19246,-0.701407,-0.902556,1.927086,0.116528,0.325176,-0.558456,-0.49219,-0.923456,-1.378385,0.343473,1.265557,2.450936,0.503858,-0.568478,0.894043,0.288944,0.41729,0.184801,0.079436,0.029453,0.413413,0.695202,-0.513391,0.063975,-0.82653,0.857212,-0.540071,0.299815,0.267891,-0.363288,0.419746,-0.158834,0.455951,0.20489,-0.523994,-0.443703,0.643238,-0.87558,-0.122624
application,0.931795,0.241861,-0.932552,1.449453,-0.922553,0.966437,-0.419206,-0.503675,-0.358006,-0.615199,0.101977,0.129949,1.976824,0.442494,-0.462093,-0.19335,-0.374088,0.866787,0.05264,0.408688,-0.649012,0.171166,0.519697,-0.773955,-0.506901,-1.385022,-0.292753,-0.201233,0.573782,0.427414,-0.773059,0.743562,0.373544,1.103446,0.291363,-1.103375,0.381732,0.347878,-0.692321,-0.391832
