word,1,2,3,4,5,6,7
corps,-0.917139,1.635732,1.548929,-0.239762,0.829084,1.993388,-1.374403
rapport,0.029316,2.024099,0.959868,-0.90598,-0.066058,2.344778,-0.964194
longueur,-0.171648,2.70492,1.119522,-1.861323,-0.047433,1.524659,-1.354651
informatique,-1.219502,0.778937,0.377337,1.364659,-0.851376,3.416471,1.411887
infini,-0.184506,1.474397,1.031326,-0.682892,0.597581,2.418626,-1.870635
variété,-1.019878,1.647671,2.085938,0.730023,1.244009,1.710432,-2.016981
ligne,-0.093908,2.381376,1.345868,-0.821358,-0.038379,1.905498,0.461363
positif,1.489783,2.075736,1.011724,-0.503597,0.333997,2.087904,-2.182038
angle,-1.093527,2.450173,1.094543,-2.287824,0.364931,1.095742,-1.162518
polynôme,0.561934,1.704759,1.63084,0.3811,0.814312,1.508335,-1.996989
centre,-1.526673,1.836534,1.483853,-1.339009,0.548594,1.816845,0.484196
démonstration,0.290503,0.485836,0.602873,0.122661,0.538246,3.237859,-0.960945
vectoriel,-0.749449,2.182067,2.097409,0.679582,0.907577,1.763142,-2.448645
limite,0.481773,0.967812,0.928735,-0.220292,0.658523,2.692423,-2.064896
représentation,-0.464183,2.178581,1.030778,0.397487,-0.369144,2.094074,-1.258582
famille,-1.336154,0.802187,1.118417,-1.169489,1.022595,2.321325,-0.766763
arête,-0.196704,3.224911,1.076325,-2.325073,-0.227812,0.950933,-0.698359
distance,-0.317182,2.293551,1.010032,-0.896316,0.00974,1.285008,-1.506797
surface,-0.792406,2.043519,1.673708,0.368327,0.329508,1.324585,-1.0298
aléatoire,0.336588,1.707521,0.380839,0.623535,-0.663565,2.16845,-1.938068
naturel,0.458002,1.860519,0.893272,-0.401707,-0.185709,2.384634,-0.491157
normal,-0.728524,0.981253,1.435356,0.03184,0.72155,2.06376,-0.423836
arbre,-0.842003,2.607643,0.616732,-0.527246,-0.5561,1.019595,-1.261548
démontrer,0.607202,-0.271455,0.85801,-0.211416,1.441961,3.142036,-0.969774
algèbre,-1.106754,1.380015,1.739625,1.133806,0.936298,2.190077,-0.929618
règle,0.474412,1.210538,0.102136,-0.079237,-0.399397,2.411884,-1.486186
volume,0.797072,2.216092,1.862776,-0.000287,0.294482,1.452416,1.536249
calculer,0.825783,1.720623,0.232888,-0.505986,-0.517079,2.672805,-1.15173
constant,0.647809,1.554007,1.141973,-0.079769,0.544706,1.694667,-1.64423
quatre,-0.174159,2.172874,0.991218,-2.058935,0.085982,2.1452,0.318557
différentiel,-0.652507,1.26048,1.638253,1.263486,0.603623,2.502403,-1.071405
hypothèse,1.228139,0.22144,0.059005,0.276631,0.143466,3.156941,-1.947991
image,0.267951,2.077949,1.22802,0.077287,-0.103531,1.66248,-0.901406
régulier,-0.979699,2.909048,1.249053,-1.103327,0.068924,0.884313,-1.111999
complet,-0.060942,1.507063,1.286563,0.685933,0.343199,2.117699,-1.156545
racine,0.647975,2.217039,1.098866,-1.00296,0.165565,1.70036,-1.386926
coefficient,1.180231,2.198759,1.00903,0.21641,-0.159231,1.660443,-1.830137
côté,-0.92043,2.078432,1.059897,-2.878163,0.650793,1.417123,-0.841856
preuve,0.561484,0.379154,0.181666,0.802956,0.086187,3.295362,-0.90635
axiome,0.659775,0.09203,0.741799,0.217334,1.009752,2.47143,-1.961225
$\mathbb{R}$,1.420897,2.394028,1.667019,-0.85447,0.738086,1.02846,-0.94882
continue,0.448045,0.638281,1.338274,0.075323,1.385308,2.560706,-2.04402
résoudre,0.359961,0.450619,0.231421,0.251152,0.168627,3.06787,-1.04509
arithmétique,-0.012391,1.232892,0.927224,0.818875,0.062261,2.559419,-0.810661
conjecture,0.314286,0.007854,1.367672,0.838775,1.341248,1.967065,-0.671458
réseau,-0.711401,2.268407,0.401619,0.495334,-1.200365,1.821704,-0.675211
opération,0.365643,2.080872,0.351693,-0.203148,-0.694637,2.219832,-1.213738
chiffre,0.703541,2.884978,0.446344,-2.060176,-1.057558,1.757808,0.133696
expression,0.402549,1.502446,0.596906,0.045333,-0.341883,2.368066,-1.405584
propre,-0.117397,1.413051,0.822113,-0.328335,0.206696,2.419197,-1.263994
principal,-0.587768,1.494162,0.748469,0.03363,-0.34464,2.535367,0.069436
paramètre,1.165186,2.031455,0.596295,0.123803,-0.582238,2.047649,-2.025191
coordonnée,-0.906067,2.106763,1.159637,-0.89494,0.296916,1.034677,-2.015842
opérateur,0.104725,1.532801,1.328045,0.960204,0.385151,1.593253,-2.078741
numérique,-0.513424,1.513806,0.526978,1.229701,-1.06911,2.792998,-0.182163
unité,-0.431856,2.339112,0.799418,-1.137858,-0.36035,1.688604,-0.637045
liste,-0.134613,2.085529,0.893142,-0.314422,-0.497548,2.140238,0.512611
convexe,-1.203233,2.084494,1.500843,-0.139709,0.752089,1.00821,-2.138899
rationnel,0.205379,1.52337,1.131541,-0.122735,0.509784,1.985095,-1.976121
nœud,-0.370387,2.084389,0.554674,-1.921995,-0.285217,1.070185,-0.797851
$\mathbb{Q}$,2.475054,1.727724,1.491897,-0.654105,1.042269,0.86111,-1.561279
topologie,-0.893866,0.865154,1.675148,0.587611,1.343818,2.209974,-1.676755
origine,-1.522267,1.078829,0.781469,-0.910225,0.29795,2.510241,-0.207848
distribution,0.849091,1.59141,0.677321,0.961612,-0.347366,1.725139,-1.289906
intervalle,0.912725,1.764691,0.805095,-1.030115,0.363935,1.629088,-1.783444
compact,-0.121362,1.508342,2.093552,0.276326,1.529653,1.254771,-2.272903
reste,0.706864,0.840806,0.477535,-1.48924,0.471967,2.598738,-0.642978
test,1.31871,0.255273,-0.012298,1.29969,-0.438285,2.036147,-1.024451
proposition,1.063874,0.856353,0.27274,-0.411157,0.044262,2.385668,-1.029863
catégorie,-1.283656,1.67186,1.43069,0.246601,0.441706,1.131119,-1.441431
programme,0.322073,0.895942,-0.127767,0.385391,-0.973874,2.934702,0.260975
intégral,-0.311729,0.981189,1.252082,1.098323,0.601455,2.187443,-1.460221
complexité,0.435916,1.453973,0.45763,1.363862,-0.813268,2.339678,-1.050571
automate,-1.08361,1.412351,0.390902,0.815634,-0.470055,1.147292,-1.675374
moyenne,0.811891,1.999385,0.260946,-0.021363,-0.894594,1.91554,-1.359821
symbole,0.301237,2.128734,0.837362,-0.496689,-0.263505,1.492548,-0.985462
axe,-1.581257,2.084518,1.363816,-2.032531,0.630287,1.120125,-1.221713
euclidien,-1.026154,1.876452,1.6652,0.022014,0.882484,1.902708,-1.834497
inférieur,1.061829,1.878915,1.008246,-1.742786,0.479218,1.691112,-1.262773
dérivée,-0.175989,1.126643,1.025532,0.447457,0.483718,2.235586,-2.151652
transformation,-0.196091,1.568927,1.443271,0.852595,0.660983,1.713571,-1.492944
anneau,-0.367343,1.764766,1.778313,0.486022,0.854005,0.902011,-2.088527
facteur,1.048875,2.35296,0.369892,-0.321935,-0.945955,1.797506,-0.603013
indice,0.585778,1.944364,0.603337,-0.515714,-0.310183,1.148761,-1.120644
zéro,0.678372,1.90228,0.676357,-1.129879,0.049826,1.691606,-1.228591
sphère,-1.877092,1.883557,1.43324,-1.219631,0.77546,0.823278,-1.153793
strictement,1.203356,1.802952,1.057252,-1.280388,0.72745,1.775712,-2.406267
puissance,0.852261,2.142479,0.644752,-0.751742,-0.310062,1.640554,-1.076263
Euler,-0.236412,0.752594,1.337092,0.259334,0.892797,1.919665,-0.399228
topologique,-1.044086,1.608876,1.85284,0.655211,1.16283,1.915921,-2.310544
déduire,0.99591,0.597936,0.753122,-0.49592,0.855249,2.427962,-1.938621
composer,-0.072277,2.268168,0.937472,-0.944098,-0.343981,1.572414,-0.375824
deuxième,0.390988,1.372351,0.910803,-0.907634,0.120766,2.283318,0.295539
rayon,-0.807086,2.406254,1.54148,-2.383169,0.749628,0.582141,-1.336109
caractéristique,0.112207,2.099248,1.092774,0.087119,-0.164984,2.020836,-1.369757
vide,0.43745,1.532902,1.059347,-1.602731,0.807931,1.519838,-1.884567
affine,-0.672235,1.642923,1.991996,0.818932,1.18202,1.076165,-2.114437
supposer,0.995355,0.862277,0.405201,-0.722506,0.414412,2.411948,-2.10671
ouvert,-0.540647,1.215109,1.617194,-0.882124,1.434548,1.360149,-1.448352
partiel,0.034057,1.148964,1.074719,0.96902,0.177223,2.376569,-0.791328
approximation,1.124967,1.142869,0.62507,0.955138,-0.17587,2.199111,-1.035415
convergence,0.899335,0.744914,0.453577,0.62069,0.272519,2.124703,-2.08827
chemin,-0.174348,1.902215,0.397068,-1.353726,-0.218863,1.407187,-1.015542
rotation,-0.78895,2.311981,1.24511,-1.190116,0.178099,0.939381,-1.338729
différence,0.445541,1.657355,0.326499,-0.524585,-0.426115,2.20982,-1.206208
analytique,-0.963011,0.612648,1.155158,1.080657,0.500121,2.643308,-0.761872
formel,-0.308203,1.288917,0.707766,1.502218,-0.478943,2.668548,-1.034832
intersection,-0.324819,1.922211,1.799432,-1.043778,0.987246,0.93854,-1.249609
pourcent,1.837058,1.470412,-0.163369,-2.472121,-0.747908,1.284931,1.127147
caractère,0.333932,2.042977,0.467951,-0.264023,-0.708066,1.553327,-0.956817
raison,0.193019,0.545852,-0.128717,-0.665191,-0.30495,2.91366,-0.477487
aire,-1.257906,1.87652,1.05799,-1.87821,0.521765,1.122296,-0.852776
section,0.004294,1.74157,1.311491,0.110773,0.185866,1.585584,0.231325
cycle,0.17228,1.764229,0.931615,-0.771814,0.052475,1.426702,0.136202
source,-0.097899,1.431232,0.795468,0.489447,-0.266437,1.928615,0.730231
discret,0.568341,1.817335,1.285394,1.685955,-0.089327,1.936339,-0.790373
combinatoire,-1.323975,1.203074,1.111887,1.488325,-0.058056,2.385935,0.014383
dynamique,-1.154028,1.091089,0.482124,1.6241,-0.598199,2.386748,-0.538385
inverse,0.558983,1.660648,1.139553,0.628118,0.22729,1.683426,-1.635365
minimal,0.693843,2.596115,0.96049,-0.126265,-0.417569,1.203894,-1.092182
extension,0.301882,1.48703,1.290947,0.653237,0.288233,1.730071,-1.284448
arc,-0.903122,1.992928,1.070326,-1.249805,0.240162,0.726462,-1.488426
énoncé,0.816866,0.194574,0.441444,0.305079,0.588593,2.783717,-1.671197
parallèle,-1.325526,1.617827,1.014554,-1.480974,0.469779,1.476338,-1.138907
négatif,1.191195,1.426273,0.292106,-0.38811,-0.275902,1.801045,-1.866989
niveau,0.117183,1.365443,-0.231461,-0.725848,-1.114257,2.5204,0.062111
fraction,0.766875,1.832202,0.79627,0.005181,-0.026121,1.367772,-1.360011
segment,-0.545266,1.957163,0.987368,-2.092075,0.617761,0.885331,-1.424381
norme,0.644708,1.796173,1.4062,0.452538,0.435139,0.936407,-1.863875
local,0.128158,1.271938,0.747299,0.911778,-0.040857,1.789026,-1.130199
métrique,-0.961635,1.44709,1.366023,0.727648,0.733586,1.460301,-2.135184
symétrie,-1.277958,2.196547,1.146592,-0.806421,0.053683,0.818749,-1.152111
inégalité,0.562536,0.12261,0.546375,0.623338,0.806802,1.621679,-1.769999
chaîne,0.159467,2.000982,0.77252,-0.248163,-0.15752,1.224257,-1.144837
prouver,0.86216,-0.229829,0.561913,-0.062592,0.915331,2.792151,-1.168879
Gauss,-0.132883,0.033993,1.204713,0.735663,1.200287,1.912321,-0.710402
symétrique,-0.273766,2.132286,1.514723,0.079257,0.484737,1.034068,-1.871085
Riemann,0.412571,-0.103252,1.364103,1.033412,1.608567,2.112061,-1.187141
$\mathbb{Z}$,1.59555,1.375598,1.558865,-1.115909,1.251968,0.84845,-1.415897
polyèdre,-1.647245,2.695272,1.309962,-0.071674,-0.399687,0.208141,-0.402368
binaire,0.485408,3.008618,0.649399,0.109669,-1.275919,1.122944,-1.11771
demi,-1.404637,1.927545,1.420033,-1.648608,0.79893,1.037376,-1.086993
multiplication,0.793553,2.241901,0.760915,0.274745,-0.524296,1.200706,-1.116093
libre,-1.036811,1.652738,0.844322,-0.18342,-0.149243,1.371075,0.016738
identité,-0.161977,1.003048,1.160589,0.176922,0.78945,1.665611,-1.458311
Hilbert,-0.010877,0.146005,1.323066,0.833622,1.150678,1.927055,-0.455743
scalaire,-0.256566,2.203714,1.157243,0.433711,0.157995,1.178519,-2.612779
solide,-2.169679,2.528249,1.244557,-0.776725,-0.201914,0.708091,-0.035698
densité,0.725401,1.487171,0.25597,0.439416,-0.648993,1.679465,-1.989981
lemme,-0.036461,-0.089905,0.813469,0.825219,1.143507,1.518904,-1.56916
polynomial,1.323707,1.211291,0.853233,1.408987,0.031005,1.976998,-1.35712
cinq,-0.399166,1.701444,0.624225,-1.994072,-0.185318,1.835606,0.594184
exponentielle,0.312076,1.661126,0.657659,0.716533,-0.247043,1.767853,-1.895329
élémentaire,-0.404275,1.570281,0.751253,0.558356,-0.212161,2.258035,-0.804724
argument,0.522201,0.424768,0.15572,0.491661,-0.016404,2.017697,-1.152102
optimisation,-0.241915,0.973444,0.619472,1.945433,-0.477183,2.192309,-0.807247
Fourier,0.327135,0.614068,1.156963,1.667536,0.449555,1.653867,-0.749553
dériver,-0.577331,1.332265,0.933687,0.318478,0.176624,1.992444,-1.503917
module,0.346381,1.858761,1.673427,0.725363,0.580136,0.994519,-1.350057
maximal,0.590886,2.087508,0.967819,-0.232283,0.112392,0.992393,-1.552724
paire,0.587675,1.795125,0.521474,-1.470603,-0.017756,1.068751,-1.469919
uniforme,-0.36131,2.263714,1.224672,0.268968,-0.042003,0.852976,-1.763374
action,0.345266,1.196629,0.349767,0.130532,-0.518313,1.826628,-0.285778
total,0.631316,2.060583,0.178247,-0.992868,-0.752078,1.5285,-0.828942
polygone,-1.575453,2.275844,1.01444,-1.37437,0.178973,0.663096,-1.385373
division,0.264829,1.751548,0.794666,-0.716069,-0.329719,1.363901,0.215404
signe,0.473759,1.368023,0.158048,-1.187687,-0.197715,1.389353,-1.195736
troisième,0.086969,1.445514,0.904551,-1.30082,0.202628,1.976469,0.188642
composante,-0.475974,2.454733,0.86063,-0.556938,-0.489779,1.099635,-1.569425
paradoxe,-0.297023,-0.565441,0.063246,0.443618,0.418001,2.019154,-1.015327
égalité,0.882131,0.687403,0.478777,-0.683341,0.611253,2.205642,-1.594995
critère,1.254309,0.840844,-0.000157,0.04268,-0.528674,1.715968,-1.012205
orthogonal,-0.796852,2.170327,1.822129,-0.400971,0.868599,0.822921,-1.716283
moment,0.102285,1.319776,0.247084,-0.106012,-0.316624,1.743298,-1.040736
conséquence,0.54217,0.374581,0.063867,0.018013,0.087599,2.538096,-1.561369
orienter,-1.085649,2.212179,1.189168,-0.6919,0.237993,0.970948,-1.447181
courbure,-0.663979,1.413819,1.126811,0.24074,0.691066,1.164793,-2.052154
couple,0.323191,1.362329,1.08496,-1.603766,0.810206,1.380717,-1.170759
relatif,0.457207,1.411655,0.438473,0.030408,-0.488417,1.899544,-0.876969
morphisme,-0.546021,1.715762,1.476735,0.032102,0.918588,0.480543,-2.679202
central,-0.486234,1.250463,0.5414,-0.50443,-0.406898,2.005181,0.370242
observation,0.489108,1.074036,-0.178355,-0.502215,-0.829468,2.180261,-0.303801
fixe,-0.344401,1.200386,0.79093,-0.695732,0.502176,1.445568,-1.576348
raisonnement,0.662901,0.109139,-0.371025,0.846427,-0.769981,2.695205,-1.080979
cardinal,0.303003,0.626587,1.167354,-0.737671,1.271375,0.82778,-2.053546
quadratique,0.878705,1.609081,1.174318,1.242218,0.287016,1.561799,-1.883403
dual,-0.807334,2.441665,1.48328,0.52956,0.122013,0.811309,-1.656531
multiple,1.277173,1.960784,0.514802,-0.205345,-0.473766,1.501513,-0.609166
dénombrable,-0.381928,0.7889,1.329279,-0.695001,1.428095,1.429921,-2.672208
cube,-0.323857,2.709135,0.70753,-1.111153,-0.666539,0.418981,-0.30486
récurrence,1.844802,0.703544,0.554039,0.251268,0.419697,2.200688,-1.71255
ordonner,-0.22779,1.314216,0.974328,-0.911749,0.728762,1.145174,-1.970494
maximum,1.112969,1.665325,0.570155,0.083064,-0.41884,1.554135,-1.123645
variation,0.696535,0.977594,0.197208,0.570906,-0.46744,1.99503,-1.030303
pair,1.31756,2.132788,0.905289,-1.09437,-0.28846,1.561801,-0.414085
projection,-1.229583,1.901372,1.212784,-0.066888,0.050437,0.51645,-0.937221
ajouter,0.892202,1.426156,0.317804,-1.509524,-0.14381,1.955988,-0.873731
Fermat,0.028769,-0.028066,1.120481,-0.015071,1.391002,1.751373,-0.282947
fonctionnel,-0.615589,0.702497,0.924767,1.203891,0.362737,2.18349,-1.139958
intérieur,-1.325225,1.418659,0.667893,-1.368374,0.323252,1.373679,-1.185633
milieu,-1.156936,1.21504,0.661383,-1.507655,0.379692,1.398324,-0.362499
tendre,0.876728,1.053336,0.375192,-1.167503,0.34499,1.642026,-2.011878
expérience,-0.173889,0.358956,-0.592877,-0.00249,-0.813564,2.562551,-0.354036
voisinage,-0.264831,0.952309,1.186921,-1.043408,1.429694,1.410895,-2.348986
commutatif,-0.305279,1.948763,1.846228,0.884713,0.647364,1.113172,-1.31355
estimation,1.443259,1.108011,-0.077566,1.183476,-1.07831,2.15907,-0.813335
projectif,-0.884176,1.406908,1.824451,0.474906,1.321075,0.931756,-2.222759
quotient,0.391582,2.022955,1.498969,-0.239729,0.495917,0.915288,-1.081962
Newton,0.12809,-0.237069,0.588427,1.105564,0.393285,1.938635,-0.134771
dix,-0.020527,2.111063,0.283642,-2.561479,-0.733239,1.432269,1.038779
localement,-0.583331,0.962021,1.376118,-0.090237,1.41447,0.946173,-2.994328
borne,0.521569,0.686894,0.627829,-0.475663,0.608961,1.682812,-1.652273
exact,0.830699,1.397423,0.753116,0.147671,-0.197847,1.748756,-0.590924
six,-0.207254,1.885383,0.736825,-1.904169,-0.141381,1.505177,0.48189
impair,1.733825,2.293082,0.982254,-1.556876,0.222805,1.180402,-1.218403
équivalence,0.500688,0.958445,1.054908,0.273447,0.736665,1.477984,-2.01615
Cauchy,0.288203,-0.458109,1.136857,0.694302,1.720637,2.025845,-1.392876
échelle,0.162038,1.868912,0.000425,-0.193244,-0.957421,1.416065,-0.747352
rectangle,-1.05527,2.046888,1.023575,-1.931581,0.404938,0.791652,-1.128535
ordinal,0.265125,0.532139,0.961017,-0.296447,1.125834,0.785439,-2.06887
échantillon,1.303846,1.660324,-0.767938,-0.222745,-1.791402,1.92102,-1.269742
réciproque,0.336119,1.015224,1.059046,0.136992,0.76788,1.550569,-2.407309
minimum,0.938412,2.142474,0.504039,-0.644082,-0.552004,1.183374,-1.14784
engendrer,-1.166452,1.996278,1.437905,-0.261383,0.531778,0.798909,-1.831175
stable,0.919539,1.207865,0.820926,0.216251,-0.00554,1.265018,-1.777467
algorithmique,-0.753625,1.213135,0.214521,1.919719,-1.152122,2.51178,-0.44405
fibré,-1.312429,1.926841,1.834282,0.504385,0.964387,0.280314,-1.852057
universel,-0.545462,0.967074,0.415569,0.651713,-0.145541,1.787579,-0.692433
union,-1.043615,1.31849,0.858429,-0.632565,0.024435,1.450324,0.57215
diagramme,-0.899826,1.434161,0.642483,0.368283,-0.222109,0.569876,-1.106941
événement,0.409007,0.921178,-0.29322,-0.895573,-0.568965,1.707146,-1.07878
Turing,0.18991,0.131678,0.456867,1.270826,0.225849,1.780326,-0.392664
addition,0.571532,2.198981,0.657864,0.058664,-0.512098,1.061904,-1.154152
stratégie,0.753414,0.818146,-0.856033,-0.680835,-1.006005,1.846271,-0.745911
optimal,1.326732,1.309356,0.015891,0.602862,-0.74203,1.627945,-1.187772
variance,1.463893,1.74828,-0.12184,0.825199,-1.505138,1.302664,-1.577364
permutation,0.530573,1.888793,0.82626,-0.905108,0.011911,0.719109,-0.875772
disque,-1.139069,1.516013,1.015815,-1.572322,0.641713,0.700757,-1.339001
tenseur,-1.063505,1.771575,1.000096,0.677155,-0.097484,0.099268,-2.120447
hyperbolique,-1.601842,1.570446,1.613508,0.522835,0.768946,0.749568,-1.58443
décomposition,0.35864,1.744361,0.995063,0.472622,0.026583,0.900462,-1.303459
elliptique,-0.956458,1.15985,1.30707,0.870238,0.703926,1.220555,-1.270693
mesurer,-0.138455,1.480209,-0.197468,-0.708556,-0.998683,1.761678,-1.272345
rang,0.61372,1.695948,0.987507,-0.991647,0.29637,1.15404,-0.8141
Leibniz,-0.137364,-0.799864,0.117114,0.365441,0.382594,2.008904,0.156636
boule,-0.688058,1.699814,0.931607,-2.216562,0.737684,0.160472,-1.544067
branche,-0.901908,1.56275,0.634859,-0.12517,-0.379102,1.756278,-0.225753
partition,0.546287,2.079492,1.101213,-0.347869,-0.008124,0.649882,-1.266485
fermé,-0.73257,1.435913,1.768485,-0.932688,1.553676,0.948909,-2.614814
invariant,-0.047318,1.298036,1.257746,0.852035,0.459948,1.040833,-1.076948
diviser,0.699492,1.870175,0.352311,-1.357097,-0.386695,1.453064,-0.493567
diviseur,0.521506,2.319741,1.231101,-0.918951,0.369993,0.501074,-1.19867
Banach,-0.295097,-0.132,1.961236,1.375084,2.021284,1.316219,-1.172966
logarithme,0.546156,1.735967,0.662649,0.59473,-0.36229,0.840006,-0.90351
cent,-0.093972,2.578247,0.05999,-2.998318,-1.05511,0.482157,1.536401
décimal,0.619629,2.840866,0.350094,-0.658053,-1.535431,0.83468,0.035753
espérance,1.591971,1.285762,-0.048841,0.041363,-0.862108,1.684498,-0.875565
estimer,1.082612,0.89511,-0.453505,-0.04144,-0.969409,2.041845,-0.883129
périodique,-0.016085,1.631983,0.744377,0.481476,-0.325808,1.395228,-1.126998
harmonique,-0.613929,1.505152,1.151429,0.911932,0.196042,1.253892,-1.315406
