word,1,2,3,4,5,6,7,8,9,10,11,12,13
plan,-0.966091,-0.529599,-0.50491,-2.10165,0.18649,0.078023,-3.612395,0.441752,0.972588,-0.124021,1.37031,0.194415,-0.064714
formule,-1.488017,0.138283,0.589239,-1.343431,0.552579,-0.780402,-2.119768,-1.71083,0.16272,0.670722,0.947001,-1.911644,1.552161
droite,-1.419607,-1.331636,-0.42516,-2.387277,-1.25275,0.098161,-2.975249,0.576587,0.644935,0.225558,1.441605,-0.271213,0.810277
$\mathbb{C}$,-0.467912,-0.839538,0.297394,-1.584789,-0.987166,1.441214,-2.43132,-0.691452,1.023476,0.966423,1.096779,-0.983899,0.54926
solution,-1.030989,-1.005413,0.23027,-0.078623,0.947339,0.005137,-2.80582,-1.597358,0.568565,0.835358,0.943924,-0.448681,1.284374
modèle,-0.808114,-0.479668,0.999645,0.687025,1.772676,-0.55899,-2.340781,-1.040664,0.538243,0.818326,0.863119,-0.955765,-0.737374
linéaire,-1.515137,-0.948425,0.881071,-0.7441,2.000248,0.37767,-3.0047,-0.272952,0.270458,1.361443,-0.079275,-1.264814,-0.142118
probabilité,-0.475464,-1.38863,-0.135061,0.71007,0.634023,-0.43224,-2.384071,-1.730777,-0.338835,0.932036,0.731937,-1.44683,-0.460244
série,-1.249803,0.456846,-0.473868,-0.291463,0.592519,-0.376631,-2.665436,-1.651986,-0.243671,1.058934,-0.786914,-1.644782,-0.200448
somme,-0.53911,-0.412955,0.828345,-1.125169,-0.685812,-0.047332,-3.33902,-2.128356,-0.536287,-0.05102,-0.588441,-1.651754,0.352963
mesure,-0.654473,-0.752507,-0.758352,-0.282444,0.83638,-0.107724,-3.063589,-0.955644,-0.156994,-0.230825,0.594222,-1.359469,-0.666004
carré,-0.07936,-0.257978,0.406508,-1.226403,-1.148955,-0.74688,-3.581323,-1.651235,-0.581047,-0.744571,0.130603,-0.750948,0.534193
vecteur,-1.840623,-2.099632,0.411497,-1.956467,0.296525,0.515941,-2.966114,0.758089,-0.002675,0.326286,0.08021,-1.134551,0.208978
connexe,0.288349,1.186766,0.326714,-0.60931,0.78351,-0.22979,-3.344475,-0.846048,-0.059645,1.245819,0.370669,-0.620856,-1.055572
classe,0.081444,-0.517003,0.182384,-1.211964,0.790993,0.896833,-2.061809,-1.02262,-0.046614,1.712585,0.997465,-1.090809,-1.192077
produit,-1.16964,-0.754097,1.001802,-2.068047,0.289179,0.618609,-2.762004,-0.512507,0.266547,0.20085,-0.11722,-1.238578,-0.476054
égal,-0.065616,-1.04026,-0.156488,-1.223814,-1.230438,0.494238,-3.513379,-1.335899,-0.547743,0.026469,0.626503,-1.419752,0.792215
cercle,-0.573876,-0.507278,-0.994178,-1.785152,-1.36208,-1.346738,-3.454327,0.530062,-0.022762,-0.166363,2.035214,0.00904,0.934208
partie,-0.380018,-0.569597,-0.643478,-1.231269,-0.007984,0.387613,-2.285035,-1.647918,0.608425,0.819424,0.677457,-0.555024,-1.188297
relation,-0.589585,-0.30155,0.45217,-1.375557,0.777999,0.267465,-2.233174,-0.946141,0.583372,0.838209,1.683218,-1.402658,-0.171264
courbe,-0.858361,-0.629422,-0.446375,-1.544537,0.805748,-0.981198,-3.488683,0.345638,-0.369467,0.105286,0.797259,0.181352,0.826398
différent,-0.821597,-0.968397,0.52375,-0.126514,0.032606,-0.287704,-2.876644,-1.289134,1.00127,-0.056074,1.2737,-0.834846,-1.184487
complexe,-1.341317,-0.472641,-0.333776,-1.713921,1.467924,0.51521,-2.897089,-0.829851,0.426522,0.716532,-0.302167,-0.663399,-0.204905
matrice,-1.142156,-0.945581,1.654964,-0.970679,0.422439,0.532895,-3.23466,0.205286,-0.216202,0.806881,0.092076,-1.011025,0.61864
domaine,-1.154609,-0.571123,-0.139485,-0.163508,0.967936,-0.595753,-2.311972,-1.231078,1.047642,0.72142,0.687403,-0.653981,-2.083384
fois,-0.953501,-1.450427,0.35624,-0.586939,-1.081989,-0.290496,-2.264053,-1.818613,0.734639,0.727596,0.421626,-0.234118,-0.389372
type,-0.597868,-0.012981,0.736806,-0.400921,0.549033,0.472209,-2.606003,-1.096242,0.753961,0.726146,0.99424,-1.19127,-0.423361
mot,0.33103,-0.575639,1.875045,-1.292561,-0.384321,0.008554,-1.601875,-1.989813,-0.092878,0.028426,0.889796,-1.242119,-1.144007
algébrique,-0.799259,0.624841,0.053608,-2.198363,1.696818,-0.184576,-2.53859,-1.287583,0.348352,1.168871,0.224285,-0.215542,-1.096083
degré,-0.549558,-0.146605,-0.48078,-0.394242,-1.394947,0.286259,-3.391815,-1.262731,-0.12973,0.024888,-0.458993,-0.836614,0.530296
langage,-0.245264,0.404428,2.060475,-1.441186,1.221498,0.148865,-0.87608,-1.880795,1.032873,0.912491,1.332571,-1.178327,-1.542284
nul,-0.430085,-1.663666,-0.647236,-1.342021,0.480358,0.88488,-2.921518,-1.160933,-0.541977,0.442624,0.781687,-1.716867,0.54865
moins,-0.202177,-1.593312,-0.063861,-0.197292,-0.30534,0.290173,-2.32245,-2.711229,0.874959,-0.317829,0.829439,-0.272275,-0.68418
objet,-0.554216,-0.771949,0.070886,-1.147525,0.636083,0.300758,-2.385976,-1.041466,1.293796,-0.444125,1.4188,-0.410849,-1.261234
triangle,-0.10404,0.682586,0.080201,-1.829106,-1.812495,-1.167022,-3.285981,-0.022735,0.264179,-0.702983,2.091631,-0.097097,1.314722
structure,-0.3633,-0.063717,0.813702,-0.542744,1.619514,1.023296,-2.66384,-0.484944,1.543238,1.099248,0.757006,0.119605,-1.22291
corps,-0.491792,-0.420207,-0.641331,-2.369685,0.874019,0.240871,-2.238175,-0.976011,-0.364505,0.334622,-0.224305,-0.764684,-1.30714
rapport,-1.13935,-0.531954,-0.75602,-0.253294,-0.344676,0.15513,-2.840712,-0.439157,0.539495,0.110333,0.866996,-1.305627,-0.09776
longueur,-0.206931,-0.970068,0.402472,-1.025652,-1.322888,-0.160247,-3.605557,-0.581381,-0.331031,-0.559374,0.677795,-0.947108,0.405817
informatique,-1.428018,0.234029,0.701812,0.900429,0.685785,-1.389831,-1.39249,-0.386751,0.513149,2.180466,0.4486,-1.262642,-2.579365
infini,-0.180337,-0.850812,-0.216705,-1.611461,0.638601,0.049249,-2.184952,-1.969878,-0.091448,0.105792,0.635896,-0.751766,-0.445151
variété,0.105811,-0.282772,-0.442018,-2.028369,2.107148,0.666569,-3.201508,-0.176769,0.193074,0.787349,0.513905,0.976459,-0.363857
ligne,-1.272406,0.335308,0.372898,-0.517997,-1.445471,-0.420467,-3.01361,-0.234349,1.211028,0.448388,0.075333,0.122509,-0.145996
positif,-0.366921,-0.943597,-0.426158,-0.627416,0.36662,1.090144,-2.841882,-1.28861,-0.409827,0.213306,0.627171,-1.951333,0.754647
angle,-0.729403,-0.036563,-0.839816,-1.331018,-1.617716,-0.494682,-3.372858,0.327611,0.556761,-1.47385,1.609956,-1.269646,0.924341
polynôme,-0.832643,-0.658866,1.237337,-2.087142,0.260248,-0.500076,-2.482097,-1.100824,-1.307391,0.871729,-0.59195,-1.25545,1.078791
centre,-0.921895,-0.435737,-1.202652,-1.267103,-1.422224,-0.576001,-2.894665,1.49217,0.493584,0.940424,1.626111,-0.615686,-1.108654
démonstration,-1.108895,0.33407,0.358332,-0.961536,0.859665,-0.905931,-1.756493,-2.526237,0.987212,0.507943,0.810777,-0.390022,0.628723
vectoriel,-1.219862,-0.736414,0.151915,-2.797995,1.861082,1.33501,-2.762734,0.238873,0.68933,0.744651,-0.076102,-0.62202,-0.363238
limite,-0.75653,-1.373586,-0.560005,-0.796289,1.250181,0.299635,-2.323714,-1.43811,-0.449777,0.514862,0.396648,-1.243756,0.218149
représentation,-1.182237,-0.168481,1.040032,-1.461386,0.87936,0.04303,-2.423447,-0.621877,0.7171,0.256419,0.140968,-0.927722,-0.84167
famille,0.339412,-1.394649,-0.618381,-1.774074,0.407521,-0.332924,-1.842719,-0.963396,-0.819313,0.87694,0.659532,0.175474,-1.681885
arête,1.096114,-1.672443,1.39694,-0.315855,-1.933114,0.528414,-3.466668,-0.523884,0.259858,-0.019904,1.389327,0.950357,-0.267878
distance,0.033068,-1.084953,-0.131196,-0.533949,0.091544,0.262347,-3.572631,0.214669,-0.30508,-0.209292,1.126039,-0.545981,0.309929
surface,-0.406407,0.129027,-1.01621,-0.870819,0.645114,-0.249739,-3.652782,0.483085,0.364033,0.168767,0.77188,0.541677,0.19952
aléatoire,-0.295689,-1.898734,0.881758,0.454435,1.329931,-0.094922,-2.634002,-1.06021,-1.158512,0.713411,0.049659,-1.315555,-0.706569
naturel,-0.789639,-0.034289,0.163839,-1.275513,-0.108346,0.520301,-1.783838,-2.095004,0.785602,0.249441,-0.005462,-1.469689,-1.025643
normal,-0.205711,-0.706231,-0.877237,-0.720517,0.401835,-0.260602,-2.490671,-0.004568,-1.480596,1.676168,0.261682,-1.277512,-0.856765
arbre,0.082354,-1.503007,3.050168,-1.079572,-0.090231,-0.327454,-2.190875,-0.206472,-0.405138,0.488238,0.619987,-0.045882,-0.909578
démontrer,-0.727484,-0.430703,0.158278,-1.108492,0.725776,-1.036806,-1.292683,-2.810689,0.534598,1.53335,0.801165,0.224211,1.063176
algèbre,-0.971258,0.441056,0.11371,-2.662776,1.611424,0.035813,-1.621508,-1.037478,0.294612,1.281919,-0.235112,-0.472873,-1.495015
règle,-1.261793,-0.072695,1.156646,-0.877762,-0.102672,-0.872545,-1.336357,-1.14701,0.839907,0.006176,1.837214,-1.883096,0.44436
volume,-0.442389,1.289831,-0.56682,0.349585,-1.158313,0.665088,-3.237651,-0.731832,1.08206,1.068994,-0.738813,0.267505,-0.352835
calculer,-1.873475,-1.504467,1.007539,0.041255,-0.108842,-0.72613,-2.645368,-1.294407,0.224137,0.189317,0.11387,-0.951659,0.786038
constant,-0.418905,-0.591769,-0.25838,-0.519078,0.292682,-0.141533,-2.792305,-1.00519,-0.848414,0.531911,0.306358,-1.381014,0.857917
quatre,-0.583486,-0.197285,0.528732,-1.317582,-1.975089,-0.78482,-2.534605,-1.417714,0.875889,-0.078462,0.546401,0.029014,-0.732907
différentiel,-1.725367,0.060047,-0.509425,-1.251956,1.838793,-0.322858,-2.740682,-0.449957,0.020972,1.238331,-0.495065,-0.671926,-0.126322
