word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
sommet,0.709633,-0.654982,2.049027,-0.588443,0.115405,0.596888,1.056723,0.179756,-0.875982,-1.4263,1.786472,-3.110722,0.070323,-2.737634,-0.904547
logique,-1.682571,3.493108,-1.246609,-0.160462,0.022768,-0.037669,0.362243,-0.234606,0.516614,0.924795,1.92225,-1.134339,-0.587766,-0.239984,-1.301547
terme,-0.350625,1.381044,-0.310904,-0.682424,-0.573019,-0.086131,1.337554,-0.008286,-0.238795,0.52335,2.720084,-1.599597,0.212806,-0.849757,0.818437
trois,-1.039564,-0.337027,0.552257,-0.216173,-0.218835,0.225053,1.802896,0.204129,-0.171879,-0.693965,2.254158,-2.523519,-0.148428,-1.460993,-0.132023
plan,-0.107647,-0.114886,0.875854,-0.229667,1.527482,0.437458,2.700543,0.264057,-0.36037,-0.336626,2.121312,-2.374118,0.398819,0.418052,-1.121841
formule,-0.267642,1.423638,-0.846218,0.678284,0.034131,0.605683,1.138826,0.215054,-0.916908,1.367585,3.448447,-0.710282,-0.975221,-0.617019,0.125803
droite,0.494983,-0.398551,0.05903,-0.161745,0.811048,1.106027,2.438203,-0.485641,-1.264444,-0.431585,2.003413,-2.715776,-0.400581,0.226568,-1.077703
$\mathbb{C}$,0.670101,0.785644,0.020199,0.229763,-0.282095,0.87243,1.655077,-1.004407,-0.86131,0.105342,1.785324,-2.407924,0.707397,-1.001405,-0.993407
solution,-0.585715,0.436215,0.584197,0.448741,-0.632699,1.369793,0.893186,0.709907,-0.374876,0.818555,3.002752,-1.399218,1.667598,-0.310868,-0.195325
modèle,-1.135819,2.205795,0.842856,-0.467853,0.139415,0.924461,-0.467986,0.395234,-0.011692,0.945815,1.874529,-1.997098,0.023918,0.194689,0.137025
linéaire,-0.624138,1.061338,0.77991,-0.38094,0.326545,0.113259,0.510433,0.008609,-0.926066,1.958882,2.77426,-1.863423,1.520649,0.547319,-0.037461
probabilité,-0.246384,1.466631,0.541932,0.195355,-1.343641,0.793103,-0.035044,-0.048888,-0.087756,0.908502,1.785573,-2.928535,-0.483317,0.173517,0.909671
série,-0.81662,1.259164,-0.08937,1.117502,-0.494289,-1.067182,1.195644,0.132802,-0.798038,1.056137,2.038882,-1.789168,0.354214,0.400534,1.260551
somme,0.427175,0.178201,0.369147,0.588862,-0.860856,-0.672651,1.417233,0.495236,-0.897757,0.365163,2.799693,-1.886433,0.48351,-1.44897,1.720969
mesure,0.210195,1.286776,0.67597,0.021111,-0.1215,0.068953,1.364798,0.424227,0.470164,0.634566,1.848803,-2.591489,-0.107943,0.550913,1.094825
carré,0.22745,-0.008445,0.415054,0.408703,0.4669,-0.306772,1.682642,0.679156,-1.331988,-0.503441,2.905117,-1.883801,-0.570641,-1.710237,1.185574
vecteur,0.294764,-0.440698,0.142236,-1.069745,1.191269,0.90435,1.808769,-1.17215,-1.513567,1.35898,2.55617,-2.349823,0.211846,0.236892,-0.032315
connexe,-0.57955,1.728599,1.136934,0.727248,0.930319,-1.15612,0.474398,0.254817,0.0407,0.849249,1.510457,-2.401465,-0.005824,-0.707057,-0.438039
classe,-0.151106,0.462547,0.947117,-0.392561,-0.366186,-0.701817,0.79211,-0.386574,0.437368,1.419501,2.013262,-1.883521,0.744566,-0.657976,-0.595667
produit,0.081377,0.379932,0.163301,-0.896077,0.431856,-0.673295,1.732006,-0.527083,-0.749893,1.020684,2.531605,-1.591266,0.671629,-0.682017,0.518372
égal,1.317568,-0.063074,0.542171,0.538512,-0.411167,0.222988,1.892862,0.04873,-0.644322,0.067934,2.421656,-2.731136,0.0076,-1.192705,0.789118
cercle,0.201886,-0.909765,0.811001,0.65614,1.136005,0.873185,2.107287,0.709935,-0.772317,-0.789341,1.996802,-2.873058,-1.211809,0.058995,-0.578649
partie,-0.587531,0.640894,0.595873,-0.340014,-0.907035,-0.736283,1.755143,-0.204263,0.534077,0.23318,1.751151,-2.138125,0.422005,-0.476416,-0.180417
relation,0.115698,1.294099,0.136833,-0.00833,0.440328,0.487145,1.227021,-0.474,0.392222,1.436502,2.437879,-1.673902,-0.085579,-0.913641,-0.494772
courbe,0.166025,-0.379044,1.212539,0.435079,0.957379,0.457913,1.508301,1.012265,-1.178182,0.221025,2.489952,-2.028193,-0.287598,0.935267,-0.394639
différent,-0.981952,0.894323,0.48874,-1.136528,-0.010924,0.661645,1.137107,0.235968,0.340953,-0.251531,2.194891,-2.448324,0.363542,-0.808223,0.476205
complexe,-0.376347,0.648023,0.379105,-0.097711,0.044795,-0.997884,1.979903,0.423651,-0.573804,1.163578,2.858216,-1.543909,1.22453,0.634573,-0.213996
matrice,-0.026301,-0.527676,0.961497,-0.269973,0.93817,0.753082,1.007876,-0.588956,-1.07412,1.796768,2.664636,-1.551299,1.223722,-1.093313,0.786542
domaine,-1.697548,1.271562,0.765199,-0.913352,-0.54602,-0.771201,0.910074,0.609914,0.56372,0.156705,1.75072,-2.356518,0.817095,0.507981,0.116186
fois,-0.793492,-0.127387,0.317706,-0.24888,-1.414722,0.039424,0.930761,0.353826,-0.391895,-0.536613,2.188713,-2.33524,0.394157,-0.909239,0.213229
type,-0.704378,1.490211,0.457563,-0.516497,0.326632,0.302808,0.717777,-0.326553,-0.065279,0.848699,2.158031,-1.589142,0.678515,-0.915697,-0.068912
mot,-0.454356,1.147995,0.702627,-1.288616,-0.452791,-0.395681,0.497828,-0.860036,-0.701196,0.286555,2.410608,-1.211185,-1.006524,-2.106106,0.09026
algébrique,-1.083195,0.844966,0.711153,-0.011136,0.127722,-1.577305,1.63058,0.852684,-0.009955,0.968474,2.691101,-1.20702,0.476021,0.072115,-1.065172
degré,0.500248,0.028673,-0.483344,1.092598,0.287205,0.027357,1.638338,0.431634,-0.526486,-0.388103,1.684,-2.36817,0.579289,-1.420662,1.023517
langage,-1.185227,2.984044,0.635858,-1.656708,-0.247487,-0.810613,0.069051,-0.711628,-0.720695,0.481185,2.04576,-0.936801,-0.250314,-0.946715,-1.5927
nul,1.241281,0.070298,0.489956,-0.101845,-0.715938,0.540753,1.759194,-0.339342,0.172473,1.59623,2.820295,-2.243182,0.473935,-0.25616,0.527788
moins,-0.073042,0.905679,0.49104,-0.76721,-1.721211,0.15168,1.213,0.768391,0.421349,-0.925735,2.100511,-2.272909,0.476426,-0.970025,0.33011
objet,-0.72874,1.016878,0.363514,-1.630177,0.341691,0.388039,1.821649,-0.115377,0.76256,-0.00972,2.154957,-1.801317,0.194777,-0.520269,-0.31974
triangle,0.357126,-0.696476,0.729148,1.146609,1.655074,0.871707,2.332727,1.082325,-0.648167,-1.218802,2.102793,-1.750054,-1.270706,-1.240607,-0.53657
structure,-1.046293,1.360979,1.333532,-0.705642,0.61562,-0.252812,1.026815,-0.027134,0.378281,0.869975,1.848147,-1.315685,1.641649,-0.564804,-0.902931
corps,0.061202,-0.247404,0.203414,-0.490713,0.065921,-1.396874,2.120434,0.060267,0.986385,1.649658,2.377671,-1.319605,0.358128,-0.461847,0.011735
rapport,-0.118448,0.471755,0.132539,0.484857,0.225283,0.837705,1.581881,0.075763,0.237758,0.137491,1.662453,-2.797694,0.226059,0.001581,0.811737
longueur,0.660264,0.153776,0.894227,0.130837,0.523672,0.436927,1.510527,0.132855,-1.120421,-0.507394,2.109822,-2.538901,-0.412186,-1.199515,1.019254
