word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
théorème,-0.368112,-0.796649,0.371559,-0.44682,1.183612,-0.468473,-0.740098,0.00013,-0.196567,-0.229699,0.994334,0.053979,-1.32758,-0.939342,0.677191,-0.871046,0.285506,0.045889,0.745055,0.620692,0.050354,0.767199,0.553005,0.984008,0.720697,0.637572,-0.480273,1.052704,0.136593,0.135808,1.366511,0.627993,-0.312045,-0.297718,0.883436,0.929957,0.235863,-1.003049,0.96831,0.610705,-0.523315,0.56404,-0.104213,-0.901947,-1.720152,1.313491,-0.418844,0.01959,-0.810666
problème,-0.065002,-0.271384,0.175728,0.649414,1.074964,0.768175,0.123088,-0.536617,0.07898,0.249162,-0.369257,-0.250588,0.450098,0.545677,-0.139893,-0.051184,-0.002909,-0.252651,0.536846,0.321646,-0.47185,-1.31645,0.073538,0.066409,0.359047,-0.055666,-0.405225,1.342569,-0.099596,-0.300122,0.347958,-0.498694,0.669609,-0.158715,0.35775,0.249976,-0.226883,0.018054,1.074605,0.130287,0.226842,-0.869583,0.171058,-0.108059,0.176768,0.83456,-0.658947,0.701763,0.198411
valeur,0.108075,-1.092599,-0.275278,0.859548,0.230201,0.86541,-0.315654,-0.099133,0.20974,-0.112706,-0.852925,0.525208,0.060416,0.422525,0.461833,-0.690246,0.13689,-0.468778,0.359234,-0.045994,-0.158669,-1.432803,1.547829,-0.507882,0.917036,0.98642,-0.494791,0.92284,-0.359692,-0.570384,-0.352741,0.357224,-0.117983,-0.305456,0.193002,0.103889,-0.592593,-0.342149,0.626547,0.431078,-0.092982,-0.137973,0.201456,-0.486994,-0.824617,0.066722,-0.762978,-0.062824,-1.081628
groupe,-0.29479,-0.049993,-0.000906,-0.430416,0.411824,0.065609,0.500586,0.122994,0.137076,-0.201813,0.456882,-0.237242,-0.580625,0.338635,0.098637,-0.897007,0.501829,-0.773588,-0.11868,-1.070237,-0.901947,-2.296958,0.35419,-0.485458,0.423721,-0.841333,0.132957,-0.681639,0.750146,-0.605356,-0.305626,-0.417274,-0.013692,0.38843,-0.72827,0.78772,0.13197,-0.697767,-0.533903,-0.043104,-0.668407,-0.424237,0.304654,-0.022124,0.209629,0.179185,-0.336626,-0.258413,0.379285
graphe,-0.745226,-0.955788,0.378577,-0.319031,0.437363,-0.818557,-0.018654,-0.184742,0.594269,0.230399,-0.094366,0.532144,0.095913,-1.560718,0.479376,-1.59036,0.70668,-1.116025,0.818862,0.171752,1.170146,0.903288,0.935438,0.838347,0.04156,0.680645,-0.768253,0.643367,-0.469497,-0.637451,0.653495,0.400528,-0.375258,0.423391,-0.054317,0.036886,0.070589,0.120346,-0.168509,0.360911,-0.269753,-0.077615,-0.783999,-1.499964,0.179456,0.740727,-0.54193,-0.005684,-0.403279
forme,-0.817431,-0.303784,0.619649,0.617875,0.280184,0.921452,-0.366542,-0.493607,0.19888,-0.237231,-0.360859,-0.012667,-0.755577,-0.585189,0.084883,-0.421618,0.65003,-1.552615,0.15101,0.371073,-0.275391,-0.875924,0.71991,-0.398167,-0.341518,0.68424,0.784878,0.270916,0.410068,-0.495565,-0.541022,-0.043392,0.628462,-0.103444,-0.178338,0.547741,-1.20698,0.276673,0.172961,0.498153,-0.141986,-0.66864,0.116694,0.280028,-0.102433,-0.156323,-0.600829,0.163226,0.29489
entier,-0.343021,-0.40584,0.041485,0.747563,-0.318115,0.797506,-0.365512,-0.313019,0.023342,-0.15885,-0.302719,0.169105,-0.05904,0.128862,0.155317,-0.285439,0.624511,-1.151909,-0.06888,-0.481942,-0.191535,-1.05773,0.930665,0.24644,0.303993,0.331548,-0.349491,-0.049073,0.267182,0.291402,-0.321525,0.418294,0.120545,-0.053167,-0.246103,0.405383,-0.196771,0.201042,-0.152083,0.419283,-0.335063,-0.384638,0.1932,0.09119,-0.286484,0.227646,-0.22071,-0.137839,0.046731
système,-0.458832,0.017224,0.617164,0.305838,0.537027,-0.022847,-0.385059,-0.862948,1.178373,0.073785,-0.984396,0.080983,-0.350638,-0.337887,0.562493,-0.821424,0.878551,-1.07278,0.738131,0.041672,0.040867,-2.248377,0.569457,-0.125507,0.035318,0.465049,0.558316,1.518249,0.120188,0.079413,0.245801,-0.562997,-0.101646,-0.20105,0.014334,-0.476114,-0.438477,0.044488,0.895774,0.026218,0.253411,-0.678149,-0.792102,-0.524411,-0.121131,0.848565,-0.084065,0.431548,0.167578
équation,-0.227836,-0.653062,0.681007,-0.199183,1.286869,-0.091043,-1.609707,-0.533281,0.182967,-0.510645,1.113252,0.260643,-1.189991,-0.395188,-0.286975,-1.043083,0.915215,-0.157933,1.30527,0.757956,-0.070415,-0.061341,1.016206,0.011657,0.630575,0.477743,-0.857518,1.07332,-0.754018,0.259742,1.565187,-0.282827,0.033533,-0.897452,1.003,0.541367,-0.39961,-0.205939,1.061545,1.034742,-0.155485,0.282503,-0.562746,-1.264277,-1.575645,1.25668,-0.510198,-0.232377,-0.351112
suite,0.278119,-0.22132,0.132331,0.956468,0.356856,0.405311,0.003297,0.02577,-0.30522,-0.484391,0.342083,-0.398461,0.172536,0.425312,0.181156,0.020117,0.561812,-0.67927,-0.256985,-0.122848,-0.914445,-1.60332,-0.975464,-0.204804,-0.363462,-0.516086,0.227187,0.611304,-0.093981,0.166278,0.002948,-0.154369,-0.034704,0.038606,-0.502942,0.48972,-0.090821,0.014669,0.021311,0.029204,0.450044,-0.190306,0.387048,0.336199,0.216046,0.127596,0.139488,0.607191,0.801775
algorithme,-0.670791,-1.077247,-0.502127,-1.049717,0.383226,-0.175927,-1.078747,-0.894862,0.594092,-0.102989,-0.397431,0.426996,-0.153131,-0.229993,-0.135158,-1.287334,0.989125,-0.942976,0.525521,0.377404,0.120499,-0.014827,0.455372,0.961,-0.099018,0.235614,-0.419321,1.625975,0.166167,-0.934804,0.81648,0.640198,-0.147347,-0.458278,0.7803,-0.624971,-0.891719,-0.201416,1.446878,-0.643139,0.032495,-0.557501,-0.811752,-0.964504,-0.285858,0.946192,0.313809,0.53531,0.009489
