word,1,2,3
automate,-1.773375,-1.525561,0.43716
moyenne,-2.796274,-1.496129,0.123171
symbole,-2.841614,-0.706273,-0.110869
axe,-2.836225,-0.44902,-1.109459
euclidien,-3.242479,-1.214481,-0.478495
inférieur,-3.409454,-0.357181,-0.931402
dérivée,-3.057306,-1.490762,0.155564
transformation,-2.806489,-0.905408,-0.40975
anneau,-2.748015,-1.385079,-1.136742
facteur,-2.938946,-0.549376,-0.182113
indice,-2.630237,-0.759073,-0.174253
zéro,-3.140176,-0.721068,-0.554735
sphère,-2.617474,-0.612933,-0.925711
strictement,-3.761854,-1.451511,-1.229573
puissance,-3.326771,-0.789178,-0.540642
Euler,-2.506602,0.069357,0.366289
topologique,-3.097578,-1.473403,-0.801192
déduire,-3.273643,-1.461741,-0.035007
composer,-3.002771,-0.189313,-0.157727
deuxième,-2.926913,0.427406,0.534851
rayon,-3.076665,-0.456751,-1.663111
caractéristique,-3.097702,-1.096629,0.10868
vide,-3.26844,-1.071803,-0.777299
affine,-2.853117,-1.515535,-1.302873
supposer,-3.198951,-1.676667,-0.052113
ouvert,-3.142497,-0.780431,-1.167286
partiel,-2.836403,-0.410685,0.44623
approximation,-2.593366,-0.40526,0.000312
convergence,-2.63112,-1.47485,0.077484
chemin,-2.776055,-0.945754,-0.360952
rotation,-2.789553,-0.850931,-1.00471
différence,-3.132322,-1.140257,0.365898
analytique,-2.599151,-0.454187,1.197592
formel,-2.379669,-1.023136,1.332738
intersection,-3.242909,-0.466154,-1.389166
pourcent,-1.986008,1.06705,-0.711869
caractère,-2.558612,-0.878045,0.111624
raison,-2.669803,-0.72361,1.468302
aire,-2.626846,-0.206902,-0.592582
section,-2.691027,0.544921,-0.016643
cycle,-2.784643,0.207544,-0.246288
source,-2.282766,0.609835,0.953674
discret,-2.722304,0.174732,-0.509022
combinatoire,-2.220108,0.032267,1.382063
dynamique,-2.091728,-0.790712,1.439457
inverse,-3.033829,-0.831493,-0.566326
minimal,-2.854151,-0.631613,-0.884036
extension,-2.68899,-0.669131,-0.245312
arc,-2.795321,-1.02788,-1.135586
énoncé,-2.714949,-1.523936,0.845264
parallèle,-2.656339,-0.685335,-0.536213
négatif,-2.939425,-1.772831,-0.122596
niveau,-2.365274,-0.568497,1.26238
fraction,-2.825505,-0.853004,-0.417097
segment,-2.978218,-0.650639,-1.188216
norme,-2.82214,-0.901444,-1.020224
local,-2.552069,-0.525717,-0.331292
métrique,-2.764577,-1.632191,-0.633007
symétrie,-2.464782,-0.868976,-0.630098
inégalité,-1.815741,-1.274978,0.301072
chaîne,-2.595349,-0.779571,-0.238991
prouver,-2.522011,-0.639562,1.002176
Gauss,-1.986014,-0.10029,0.795551
symétrique,-3.0207,-1.261156,-0.953269
Riemann,-2.131217,-0.208002,-0.006505
$\mathbb{Z}$,-3.087566,-0.1511,-1.978636
polyèdre,-1.952094,-0.39872,-1.140857
binaire,-2.569648,-1.332734,-0.51883
demi,-2.799666,-0.21958,-0.773279
multiplication,-2.613593,-0.869227,-0.415516
libre,-2.236882,-0.173957,0.402493
identité,-2.654032,-0.803749,0.042978
Hilbert,-2.030002,0.233721,0.153612
scalaire,-3.06569,-2.158145,-1.09
solide,-2.056031,-0.051399,-1.023042
densité,-2.548557,-2.059626,-0.013222
lemme,-1.463347,-1.16928,0.624586
polynomial,-2.537731,-0.274401,-0.577355
cinq,-2.73337,0.874603,-0.08776
exponentielle,-2.644667,-1.878803,0.092322
élémentaire,-2.755229,-0.468994,0.785672
argument,-2.068119,-0.620565,0.45315
optimisation,-1.976578,-0.698742,0.812761
Fourier,-2.145326,-0.037818,-0.132851
dériver,-2.812658,-1.072193,0.374363
module,-2.683495,-0.524685,-0.99512
maximal,-2.805309,-1.030058,-1.001603
paire,-2.804051,-0.749515,-0.767223
uniforme,-2.591802,-1.227455,-0.674231
action,-2.240385,-0.349027,0.324688
total,-2.626299,-0.993149,-0.035423
polygone,-2.644281,-0.902197,-1.245859
division,-2.384201,0.144445,0.041792
signe,-2.446875,-0.954173,-0.065479
troisième,-2.674342,0.412306,0.493982
composante,-2.927202,-1.146831,-0.398842
paradoxe,-1.406705,-0.738427,1.178748
égalité,-2.965949,-1.176684,0.014767
critère,-2.166679,-1.175005,0.326882
orthogonal,-2.826302,-0.987884,-1.403857
moment,-2.479964,-0.907939,0.241526
conséquence,-2.703748,-1.557847,0.915116
orienter,-2.793105,-1.057048,-0.917753
courbure,-2.48998,-1.41109,-0.513511
couple,-2.943029,-0.170086,-0.567692
relatif,-2.593632,-0.931282,0.123543
morphisme,-2.563161,-2.100447,-1.231743
central,-2.170207,0.307151,0.861607
observation,-2.264222,-0.557405,1.045412
fixe,-2.710982,-1.086158,-0.287739
raisonnement,-1.976281,-1.488597,1.532956
cardinal,-2.2894,-0.902735,-0.655613
quadratique,-2.751046,-1.477549,-0.472205
dual,-2.545878,-1.351859,-1.19176
multiple,-2.561903,-0.409626,-0.306537
dénombrable,-2.921566,-1.767045,-1.06388
cube,-2.283498,-0.348792,-1.271891
récurrence,-2.81803,-1.466592,-0.082599
ordonner,-2.774053,-1.316675,-0.665928
maximum,-2.522911,-0.648631,-0.420629
variation,-2.344249,-0.551121,0.056829
pair,-3.065951,-0.052782,-0.839022
projection,-2.109861,-0.749892,-0.707253
ajouter,-2.896477,-0.627852,0.035366
Fermat,-1.843469,0.164673,0.648755
fonctionnel,-2.338006,-0.768832,0.86698
intérieur,-2.723878,-0.769446,-0.228146
milieu,-2.387354,-0.025747,0.078198
tendre,-2.801078,-1.490317,-0.515152
expérience,-2.12703,-0.915737,1.710697
voisinage,-3.051725,-1.27598,-1.127451
commutatif,-2.719552,-0.732177,-0.86021
estimation,-2.034426,-0.739524,0.352365
projectif,-2.684255,-1.506155,-1.064232
quotient,-2.82326,-0.641367,-1.133377
Newton,-1.840664,0.230225,0.673292
dix,-2.565378,1.259427,-0.47136
localement,-2.609949,-2.087381,-1.495789
borne,-2.818886,-1.093807,0.025447
exact,-2.621561,-0.073936,-0.190895
six,-2.631089,0.740654,-0.348419
impair,-3.398985,-0.375765,-1.487306
équivalence,-2.762571,-1.345384,-0.563989
Cauchy,-2.009436,-0.798742,0.246718
échelle,-2.228858,-0.984239,0.392542
rectangle,-2.539567,-0.615441,-1.24305
ordinal,-2.020547,-1.143666,-0.947059
échantillon,-2.134368,-1.948271,0.659618
réciproque,-2.757952,-1.736754,-0.50007
minimum,-2.663739,-0.651394,-0.62211
engendrer,-2.811288,-1.389405,-1.019169
stable,-2.514778,-0.981479,-0.68933
algorithmique,-1.970236,-0.554758,1.638686
fibré,-2.0494,-1.236167,-1.168541
universel,-1.802069,-0.913207,0.839209
union,-2.038093,0.564738,0.718351
diagramme,-1.727677,-1.14892,0.045072
événement,-2.290949,-1.359533,0.620115
Turing,-1.540562,-0.048587,0.736327
addition,-2.537302,-0.979292,-0.371887
stratégie,-1.941241,-1.474885,0.893596
optimal,-2.10027,-0.775706,-0.054577
variance,-1.880876,-1.566254,-0.241542
permutation,-2.561794,-0.508324,-0.940193
disque,-2.476897,-0.843471,-0.890144
tenseur,-1.663415,-1.623256,-0.668696
hyperbolique,-2.115463,-1.146576,-0.792555
décomposition,-2.363993,-0.87935,-0.434708
elliptique,-2.128021,-0.998574,-0.156122
mesurer,-2.259659,-1.579167,0.435942
rang,-2.628976,-0.205557,-0.641643
Leibniz,-1.409127,0.176759,1.394423
boule,-2.304459,-0.696021,-1.265729
branche,-2.436928,-0.102348,0.576494
