word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
groupe,-1.985079,-0.422576,1.388035,1.630922,0.404276,0.980493,0.697417,-0.001652,0.93651,-0.042155,-0.554624,-0.104503,0.054732,-1.262698,0.648146,-0.218827,0.602086,-1.8478,-0.142024,-0.299165,1.628438,-0.582874,1.868205,-0.512639,-0.196628,-0.181818,0.544954,-0.174214,-1.659152,1.109867,0.026565,0.442203,-1.527503,-0.073164,0.110152,1.342678,0.473416,1.425893,-0.355446
graphe,-1.801704,-0.335503,-1.491931,-1.151717,2.782331,0.809862,0.882766,-1.051752,0.620153,0.712273,-0.764212,0.201201,-1.187897,0.390099,1.214647,-0.732161,0.757514,-0.535597,1.726919,0.447068,2.25594,-0.42334,1.622208,-0.20488,-0.127815,0.334537,0.658923,0.603728,-1.391135,0.724444,0.010379,-0.275244,-2.065584,-0.068136,1.286237,1.416742,0.619672,-0.068813,-0.902456
forme,-1.693025,0.21075,0.679694,-0.823137,0.238117,0.320003,0.369245,-0.076431,-0.144127,-0.77425,0.626495,-0.964869,-0.304104,-2.110082,0.961419,-0.122773,-0.191853,-0.471255,-0.746874,0.101626,1.710403,-0.535602,1.121775,-1.081528,0.280902,0.286562,0.819597,-0.092555,-0.513639,0.631798,-0.862202,-0.594869,-0.578921,0.279544,0.292492,1.61743,-0.391682,0.113392,-0.539165
entier,-1.611079,0.505999,0.920099,-0.5509,0.911934,-0.495012,1.37897,-0.666092,0.623915,-0.247585,-0.939566,-0.369791,0.559163,-1.335988,-0.051974,-0.592643,0.519619,-0.475914,-0.92505,0.789758,1.6383,-1.413722,0.212324,-0.675641,-1.095951,-0.880388,1.393392,-1.361498,-0.277248,0.634743,-0.365973,-1.752127,-0.884748,-0.333204,0.429394,0.896677,-0.530611,0.356704,0.345228
système,-1.530713,-0.550057,0.425095,0.580697,0.005239,0.259101,1.00629,0.196532,0.315695,0.587207,-0.182348,-0.398986,-0.595707,-3.062003,0.517949,-0.930435,-0.717342,-0.388567,0.031006,-0.660593,2.018755,0.069392,0.803272,-0.206022,0.273036,0.122564,-0.182176,0.560155,-0.053542,-0.260236,0.150067,-1.557459,0.149132,-0.904201,0.744559,1.464314,0.083317,-0.746831,-0.119568
équation,-0.896922,-0.023839,0.352216,-0.186874,-0.07979,0.234809,1.62541,0.751463,-0.331535,0.065352,0.494653,-1.290776,1.496105,-2.648316,1.196212,0.49576,-0.844413,0.161126,0.009309,0.707041,1.941856,-0.150951,0.786375,-1.171003,0.694304,-1.355279,0.246345,0.293409,-1.435746,0.394281,-1.041072,-1.256695,-0.38916,0.200083,0.177438,1.672576,0.204723,-0.646364,-0.565484
suite,-1.241119,0.765132,0.05683,-0.23749,0.756658,0.959734,1.44098,-0.66619,1.184297,-0.075151,-0.250215,-0.69728,-0.517,-1.218795,0.009133,0.093197,0.603798,-0.164786,-1.515454,1.291118,0.739048,-1.47328,0.208045,-0.178295,-0.356392,-0.462767,1.343607,-0.424873,0.275697,1.898276,-0.024602,-1.247874,-0.191904,-0.680107,0.903959,0.934228,-0.39987,-0.013967,0.040278
algorithme,-1.43798,-0.345996,-0.767383,-0.7929,1.208473,-0.058323,1.295648,0.072604,-0.039499,-0.821787,-0.051534,-0.941795,0.157223,-1.011406,-1.160495,-0.113044,-0.236321,0.272753,0.6865,0.296479,1.81615,-0.805359,0.915402,1.604838,0.382808,0.023502,0.946728,-0.877083,0.168167,0.403336,-0.006786,-0.281862,0.476535,0.144639,2.435333,2.127439,0.839897,-1.522282,0.109019
calcul,-1.680621,0.267409,-0.926937,0.072789,0.333526,0.051103,0.765241,0.169737,-0.00883,-0.262099,0.75018,-1.439955,0.458915,-2.274478,-0.181953,-1.365319,-0.119306,0.171678,-0.497986,-0.15021,1.445397,-0.339809,0.423181,-0.016424,0.404841,-0.090758,0.022572,-1.196892,-0.210122,0.270379,-0.166101,-1.175085,0.865967,-0.181472,0.717599,1.860728,0.011598,-0.488571,0.658214
application,-1.091782,0.265825,0.813779,0.168385,-0.020092,0.542213,0.79402,0.37186,0.835279,-0.964765,0.547562,0.618304,-0.058304,-1.307582,0.563152,-1.079243,-0.345884,0.706857,-0.758064,0.55707,0.934076,-0.785226,1.97541,-0.143691,0.009821,-0.675724,0.138368,0.10444,-0.509285,0.450262,-0.932826,-0.040375,-0.704503,-0.753955,0.977033,2.09684,0.715711,0.15962,0.058051
