word,1,2,3,4,5,6,7,8,9,10,11
somme,-0.402135,0.21374,0.900534,-0.513653,-0.625374,-0.341363,3.179683,-0.374081,-1.320709,2.487822,-0.110429
mesure,-1.200264,0.411484,1.094626,-0.306857,-0.628488,0.67195,2.15304,0.858181,-1.787021,1.100862,1.065189
carré,-0.694111,0.914724,1.460214,-0.459711,0.181336,0.38147,2.945905,-0.326249,-0.546712,2.634468,-0.242691
vecteur,-2.377057,-0.298036,0.711346,1.003433,-0.298725,-0.205426,2.403238,1.461523,-1.061155,1.572083,1.72469
connexe,0.025046,0.377413,1.06228,1.584749,-0.494836,1.079174,1.689508,0.195473,-2.290881,1.524908,-0.515621
classe,-1.113169,0.439702,-0.192319,1.176326,-0.326361,0.144977,1.413812,0.627031,-2.378142,1.294586,-0.308979
produit,-1.576366,-0.976051,0.677094,1.08829,0.049346,0.070866,2.784848,0.592152,-1.56232,1.671477,0.481987
égal,-1.487638,1.324514,0.681365,-0.049729,-0.347627,-0.700561,2.802221,0.369656,-0.970593,2.703749,0.308333
cercle,-1.852634,2.417658,1.745977,0.670284,1.174869,0.596148,1.956291,1.063376,-0.068536,1.63942,0.371032
partie,-1.21794,0.514356,1.094866,0.716808,0.214425,-0.364659,1.776252,0.17798,-2.265182,0.951692,-0.36068
relation,-0.789657,0.072842,-0.111196,0.95671,0.640329,0.21656,2.034444,0.604172,-2.317203,1.355608,0.528055
courbe,-1.009695,1.567771,0.972848,0.655951,0.288274,1.288597,2.329284,1.469249,-0.553284,1.21352,0.944782
différent,-1.708759,0.178827,1.17645,-0.288624,0.244215,0.504456,1.227328,-0.053479,-2.85981,1.774288,0.304429
complexe,-0.794471,0.156903,0.305026,1.185902,-0.106392,0.740904,2.978785,1.012687,-1.976152,0.925881,0.68495
matrice,-0.63306,-0.005014,0.116661,0.798247,-0.839044,0.701111,2.060687,0.84629,-1.334647,2.535581,1.280494
domaine,-1.17432,-0.107925,1.452599,0.362087,-0.277395,0.840533,1.088058,0.461529,-3.220677,0.220641,0.275951
fois,-1.254618,1.015168,1.123811,-0.295557,0.06906,-0.856959,1.49096,-0.345455,-2.292964,1.302131,-0.205559
type,-0.534969,-0.313213,0.226814,0.63403,0.221059,0.378729,1.343646,0.192025,-2.641403,1.731171,0.623727
mot,-1.455337,-1.055821,0.03873,-0.242813,-0.130069,-0.007894,2.085765,-0.569822,-2.032074,1.502966,-1.269284
algébrique,-0.355281,0.377034,0.740538,1.585075,0.373705,1.238474,2.649703,0.66475,-2.498286,0.513507,-0.580693
degré,-0.323043,0.896411,1.624126,0.018554,-0.088658,-0.563856,2.158758,-0.15189,-0.629414,2.535194,0.599734
langage,-0.586561,-1.569106,-0.657891,0.806691,0.460402,0.594905,1.452392,-0.354927,-3.488434,0.585395,-1.089256
nul,-1.660059,0.800336,-0.388262,-0.020867,-0.609618,-0.425465,2.950037,1.152333,-1.431077,1.863365,1.029809
moins,-1.578893,0.64547,0.485975,-1.270117,0.497188,-0.592852,1.566318,-0.506581,-2.525456,1.476975,-0.363764
objet,-1.940096,-0.169355,0.690694,0.34338,1.247555,0.728005,1.282274,0.355604,-2.472801,1.137065,0.026378
triangle,-0.937061,2.30538,1.762053,0.680626,1.971582,0.857236,2.066737,0.216942,0.301019,2.339201,-0.017355
structure,-0.534025,0.009894,0.044935,1.612369,0.467554,1.089847,0.638665,0.690878,-2.860333,1.521037,0.068607
corps,-1.545859,-0.044219,0.505005,1.208109,-0.249603,0.709868,2.777554,0.756356,-1.312223,0.626389,-0.587563
rapport,-1.192399,0.629945,1.399535,0.19981,0.090185,-0.231173,1.372649,0.747218,-1.433077,1.429188,1.336288
longueur,-1.525038,0.778625,1.31378,-0.187655,-0.078304,0.236764,2.107178,0.089066,-0.746214,3.037945,0.442372
informatique,-0.22807,-0.691438,1.677901,0.718758,-1.449684,0.873121,-0.115755,-0.027542,-3.564749,-0.610714,-0.112982
infini,-1.332055,0.262223,0.128737,0.007351,0.063142,0.027075,2.797749,0.422088,-1.88633,1.019213,-0.327205
variété,-0.985585,1.12822,-0.261101,1.904603,0.419148,1.717202,2.07397,1.406038,-1.43682,1.097397,-0.279989
ligne,-0.583328,0.261756,2.161054,1.038328,0.751413,-0.455477,1.123662,-0.30606,-1.494665,1.796819,0.617889
positif,-0.74909,0.702312,-0.11658,-0.103639,-0.379775,-0.319098,2.622343,0.705327,-1.423348,2.122524,1.194947
angle,-1.650671,1.346975,2.147688,0.241777,1.586835,-0.047183,1.964951,0.391195,0.281762,2.408133,1.15023
polynôme,-0.151691,0.337443,0.094283,0.043011,-1.060174,0.274921,3.559902,0.386743,-0.674127,1.557007,0.163091
centre,-2.116116,1.461449,2.276726,1.79937,-0.210937,0.043402,0.488168,1.109707,-0.996637,0.829637,0.490838
démonstration,0.516823,0.627123,0.364231,-0.416251,1.418469,0.405143,2.363475,-0.261546,-2.727105,0.433339,-0.064383
vectoriel,-1.444769,-0.582112,-0.11454,2.324626,0.456337,0.397832,2.667627,1.685177,-1.741283,0.966034,0.82247
limite,-1.033677,0.68134,-0.177712,-0.317479,-0.691716,0.015338,2.662721,1.069872,-1.982927,0.747847,1.020555
représentation,-0.826076,-0.874677,0.58944,0.971717,0.260923,0.772609,2.013778,0.350452,-1.907971,1.339955,0.322257
famille,-1.941518,0.495591,0.408889,0.396411,-1.012008,-0.164438,2.138862,0.582509,-1.56809,-0.264706,-1.109976
arête,-2.168635,1.672149,0.533662,0.236523,0.238132,0.149519,0.120408,-0.485734,-1.210578,3.674876,-1.093562
distance,-1.476988,1.076505,0.724926,0.278549,-0.302182,0.491202,1.459983,0.994275,-0.801558,2.168097,1.198599
surface,-0.640215,1.888113,1.010099,1.353945,0.673235,1.406622,1.421241,1.092049,-0.907575,1.624029,0.599598
aléatoire,-1.091177,-0.31096,-0.233735,-0.520341,-1.957679,0.554594,1.655636,0.674228,-2.379141,1.253976,0.943171
naturel,-0.896778,-0.837758,0.971391,0.607106,0.422311,-0.752099,2.278263,-0.326184,-2.267398,0.835373,0.063836
normal,-0.815671,0.881387,0.993828,0.780955,-2.009835,0.394475,1.828373,1.178002,-1.185169,0.585515,0.387935
arbre,-1.804586,-0.711214,-0.331058,0.15129,-1.406826,0.509021,0.907871,-0.239335,-1.770565,2.153293,-1.219908
démontrer,0.702086,1.837038,-0.271208,-0.457648,0.920074,-0.357163,2.578002,-0.050495,-2.612809,0.067754,-0.608905
algèbre,-0.488431,-0.419717,0.480697,2.093621,0.141071,0.976519,2.535502,0.664774,-1.930674,0.077326,-0.620145
règle,-0.593166,-0.47598,0.142729,-0.193044,1.269127,-0.025558,1.670082,-0.118098,-2.210799,0.897709,0.427029
volume,0.597583,0.915663,2.258006,1.620636,0.247885,-0.638311,0.498357,-0.541476,-1.315324,2.132462,0.211146
calculer,-0.339984,0.408532,0.790303,-1.171638,-0.232981,0.034446,1.894687,0.020325,-2.096579,1.687778,1.289964
constant,-0.100326,0.818022,0.27135,-0.171919,-1.007504,0.072691,2.662692,0.726809,-1.037796,1.614148,0.693998
quatre,-1.436243,0.595855,1.956617,0.181803,1.036406,-0.310209,1.513474,-0.728268,-1.39861,1.553192,-1.032315
différentiel,0.041469,0.371133,0.84552,1.479054,-0.479391,0.962871,2.412786,1.369422,-1.926784,0.304023,1.056841
hypothèse,-0.037529,0.745865,-0.82902,-0.945464,0.479724,-0.033417,1.788495,0.413611,-2.748922,0.48843,1.078715
image,-1.337308,-0.451288,0.369417,1.472282,0.49547,-0.040501,0.861627,0.801763,-1.951447,1.561007,0.936276
régulier,-1.183186,1.275333,0.492069,0.528447,0.741485,1.264214,1.73574,-0.173281,-0.655014,2.765013,-1.372439
complet,-0.152213,0.610377,-0.409578,0.877822,0.470494,0.785271,1.468201,0.018661,-2.342038,1.516513,-0.818591
racine,-0.80066,-0.092039,0.72825,-0.458037,-0.389869,-0.277179,2.972298,-0.273615,-0.871877,1.780155,-0.086203
coefficient,0.004097,0.12321,0.677314,-0.064505,-0.815636,-0.014591,2.63802,0.589432,-1.094961,2.072211,1.630273
côté,-1.672173,1.90635,1.847777,-0.022007,1.320864,-0.166632,1.846857,-0.071954,-0.090856,1.978872,-0.433374
preuve,0.371087,0.333899,-0.11246,-0.332516,1.31887,0.402747,1.579031,-0.512335,-3.103881,0.475177,-0.098772
axiome,-0.514602,0.270153,-0.941667,0.663277,2.228531,-0.151417,2.236801,0.167588,-2.076944,0.259271,-0.780034
$\mathbb{R}$,-1.036088,-0.176604,-0.125516,1.499104,0.175043,-1.587715,1.571054,0.312231,-1.272205,2.390407,0.93462
continue,-0.872964,1.250428,-0.777019,0.57503,-1.042656,-0.191242,2.47296,1.527305,-1.90135,0.617058,0.902246
résoudre,0.118464,1.151802,0.107989,-1.022988,0.514666,0.636559,1.684166,-0.058669,-2.711537,0.663145,0.233707
arithmétique,0.588458,-0.494927,0.903527,0.18361,0.493064,0.530032,2.758383,-0.291114,-2.279463,0.425394,-0.080737
conjecture,1.21423,1.975654,-0.471765,0.28836,0.551581,0.683325,1.786243,-0.324025,-2.011819,0.51668,-1.427342
réseau,-1.382263,-1.181252,0.318571,0.633838,-1.010742,0.927935,0.311353,0.309828,-2.431568,1.442886,0.333306
opération,-1.2271,-1.262681,0.496021,-0.073056,0.19672,0.008979,1.587949,-0.018028,-2.247591,1.426101,0.606934
chiffre,-1.136137,-1.225131,1.873753,-0.890023,0.1707,-1.417905,2.239771,-1.273303,-1.297154,1.910251,0.055862
expression,-0.409293,-0.594236,0.338598,-0.073969,0.610288,0.183116,2.14645,-0.007588,-1.885872,1.213852,0.567057
propre,-1.356044,0.058163,0.438205,0.471933,0.328286,0.31561,1.733581,0.695926,-1.904272,0.856291,0.439598
principal,-1.037848,0.131091,1.380755,0.969505,0.342916,0.609679,0.925101,0.331323,-2.352243,0.675485,0.067997
paramètre,-0.698512,0.162608,0.187746,-0.70221,-0.846376,0.047759,1.716385,0.838243,-1.869225,1.874469,1.986441
