word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
valeur,0.318502,0.554463,-0.135131,-0.214425,-0.718106,1.195272,-1.082795,0.649917,0.798623,1.518828,-0.473834,0.372631,0.407059,-0.293382,-0.078083,1.13703,-1.380897,-0.835434,0.002115,-0.646855,0.612699,0.28784,0.654149,0.512223,0.487312,-0.374703,-0.099979,0.787837,-0.10352,-0.015591,-0.328318,-1.54072,-0.338569,-0.680304,-0.52623,-0.703589,0.178492,0.206566,-0.685283,0.026281,-0.245074,0.066095
groupe,-0.744303,-0.226434,-0.394032,1.605366,-0.472121,-0.063891,-0.747684,-0.207513,1.792223,0.650573,0.174703,0.678506,-1.277342,0.540263,-0.261614,-0.442578,-0.217361,0.210467,-0.538563,0.646171,-0.147261,0.226436,-0.042327,-0.544347,-0.312108,0.285673,-0.881622,0.520606,-0.022366,0.830515,-0.389038,-0.926059,0.336469,0.157571,0.229009,0.293067,0.436998,0.212471,0.557395,-0.087932,0.093556,0.364885
graphe,-0.434422,0.026817,1.027776,-0.082837,-1.26263,0.881511,-0.189368,-0.029328,0.245875,-0.246118,0.367864,-0.083843,-0.359984,0.440905,0.075903,0.192682,0.368432,-0.736187,0.77885,-0.246439,0.934805,-0.234467,2.298014,0.861442,0.927035,-0.943506,1.053704,-0.140655,-0.194999,-1.093518,-0.417051,0.405781,0.529685,0.860917,-0.732562,-1.132386,-0.229896,-0.311264,-0.685745,-0.977447,-0.196031,0.201463
forme,-0.519075,-0.111547,0.050434,0.276356,-0.204205,0.471278,-0.680052,0.681246,0.098331,1.573498,0.425881,0.853241,-0.512714,0.407587,-0.847455,-0.016925,-0.326837,0.385721,0.166364,0.008921,0.412663,0.317527,-0.278622,-0.8001,0.240523,-0.244406,-0.072236,0.424345,-1.175005,-0.473895,0.104048,-1.519231,-0.215474,0.686217,-0.009253,-0.756665,-0.205148,0.06087,-0.738582,-0.052859,-0.382693,0.379762
entier,-0.103835,-0.05081,-0.334422,0.295779,-0.262426,0.362321,-0.154969,0.550903,1.046834,0.917821,-0.234173,0.556823,-0.403827,-0.055074,-0.447583,-0.098187,-0.286953,0.215761,-0.013212,-0.48249,0.357479,0.379636,0.015937,-0.240067,0.039468,-0.442152,0.198855,0.282802,0.180081,-0.116815,0.076521,-1.364963,-0.015217,0.180739,-0.361009,-0.243003,-0.01596,0.397497,-0.627671,0.366998,-0.450056,0.23892
système,-1.383234,-0.451863,-0.402063,0.481206,-0.297489,1.283235,-0.499399,-0.041939,0.24122,1.177684,0.057447,-0.632794,-0.364704,0.857213,-0.268843,0.545023,-0.670801,-0.848114,-1.029582,-0.183824,0.241024,-0.293124,0.831741,-0.079156,0.312732,-1.020654,0.182223,1.332103,-0.423616,-0.157951,0.283192,-1.520958,-0.314602,0.648613,0.206537,-1.210135,-0.755938,-0.933128,-0.728494,-0.072316,0.74324,-0.092358
équation,0.45809,-0.060056,-0.589545,-0.434467,-1.212872,0.297105,-0.612253,-0.98736,0.17747,1.295449,-0.378137,-0.509665,0.257122,-0.128927,-1.09246,0.588595,-0.243037,-1.052093,-0.096905,0.226662,0.019322,0.699744,1.144588,1.716048,0.869752,-0.808263,0.491942,-0.295932,-1.133302,-1.898662,-0.57896,0.0812,0.312721,-0.014454,0.324475,-2.732994,0.282568,-0.642326,-0.997601,-0.822414,0.712437,0.367024
suite,-0.996857,-0.359095,-0.174929,0.090384,0.097095,-0.547548,-0.053296,-0.136135,0.904513,0.314539,0.038778,0.168178,-0.529059,-0.252392,-0.831245,-0.521497,-0.619795,-0.109495,-0.308301,0.120863,-0.463207,-0.275418,-1.015591,0.00771,0.188814,-0.223953,-0.444015,0.889185,-0.116982,0.532955,0.794042,-0.961443,0.511466,-0.373434,-0.000457,-0.015758,-0.501033,0.043123,-0.168093,0.2478,0.360449,-0.158691
algorithme,-0.596075,-0.493559,-0.266356,-0.450814,-0.296464,0.965381,-0.673963,-0.293121,0.997327,-0.027836,0.080542,-0.472808,0.608487,1.00046,-0.004092,0.997588,-0.582507,-0.466439,-0.15727,-0.605217,0.489925,-0.220991,1.685755,0.419983,0.497604,-0.520435,0.460239,-0.317708,-1.163966,-1.212975,-0.033235,0.23217,0.925595,0.526818,-0.486814,-1.327195,-1.592289,-1.277247,-0.782381,0.063637,0.154647,-0.52568
calcul,-0.37934,-0.148453,-0.781899,-0.732127,-0.532671,0.765826,-0.453406,-0.083655,0.63231,0.880928,-0.048644,-0.473392,0.157297,0.232073,0.018724,1.203008,-1.248899,-0.410817,0.170548,-0.104975,0.401558,0.060067,1.567538,0.952557,0.658448,-1.085286,0.094374,0.655432,-0.808094,-1.293108,0.081104,-1.026368,0.32418,-0.348668,-0.08461,-1.428813,-0.486545,-0.929179,-1.121114,0.227697,0.400976,-0.524187
