word,1,2,3,4,5,6,7,8,9,10,11,12,13
formule,0.750917,2.064791,-1.343037,0.431245,-0.216481,0.308037,0.165417,-0.507412,-0.177131,0.043572,0.951124,0.625571,-0.525611
droite,-0.697429,1.59632,-0.502583,-0.750116,-0.765302,-0.319898,-0.26149,1.844419,0.647267,0.094474,-0.070121,0.425957,-0.641589
$\mathbb{C}$,0.453745,0.714949,-1.401207,-0.066788,0.141522,0.317524,-0.344505,-0.175846,0.735944,-0.246423,-0.343808,0.047686,-0.732731
solution,0.439239,1.124771,-0.59633,1.155824,0.122957,1.551219,-0.189819,-0.769147,0.837465,1.470518,0.111659,-0.811615,-1.209768
modèle,0.554921,1.295997,-1.468399,0.788019,-0.182693,0.815864,-1.098024,-0.672397,0.301031,0.589644,0.44457,-0.452142,-0.575273
linéaire,-0.358922,0.842058,-2.117425,0.279915,-0.880943,1.109937,0.067796,0.281697,0.238905,1.314032,1.738167,-0.887867,-1.22359
probabilité,0.162721,0.813439,-0.651572,-0.463097,0.528997,1.764997,0.77067,0.384912,0.882396,0.717576,1.388832,-0.815459,-1.636789
série,2.182885,0.646663,-0.571936,0.824677,-0.676995,-0.915471,0.323929,-0.33887,-0.308358,-1.12503,-1.165289,-0.135526,-1.259156
somme,-0.13223,0.759955,-0.484435,-0.608978,0.578567,-0.537394,-0.303968,0.257878,1.986046,0.837657,-0.298096,0.398133,-0.730377
mesure,-0.289204,1.189805,-1.242328,0.275511,0.432504,1.426694,-0.577146,0.200639,1.017058,-0.146618,0.052432,-0.196855,-1.329106
carré,-0.575508,0.924891,-1.853204,-0.707696,-0.913484,-1.149754,-0.883898,0.911265,0.550126,0.498096,-0.119973,-0.766468,-0.43096
vecteur,-0.382834,0.443665,-1.413081,0.235043,0.178116,1.906831,0.16558,0.060325,0.27443,0.811409,1.396166,-1.12758,-1.37414
connexe,-0.214329,-0.647681,-1.536983,1.301978,0.680749,0.014204,-1.088038,0.804454,0.492055,-0.84923,-0.467091,0.300527,0.274371
classe,0.050055,1.028066,-0.685122,0.675191,0.26368,0.452956,-0.841181,-0.423052,0.41368,-0.484022,0.04281,0.34625,-0.353891
produit,0.160059,1.344796,-1.424568,1.79356,0.861175,0.38416,-0.191326,-0.990073,0.352158,1.106732,-1.20184,-1.091175,-1.214702
égal,-0.165662,1.589669,-1.697339,-0.585156,0.216322,0.754721,0.686136,0.352282,1.090106,0.353088,0.652498,0.129887,-1.251104
cercle,-0.29318,0.71761,-0.24408,-0.008554,-0.78927,-0.113402,-0.964825,1.646989,-0.195886,0.183285,0.194045,0.463946,-0.110206
partie,-0.473089,0.979465,-0.963772,0.371683,-0.821743,0.33169,-0.751401,0.693504,1.394964,-0.184633,-1.415228,0.394919,-0.356925
relation,0.50556,0.774436,0.249089,0.844859,0.348485,1.535887,0.022733,1.007212,0.759887,0.35511,-0.709229,0.546774,0.00964
courbe,-0.693992,0.95184,-1.300136,-0.587475,-1.359705,-0.067323,-0.031117,1.025144,0.765904,1.049702,1.237465,-1.004118,-1.31059
différent,0.217679,1.632777,-1.511961,1.035258,-0.298858,1.185999,-1.019004,0.520947,0.487519,0.860224,-0.81484,-0.023118,-0.80872
complexe,-0.432223,0.702774,-1.074311,1.065331,-0.599078,1.064627,-0.865614,0.612937,0.337307,0.937957,-0.402713,-0.552785,-0.682784
matrice,-0.343949,0.884975,-1.629191,-0.158788,-0.232758,1.023139,0.334741,-0.590374,0.183069,1.41234,1.648198,-1.283775,-0.245836
domaine,-0.332127,0.717395,-0.607,1.262457,0.265468,0.646034,-0.903712,0.660484,1.565622,1.31408,-0.650865,-0.275078,0.691078
fois,0.620191,2.021541,-0.392276,-0.096196,-0.484025,0.351937,-0.30847,-0.026488,0.764975,-0.650439,-1.039742,0.492484,-0.697517
type,-0.249489,0.654511,-2.203336,0.592792,-0.127638,0.777662,-1.061363,-0.427357,0.649465,0.414001,-0.092542,-0.931535,-1.448974
mot,0.779098,0.703454,-1.648111,-0.668014,-0.134382,1.343172,-0.206824,0.885269,-0.544551,0.71711,-1.165914,-0.144936,-0.160038
algébrique,0.254703,0.480001,-1.895054,-0.523076,-0.711127,1.614465,0.335339,0.170989,-0.222281,1.910222,2.913399,-0.365545,-0.070881
degré,0.128788,1.281071,-1.733048,-0.396716,1.327982,-0.552849,-0.155777,0.07133,0.64806,-1.486997,0.867867,-0.485463,1.08489
langage,1.545764,0.638782,-1.547847,1.030142,0.102081,1.667014,-0.373922,0.307071,-0.574569,2.118827,0.271548,-0.505361,0.254781
nul,0.087581,1.513237,-0.988864,-0.734635,-0.383442,0.767646,0.819066,0.515999,0.350012,-0.713145,0.615687,1.628918,-1.654662
moins,-0.34688,2.130991,-1.21123,-0.072638,0.170198,0.891662,-0.239628,0.492745,0.797304,0.054575,-1.108757,0.087499,-1.597639
objet,0.437972,0.915095,-1.349836,0.35846,-0.241736,1.270216,-1.416212,0.552504,0.353884,0.789859,-0.547411,-0.927551,-0.446966
triangle,-0.355904,-0.204969,-0.773048,0.098419,-1.686752,-0.046224,0.248424,0.458151,-0.202989,0.250036,0.330466,-0.554008,-0.725643
structure,-0.381932,0.672567,-1.531255,1.368581,-0.753706,1.228378,-0.900119,0.643986,0.986396,1.062698,0.350144,-0.497173,-0.681592
corps,0.02778,1.34555,-0.229264,-0.51204,-0.55077,0.736511,-1.072774,0.423266,1.054472,-0.33194,-0.278153,-1.124647,-0.649324
rapport,0.331395,1.273751,-1.120035,0.582181,1.084439,1.17886,-0.309581,0.625198,1.219914,0.347347,-0.008566,0.129288,-1.118897
longueur,-1.3302,0.913694,-2.499621,-0.375093,-0.552856,-0.309489,-0.465831,0.109069,1.042696,-0.530463,0.463685,-0.648348,-1.937846
informatique,0.604492,0.648753,-0.836637,2.441189,0.622616,0.754529,-0.824502,-0.887036,-0.163382,2.037127,0.423766,-0.042787,-0.194339
infini,1.131691,0.059874,-0.916565,-0.872876,-0.436483,0.791586,0.092641,1.265352,-0.246551,0.833686,0.715489,-0.908441,-1.297122
variété,-0.601619,0.614494,-1.726346,1.024929,0.520425,0.487917,0.268662,0.684245,-0.787001,-0.018136,-0.849848,-1.626382,0.272063
ligne,-0.246143,0.170582,-1.391039,0.208176,-0.062853,-1.168209,-1.428509,0.319106,1.424144,-0.09792,-0.244431,0.73867,-0.825423
positif,1.129635,1.206853,-0.900199,0.345116,0.606074,1.11971,0.784839,0.769568,0.292267,0.375905,0.497176,0.019707,-1.554797
angle,-0.337963,0.83951,-1.349479,-0.461864,-1.998963,-0.28284,-0.578612,0.897906,1.083574,0.6405,0.676887,-0.766547,-0.865369
polynôme,0.009112,0.478516,-1.995511,-2.010546,0.214678,0.942293,1.776378,0.106751,0.23808,1.053015,2.555076,-0.943389,0.062247
centre,-1.003332,-0.109804,-0.626122,1.800164,-0.07692,-0.569751,-1.362528,1.217145,0.965282,0.033908,-1.053554,0.848974,-0.45584
démonstration,0.617143,1.262828,0.227403,0.353259,-0.553464,0.616822,-0.889663,-0.071835,-0.430886,0.932323,0.808666,0.15976,-0.732242
vectoriel,0.366542,0.44771,-1.95053,-0.107671,-0.470176,1.046139,0.068903,-0.672719,-0.28405,2.121417,2.070396,-0.970866,-0.384287
limite,-0.855982,0.482718,-1.178035,0.302899,-0.374544,0.539376,0.131225,1.332322,1.697672,0.678771,-0.325076,0.204448,-1.188033
représentation,0.879253,0.968212,-1.406806,-0.070575,-0.286874,0.911457,-0.811686,1.252156,-0.085075,0.78896,-0.246534,0.477224,0.051932
famille,-0.315708,1.082824,-0.174497,-0.044727,0.587202,0.215898,-0.248415,0.838771,1.039388,-0.85107,-1.72044,-0.764664,1.569499
arête,-1.60164,0.425645,-0.887173,-0.779822,-2.512299,-0.317517,0.23828,0.863826,0.161704,0.279372,0.747489,-0.941271,-0.493363
distance,-0.357283,1.044807,-1.280576,0.095045,-0.738313,0.46091,-0.501458,-0.086591,0.754946,-0.137666,0.396434,-0.070045,-2.085404
surface,-1.143723,0.747445,-1.904271,0.281564,-0.62241,0.640402,-0.711486,0.083756,1.210016,0.075884,-0.115177,-1.48161,-2.254958
aléatoire,0.489525,0.739653,-0.632657,-0.236257,-0.373411,1.550446,0.151755,-0.058793,-0.056677,1.551309,0.972259,-0.704749,-1.70469
naturel,-1.058217,0.256183,-1.676334,1.000208,0.607112,0.829973,-0.746638,1.825742,1.286792,0.445646,-0.878663,-0.984726,-0.444425
normal,0.052427,0.694055,-0.51625,0.702465,-0.054197,0.352863,-0.494223,0.515139,0.672004,0.362972,0.576791,-0.665713,-1.08953
arbre,-0.908082,0.596557,-1.563815,-0.288654,-0.345813,0.345668,-0.778849,1.003629,-0.006032,-0.08191,-1.356448,-1.726725,-0.92409
démontrer,0.53121,1.310103,0.098588,0.338579,0.313299,2.159342,-0.094635,0.500762,0.441267,0.730247,0.217102,-0.914995,-0.626844
algèbre,-0.734356,0.468026,-1.564976,-0.193256,-0.926614,1.188261,0.647795,-0.246335,-0.424964,1.688995,2.710468,-0.805815,0.320431
règle,0.929565,1.479972,-1.024152,0.000738,0.189932,1.543061,-0.023826,0.295137,0.901814,1.668031,-0.042993,0.859435,-0.55908
volume,1.698788,-1.057867,-2.139851,0.464107,0.281918,0.22441,-0.866413,-0.226886,0.855677,-0.779317,0.292868,-0.449596,0.26162
calculer,-0.041533,1.283083,-1.516096,0.033354,0.411099,1.085805,0.523631,-0.214414,0.929331,0.950016,1.395941,-0.464046,-1.619693
constant,0.387159,0.974295,-0.654996,-0.116477,0.585941,0.545139,0.070204,1.042662,1.314213,0.466801,1.185671,-1.034438,-0.538615
quatre,0.027645,1.826224,-1.004305,-0.095947,-0.629603,-0.497818,-0.892876,0.107922,0.892179,-0.554708,-0.865094,0.546002,-0.714156
différentiel,-0.029257,1.152298,-0.704446,0.552745,-0.163245,0.825557,0.202844,-0.078936,0.595805,0.86618,2.506566,-1.194519,-1.602606
hypothèse,0.450874,0.83829,-0.620874,-0.290933,0.017591,2.324828,0.137384,1.197829,0.872485,0.738728,0.124788,-0.810639,0.02298
image,1.49118,0.690356,-1.006904,0.77428,-0.538922,0.293441,-0.680187,0.49283,-0.399396,0.693588,-0.545273,-0.481917,-0.523166
régulier,-0.105551,1.291607,-0.653056,0.23654,-0.327391,-0.341676,0.221004,0.175014,0.849169,0.159869,-0.052508,0.699712,-1.48643
complet,0.917863,0.859051,-1.217099,0.58861,0.043587,0.384581,-0.799373,0.008378,0.30741,0.012414,0.064775,0.295974,-0.257058
racine,-0.133294,0.508667,-1.370006,-0.324807,0.176924,0.64442,-0.07932,1.442582,-0.109682,-0.028599,-0.486154,-1.244851,0.303426
coefficient,-0.465621,1.317052,-1.835061,-0.077694,0.368317,0.81559,1.210119,0.261552,0.408375,0.789984,2.464889,-0.224291,-1.485777
côté,0.039863,1.747949,-0.081498,-0.040355,-1.204821,-0.600797,-0.252523,0.83956,0.520972,-0.093573,-1.400832,-0.204926,-0.294791
preuve,1.129209,1.254104,0.264255,-0.392307,0.382713,1.749537,-0.030479,0.583817,0.749898,0.977467,-0.559448,-0.303377,-0.327805
axiome,0.39004,0.096129,-0.063098,-1.042072,-0.011426,1.205926,0.568709,-0.073219,-0.097308,1.781398,2.024513,-0.008994,0.251012
$\mathbb{R}$,0.890093,-0.226677,-1.856992,0.165863,-0.235923,-0.229277,0.770971,-1.478165,0.454287,-0.951585,0.404399,0.131618,-0.728281
continue,0.244086,1.163112,0.307252,0.40671,-0.412591,0.381135,-0.586186,0.064572,0.729373,0.106267,-0.622336,0.169896,-0.44731
résoudre,0.449799,1.551236,0.547689,-0.22951,-0.039555,1.531098,-0.161223,-0.144733,0.893664,0.814765,-0.064428,-0.422274,-0.64881
arithmétique,0.081891,0.470207,-1.020458,-0.531615,0.184846,1.337302,-0.161879,0.004168,-0.508073,1.855512,2.506232,-0.263567,0.334148
conjecture,0.579072,-0.429345,0.383754,-0.767567,-0.349013,1.629516,0.55896,0.224617,-0.131128,1.254148,1.458854,-0.845462,0.52247
réseau,-0.405708,0.13937,-0.767639,1.736823,0.431467,-0.445408,-1.053936,-0.024688,1.139126,1.451007,-0.641061,0.341137,-1.694019
opération,0.079297,0.823799,0.794333,0.527892,0.228764,0.754626,-1.294043,-0.845497,0.95125,-0.211605,-0.607018,0.096765,-1.634935
chiffre,0.037637,0.802212,-1.733655,-0.129226,1.355649,0.073365,-0.486509,-0.312036,0.689123,0.594375,-0.46519,0.501448,-1.521913
expression,1.02129,0.800498,-1.083265,0.359551,-0.012069,1.864413,-0.228093,1.328147,-0.504529,0.944967,-0.32017,-0.016411,-0.272935
propre,0.900194,1.584388,-0.306695,0.624586,-0.285153,1.11527,-0.566476,0.37001,0.522066,0.883893,-1.136331,-0.054349,-0.327551
principal,-0.075028,1.275321,-0.809317,1.217127,-0.274264,0.257539,-0.384251,0.269883,0.71735,-0.235194,-1.103277,-0.120096,-0.122996
paramètre,0.033285,0.98179,-1.889068,0.578126,-0.313633,1.435412,0.483958,-0.056767,1.175354,1.386554,1.470666,-0.855282,-1.670846
coordonnée,-0.715001,-0.480188,-1.576553,-0.384981,-0.427706,1.17151,0.32095,0.209696,0.836937,0.339357,1.828727,-0.140053,-0.961733
opérateur,0.208654,1.088693,0.028174,1.384214,0.540639,-0.379467,-0.238499,-1.109926,0.352266,1.021524,0.476079,-0.429995,-0.555277
numérique,1.112501,0.642762,-1.274326,1.600223,0.413196,0.153418,-1.085003,-0.422825,0.007643,1.788567,0.386041,0.289818,-0.99565
unité,-0.543287,0.596716,-0.616147,0.529878,0.459125,0.712851,-1.192013,-0.334601,1.283539,-0.172144,-0.066131,0.511948,-1.212848
liste,-0.261378,-0.081091,-1.773715,1.075336,0.402526,-0.136816,-0.38607,0.840353,1.113377,-0.92192,-1.084034,0.914963,0.332739
convexe,-1.762058,0.827501,-1.37787,-1.110396,-1.841596,0.021262,0.560033,1.054681,-0.817352,0.797634,1.539884,-1.097303,-1.0952
rationnel,0.958382,0.577982,-0.220368,0.19984,0.196594,2.157035,-0.059393,1.017162,-0.022876,1.997021,0.969732,-0.518529,-0.226195
nœud,-0.880321,0.624656,-1.612901,-0.956449,-0.207118,-0.19569,-0.662391,-0.817837,0.175353,0.434038,0.600418,-0.734227,-1.799453
$\mathbb{Q}$,0.611343,-0.165746,-1.330158,-0.152314,-0.352776,0.159977,1.199211,-0.587043,-0.211901,-0.10942,0.591958,0.194877,-0.775503
topologie,-0.618469,-0.37699,-0.849786,-0.146871,-1.080301,0.744852,0.607793,-0.198008,-0.325517,2.292245,1.511983,-0.461021,-0.549517
origine,-0.084929,1.113556,-0.879676,0.594185,0.175977,0.640022,-0.648589,0.775971,0.33494,-0.355621,-1.230269,-0.308556,0.617419
distribution,0.871609,0.964104,-0.496227,1.691379,0.881077,-1.024083,1.483637,-0.367101,-0.533832,-0.899627,-0.856447,-1.216531,0.32992
intervalle,0.061841,1.026862,-1.159645,-1.071389,-0.416072,0.552135,-0.017439,0.267776,0.737652,0.659524,1.040899,-0.234519,-1.289483
compact,-0.164494,0.312228,-1.934212,0.45573,-0.767635,0.189136,-0.414404,-1.038282,-0.710702,0.719872,0.510591,-0.994308,-1.082527
reste,-0.330204,1.637931,-0.309249,-0.11164,-0.431389,0.62336,-0.535301,0.614419,1.06706,-0.039395,-1.259469,0.070257,-0.520918
test,0.689522,0.933381,-0.507732,1.323215,-0.143879,1.286903,0.076253,-0.8845,0.556526,0.150813,0.858241,-0.31821,-1.851934
proposition,1.020746,1.232463,0.114012,0.396551,0.890583,1.123311,0.097123,0.295388,1.190714,0.947345,0.06563,1.184081,-0.139695
catégorie,0.469713,1.059796,-1.397005,1.381178,0.047343,0.082754,0.105318,0.160299,-0.57336,-0.16543,-0.231914,1.182706,-1.21039
programme,0.871447,0.722599,-0.280415,2.333628,0.224891,0.708302,-0.832412,-0.359349,0.22664,0.691499,-0.17776,0.992852,-1.299424
intégral,0.893908,-1.350463,-1.562552,1.099296,0.252696,0.947998,-0.697325,0.075607,-0.217701,-1.076345,0.919045,-0.547092,0.645727
complexité,0.640354,0.825494,-0.384686,0.702991,-0.071684,1.664863,-0.06722,1.049913,-0.063408,1.931017,0.861548,-0.629745,-0.942333
automate,0.064678,0.009064,0.377437,0.223098,-0.370328,-0.903797,-1.253815,-0.500387,-0.493625,2.157029,0.564002,-0.701934,-0.569348
moyenne,-1.069579,0.908366,-2.133193,0.021308,0.990092,-0.345815,0.550677,0.60471,1.239899,-0.755466,-0.318705,0.277136,-2.662999
symbole,-0.076297,0.529578,-1.209816,-0.857416,-0.59687,1.469924,-0.780942,0.96518,-0.784506,0.504532,-0.634705,0.284132,-0.141675
axe,-1.645793,0.629884,-1.294531,0.228589,-0.779455,-0.058074,-0.266666,0.718657,0.669325,0.143301,0.735574,-0.085342,-1.272928
euclidien,-0.307458,0.092543,-1.409615,-0.931263,-0.9874,0.739583,0.157734,-0.127101,-0.619524,1.776381,2.644659,-0.142543,-0.555925
inférieur,-1.429833,1.386655,-2.035007,-0.313687,-0.153381,0.241569,-0.384754,1.005376,1.453078,-0.028455,0.26508,-0.625525,-1.417052
dérivée,-0.101791,0.23301,-0.841933,-0.772506,-0.04183,1.612208,1.217664,-0.600399,0.27431,1.250168,2.623843,-0.449246,-0.511916
transformation,0.130897,0.290591,-0.824783,0.921707,0.107025,0.905227,-0.598386,0.186285,1.015442,0.876439,0.217884,-0.582413,-0.561959
anneau,-0.075045,0.921837,-1.291893,-0.642114,-1.834639,0.652556,-0.075845,-0.006458,-0.421494,0.194146,0.614851,-0.991363,-0.755441
facteur,0.06503,1.300758,-0.851161,0.62279,0.991943,1.415331,0.237592,0.999463,1.028898,0.658999,0.993345,-1.379325,-0.832795
