word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
graphe,0.67673,0.954032,-0.156918,-1.212889,0.975931,-1.32463,1.688757,-1.997977,-0.098427,-1.076316,-0.97282,0.728575,1.695745,0.209434,-1.730089,-0.887053,0.583738,1.763439,0.577233,-0.404169,1.911165,0.376968,-0.61433,-0.837933,-0.991462,0.155106,-0.803995,1.206107,-0.737708,0.714916,2.265049,-0.123198,1.884124,1.501652,0.06262,-0.697768
forme,-0.62885,0.232856,-0.482065,0.086792,0.954901,0.457847,-0.768255,-0.039783,0.211123,-1.178484,-0.461565,1.053477,1.556641,0.327677,-0.901489,-0.032101,1.231648,0.163677,0.013067,0.096813,1.77529,-0.321216,-0.676648,-0.825968,-0.251865,0.611328,-0.424038,0.55493,0.378159,0.014612,1.104509,-1.53258,0.08248,-1.144765,0.373214,-1.658885
entier,-0.466628,-0.271534,-0.498681,-0.111306,2.071437,0.644827,-0.599267,0.291192,-0.219182,-0.457413,-1.475781,-0.602609,0.758425,0.291936,-0.85047,0.120577,1.53019,0.490741,0.574756,0.403975,1.018078,-0.535016,0.361229,-1.552932,-0.729582,-0.757319,-1.850212,0.506712,0.203471,0.708524,0.200484,-1.596334,0.340604,-1.060471,-0.800282,-1.701069
système,-0.392807,0.134073,-1.093482,-1.219668,0.412229,-0.186778,-0.223921,0.395681,0.277005,-1.25386,-0.058535,0.37081,2.072397,1.280757,-1.021157,-1.054073,0.184011,-0.330399,-0.608199,1.076369,1.706738,-1.728813,0.15281,-0.490877,0.426349,-0.513731,-0.278225,-0.122138,1.131464,-0.299755,1.598696,-1.322675,0.933836,-0.121012,-0.107827,-0.53903
équation,-0.346955,-0.073825,-1.641694,0.380849,0.215833,-0.107103,-1.278381,0.192389,0.11546,-0.116563,-0.727964,1.247384,1.251764,0.888669,-1.449897,0.835379,0.483692,0.574881,-0.359866,-1.028655,2.11503,-0.826267,1.056276,-0.450216,-0.144081,-0.016755,0.658213,0.708589,0.669786,-0.244288,1.487578,-2.576405,-0.029447,-1.250366,0.453941,-1.163382
suite,0.095621,-0.005672,-0.051329,0.432586,2.027548,0.499594,-0.289748,0.836149,-0.753652,-0.917513,-1.161698,-0.14532,1.219559,0.917852,-1.367562,-0.419389,0.835237,0.284641,0.327598,0.317264,0.810164,0.431762,0.000972,-0.844451,-0.462567,-0.506726,-1.346397,0.372331,0.778553,0.759429,0.929569,-1.137408,-0.420566,0.201882,-1.178829,-1.634654
algorithme,1.1633,-0.785011,-0.181561,-1.301467,0.504524,-1.12914,-0.591207,-0.257086,-1.831277,-0.546107,-0.058068,-1.069609,1.375306,0.152514,-2.059328,-1.424113,-0.369809,0.190648,-0.784641,0.262505,2.621972,0.275211,1.001507,-0.537621,-0.139483,0.705692,-1.548679,-0.074931,0.415805,0.120255,0.840781,-1.592593,-0.170788,-0.210795,0.50058,-0.799539
calcul,0.284491,-0.523998,-1.321805,-0.270264,0.465124,-0.192572,-0.945217,0.966149,0.009821,-1.828,0.201199,-0.082657,1.272549,1.261269,-1.286572,-0.74509,0.649742,0.321599,-0.696259,0.047141,1.868741,-0.264314,0.868184,-0.829586,-0.220581,0.142446,-0.704527,0.359666,0.641915,-0.806852,0.0667,-1.241792,0.206432,-1.103115,-0.338092,-0.828769
application,0.854837,-0.359677,-0.459758,0.17977,0.601695,-0.307049,0.544888,1.256421,-0.087902,-0.425176,-0.18543,1.219409,0.942805,1.171986,-0.912292,0.207142,0.632311,-0.697556,-0.328645,0.356141,1.875207,-0.884151,-0.254894,-0.433936,0.524433,0.224687,-0.71501,1.249047,-0.174299,1.237725,0.449733,-1.334354,-0.1349,-0.300358,0.239679,-1.935794
élément,-0.07581,-0.367097,0.041949,-0.342381,0.942011,1.191689,-0.21821,0.058802,-0.924218,-1.452403,-0.253013,-0.636277,1.516624,0.006848,-0.858192,0.217357,1.134968,0.388371,0.334629,0.348045,0.710203,-0.049904,-0.254718,-0.857417,-0.261151,-0.659491,-0.641058,0.591574,-0.950629,0.742398,0.97335,-1.120707,0.320074,-0.971053,-0.045205,-2.555209
