word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
forme,0.268114,0.461803,-0.174587,-1.13503,-0.02935,-0.429599,-0.411298,0.023545,-2.230262,1.620617,-0.093594,-0.234424,0.44725,0.227799,-0.531944,1.065752,0.157557,0.231366,-0.026419,0.715504,-0.418788,0.392586,0.852448,-0.808071,0.585106,1.183518,-0.225901,-1.070096,0.48253,-0.286425,1.210482,0.668404,0.044733,1.579294
entier,0.314128,0.973257,-0.670736,-1.346978,-0.087635,0.373546,1.094611,-0.617965,-3.022767,1.011839,0.173026,-0.818493,0.795454,1.301142,-0.890689,0.452315,0.100288,-1.051238,0.056087,0.951172,-0.175836,-0.132541,1.190937,0.042709,0.863426,1.759405,-0.468189,-0.69292,-0.410148,-0.448234,-0.266472,1.076908,-0.504106,1.121578
système,0.458039,0.168874,-0.058736,-1.019493,0.178558,-0.684051,0.358245,0.827698,-1.619584,1.075145,-0.526396,0.56693,1.25433,-0.891191,0.206479,0.754474,-0.354888,-0.418203,0.2598,0.701868,1.667441,0.773882,0.15942,-0.616894,0.817474,0.978915,-0.787287,-0.314517,0.258257,0.432325,1.921111,0.746305,-0.252704,2.227616
équation,0.897304,0.255366,0.27114,-1.510234,-0.564984,-0.483006,0.291065,0.322657,-2.414371,1.560221,-0.223147,0.334071,0.754576,-1.170227,-0.74062,2.469253,-0.115704,1.123944,-0.313836,0.683274,-0.275408,0.810086,1.00478,0.709875,-0.107201,0.30397,-1.002575,-0.579761,-0.25263,-0.429062,1.52558,0.596271,0.012978,1.547252
suite,0.121878,0.982726,-0.961408,-1.21273,-0.630645,0.686425,1.434897,-0.603373,-2.067567,1.240882,0.310346,-1.077888,0.462018,0.673995,0.186418,0.715691,0.304256,-0.041423,1.017676,0.842374,-0.148429,0.600964,0.478615,-0.735094,1.090458,1.773888,-0.212031,-0.65714,0.25003,0.338653,-0.381768,0.255981,0.321449,0.822903
algorithme,0.562243,0.44903,-1.00546,-0.09294,-0.69458,-0.267533,1.412782,-0.93742,-0.950692,0.973154,0.483211,0.413018,1.143314,1.051805,0.603098,0.743971,0.553768,0.61581,-1.418526,0.546464,0.602228,1.808412,-0.596992,-0.262862,0.322636,1.899568,-1.595369,-1.486885,1.185619,0.145996,0.855675,-1.179744,-1.039023,1.626499
calcul,0.813344,0.126278,-0.849964,-0.236476,0.225084,-0.738704,0.754708,-0.212501,-1.38774,0.460108,0.379,-0.019639,0.934665,0.177141,0.351957,1.443837,-0.363315,0.08694,0.183615,1.081955,-0.095879,1.35133,1.089639,-0.030792,0.894747,1.211938,-0.722699,-0.69841,0.409196,-0.091577,1.44019,0.232619,-1.580553,1.95233
application,-0.62848,0.453571,-0.790605,-0.794761,0.020626,-0.15706,-0.213151,-0.354225,-1.92223,0.697668,-0.296668,0.656699,0.458866,0.63353,-0.646091,1.756067,0.228413,0.313534,0.121844,0.756802,-0.493927,0.059002,0.226444,0.024762,1.331796,0.012397,-1.230622,0.42241,1.779826,0.987499,0.931066,0.707074,0.200441,1.992866
élément,-0.009625,0.563533,-0.342762,-0.184239,-0.217434,-0.820781,0.900954,0.333319,-2.226816,1.592563,-0.725801,-0.488101,0.292218,0.513052,-0.696998,0.530103,1.060467,-1.350006,-0.101201,0.322597,-0.955595,0.687237,0.379386,-1.025728,1.242222,1.32059,-0.710627,-0.407395,0.307303,-0.308702,-0.602408,0.544018,0.293036,1.828139
grand,-0.399027,-1.007128,-0.430283,-0.763656,0.029055,-0.376632,0.899536,-0.45566,-1.876784,-0.025439,0.132531,0.376597,0.61859,-0.433924,-0.347855,0.990512,0.096245,-0.563194,-0.429854,0.644503,0.081261,0.659663,-0.086235,0.083743,1.366153,2.104364,1.131397,-0.949196,0.174561,-0.123568,-0.738308,-0.179724,-0.620296,1.802174
propriété,-0.095796,0.360438,-0.767663,-0.962256,0.351251,-0.433568,0.206985,0.105241,-2.068065,1.178881,-0.177998,0.148804,0.522093,0.57008,-0.724367,2.100425,0.609213,-0.657622,-0.41991,0.035269,-0.477292,-0.074836,0.256032,-1.040899,1.064429,1.755219,0.112018,-0.755781,0.039947,0.963292,0.888662,0.270457,0.320917,0.807786
ordre,1.398673,-0.763015,-0.948479,-0.764395,0.315862,-0.701627,0.569049,0.338618,-2.185527,1.488755,1.021396,-0.575203,0.902847,0.337586,-0.564971,0.968786,0.885289,-0.571536,-0.87295,0.254091,0.004486,0.105307,0.578727,-0.393496,1.770755,1.236334,0.50989,-0.381605,0.145857,-0.20272,-0.127895,0.204617,1.224443,1.337236
variable,0.53085,1.096078,-1.303044,-1.074526,0.992556,-0.936376,0.377079,-1.270043,-2.298839,1.663176,-0.923515,-0.149472,-0.335472,-0.384,1.427049,1.518552,-1.037513,-0.141485,0.279757,0.04481,-0.568511,0.202011,0.736076,0.309539,1.021297,1.05696,-1.804896,-0.052655,0.469591,-1.106445,0.736741,0.194179,0.842896,0.781717
base,-0.312033,1.240214,-0.197321,-1.279193,0.568654,-1.189723,-0.325238,-0.118352,-2.226646,0.90571,0.46639,0.38031,0.640965,0.226816,-0.080409,-0.160933,0.386881,-0.48508,0.553979,0.821151,0.398318,-0.114655,0.215885,-0.826565,0.969317,1.188145,-0.237364,-0.967086,0.050668,0.195368,0.802608,0.92132,-0.511175,1.767733
géométrie,-0.188661,0.109581,0.761753,0.202131,0.233528,-0.368365,-0.711231,-0.30335,-2.334585,-0.151579,0.008466,0.921476,1.019275,-0.906481,-1.634919,1.533466,0.944881,1.170574,1.195696,0.101655,-1.307382,0.796378,0.728148,-0.165631,0.942086,1.216272,-0.189368,-0.064048,1.287123,0.022293,1.600529,0.434817,-0.818055,1.011468
analyse,-0.043617,0.17274,-0.568868,-0.605919,-0.17989,-0.532727,0.497987,-1.034346,-1.613737,-0.241562,-0.467178,0.510764,1.433745,-0.21048,0.440802,2.053862,0.225612,0.159874,0.916616,0.572546,-0.319444,0.745279,0.681511,0.044361,1.242653,1.020822,-0.803138,0.154219,1.772944,0.224373,1.721073,-0.353392,-0.348579,0.997362
loi,-0.019281,0.785747,-1.168046,-1.782006,-0.397617,-0.747457,-0.02915,-0.507784,-1.335379,1.128859,-0.391208,-0.124882,0.52072,-0.205602,1.251714,1.980582,-1.409503,0.33761,1.120057,-0.129983,-0.410325,0.399143,-0.509534,-0.985086,1.690887,2.242171,0.421961,0.285597,-0.775057,-0.147694,0.111473,0.268744,0.808809,0.572919
définition,-0.016067,0.324678,-0.658322,-0.685224,0.615538,-0.184352,0.108616,-0.370299,-2.167116,1.747738,-0.1439,0.341208,0.354615,0.384038,-0.311514,1.612588,0.529181,-0.300225,0.281735,0.274821,-0.545595,0.608367,0.728382,-1.056715,1.123299,1.256833,-0.058991,-0.602848,0.316537,0.551674,0.60416,0.095976,-0.13533,0.771815
réel,-0.46575,1.020026,-1.191433,-1.358213,-0.078028,-0.044797,0.223819,-0.773496,-2.359928,1.538777,-0.942734,-0.461038,0.239226,-0.066097,-0.666246,1.170534,0.568081,-0.304186,0.505807,0.201215,-0.344503,0.116298,1.352128,0.696271,1.305116,1.278482,-0.275047,-0.383041,0.2205,-0.261211,0.330341,0.313765,-0.151884,1.450064
dimension,-0.176911,0.273472,0.521256,-0.849399,0.535542,-0.670396,-0.384927,-0.228069,-2.810724,1.699803,-0.191596,0.057659,0.177381,0.188202,-1.03816,0.770724,0.9624,0.143058,0.678695,-0.716373,-0.668298,-0.432268,-0.537536,-0.283096,0.651294,0.824891,-0.010114,-0.496884,0.137409,0.398078,0.8259,0.198482,-0.202181,2.0736
statistique,0.10624,-0.584137,-1.217983,-1.127592,0.421114,-1.03987,-0.50975,-0.89483,-1.615325,-0.727499,-0.046622,0.789536,1.87602,-0.508837,1.515336,0.892527,-0.757057,-0.58051,0.992835,1.046472,0.485948,0.876867,-0.890365,0.170835,1.573728,1.28683,-0.580141,0.839171,1.274891,0.642961,0.954772,-0.269362,0.634727,0.416513
sommet,0.166953,-0.678361,-0.062837,-0.687947,0.792786,-1.754569,0.499956,-0.728591,-2.461414,0.815601,0.003356,-0.528298,-1.775117,0.955457,-1.448279,0.00077,1.090911,-0.345355,-0.608887,-0.119044,-0.174925,0.811063,-2.200511,-1.06351,-0.057681,1.674101,-0.087154,-2.133128,-0.07834,0.520794,0.083494,1.097331,0.660306,1.055687
logique,0.008517,-0.857061,-0.065268,0.425679,1.388405,-0.406589,-0.371498,-0.587224,-1.501381,0.406303,-0.312119,-0.719451,0.394943,0.525329,-0.216766,1.575815,-0.973059,-0.377005,0.027907,0.210075,0.626272,2.356142,1.324018,-1.908945,1.936522,0.78239,-0.734,0.047814,-0.017443,0.442104,2.127788,0.51105,-0.5126,-0.052114
terme,0.594383,-0.016918,-0.849965,-0.725861,0.381759,-0.258093,0.148432,-0.049993,-1.862517,1.401144,-0.265862,-0.2695,0.008689,0.373882,0.356179,1.149792,-0.528399,-0.563066,0.230835,0.918525,-0.238206,0.533196,0.770941,-0.406807,0.939125,1.3702,-0.26506,-1.355376,0.472172,-0.421732,0.258821,0.513222,-0.253133,0.587043
trois,-0.212182,0.291467,0.169583,-0.443015,0.602514,-0.99195,0.574977,0.44763,-2.535251,0.276034,0.442261,0.228778,-0.43383,-0.52332,-0.715805,0.451396,-0.207524,-0.147584,-0.25391,1.013611,-0.986281,0.701983,-0.461736,-0.659279,0.266831,1.857056,-0.67303,-0.618277,-0.125513,-0.645822,0.400194,1.223758,0.334831,1.1609
plan,-1.046661,0.393461,-0.747577,0.006976,-0.523095,-0.774326,-1.503183,0.408465,-2.750912,1.241847,-0.095762,0.436861,-0.119659,-0.982222,-0.992373,0.288784,1.57196,0.250851,1.115286,0.321162,-1.088965,-0.136479,-0.75654,-0.005856,0.445969,1.583389,-0.158341,-0.636194,0.030312,0.14049,0.928295,0.308344,0.156788,1.453292
formule,0.201277,1.022295,-0.582241,-1.043266,0.10537,-0.433108,-0.345596,-0.151679,-1.926945,1.89019,0.734507,-0.701055,0.490299,0.438766,0.224651,1.733017,-0.854126,0.31559,-0.129402,0.190959,-0.837122,1.344917,0.908387,-1.003088,0.490574,0.883263,-0.133962,-0.852073,-0.687237,0.164433,0.949279,0.517049,-0.952559,0.272143
droite,-0.753707,0.265447,-1.603341,0.001433,-0.537419,-1.141612,-0.740514,0.05076,-2.317103,1.443807,0.558849,0.214378,-1.041624,-0.780899,-1.01713,0.570351,1.86802,0.618309,0.215512,1.496372,-1.401222,0.382407,-0.241232,0.036355,0.678482,1.529891,-1.172856,-0.617712,-0.642723,-0.068642,0.000528,0.190782,0.737271,0.710401
$\mathbb{C}$,-0.929109,0.11658,-0.721397,-0.285612,-0.1413,-0.741042,-0.777195,-0.570836,-1.917066,1.269241,-0.255041,-0.016509,-0.272067,0.657742,-0.797069,-0.002565,0.618051,-0.159622,-0.812848,1.207904,-0.302583,0.404763,0.260988,0.144663,0.951682,0.963091,-1.264738,-0.104262,-0.715895,0.319354,-0.427643,0.399833,-0.18547,1.699256
solution,0.033526,0.051657,-0.864382,-0.553077,0.076492,0.088844,1.113492,0.554015,-2.403987,1.719687,-0.204883,0.22489,0.665714,0.151072,-0.679568,1.721401,-0.469481,0.684722,-0.884359,0.053355,0.22399,0.331328,-0.279755,0.863807,0.125928,0.535407,-1.206213,-0.957656,0.391189,-0.222681,0.71641,0.02189,-0.559357,1.234569
modèle,0.03286,0.289856,-0.23368,-0.629928,0.434612,-0.524289,0.117836,-0.783113,-1.284099,0.690002,-0.779618,1.184003,0.546193,-0.496922,0.998384,1.466791,-0.448387,0.115415,-0.093543,0.108024,1.083906,0.290165,-0.331739,-0.802524,1.032909,1.904469,-0.815234,0.167696,-0.472883,0.597586,1.568547,0.01868,-0.157854,1.431238
linéaire,0.291047,0.924193,-0.384681,-1.756822,-0.272776,-1.009995,0.652485,0.522745,-1.574297,1.562648,-0.269019,0.721335,0.668586,0.344171,-0.101175,1.625782,0.623846,0.68235,-0.498498,0.317628,0.067144,0.429083,0.689006,0.00975,1.296366,0.417937,-1.553993,-0.313815,0.943709,0.129369,1.884784,-0.178507,0.813219,1.695419
probabilité,-0.169225,0.144357,-1.099109,-0.899559,0.887206,-0.381538,1.029404,-1.481579,-1.318359,0.664556,-0.799261,-0.026793,-0.179891,-0.290197,1.18335,1.531712,-1.338207,0.008194,0.74402,0.281613,-0.31924,0.890705,-0.184188,-0.23512,1.287601,2.2386,-0.55943,0.650705,-0.631967,0.297477,-0.065297,0.016386,0.238983,1.055011
série,0.226168,0.695632,-1.309369,-1.06058,-0.530824,0.472186,0.419567,-0.94687,-1.668349,0.310819,0.274246,-1.240506,0.960212,-0.013676,-0.090958,1.710867,-0.309396,0.254616,1.190476,1.341115,-0.560157,0.105316,0.43932,-0.278715,0.80893,1.068619,-0.225008,0.072776,0.983316,-0.183232,0.35072,0.727726,-0.267647,0.590644
somme,0.656701,1.128813,-1.31091,-1.569671,0.035666,-0.813148,0.758666,-0.701262,-2.021201,0.588481,0.663904,-0.824025,0.105307,0.86814,-0.46666,0.897685,-0.11727,-0.435781,0.335693,0.731496,-0.514549,-0.569696,0.502148,-0.024321,0.750539,2.184417,0.051839,-0.64743,-0.443962,-0.312918,0.042408,1.27004,-0.153403,0.735652
mesure,-0.624711,0.466282,-1.065062,-1.208731,0.410772,-1.382595,-0.171385,-0.439793,-0.862169,1.005074,0.006239,0.70808,0.317358,-0.227381,0.085809,1.10279,-0.204634,-0.362505,0.721695,0.279335,-0.756304,0.204999,0.202257,-0.041434,1.621316,2.035578,0.477779,0.131321,0.168936,0.794766,-0.11378,0.253,-1.052822,1.700769
carré,1.013204,0.895566,-1.578683,-0.750628,0.016065,-1.178455,-0.237261,0.124285,-1.523597,0.868765,0.573068,-0.967564,0.690849,0.421359,-1.921951,0.143958,-0.179044,0.79489,-0.246078,0.480603,-0.435665,0.505237,-0.290771,-0.369099,0.771008,2.172862,0.350297,-0.980362,-0.297901,-1.449654,0.012044,0.52543,-0.531738,1.3678
vecteur,0.118949,1.646125,-0.221308,-1.686981,-0.345442,-2.347041,-0.804018,0.221164,-1.771943,1.929712,-0.438618,-0.001106,-0.854694,-0.451823,0.355157,0.549253,0.700045,-0.099926,0.557033,-0.097911,-1.015586,0.959617,0.420675,0.238334,0.852849,0.403742,-1.004055,-1.260901,0.27893,-0.36803,0.192925,0.366799,0.571707,1.483239
connexe,-0.158778,-0.46884,-0.511386,-0.517929,-0.256251,-1.197273,-0.104728,-1.262638,-1.630547,0.587333,0.228528,-0.055135,1.562975,0.324155,-0.905047,0.88389,0.568012,0.912569,0.35494,-0.155661,0.436259,0.157046,0.040222,-1.094926,1.789171,1.104936,0.11792,-0.24736,1.402847,0.29916,0.670373,1.270482,0.403994,0.64117
classe,0.709237,-0.567152,-0.382476,-0.159752,0.908208,0.64032,0.46503,-0.745966,-1.944053,1.772588,-0.325589,1.48287,0.199636,0.87888,-0.484342,0.780712,-0.030529,-0.346714,-0.832486,-0.35583,-1.19799,0.171714,1.030021,-0.029663,1.003564,1.523083,-0.097837,0.261498,0.186235,0.719463,-0.184691,0.273773,0.68316,1.596076
