word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
suite,0.08252,0.353851,-0.67226,-0.317775,0.170981,0.599099,-0.698716,0.348185,0.200636,-1.577734,0.241937,-0.113843,-0.320563,0.654234,-0.742126,-0.621663,1.04643,-0.319644,-0.020681,0.089089,0.231824,0.099078,0.373201,0.183606,0.000148,0.457514,-0.593168
algorithme,0.191231,-0.352413,-0.052621,0.980359,-1.264867,-0.375946,0.537359,-0.445137,0.790892,1.314472,0.161641,-0.37984,-0.095911,1.405877,-0.654232,-0.246608,0.549083,-0.530531,0.78553,-0.404868,-1.011472,-1.877532,0.057462,-0.72235,-0.018833,-0.648299,-0.529403
calcul,-0.072,-0.917971,-1.416279,0.694269,-1.038861,-0.620942,0.568287,-0.18968,1.034455,0.581054,0.88907,-0.611897,-0.226523,0.387939,-1.416376,-0.09672,0.434049,-0.585085,0.789367,-0.683625,-0.224321,-1.710512,0.19781,-0.955333,-0.575068,0.020376,-0.491346
application,-0.196643,-0.419141,-1.570032,0.264254,-1.638604,-0.631812,0.387532,0.239918,0.317061,0.197365,0.575374,-0.251066,-0.829777,1.722279,-0.983791,-0.895365,-0.058437,-1.159343,0.902199,0.33948,-0.259973,-0.734065,0.267741,-0.572312,-0.3622,1.02109,-0.848211
élément,0.810274,-0.465367,-0.990057,0.115012,-0.889551,-0.877415,1.301128,-0.579825,0.123166,-0.42431,0.500936,-0.392055,-0.493164,0.176929,-1.661782,-0.977272,0.402881,0.495596,-0.304632,0.183603,0.05359,-0.621858,0.594463,-0.659861,1.011609,0.395755,-0.461404
grand,0.23944,-0.294361,-0.654701,-0.414454,0.751781,-0.22838,-0.249133,0.426374,-0.469557,-1.339046,0.199381,-0.190524,0.641109,-0.213918,-1.484215,-0.343131,0.088995,0.163669,-0.188012,-0.206255,0.628374,0.235977,0.667246,0.023295,0.785462,0.853929,0.057221
propriété,-0.284081,-0.059996,-1.521442,-0.484643,-0.567777,-0.362137,0.321238,0.487643,-0.850468,0.301648,0.618562,-0.875993,0.173275,-0.405182,-0.935517,-0.15608,-0.221569,0.358862,0.357156,0.952081,0.468983,-0.625982,1.167789,-1.190477,0.026084,0.983353,-0.701955
ordre,-0.764974,0.536978,-1.40943,-0.048829,0.255021,-0.692532,-0.264738,-0.675992,-0.705868,-1.690577,0.544609,0.926366,-0.395255,0.235485,-1.219579,-0.299647,-0.269175,0.712412,-0.261063,0.278663,0.640987,-0.03453,-0.067007,-0.753332,-0.238429,0.007827,-0.723462
variable,0.205675,-0.908413,-1.503533,0.408589,-1.117022,0.074126,1.514386,-0.29739,0.18246,0.390278,0.876978,-0.708222,0.44264,0.46797,-1.648792,0.026873,-0.10352,-0.329617,0.387542,-0.353496,0.894482,-1.421292,-0.862268,-0.337936,-0.409897,0.329531,-0.260631
base,0.294101,-0.078555,-1.07373,-0.004892,-0.777352,-0.494643,0.881409,-0.443071,0.075701,-0.158923,0.201523,-0.298448,0.25474,0.88789,-1.431461,-0.963837,-0.27331,-0.478403,-0.139665,0.171344,0.028362,0.11009,-0.144617,-0.913409,0.8603,0.877451,-0.756175
géométrie,-0.506305,-1.34639,-0.332797,1.086455,-0.623729,-1.184508,1.216737,-0.120764,0.547287,0.958157,1.628315,-0.334833,0.028065,0.347584,-0.7003,-1.121654,0.257533,0.751041,-0.068914,-0.753041,-0.34265,-1.221786,0.63196,-0.901574,0.183151,-0.85179,0.127771
analyse,0.775706,-0.30918,-0.999401,0.574382,-0.159189,-1.37836,0.819123,0.284444,1.284048,-0.194364,0.886394,-0.084488,-0.651654,0.71288,-0.845123,-0.594896,0.985801,-0.065175,0.768189,0.606395,-0.552947,-0.899093,0.170739,-0.890334,-0.219711,0.549093,0.578238
loi,0.04506,0.546869,-1.855843,-0.191448,-1.287582,-0.662728,-0.223986,0.277609,-0.312213,-0.786236,0.287389,0.586859,-0.602835,0.391353,-0.91112,0.455831,1.008672,0.53233,0.23691,0.670033,-0.212196,0.212638,-0.418708,-0.83855,-1.497047,1.105085,-0.146857
définition,0.74153,-0.621573,-1.461364,0.494105,-0.843532,-1.51114,1.026165,-0.085419,0.360652,0.091739,0.70489,-0.461109,-0.415356,0.721302,-1.306632,0.18025,0.562168,0.216222,0.398717,-0.107695,-0.332314,-0.9023,-0.097776,-0.351728,-0.300032,0.751463,-0.382607
réel,1.108364,-0.731429,-1.158725,-0.399346,-0.607999,-0.91083,0.258228,0.052532,0.269561,-0.797144,0.112028,-0.227314,-0.211691,0.31781,-1.098351,-0.254714,1.103242,-0.031217,0.664818,-0.642294,-0.193455,-1.542039,0.172577,0.284586,-0.045554,0.734617,-0.161177
dimension,0.492131,-1.133826,-0.918558,-0.046742,-1.192528,-0.765224,0.718443,0.000735,-0.128982,0.038834,0.361215,-0.003642,-0.239133,0.051518,-1.359943,-0.670189,0.918428,0.010771,-0.477541,-1.215158,0.267399,-1.09033,0.15958,-0.323735,0.888494,0.625258,0.736322
statistique,0.436808,-0.151506,-0.52817,1.076749,-0.146682,-0.435664,-1.276051,0.365452,1.356527,-0.502855,0.753396,-0.160509,-0.275858,0.182581,-1.034273,1.974848,0.105407,-0.869364,0.90971,0.011336,0.196205,0.111603,-1.405363,-1.084806,1.68083,-0.266056,0.143244
sommet,0.171382,-0.830235,-0.1988,0.989072,0.954802,1.086099,0.598599,-0.400018,-0.774095,-0.550624,-0.190808,-0.587433,0.968705,0.099294,-1.741684,-0.045185,0.850275,0.723256,-0.454181,-0.181533,0.227573,0.87803,-0.62384,-0.149836,1.40206,0.690131,0.448809
logique,0.188471,-0.530117,-0.733828,0.243855,-1.135481,-1.698973,0.579983,-0.003127,0.585523,0.362157,1.415987,0.076248,-0.374207,0.911404,-0.723827,-0.163014,1.617316,0.291114,0.23985,-0.266215,-1.194548,-0.789908,0.558692,0.121583,-0.236449,-0.135305,-0.05171
