word,1,2,3
invariant,-0.324261,-0.960098,2.978763
$\mathbb{Q}$,-1.647844,-1.156332,3.071997
index,-0.394607,-0.595846,3.103758
information,2.243395,0.12722,2.841825
transformation,-0.177017,-0.906997,3.012472
extension,-0.078771,-0.930342,3.161171
direct,0.059264,-0.939779,3.268776
uniform,-1.840584,0.273519,2.772037
path,-0.088445,-1.060846,3.070041
negative,0.182949,-1.47912,3.469922
image,-0.600608,-0.426976,2.619428
member,1.157966,2.285253,2.67708
inverse,-0.030308,-1.618418,3.23204
step,0.550822,-0.49544,3.140042
independent,0.713127,-1.241643,3.365517
arithmetic,0.889982,-0.050134,3.083705
position,0.619476,0.642496,3.109525
calculus,1.290346,0.430077,2.529166
rational,-0.359224,-1.109822,3.431839
law,1.228033,-0.195614,2.627507
tree,-0.03326,-1.00167,2.482446
component,-0.006274,-1.598144,3.245033
lattice,-0.899043,-0.766781,2.673831
inequality,0.278523,-0.660407,1.951237
volume,-0.51672,1.375767,2.880556
section,-0.31846,0.400109,2.990863
add,-0.01919,-0.257376,3.294855
$\mathrm{e}$,-1.775669,-0.352738,2.777321
fundamental,0.264009,-0.180449,3.292913
game,1.333246,0.132439,2.155964
polytope,-2.31625,1.172765,2.500011
smooth,-0.620315,-1.639209,3.271078
partial,0.416528,-0.486122,3.182778
extend,0.1428,-0.562086,3.22107
multiplication,-0.010444,-1.064538,3.227619
boundary,-0.145745,-1.140408,2.97567
local,0.484169,-1.31765,2.889065
node,-0.241842,-0.29676,2.555454
develop,1.85691,1.085151,2.759794
difference,0.663057,-0.733342,3.229726
statement,0.773692,-0.700248,3.183939
tensor,0.109694,-1.510329,2.593673
discrete,0.585743,-0.619814,2.959167
variety,-0.489853,-0.727863,2.786561
generalize,0.181311,-0.709959,2.93164
sample,1.064591,-1.498625,2.830355
statistic,2.102889,0.507031,2.539934
axis,-1.041297,-1.041193,2.781665
hyperbolic,-1.376475,-0.175032,2.594576
rotation,-0.867567,-1.062825,2.858038
Hilbert,0.176142,0.040817,2.792021
digit,-0.910114,0.165294,2.633255
intersection,-0.9023,-1.014963,3.190337
addition,0.277886,-0.555618,3.411917
expression,0.541024,-1.174174,3.374543
Student,1.696684,2.109414,2.599833
approximation,1.111806,-0.690173,2.807535
$\mathbb{Z}$,-2.018616,-1.092553,3.067136
mathematics,1.110723,3.389416,2.392943
code,0.717857,-0.362885,2.271798
rank,-0.209866,-0.677092,2.915717
characteristic,0.061117,-1.102507,3.255668
binary,-0.197836,-1.196386,2.909629
closed,-0.858615,-2.100501,3.441719
tangent,-1.097641,-1.267223,3.013925
diagram,-0.430652,-0.409696,2.535497
divide,-0.974401,-0.392706,3.333386
functional,0.771055,-0.406717,2.801954
abelian,-0.63824,-1.234539,2.888282
odd,-0.93326,-1.03977,3.34486
action,-0.064053,-1.217207,2.941579
tiling,-2.54491,0.218493,1.938531
ratio,-0.035976,-1.064318,2.730229
program,1.845621,0.775452,2.44821
quadratic,-0.156079,-1.154662,2.9939
cube,-1.923616,0.455595,2.633595
cycle,-0.663955,-0.802027,2.891426
figure,-1.271602,0.394854,3.049842
argument,1.106115,-0.612406,2.908539
Riemann,-0.125006,-0.455429,2.539133
Euler,0.16717,0.184527,2.608952
calculate,0.768375,-0.601484,3.060753
shape,-0.064908,-0.648785,2.711267
formal,1.225757,-0.351401,2.975167
derive,0.63346,-0.432303,2.998578
statistical,2.662884,0.432352,2.439279
network,2.055525,-0.542999,1.95754
estimate,1.425796,-1.33403,2.732396
norm,-0.594469,-1.661363,2.714066
polygon,-1.546782,-0.339758,2.680059
permutation,-1.074179,-0.42614,2.859439
world,1.779496,1.632438,2.601779
maximum,0.395216,-1.54685,2.864661
equivalence,-0.034462,-1.297925,2.995867
parallel,-0.306784,-0.822006,2.679354
numerical,1.917137,0.385826,2.614521
orthogonal,-0.743435,-1.366724,3.015079
isomorphic,-1.514546,-1.614423,3.199122
connection,0.399957,-0.911763,2.805281
locally,-0.638463,-2.304159,2.948271
existence,0.814353,-0.827409,2.956924
complexity,1.439342,-0.28856,2.508178
isomorphism,-0.522548,-1.675428,3.058085
commutative,-0.603977,-0.840173,2.787112
quotient,-0.966455,-1.446159,3.236341
half,-0.778414,-0.07428,3.189881
decomposition,-0.010959,-1.220232,2.348681
density,0.629555,-1.746181,2.64536
affine,-0.868097,-1.388996,2.862158
arbitrary,-0.075145,-1.535842,3.567289
morphism,-0.943525,-2.218132,2.87212
scale,0.617681,-0.925459,2.654151
suppose,-0.306516,-1.11108,3.302163
increase,1.248211,-1.003506,2.854881
projection,-0.882493,-0.663516,2.474653
partition,-0.346739,-1.205525,2.869665
exponential,0.692965,-1.41627,2.815671
range,0.720714,-0.860689,2.847015
subspace,-1.002241,-1.672445,3.029701
support,1.041767,0.103458,2.473448
diagonal,-1.143546,-0.905201,2.965019
computation,1.401402,0.142706,2.853395
curvature,-0.252281,-1.420897,2.429008
flow,1.085052,-1.142094,2.053314
analytic,0.710353,-0.349824,2.792419
chain,0.041851,-0.95882,2.616617
cohomology,-0.468387,-0.968391,2.044902
trivial,-0.62584,-1.605031,3.310119
converge,-0.062463,-2.348814,2.900945
lemma,0.231113,-0.698576,1.964241
origin,-0.356564,-0.249424,3.051928
convergence,0.734677,-1.481509,2.517434
division,0.606161,-0.509817,2.589936
