word,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
define,-1.065813,-0.526848,-0.346482,-0.323898,0.459037,2.48114,0.551158,-1.0091,-0.569611,-0.136118,0.234062,0.589,-0.45225,0.780599,0.622942,-0.404193,-0.314023,0.792572,-0.151926,0.956314,-0.267595,-0.98219,0.47801,0.395443,-0.353913,0.149418,-0.432868,0.562305,-0.275762,-0.472256,0.441886,-0.088245,0.469888,-2.678139,-0.179813,0.157438,0.537518,0.382863,0.102251,0.798911,0.306321,0.990938,0.156405,-0.366382,-0.338492,-0.52147
graph,-0.796264,0.205641,1.051144,-0.947795,1.162431,1.681737,0.381984,-0.659614,-0.508666,0.440418,-0.136461,-1.615338,1.152501,-0.325405,0.654302,0.376477,1.706672,0.256499,0.271028,0.197173,-1.503375,1.372072,0.053562,-1.013481,-1.213779,-0.380393,-0.797738,0.882929,-0.643778,-0.327549,0.514572,-0.54781,0.56723,-3.395304,0.348738,1.034616,-0.196523,1.712083,-0.504712,0.091781,0.515255,-0.019221,-1.135946,0.130921,0.243622,-0.008778
value,-0.862982,-1.269143,0.655212,0.292355,0.161599,3.264064,-0.229661,-1.132787,-0.118907,-0.20034,0.128791,0.654777,-0.999518,0.630001,0.252317,-1.059932,-0.680329,0.928274,-0.988018,0.040374,-0.711093,-0.449278,-0.664458,0.486018,-0.615996,0.970145,0.075262,0.423619,-0.29254,0.341875,0.578441,-0.833417,0.084443,-1.579638,0.64012,0.113898,0.406644,0.540808,-0.618073,-0.484249,0.97923,0.540555,0.441527,0.363286,-0.70821,0.001578
problem,-0.751795,0.203704,0.923684,1.313732,0.375388,1.779202,0.017826,-0.55106,-0.212211,0.054106,0.035412,-0.316334,-0.253778,-0.38515,-0.8999,-0.493692,0.564826,0.412168,-1.244996,1.129846,-1.121732,0.57564,-1.043201,-0.131085,-0.307651,0.188201,-1.066731,-0.226092,-0.336954,0.460481,0.215753,-0.197587,-0.561433,-3.53822,-0.823855,1.376186,-0.798113,0.985988,-0.904044,1.014162,0.16009,-0.90736,-0.390468,-0.015702,0.123432,0.171598
mathematic,-1.072111,-0.804905,-0.935532,-0.311206,0.17583,0.510745,-0.172669,0.254754,0.371098,-0.814905,-0.490107,-0.244363,-0.303222,-0.099161,-1.455896,-0.499758,0.218216,2.166408,0.753626,1.413206,-0.248972,0.570813,-0.076536,0.310104,-0.006371,0.504501,0.039975,-0.590062,0.236172,-0.179465,0.003569,0.340103,0.023689,-2.653834,-0.922471,0.382327,-0.213627,0.917309,-0.861621,-0.90419,0.523442,1.078697,-0.050649,1.053753,0.099774,0.880342
order,0.208542,-0.455293,-0.458763,0.468888,0.543023,1.962447,-0.586474,-1.402516,-0.465434,-0.700361,0.746311,-0.169596,-0.060271,0.78825,-0.030264,0.048965,0.016276,1.318117,0.93514,0.308138,-0.546116,-0.707835,-0.370574,-0.483978,-0.586792,-0.191915,-0.740353,0.52282,-0.40121,-1.245817,0.417362,0.047501,0.169722,-3.07902,1.009296,-0.560041,-0.418604,0.968144,-0.865044,-0.382965,0.071378,0.454625,-0.468785,-0.40202,-0.102038,-1.824834
equation,-1.198257,-0.31142,-0.709873,-0.227187,-0.984969,2.718587,-0.643656,-1.388289,-0.395851,-0.842424,0.25653,-0.231054,-0.24,0.43313,-0.012241,-0.196172,-0.166195,0.391206,-2.080458,1.216992,-0.006019,-0.073682,0.127058,0.619973,-0.542958,1.01794,-1.82784,-1.352059,-0.239635,0.022845,-0.572627,1.661903,0.634686,-2.419519,0.107926,0.900337,-0.788127,-0.499041,-1.192338,-0.215827,-0.147972,-0.665849,0.665183,-0.350153,-0.258446,-1.013608
first,-0.377934,-0.230638,-0.436963,0.519039,0.149638,2.37401,-0.350822,-0.71925,0.372766,-0.385729,0.009035,0.125594,-0.09312,0.245074,-0.69133,0.138831,-0.163324,1.269694,0.153097,1.047569,0.262279,0.466967,-0.770738,-0.105115,0.150189,0.687393,-0.759906,-0.515774,-0.025361,-0.525823,0.54126,-0.277713,0.288002,-2.333286,-0.075032,-0.039847,-0.130543,1.521405,-0.842925,0.023174,-0.172618,0.709587,0.723594,0.37544,-0.385526,-0.707484
vector,-1.464957,-1.019686,0.536949,-1.0135,0.038144,1.86895,0.739311,0.056781,-0.476854,-0.852238,0.407544,0.441923,-1.403859,1.598112,0.911601,0.461476,-0.138159,-0.208578,-0.898727,1.609169,0.385253,-1.236348,0.155725,0.084538,-0.63877,0.519424,-0.524265,0.343314,-1.016743,0.786238,0.911013,0.466969,0.755592,-2.559753,-0.054802,-1.049175,0.783502,0.24908,-0.338155,-0.244794,0.463075,1.195418,0.715573,-0.04395,-0.781539,-0.30575
algebra,-1.188574,-0.156013,-0.972678,0.623581,-0.795733,1.740205,0.232664,-0.599953,-0.341298,-0.614487,0.241188,-0.145635,-0.606801,0.450661,0.564658,0.445845,1.008438,0.842685,1.829808,1.586929,0.382147,-1.021511,0.609878,-0.752097,-0.873129,-0.121435,0.360033,-0.454606,-0.671225,0.302299,-0.4209,0.961379,0.047514,-2.658613,-1.249298,-0.831406,0.420172,-0.099319,-0.772132,0.048896,0.676643,1.906357,-0.099243,1.225697,0.390037,0.123347
